time,scope,value
1746146257.6843736,nrm.extra.perf.PAPI_L3_TCA.278332,62053464.0
1746146257.6843736,nrm.extra.perf.PAPI_TOT_INS.278332,5492557442.0
1746146257.6843736,nrm.extra.perf.PAPI_TOT_CYC.278332,17571666655.0
1746146257.6843736,nrm.extra.perf.PAPI_RES_STL.278332,5989472038.0
1746146257.6843736,nrm.extra.perf.PAPI_L3_TCM.278332,50175413.0
1746146258.6862295,nrm.extra.perf.PAPI_L3_TCA.278332,1211641776.0
1746146258.6862295,nrm.extra.perf.PAPI_TOT_INS.278332,71205082413.0
1746146258.6862295,nrm.extra.perf.PAPI_TOT_CYC.278332,238353776429.0
1746146258.6862295,nrm.extra.perf.PAPI_RES_STL.278332,161923346876.0
1746146258.6862295,nrm.extra.perf.PAPI_L3_TCM.278332,1025040153.0
1746146259.6888819,nrm.extra.perf.PAPI_L3_TCA.278332,2710591860.0
1746146259.6888819,nrm.extra.perf.PAPI_TOT_INS.278332,157149613261.0
1746146259.6888819,nrm.extra.perf.PAPI_TOT_CYC.278332,537577668365.0
1746146259.6888819,nrm.extra.perf.PAPI_RES_STL.278332,372071568543.0
1746146259.6888819,nrm.extra.perf.PAPI_L3_TCM.278332,2297354263.0
1746146260.6866965,nrm.extra.perf.PAPI_L3_TCA.278332,4611621325.0
1746146260.6866965,nrm.extra.perf.PAPI_TOT_INS.278332,263245496451.0
1746146260.6866965,nrm.extra.perf.PAPI_TOT_CYC.278332,814695720986.0
1746146260.6866965,nrm.extra.perf.PAPI_RES_STL.278332,553676915702.0
1746146260.6866965,nrm.extra.perf.PAPI_L3_TCM.278332,3904980089.0
1746146261.6863425,nrm.extra.perf.PAPI_L3_TCA.278332,6637287865.0
1746146261.6863425,nrm.extra.perf.PAPI_TOT_INS.278332,375425170386.0
1746146261.6863425,nrm.extra.perf.PAPI_TOT_CYC.278332,1092689835062.0
1746146261.6863425,nrm.extra.perf.PAPI_RES_STL.278332,734891240218.0
1746146261.6863425,nrm.extra.perf.PAPI_L3_TCM.278332,5624885189.0
1746146262.6876318,nrm.extra.perf.PAPI_L3_TCA.278332,8660819979.0
1746146262.6876318,nrm.extra.perf.PAPI_TOT_INS.278332,487680367163.0
1746146262.6876318,nrm.extra.perf.PAPI_TOT_CYC.278332,1370975144900.0
