time,scope,value
1746148189.0569754,0,244011.5526123047
1746148189.0569754,1,244011.6167602539
1746148190.0570025,0,244096.70208740234
1746148190.0570025,1,244096.86755371094
1746148191.0563264,0,244258.3741455078
1746148191.0563264,1,244258.85546875
1746148192.0562348,0,244396.67944335938
1746148192.0562348,1,244396.75860595703
1746148193.0567248,0,244532.1470336914
1746148193.0567248,1,244532.51220703125
1746148194.0569923,0,244668.0756225586
1746148194.0569923,1,244668.5004272461
1746148195.057004,0,244803.31774902344
1746148195.057004,1,244803.8779296875
1746148196.057151,0,244939.32666015625
1746148196.057151,1,244939.63671875
1746148197.0565097,0,245074.7001953125
1746148197.0565097,1,245074.80181884766
1746148198.0565267,0,245210.17510986328
1746148198.0565267,1,245210.31909179688
1746148199.0567553,0,245345.88940429688
1746148199.0567553,1,245346.33850097656
1746148200.0564508,0,245481.5249633789
1746148200.0564508,1,245481.68103027344
1746148201.0567055,0,245616.98046875
1746148201.0567055,1,245617.24365234375
1746148202.0564575,0,245752.6890258789
1746148202.0564575,1,245752.82202148438
1746148203.0562954,0,245888.17626953125
1746148203.0562954,1,245888.29876708984
1746148204.056622,0,246023.99481201172
1746148204.056622,1,246024.14916992188
1746148205.057013,0,246159.51947021484
1746148205.057013,1,246159.6411743164
1746148206.057125,0,246295.26879882812
1746148206.057125,1,246295.56591796875
1746148207.056625,0,246430.74084472656
1746148207.056625,1,246431.0326538086
1746148208.0562694,0,246566.19036865234
1746148208.0562694,1,246566.49188232422
1746148209.0561936,0,246701.85900878906
1746148209.0561936,1,246702.36767578125
1746148210.0565867,0,246837.57110595703
1746148210.0565867,1,246837.81610107422
1746148211.0564983,0,246973.0460205078
1746148211.0564983,1,246973.15283203125
1746148212.0562162,0,247108.58569335938
1746148212.0562162,1,247108.69006347656
