time,value
1746149935.955946,1.0
1746149935.9834306,1.0
1746149936.010739,1.0
1746149936.037735,1.0
1746149936.06622,1.0
1746149936.0932004,1.0
1746149936.1206377,1.0
1746149936.147829,1.0
1746149936.174788,1.0
1746149936.201988,1.0
1746149936.229142,1.0
1746149936.2563245,1.0
1746149936.2834966,1.0
1746149936.3105638,1.0
1746149936.3377721,1.0
1746149936.3649275,1.0
1746149936.3920176,1.0
1746149936.4195733,1.0
1746149936.4467351,1.0
1746149936.473695,1.0
1746149936.5008492,1.0
1746149936.5278213,1.0
1746149936.555197,1.0
1746149936.5845864,1.0
1746149936.614178,1.0
1746149936.6436574,1.0
1746149936.6744487,1.0
1746149936.7043717,1.0
1746149936.7339785,1.0
1746149936.7634623,1.0
1746149936.7930818,1.0
1746149936.822634,1.0
1746149936.8521092,1.0
1746149936.8817446,1.0
1746149936.911302,1.0
1746149936.9408062,1.0
1746149936.9702535,1.0
1746149936.999707,1.0
1746149937.0291874,1.0
1746149937.0595572,1.0
1746149937.0902476,1.0
1746149937.1202693,1.0
1746149937.1497488,1.0
1746149937.1793942,1.0
1746149937.2089221,1.0
1746149937.2553024,1.0
1746149937.28462,1.0
1746149937.3140762,1.0
1746149937.3434322,1.0
1746149937.3728418,1.0
1746149937.4021623,1.0
1746149937.4315937,1.0
1746149937.4608197,1.0
1746149937.4902172,1.0
1746149937.5195475,1.0
1746149937.548808,1.0
1746149937.5782278,1.0
1746149937.60756,1.0
1746149937.6368403,1.0
1746149937.6661623,1.0
1746149937.6965816,1.0
1746149937.72576,1.0
1746149937.7552605,1.0
1746149937.7845197,1.0
1746149937.8137898,1.0
1746149937.843042,1.0
1746149937.8851151,1.0
1746149937.9069614,1.0
1746149937.9287283,1.0
1746149937.951131,1.0
1746149937.9728744,1.0
1746149937.9944534,1.0
1746149938.0161884,1.0
1746149938.0379882,1.0
1746149938.0615294,1.0
1746149938.083518,1.0
1746149938.1058803,1.0
1746149938.1274798,1.0
1746149938.1492987,1.0
1746149938.1710575,1.0
1746149938.192849,1.0
1746149938.214641,1.0
1746149938.236364,1.0
1746149938.2578917,1.0
1746149938.2796113,1.0
1746149938.3013487,1.0
1746149938.32326,1.0
1746149938.3449397,1.0
1746149938.3664658,1.0
1746149938.388197,1.0
1746149938.4100828,1.0
1746149938.4317455,1.0
1746149938.4532833,1.0
1746149938.4750073,1.0
1746149938.4967017,1.0
1746149938.5184362,1.0
1746149938.5401947,1.0
1746149938.561946,1.0
1746149938.583803,1.0
1746149938.6056561,1.0
1746149938.6274056,1.0
1746149938.649311,1.0
1746149938.671242,1.0
1746149938.6948817,1.0
1746149938.716591,1.0
1746149938.7383366,1.0
1746149938.7599387,1.0
1746149938.7819028,1.0
1746149938.803516,1.0
1746149938.8251505,1.0
1746149938.8468874,1.0
1746149938.8687425,1.0
1746149938.8903806,1.0
1746149938.9121401,1.0
1746149938.9339178,1.0
1746149938.9558973,1.0
1746149938.9775915,1.0
1746149938.999393,1.0
1746149939.0212014,1.0
1746149939.0430744,1.0
1746149939.0691175,1.0
1746149939.0907109,1.0
1746149939.114047,1.0
1746149939.1361966,1.0
1746149939.1579978,1.0
1746149939.179772,1.0
1746149939.201541,1.0
1746149939.2232716,1.0
1746149939.2449574,1.0
1746149939.2664974,1.0
1746149939.2879827,1.0
1746149939.3096893,1.0
1746149939.3311865,1.0
1746149939.3527312,1.0
1746149939.3744059,1.0
1746149939.3960729,1.0
1746149939.4179058,1.0
1746149939.4396238,1.0
1746149939.4613724,1.0
1746149939.4830825,1.0
1746149939.5047956,1.0
1746149939.5264442,1.0
1746149939.5481238,1.0
1746149939.569712,1.0
1746149939.5914524,1.0
1746149939.613223,1.0
1746149939.634887,1.0
1746149939.656774,1.0
1746149939.6799772,1.0
1746149939.7017245,1.0
1746149939.7234168,1.0
1746149939.745045,1.0
1746149939.7667694,1.0
1746149939.7883716,1.0
1746149939.8101625,1.0
1746149939.8318107,1.0
1746149939.853837,1.0
1746149939.8755348,1.0
1746149939.8970754,1.0
1746149939.9187655,1.0
1746149939.940836,1.0
1746149939.9626136,1.0
1746149939.9841564,1.0
1746149940.0059733,1.0
1746149940.0277836,1.0
1746149940.0494223,1.0
1746149940.0744767,1.0
1746149940.096245,1.0
1746149940.1192665,1.0
1746149940.1426427,1.0
1746149940.1676188,1.0
1746149940.1893206,1.0
1746149940.211077,1.0
1746149940.2327204,1.0
1746149940.2550876,1.0
1746149940.276779,1.0
1746149940.2986221,1.0
1746149940.3202326,1.0
1746149940.342061,1.0
1746149940.3638065,1.0
1746149940.3855484,1.0
1746149940.407329,1.0
1746149940.4289024,1.0
1746149940.4505887,1.0
1746149940.472268,1.0
1746149940.4939497,1.0
1746149940.5165093,1.0
1746149940.537988,1.0
1746149940.5595727,1.0
1746149940.5813522,1.0
1746149940.6029842,1.0
1746149940.6246576,1.0
1746149940.646289,1.0
1746149940.668125,1.0
1746149940.691239,1.0
1746149940.712789,1.0
1746149940.7344427,1.0
1746149940.7561994,1.0
1746149940.7777998,1.0
1746149940.7993774,1.0
1746149940.8207586,1.0
1746149940.8423939,1.0
1746149940.8641927,1.0
1746149940.885984,1.0
1746149940.9076142,1.0
1746149940.9294164,1.0
1746149940.9513354,1.0
1746149940.972834,1.0
1746149940.99446,1.0
1746149941.0161211,1.0
1746149941.0376747,1.0
1746149941.0625918,1.0
1746149941.0841815,1.0
1746149941.1072054,1.0
1746149941.1289365,1.0
1746149941.1510162,1.0
1746149941.1728349,1.0
1746149941.1947203,1.0
1746149941.2164488,1.0
1746149941.2381437,1.0
1746149941.2598457,1.0
1746149941.2814035,1.0
1746149941.303306,1.0
1746149941.3250265,1.0
1746149941.3465483,1.0
1746149941.368372,1.0
1746149941.3901272,1.0
1746149941.4117846,1.0
1746149941.4333987,1.0
1746149941.4555814,1.0
1746149941.4772637,1.0
1746149941.499196,1.0
1746149941.520947,1.0
1746149941.5433502,1.0
1746149941.5649922,1.0
1746149941.586837,1.0
1746149941.6085372,1.0
1746149941.6302772,1.0
1746149941.6520612,1.0
1746149941.6756532,1.0
1746149941.6973166,1.0
1746149941.7190466,1.0
1746149941.7408583,1.0
1746149941.7625258,1.0
1746149941.7841723,1.0
1746149941.8058987,1.0
1746149941.8276606,1.0
1746149941.849315,1.0
1746149941.8708498,1.0
1746149941.8927202,1.0
1746149941.9144917,1.0
1746149941.936397,1.0
