time,value
1742765900.382425,2.0
1742765900.3971958,3.0
1742765900.4118335,3.0
1742765900.4264085,3.0
1742765900.4409585,3.0
1742765900.4555426,3.0
1742765900.47008,3.0
1742765900.4845924,3.0
1742765900.499122,3.0
1742765900.5093582,2.0
1742765900.519981,2.0
1742765900.5345318,3.0
1742765900.5490887,3.0
1742765900.5596547,2.0
1742765900.574218,3.0
1742765900.5887918,3.0
1742765900.6035001,3.0
1742765900.6180341,3.0
1742765900.6325736,3.0
1742765900.6471355,3.0
1742765900.6616838,3.0
1742765900.6720848,2.0
1742765900.6866555,3.0
1742765900.7011666,3.0
1742765900.7157342,3.0
1742765900.730236,3.0
1742765900.7447686,3.0
1742765900.7549462,2.0
1742765900.7695215,3.0
1742765900.7915325,2.0
1742765900.8048306,1.0
1742765900.8161383,1.0
1742765900.8283868,2.0
1742765900.838538,2.0
1742765900.8532345,3.0
1742765900.8678827,3.0
1742765900.8779602,2.0
1742765900.8926327,3.0
1742765900.907249,3.0
1742765900.9176443,2.0
1742765900.9323015,3.0
1742765900.9469268,3.0
1742765900.9615414,3.0
1742765900.9761395,3.0
1742765900.9907305,3.0
1742765901.0053058,3.0
1742765901.0200436,3.0
1742765901.034612,3.0
1742765901.0492048,3.0
1742765901.063825,3.0
1742765901.078409,3.0
1742765901.0930593,3.0
1742765901.107684,3.0
1742765901.1224077,3.0
1742765901.1369815,3.0
1742765901.1515787,3.0
1742765901.1661727,3.0
1742765901.1807566,3.0
1742765901.1953688,3.0
1742765901.2099502,3.0
1742765901.2246306,3.0
1742765901.2392204,3.0
1742765901.2538145,3.0
1742765901.2683856,3.0
1742765901.2829838,3.0
1742765901.297581,3.0
1742765901.31218,3.0
1742765901.3280566,3.0
1742765901.3433876,2.0
1742765901.3534863,1.0
1742765901.368126,3.0
1742765901.3829217,3.0
1742765901.3930507,2.0
1742765901.4032328,2.0
1742765901.4134433,2.0
1742765901.4236038,2.0
1742765901.43394,2.0
1742765901.4442098,2.0
1742765901.454517,2.0
1742765901.4647865,2.0
1742765901.4750662,2.0
1742765901.4853148,2.0
1742765901.4955826,2.0
1742765901.5082872,2.0
1742765901.5185878,2.0
1742765901.5288973,2.0
1742765901.5390987,2.0
1742765901.5495605,2.0
1742765901.5600893,2.0
1742765901.5702674,2.0
1742765901.5804667,2.0
1742765901.5912955,2.0
1742765901.6015701,2.0
1742765901.6118617,2.0
1742765901.6221821,2.0
1742765901.6325712,2.0
1742765901.6428354,2.0
1742765901.6531506,2.0
1742765901.6635027,2.0
1742765901.6737974,2.0
1742765901.684071,2.0
1742765901.6944015,2.0
1742765901.7046754,2.0
1742765901.714959,2.0
1742765901.7252805,2.0
1742765901.7358158,2.0
1742765901.7461345,2.0
1742765901.7563794,2.0
1742765901.7667038,2.0
1742765901.7769647,2.0
1742765901.7872488,2.0
1742765901.7975445,2.0
1742765901.8078449,2.0
1742765901.8181014,2.0
1742765901.8283873,2.0
1742765901.8388207,2.0
1742765901.8491075,2.0
1742765901.8594103,2.0
1742765901.8697078,2.0
1742765901.8799977,2.0
1742765901.8903353,2.0
1742765901.9005857,2.0
1742765901.9108896,2.0
1742765901.921221,2.0
1742765901.9314985,2.0
1742765901.9419482,2.0
1742765901.9522738,2.0
1742765901.9625428,2.0
1742765901.9728143,2.0
1742765901.9831176,2.0
1742765901.993396,2.0
1742765902.0036771,2.0
1742765902.0191061,2.0
1742765902.0336568,2.0
1742765902.0440693,2.0
1742765902.0543725,2.0
1742765902.064601,2.0
1742765902.0749068,2.0
1742765902.08518,2.0
1742765902.0954375,2.0
1742765902.1057658,2.0
1742765902.116044,2.0
1742765902.1263542,2.0
1742765902.1367881,2.0
1742765902.1470692,2.0
1742765902.1573503,2.0
1742765902.1676304,2.0
1742765902.1779099,2.0
1742765902.1882048,2.0
1742765902.1984937,2.0
1742765902.2087846,2.0
1742765902.219075,2.0
1742765902.2293737,2.0
1742765902.2398078,2.0
1742765902.2501104,2.0
1742765902.260386,2.0
1742765902.270695,2.0
1742765902.2809744,2.0
1742765902.2912383,2.0
1742765902.3015304,2.0
1742765902.3118236,2.0
1742765902.3221881,2.0
1742765902.3337271,2.0
1742765902.3458905,1.0
1742765902.3581128,1.0
1742765902.3682184,2.0
1742765902.3785188,2.0
1742765902.3888345,2.0
1742765902.399115,2.0
1742765902.409386,2.0
1742765902.4196699,2.0
1742765902.4300032,2.0
1742765902.4404895,2.0
1742765902.450782,2.0
1742765902.461097,2.0
1742765902.4713812,2.0
1742765902.4816751,2.0
1742765902.4919393,2.0
1742765902.5022674,2.0
1742765902.5147214,2.0
1742765902.5248091,2.0
1742765902.5351338,2.0
1742765902.5456784,2.0
1742765902.5567875,2.0
1742765902.566994,2.0
1742765902.5772722,2.0
1742765902.5876682,2.0
1742765902.5982196,2.0
1742765902.6083794,2.0
1742765902.6186152,2.0
1742765902.6288376,2.0
1742765902.6390638,2.0
1742765902.649366,2.0
1742765902.6595929,2.0
1742765902.669857,2.0
1742765902.6810534,1.0
1742765902.6920147,2.0
1742765902.702409,2.0
1742765902.7127826,2.0
1742765902.7232115,2.0
1742765902.7336361,2.0
1742765902.7441328,2.0
1742765902.7545147,2.0
1742765902.764882,2.0
1742765902.775291,2.0
1742765902.785665,2.0
1742765902.7960658,2.0
1742765902.8064508,2.0
1742765902.8168273,2.0
1742765902.827212,2.0
1742765902.8375905,2.0
1742765902.8480444,2.0
1742765902.858465,2.0
1742765902.868833,2.0
1742765902.8792417,2.0
1742765902.8895872,2.0
1742765902.9048555,2.0
1742765902.9151716,2.0
1742765902.9255655,2.0
1742765902.935957,2.0
1742765902.9465039,2.0
1742765902.956818,2.0
1742765902.9672415,2.0
1742765902.9776347,2.0
1742765902.988014,2.0
1742765902.9983494,2.0
1742765903.008734,2.0
1742765903.0191388,2.0
1742765903.029579,2.0
1742765903.0399315,2.0
1742765903.0503817,2.0
1742765903.0607326,2.0
1742765903.0711489,2.0
1742765903.081534,2.0
1742765903.0919065,2.0
1742765903.102321,2.0
1742765903.1127017,2.0
1742765903.1231666,2.0
1742765903.1335886,2.0
1742765903.1439595,2.0
1742765903.1543639,2.0
1742765903.1647544,2.0
1742765903.1751802,2.0
1742765903.1855757,2.0
1742765903.195987,2.0
1742765903.2063985,2.0
1742765903.2167852,2.0
1742765903.2271945,2.0
1742765903.2376006,2.0
1742765903.2479925,2.0
1742765903.2583945,2.0
1742765903.2687774,2.0
1742765903.279179,2.0
1742765903.28958,2.0
1742765903.2999685,2.0
1742765903.3103673,2.0
1742765903.3208892,2.0
1742765903.3325665,2.0
1742765903.3449655,1.0
1742765903.3596325,1.0
1742765903.3698492,2.0
1742765903.3801904,2.0
1742765903.390577,2.0
1742765903.40095,2.0
1742765903.4113195,2.0
1742765903.421705,2.0
1742765903.4320788,2.0
1742765903.4424756,2.0
1742765903.4530225,2.0
1742765903.463374,2.0
1742765903.473768,2.0
1742765903.4841537,2.0
1742765903.4945493,2.0
1742765903.5051901,2.0
1742765903.5175934,2.0
1742765903.5279481,2.0
1742765903.5383248,2.0
1742765903.5490568,2.0
1742765903.5598176,2.0
1742765903.570222,2.0
1742765903.580573,2.0
1742765903.5915298,2.0
1742765903.602132,2.0
1742765903.6124947,2.0
1742765903.6228938,2.0
1742765903.6332743,2.0
1742765903.6436388,2.0
1742765903.6539958,2.0
1742765903.6643689,2.0
1742765903.6747632,2.0
1742765903.6851363,2.0
1742765903.6955001,2.0
1742765903.7058957,2.0
1742765903.7162657,2.0
1742765903.7266705,2.0
1742765903.7370527,2.0
1742765903.7474456,2.0
1742765903.7579064,2.0
1742765903.768251,2.0
1742765903.7786498,2.0
1742765903.7889936,2.0
1742765903.7993438,2.0
1742765903.8097184,2.0
1742765903.820076,2.0
1742765903.8304691,2.0
1742765903.8408263,2.0
1742765903.8512015,2.0
1742765903.861758,2.0
1742765903.872133,2.0
1742765903.8825316,2.0
1742765903.8929799,2.0
1742765903.9033535,2.0
1742765903.913738,2.0
1742765903.9241626,2.0
1742765903.934583,2.0
1742765903.9449687,2.0
1742765903.9553647,2.0
1742765903.9665313,2.0
1742765903.9768677,2.0
1742765903.987269,2.0
1742765903.997659,2.0
1742765904.0079913,2.0
1742765904.0183678,2.0
1742765904.0287106,2.0
1742765904.0391064,2.0
1742765904.0495148,2.0
1742765904.060025,2.0
1742765904.0703852,2.0
1742765904.0807457,2.0
1742765904.0911188,2.0
1742765904.1015358,2.0
1742765904.111899,2.0
1742765904.1223392,2.0
1742765904.1327448,2.0
1742765904.1431317,2.0
1742765904.153501,2.0
1742765904.163965,2.0
1742765904.1743226,2.0
1742765904.184674,2.0
1742765904.1950216,2.0
1742765904.2054048,2.0
1742765904.2157815,2.0
1742765904.2261593,2.0
1742765904.2365105,2.0
1742765904.2469075,2.0
1742765904.257389,2.0
1742765904.2677681,2.0
1742765904.2781565,2.0
1742765904.288497,2.0
1742765904.298868,2.0
1742765904.3092644,2.0
1742765904.319652,2.0
1742765904.331468,2.0
1742765904.3439178,2.0
1742765904.3565497,2.0
1742765904.3670435,2.0
1742765904.3774533,2.0
1742765904.3878424,2.0
1742765904.3982487,2.0
1742765904.4086285,2.0
1742765904.4191234,2.0
1742765904.429468,2.0
1742765904.4398613,2.0
1742765904.4502933,2.0
1742765904.4606745,2.0
1742765904.471096,2.0
1742765904.4815013,2.0
1742765904.4919078,2.0
1742765904.5023541,2.0
1742765904.5149512,2.0
1742765904.525221,2.0
1742765904.5355468,2.0
1742765904.5458999,2.0
1742765904.55715,2.0
1742765904.5675476,2.0
1742765904.5778923,2.0
1742765904.5883348,2.0
1742765904.5989587,2.0
1742765904.6092377,2.0
1742765904.6195793,2.0
1742765904.6299639,2.0
1742765904.6402926,2.0
1742765904.6506119,2.0
1742765904.6609466,2.0
1742765904.6713662,2.0
1742765904.681739,2.0
1742765904.6920748,2.0
1742765904.7030585,2.0
1742765904.7133934,2.0
1742765904.7237394,2.0
1742765904.734125,2.0
1742765904.744455,2.0
1742765904.7548118,2.0
1742765904.765147,2.0
1742765904.7755017,2.0
1742765904.7858589,2.0
1742765904.7962284,2.0
1742765904.8065445,2.0
1742765904.8169122,2.0
1742765904.8272653,2.0
1742765904.837639,2.0
1742765904.8479788,2.0
1742765904.8583128,2.0
1742765904.86868,2.0
1742765904.8790205,2.0
1742765904.8893921,2.0
1742765904.8997715,2.0
1742765904.910134,2.0
1742765904.9204676,2.0
1742765904.9308145,2.0
1742765904.9411452,2.0
1742765904.9515107,2.0
1742765904.9619,2.0
1742765904.9724412,2.0
1742765904.9827805,2.0
1742765904.9931285,2.0
