time,scope,value
1742846522.5413268,0,169.43069616384366
1742846522.5413268,1,169.9487454047764
1742846523.54116,0,147.8524878366108
1742846523.54116,1,148.04139771356714
1742846524.540994,0,147.66291592864044
1742846524.540994,1,147.55182188604212
1742846525.541007,0,145.83108470359076
1742846525.541007,1,146.84125153086836
1742846526.5410771,0,147.7000698415305
1742846526.5410771,1,147.04972175718413
1742846527.5414796,0,146.50074785813248
1742846527.5414796,1,147.05492655785312
1742846528.540768,0,147.47435382862326
1742846528.540768,1,145.8963267080762
1742846529.5413253,0,145.401679744633
1742846529.5413253,1,144.7049892264494
1742846530.5414956,0,146.03272885933623
1742846530.5414956,1,146.85563526465432
1742846531.5413535,0,146.51969781448236
1742846531.5413535,1,146.94647742582262
1742846532.5415924,0,146.19771104334313
1742846532.5415924,1,146.6004875343531
1742846533.5411124,0,147.79716754967225
1742846533.5411124,1,145.7752039597714
1742846534.5411823,0,145.70919473443516
1742846534.5411823,1,147.33005503930326
1742846535.5414374,0,147.25868955175005
1742846535.5414374,1,148.47061011261007
1742846536.5409358,0,147.65121896255815
1742846536.5409358,1,145.7343654805191
1742846537.5408387,0,145.52857752315742
1742846537.5408387,1,145.88682830470745
1742846538.541069,0,147.63757996200235
1742846538.541069,1,146.25450180673343
1742846539.5413294,0,146.75291271884356
1742846539.5413294,1,146.9307382972223
1742846540.5406783,0,147.18432471073783
1742846540.5406783,1,149.77256061890452
1742846541.5416203,0,145.67641210419836
1742846541.5416203,1,148.94715769947317
1742846542.5408828,0,145.04038882403722
1742846542.5408828,1,143.88381130439615
1742846543.540967,0,147.31895744783182
1742846543.540967,1,147.3718100842259
1742846544.540689,0,147.06848866885346
1742846544.540689,1,143.04742017001837
1742846545.5412686,0,146.88099410345703
1742846545.5412686,1,146.36354792487433
1742846546.5413375,0,146.2193826963659
1742846546.5413375,1,148.2624191035334
1742846547.5412774,0,147.14077926411954
1742846547.5412774,1,147.73837863067592
1742846548.5409899,0,147.16597355775505
1742846548.5409899,1,146.40136276266446
1742846549.5412514,0,145.42862323844088
1742846549.5412514,1,146.11413353666353
1742846550.5406916,0,147.90254912547795
1742846550.5406916,1,146.878422288776
1742846551.5408337,0,148.78484246483615
1742846551.5408337,1,148.15794609713632
1742846552.5414958,0,145.9497658730625
1742846552.5414958,1,145.67416367350765
1742846553.541261,0,145.62971846038695
1742846553.541261,1,146.37079874924726
1742846554.5410347,0,144.69912875016988
1742846554.5410347,1,148.1243007527484
1742846555.541265,0,147.10525961653218
1742846555.541265,1,147.17599275702455
1742846556.5414505,0,143.62863525586954
1742846556.5414505,1,148.26058692864768
1742846557.5412316,0,146.84516742480042
1742846557.5412316,1,147.29707799190155
1742846558.5411077,0,146.02103878882681
1742846558.5411077,1,147.53555977651342
1742846559.5414288,0,147.93923551602086
1742846559.5414288,1,147.6382893844703
1742846560.5416725,0,146.31940598304536
1742846560.5416725,1,145.95085329424367
1742846561.5414798,0,145.00119445442297
1742846561.5414798,1,144.07386419713313
1742846562.541025,0,146.0876797598556
1742846562.541025,1,148.2617518916772
1742846563.5410368,0,149.0181992703285
1742846563.5410368,1,146.26232788488682
1742846564.5409267,0,147.57152559422687
1742846564.5409267,1,145.71143453720126
1742846565.5409153,0,148.94910234227962
1742846565.5409153,1,146.66495468873322
1742846566.5412464,0,148.00932325024237
1742846566.5412464,1,148.29637209971798
1742846567.5415328,0,144.10460057406542
1742846567.5415328,1,146.705480229742
1742846568.5407674,0,148.3849174809645
1742846568.5407674,1,146.83062626715542
1742846569.5410964,0,145.9896441271016
1742846569.5410964,1,148.7528529510661
1742846570.5411236,0,148.44132442275605
1742846570.5411236,1,146.6807452776254
1742846571.5407178,0,148.25317059095747
1742846571.5407178,1,145.53728951153047
1742846572.541161,0,146.8582620386004
1742846572.541161,1,149.44920658041514
