time,scope,value
1742759643.5044298,0,123160.86053466797
1742759643.5044298,1,123161.35186767578
1742759644.5043683,0,123243.58850097656
1742759644.5043683,1,123243.65600585938
1742759645.5044382,0,123326.45892333984
1742759645.5044382,1,123326.7689819336
1742759646.5045445,0,123409.01531982422
1742759646.5045445,1,123409.0814819336
1742759647.5038981,0,123491.74731445312
1742759647.5038981,1,123491.81231689453
1742759648.5038228,0,123574.42370605469
1742759648.5038228,1,123574.49407958984
1742759649.5039642,0,123657.27069091797
1742759649.5039642,1,123657.34265136719
1742759650.5043435,0,123739.92205810547
1742759650.5043435,1,123740.25665283203
1742759651.5043519,0,123822.86474609375
1742759651.5043519,1,123823.27087402344
1742759652.5041275,0,123905.64947509766
1742759652.5041275,1,123905.71746826172
1742759653.5041986,0,123988.39318847656
1742759653.5041986,1,123988.45391845703
1742759654.5043287,0,124071.13385009766
1742759654.5043287,1,124071.46270751953
1742759655.504267,0,124153.92431640625
1742759655.504267,1,124154.08020019531
1742759656.5037715,0,124236.5844116211
1742759656.5037715,1,124236.841796875
1742759657.5037882,0,124319.33459472656
1742759657.5037882,1,124319.64599609375
1742759658.5044024,0,124402.20910644531
1742759658.5044024,1,124402.47003173828
1742759659.5045462,0,124485.0244140625
1742759659.5045462,1,124485.2680053711
1742759660.5043347,0,124567.67614746094
1742759660.5043347,1,124567.83978271484
1742759661.5046098,0,124650.48583984375
1742759661.5046098,1,124650.64721679688
1742759662.5040615,0,124733.2250366211
1742759662.5040615,1,124733.54791259766
1742759663.5044541,0,124816.03564453125
1742759663.5044541,1,124816.28131103516
1742759664.5039396,0,124898.68743896484
1742759664.5039396,1,124898.7953491211
1742759665.5040662,0,124981.2984008789
1742759665.5040662,1,124981.36688232422
1742759666.5040529,0,125064.2055053711
1742759666.5040529,1,125064.44580078125
1742759667.5044484,0,125147.01739501953
1742759667.5044484,1,125147.34631347656
1742759668.5044398,0,125229.84051513672
1742759668.5044398,1,125230.001953125
1742759669.5037012,0,125312.55615234375
1742759669.5037012,1,125312.96118164062
1742759670.504333,0,125395.28942871094
1742759670.504333,1,125395.6860961914
1742759671.5044336,0,125478.10412597656
1742759671.5044336,1,125478.24182128906
1742759672.50418,0,125560.83392333984
1742759672.50418,1,125561.15118408203
1742759673.5044358,0,125643.62567138672
1742759673.5044358,1,125644.02526855469
1742759674.5043488,0,125726.27642822266
1742759674.5043488,1,125726.68682861328
1742759675.5037878,0,125808.99133300781
1742759675.5037878,1,125809.30865478516
1742759676.5045664,0,125891.89978027344
1742759676.5045664,1,125892.22009277344
1742759677.5042417,0,125974.5425415039
1742759677.5042417,1,125974.94927978516
1742759678.5039022,0,126057.16510009766
1742759678.5039022,1,126057.57507324219
1742759679.5041556,0,126140.2329711914
1742759679.5041556,1,126140.36840820312
1742759680.5039554,0,126222.88604736328
1742759680.5039554,1,126223.11730957031
1742759681.504575,0,126305.68353271484
1742759681.504575,1,126306.17987060547
1742759682.5041428,0,126388.51208496094
1742759682.5041428,1,126388.75268554688
1742759683.504054,0,126471.16333007812
1742759683.504054,1,126471.57257080078
1742759684.504509,0,126553.98913574219
1742759684.504509,1,126554.12780761719
1742759685.504286,0,126636.71533203125
1742759685.504286,1,126636.85681152344
