time,actuator,value
1742781194.1260664,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781199.2026982,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781204.2808957,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781209.3580532,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781214.4333456,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781219.5068724,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781224.5842516,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781229.6583028,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781234.735717,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781239.8070703,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781244.8797727,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781249.9413059,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781255.0118976,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781260.0760512,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781265.1448534,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781270.2201407,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781275.2930305,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781280.362724,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781285.4403665,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781290.5218384,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781295.6071615,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781300.6815228,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781305.7595856,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781310.8334603,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781315.910378,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781320.9772286,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781326.0486085,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781331.1225522,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781336.199947,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781341.2713754,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781346.3352585,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781351.405783,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781356.477675,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781361.551498,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781366.6227682,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781371.6971385,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781376.7626305,Actuator(ptr=c_void_p(94064384031168)),101.0
1742781381.8252618,Actuator(ptr=c_void_p(94064384031168)),101.0
