time,scope,value
1742782781.4735875,nrm.extra.perf.PAPI_L3_TCA.197528,2279214598.0
1742782781.4735875,nrm.extra.perf.PAPI_TOT_INS.197528,46296101590.0
1742782781.4735875,nrm.extra.perf.PAPI_TOT_CYC.197528,279823717591.0
1742782781.4735875,nrm.extra.perf.PAPI_RES_STL.197528,232465154367.0
1742782781.4735875,nrm.extra.perf.PAPI_L3_TCM.197528,2119343151.0
1742782782.4758246,nrm.extra.perf.PAPI_L3_TCA.197528,4540981649.0
1742782782.4758246,nrm.extra.perf.PAPI_TOT_INS.197528,91513038541.0
1742782782.4758246,nrm.extra.perf.PAPI_TOT_CYC.197528,532995452550.0
1742782782.4758246,nrm.extra.perf.PAPI_RES_STL.197528,444083642506.0
1742782782.4758246,nrm.extra.perf.PAPI_L3_TCM.197528,4239030483.0
1742782783.4737158,nrm.extra.perf.PAPI_L3_TCA.197528,6844494383.0
1742782783.4737158,nrm.extra.perf.PAPI_TOT_INS.197528,136785895362.0
1742782783.4737158,nrm.extra.perf.PAPI_TOT_CYC.197528,784659128835.0
1742782783.4737158,nrm.extra.perf.PAPI_RES_STL.197528,658234872359.0
1742782783.4737158,nrm.extra.perf.PAPI_L3_TCM.197528,6381939227.0
1742782784.4724565,nrm.extra.perf.PAPI_L3_TCA.197528,9168429955.0
1742782784.4724565,nrm.extra.perf.PAPI_TOT_INS.197528,181974734265.0
1742782784.4724565,nrm.extra.perf.PAPI_TOT_CYC.197528,1035824023279.0
1742782784.4724565,nrm.extra.perf.PAPI_RES_STL.197528,875180053138.0
1742782784.4724565,nrm.extra.perf.PAPI_L3_TCM.197528,8548706615.0
1742782785.4732473,nrm.extra.perf.PAPI_L3_TCA.197528,11489828117.0
1742782785.4732473,nrm.extra.perf.PAPI_TOT_INS.197528,227472734233.0
1742782785.4732473,nrm.extra.perf.PAPI_TOT_CYC.197528,1290794302336.0
1742782785.4732473,nrm.extra.perf.PAPI_RES_STL.197528,1093627534568.0
1742782785.4732473,nrm.extra.perf.PAPI_L3_TCM.197528,10714158639.0
1742782786.4762452,nrm.extra.perf.PAPI_L3_TCA.197528,13814663861.0
1742782786.4762452,nrm.extra.perf.PAPI_TOT_INS.197528,273005080055.0
1742782786.4762452,nrm.extra.perf.PAPI_TOT_CYC.197528,1545866463140.0
1742782786.4762452,nrm.extra.perf.PAPI_RES_STL.197528,1313002826807.0
1742782786.4762452,nrm.extra.perf.PAPI_L3_TCM.197528,12891572631.0
1742782787.4754586,nrm.extra.perf.PAPI_L3_TCA.197528,16163897879.0
1742782787.4754586,nrm.extra.perf.PAPI_TOT_INS.197528,318598972938.0
1742782787.4754586,nrm.extra.perf.PAPI_TOT_CYC.197528,1800287205925.0
1742782787.4754586,nrm.extra.perf.PAPI_RES_STL.197528,1533644359058.0
1742782787.4754586,nrm.extra.perf.PAPI_L3_TCM.197528,15081008599.0
1742782788.4763303,nrm.extra.perf.PAPI_L3_TCA.197528,18496176945.0
1742782788.4763303,nrm.extra.perf.PAPI_TOT_INS.197528,364122548611.0
1742782788.4763303,nrm.extra.perf.PAPI_TOT_CYC.197528,2055059851223.0
1742782788.4763303,nrm.extra.perf.PAPI_RES_STL.197528,1753222681175.0
