time,scope,value
1742775361.5038688,0,179273.19110107422
1742775361.5038688,1,179273.6625366211
1742775362.5043278,0,179441.48541259766
1742775362.5043278,1,179441.8441772461
1742775363.5045607,0,179581.81103515625
1742775363.5045607,1,179582.35180664062
1742775364.5037234,0,179722.38635253906
1742775364.5037234,1,179722.67596435547
1742775365.5040293,0,179862.93383789062
1742775365.5040293,1,179863.3560180664
1742775366.504397,0,180003.59838867188
1742775366.504397,1,180004.15887451172
1742775367.5041034,0,180143.7357788086
1742775367.5041034,1,180144.30432128906
1742775368.5044749,0,180284.69665527344
1742775368.5044749,1,180284.982421875
1742775369.5046651,0,180425.2427368164
1742775369.5046651,1,180425.62908935547
1742775370.5046012,0,180565.74279785156
1742775370.5046012,1,180566.16217041016
1742775371.5040438,0,180706.44830322266
1742775371.5040438,1,180706.87530517578
1742775372.5042179,0,180847.00030517578
1742775372.5042179,1,180847.5531616211
1742775373.5038733,0,180987.6771850586
1742775373.5038733,1,180988.2353515625
1742775374.5040991,0,181128.37280273438
1742775374.5040991,1,181128.52630615234
1742775375.5042362,0,181269.34790039062
1742775375.5042362,1,181269.6512451172
1742775376.5042148,0,181409.5233154297
1742775376.5042148,1,181409.95581054688
1742775377.5041924,0,181549.92059326172
1742775377.5041924,1,181550.6450805664
1742775378.5044298,0,181690.8055419922
1742775378.5044298,1,181690.9468383789
1742775379.5046427,0,181831.34637451172
1742775379.5046427,1,181831.77893066406
1742775380.503902,0,181971.9053955078
1742775380.503902,1,181972.07061767578
1742775381.5038629,0,182112.47827148438
1742775381.5038629,1,182112.63134765625
1742775382.5041723,0,182252.91229248047
1742775382.5041723,1,182253.03881835938
1742775383.503887,0,182393.73602294922
1742775383.503887,1,182394.15454101562
1742775384.5046275,0,182534.17449951172
1742775384.5046275,1,182534.75122070312
1742775385.5042937,0,182674.73010253906
1742775385.5042937,1,182675.30169677734
1742775386.5037255,0,182815.3924560547
1742775386.5037255,1,182815.67889404297
1742775387.5045474,0,182955.9545288086
1742775387.5045474,1,182956.50872802734
1742775388.5046296,0,183096.66412353516
1742775388.5046296,1,183097.36029052734
1742775389.5038595,0,183237.17950439453
1742775389.5038595,1,183237.6361694336
1742775390.5039406,0,183377.94372558594
1742775390.5039406,1,183378.076171875
1742775391.5038502,0,183518.30181884766
1742775391.5038502,1,183518.86352539062
1742775392.5041444,0,183659.01458740234
1742775392.5041444,1,183659.69635009766
1742775393.5044115,0,183799.72540283203
1742775393.5044115,1,183800.15069580078
1742775394.5042622,0,183940.13403320312
1742775394.5042622,1,183940.67443847656
1742775395.5045037,0,184080.82208251953
1742775395.5045037,1,184081.38311767578
1742775396.5040228,0,184221.41107177734
1742775396.5040228,1,184221.82977294922
1742775397.5045223,0,184362.2088623047
1742775397.5045223,1,184362.89990234375
1742775398.503809,0,184502.32489013672
1742775398.503809,1,184502.89642333984
1742775399.5040295,0,184643.01275634766
1742775399.5040295,1,184643.45306396484
1742775400.5042202,0,184783.8662109375
1742775400.5042202,1,184784.57849121094
1742775401.5041351,0,184924.30352783203
1742775401.5041351,1,184924.85565185547
1742775402.5045588,0,185065.14337158203
1742775402.5045588,1,185065.44299316406
1742775403.5044727,0,185205.30108642578
1742775403.5044727,1,185205.43927001953
