time,scope,value
1743459879.2417538,0,70689.45129394531
1743459879.2417538,1,70689.68267822266
1743459880.2417486,0,70777.59558105469
1743459880.2417486,1,70777.67083740234
1743459881.2426324,0,70866.58203125
1743459881.2426324,1,70866.93835449219
1743459882.2417443,0,70955.38854980469
1743459882.2417443,1,70955.5523071289
1743459883.241723,0,71044.16198730469
1743459883.241723,1,71044.32531738281
1743459884.241751,0,71145.1723022461
1743459884.241751,1,71145.29040527344
1743459885.2417321,0,71274.92919921875
1743459885.2417321,1,71275.15161132812
1743459886.241726,0,71404.58618164062
1743459886.241726,1,71404.86242675781
1743459887.241725,0,71534.03723144531
1743459887.241725,1,71534.30157470703
1743459888.2417428,0,71663.74340820312
1743459888.2417428,1,71664.26916503906
1743459889.2417355,0,71785.09161376953
1743459889.2417355,1,71785.62091064453
1743459890.2416792,0,71885.85943603516
1743459890.2416792,1,71886.04797363281
1743459891.2417386,0,71986.61975097656
1743459891.2417386,1,71986.71130371094
1743459892.241739,0,72087.20080566406
1743459892.241739,1,72087.88513183594
1743459893.241734,0,72188.07037353516
1743459893.241734,1,72188.15850830078
1743459894.2417402,0,72299.28601074219
1743459894.2417402,1,72299.84606933594
1743459895.2417026,0,72440.01989746094
1743459895.2417026,1,72440.56530761719
1743459896.241742,0,72580.38018798828
1743459896.241742,1,72581.07427978516
1743459897.2417312,0,72721.18933105469
1743459897.2417312,1,72721.75183105469
1743459898.241649,0,72861.98455810547
1743459898.241649,1,72862.12670898438
1743459899.241738,0,72998.09887695312
1743459899.241738,1,72998.70251464844
1743459900.2417374,0,73121.77307128906
1743459900.2417374,1,73122.27337646484
1743459901.241739,0,73245.39459228516
1743459901.241739,1,73245.91986083984
1743459902.241731,0,73368.97528076172
1743459902.241731,1,73369.49200439453
1743459903.2417288,0,73492.716796875
1743459903.2417288,1,73493.19958496094
1743459904.2418082,0,73608.13391113281
1743459904.2418082,1,73608.27429199219
1743459905.2417336,0,73696.884765625
1743459905.2417336,1,73697.34204101562
1743459906.241735,0,73785.58825683594
1743459906.241735,1,73786.0424194336
1743459907.241677,0,73874.11199951172
1743459907.241677,1,73874.47631835938
1743459908.2417538,0,73963.10717773438
1743459908.2417538,1,73963.47430419922
1743459909.2417028,0,74054.39453125
1743459909.2417028,1,74054.88543701172
1743459910.2416685,0,74155.08544921875
1743459910.2416685,1,74155.47741699219
1743459911.2417316,0,74255.72326660156
1743459911.2417316,1,74255.80926513672
1743459912.2417152,0,74356.58892822266
1743459912.2417152,1,74356.8804321289
1743459913.2417204,0,74457.24603271484
1743459913.2417204,1,74457.63500976562
1743459914.2417278,0,74557.99096679688
1743459914.2417278,1,74558.18469238281
1743459915.241731,0,74658.55432128906
1743459915.241731,1,74658.87829589844
1743459916.2416997,0,74759.33270263672
1743459916.2416997,1,74759.72955322266
1743459917.24172,0,74860.09356689453
1743459917.24172,1,74860.51281738281
1743459918.241746,0,74960.57995605469
1743459918.241746,1,74961.07989501953
1743459919.241718,0,75067.6675415039
1743459919.241718,1,75068.22839355469
1743459920.2417257,0,75203.57348632812
1743459920.2417257,1,75204.06774902344
1743459921.2417305,0,75338.84814453125
1743459921.2417305,1,75339.39349365234
1743459922.241719,0,75474.66076660156
1743459922.241719,1,75475.07531738281
1743459923.2417526,0,75610.21301269531
1743459923.2417526,1,75610.35900878906
1743459924.2417371,0,75739.4116821289
1743459924.2417371,1,75739.7017211914
1743459925.2417142,0,75834.05236816406
1743459925.2417142,1,75834.33752441406
1743459926.2417624,0,75928.6264038086
1743459926.2417624,1,75929.00634765625
1743459927.2417467,0,76023.49365234375
1743459927.2417467,1,76023.87408447266
1743459928.2417645,0,76118.5697631836
1743459928.2417645,1,76118.74578857422
1743459929.241759,0,76212.95025634766
1743459929.241759,1,76213.34381103516
1743459930.241729,0,76307.54077148438
1743459930.241729,1,76307.90173339844
1743459931.2417326,0,76402.33410644531
1743459931.2417326,1,76402.70733642578
1743459932.2417355,0,76497.11828613281
1743459932.2417355,1,76497.21563720703
1743459933.241736,0,76591.68627929688
1743459933.241736,1,76592.15869140625
1743459934.2417061,0,76692.75604248047
1743459934.2417061,1,76692.92364501953
1743459935.2417333,0,76839.34368896484
1743459935.2417333,1,76839.7919921875
1743459936.2417145,0,76985.73834228516
1743459936.2417145,1,76986.33044433594
1743459937.2417243,0,77132.26391601562
1743459937.2417243,1,77132.84454345703
1743459938.2417111,0,77279.23461914062
1743459938.2417111,1,77279.37213134766
1743459939.24174,0,77421.09735107422
1743459939.24174,1,77421.6205444336
1743459940.2417972,0,77521.6538696289
1743459940.2417972,1,77522.05291748047
1743459941.2417521,0,77622.41491699219
1743459941.2417521,1,77622.59423828125
1743459942.2417245,0,77723.05322265625
1743459942.2417245,1,77723.4605102539
1743459943.2417407,0,77823.84033203125
1743459943.2417407,1,77824.24145507812
1743459944.2417362,0,77928.1176147461
1743459944.2417362,1,77928.71630859375
1743459945.2417223,0,78074.91802978516
1743459945.2417223,1,78075.36572265625
1743459946.2417228,0,78221.45050048828
1743459946.2417228,1,78221.60864257812
1743459947.2417223,0,78367.98571777344
1743459947.2417223,1,78368.41583251953
1743459948.2416918,0,78514.45629882812
1743459948.2416918,1,78515.0609741211
1743459949.241713,0,78659.91394042969
1743459949.241713,1,78660.42736816406
1743459950.2421231,0,78789.67303466797
1743459950.2421231,1,78790.06726074219
1743459951.2417026,0,78919.26202392578
1743459951.2417026,1,78919.66119384766
1743459952.241677,0,79048.82818603516
1743459952.241677,1,79049.23461914062
1743459953.2416837,0,79178.39141845703
1743459953.2416837,1,79178.93048095703
1743459954.2417178,0,79306.32684326172
1743459954.2417178,1,79306.67980957031
1743459955.2420044,0,79383.40606689453
1743459955.2420044,1,79383.47131347656
1743459956.2417023,0,79461.46588134766
1743459956.2417023,1,79461.61224365234
1743459957.2417157,0,79539.03381347656
1743459957.2417157,1,79539.32824707031
1743459958.2424715,0,79616.94165039062
1743459958.2424715,1,79617.0810546875
1743459959.241736,0,79694.85461425781
1743459959.241736,1,79695.21380615234
1743459960.2417452,0,79783.6572265625
1743459960.2417452,1,79784.01531982422
1743459961.2417386,0,79872.36260986328
1743459961.2417386,1,79872.71166992188
1743459962.2417629,0,79961.17547607422
1743459962.2417629,1,79961.54083251953
1743459963.2417152,0,80049.72430419922
1743459963.2417152,1,80049.89483642578
1743459964.24166,0,80141.10119628906
1743459964.24166,1,80141.5679321289
1743459965.2415175,0,80297.47863769531
1743459965.2415175,1,80297.82818603516
1743459966.2416828,0,80457.5728149414
1743459966.2416828,1,80458.23913574219
1743459967.2417526,0,80617.48754882812
1743459967.2417526,1,80618.13299560547
