time,scope,value
1738769012.9012203,nrm.extra.perf.PAPI_L3_TCA.118076,312851090.0
1738769012.9012203,nrm.extra.perf.PAPI_TOT_INS.118076,108439809511.0
1738769012.9012203,nrm.extra.perf.PAPI_TOT_CYC.118076,208651183043.0
1738769012.9012203,nrm.extra.perf.PAPI_RES_STL.118076,93076882233.0
1738769012.9012203,nrm.extra.perf.PAPI_L3_TCM.118076,45560588.0
1738769013.9007404,nrm.extra.perf.PAPI_L3_TCA.118076,652650737.0
1738769013.9007404,nrm.extra.perf.PAPI_TOT_INS.118076,222763317668.0
1738769013.9007404,nrm.extra.perf.PAPI_TOT_CYC.118076,406905506582.0
1738769013.9007404,nrm.extra.perf.PAPI_RES_STL.118076,191616305215.0
1738769013.9007404,nrm.extra.perf.PAPI_L3_TCM.118076,89510170.0
1738769014.901256,nrm.extra.perf.PAPI_L3_TCA.118076,999070791.0
1738769014.901256,nrm.extra.perf.PAPI_TOT_INS.118076,339412993060.0
1738769014.901256,nrm.extra.perf.PAPI_TOT_CYC.118076,607115279698.0
1738769014.901256,nrm.extra.perf.PAPI_RES_STL.118076,290711935367.0
1738769014.901256,nrm.extra.perf.PAPI_L3_TCM.118076,133159547.0
1738769015.9007895,nrm.extra.perf.PAPI_L3_TCA.118076,1347991942.0
1738769015.9007895,nrm.extra.perf.PAPI_TOT_INS.118076,456425844807.0
1738769015.9007895,nrm.extra.perf.PAPI_TOT_CYC.118076,806159391099.0
1738769015.9007895,nrm.extra.perf.PAPI_RES_STL.118076,389694378012.0
1738769015.9007895,nrm.extra.perf.PAPI_L3_TCM.118076,177214716.0
1738769016.9013193,nrm.extra.perf.PAPI_L3_TCA.118076,1642255943.0
1738769016.9013193,nrm.extra.perf.PAPI_TOT_INS.118076,557467741113.0
1738769016.9013193,nrm.extra.perf.PAPI_TOT_CYC.118076,991639371898.0
1738769016.9013193,nrm.extra.perf.PAPI_RES_STL.118076,472918548165.0
1738769016.9013193,nrm.extra.perf.PAPI_L3_TCM.118076,216272541.0
1738769017.9008596,nrm.extra.perf.PAPI_L3_TCA.118076,1991950824.0
1738769017.9008596,nrm.extra.perf.PAPI_TOT_INS.118076,674818739122.0
1738769017.9008596,nrm.extra.perf.PAPI_TOT_CYC.118076,1191404568417.0
1738769017.9008596,nrm.extra.perf.PAPI_RES_STL.118076,571976690020.0
1738769017.9008596,nrm.extra.perf.PAPI_L3_TCM.118076,259741059.0
1738769018.901402,nrm.extra.perf.PAPI_L3_TCA.118076,2340662572.0
1738769018.901402,nrm.extra.perf.PAPI_TOT_INS.118076,791911022396.0
1738769018.901402,nrm.extra.perf.PAPI_TOT_CYC.118076,1391237350742.0
1738769018.901402,nrm.extra.perf.PAPI_RES_STL.118076,670865079994.0
1738769018.901402,nrm.extra.perf.PAPI_L3_TCM.118076,303191411.0
1738769019.9008827,nrm.extra.perf.PAPI_L3_TCA.118076,2647212958.0
1738769019.9008827,nrm.extra.perf.PAPI_TOT_INS.118076,897494640542.0
1738769019.9008827,nrm.extra.perf.PAPI_TOT_CYC.118076,1584718447894.0
1738769019.9008827,nrm.extra.perf.PAPI_RES_STL.118076,757907380006.0
1738769019.9008827,nrm.extra.perf.PAPI_L3_TCM.118076,342229936.0
1738769020.901429,nrm.extra.perf.PAPI_L3_TCA.118076,2908992122.0
1738769020.901429,nrm.extra.perf.PAPI_TOT_INS.118076,989397009652.0
1738769020.901429,nrm.extra.perf.PAPI_TOT_CYC.118076,1761429130720.0
1738769020.901429,nrm.extra.perf.PAPI_RES_STL.118076,832639366747.0
1738769020.901429,nrm.extra.perf.PAPI_L3_TCM.118076,378794205.0
1738769021.9004073,nrm.extra.perf.PAPI_L3_TCA.118076,3240672796.0
1738769021.9004073,nrm.extra.perf.PAPI_TOT_INS.118076,1101788323945.0
1738769021.9004073,nrm.extra.perf.PAPI_TOT_CYC.118076,1955966862314.0
1738769021.9004073,nrm.extra.perf.PAPI_RES_STL.118076,926600062005.0
1738769021.9004073,nrm.extra.perf.PAPI_L3_TCM.118076,419533528.0
1738769022.9008203,nrm.extra.perf.PAPI_L3_TCA.118076,3579977132.0
1738769022.9008203,nrm.extra.perf.PAPI_TOT_INS.118076,1216529657504.0
1738769022.9008203,nrm.extra.perf.PAPI_TOT_CYC.118076,2156863783453.0
1738769022.9008203,nrm.extra.perf.PAPI_RES_STL.118076,1022820241057.0
1738769022.9008203,nrm.extra.perf.PAPI_L3_TCM.118076,462188825.0
1738769023.9013455,nrm.extra.perf.PAPI_L3_TCA.118076,3847225936.0
1738769023.9013455,nrm.extra.perf.PAPI_TOT_INS.118076,1309835250892.0
1738769023.9013455,nrm.extra.perf.PAPI_TOT_CYC.118076,2334945366658.0
1738769023.9013455,nrm.extra.perf.PAPI_RES_STL.118076,1099048038180.0
1738769023.9013455,nrm.extra.perf.PAPI_L3_TCM.118076,497984170.0
1738769024.900882,nrm.extra.perf.PAPI_L3_TCA.118076,4152713497.0
1738769024.900882,nrm.extra.perf.PAPI_TOT_INS.118076,1414120523002.0
1738769024.900882,nrm.extra.perf.PAPI_TOT_CYC.118076,2522218133101.0
1738769024.900882,nrm.extra.perf.PAPI_RES_STL.118076,1185679609653.0
1738769024.900882,nrm.extra.perf.PAPI_L3_TCM.118076,537887494.0
1738769025.9014273,nrm.extra.perf.PAPI_L3_TCA.118076,4456343035.0
1738769025.9014273,nrm.extra.perf.PAPI_TOT_INS.118076,1518500130202.0
1738769025.9014273,nrm.extra.perf.PAPI_TOT_CYC.118076,2712829669194.0
1738769025.9014273,nrm.extra.perf.PAPI_RES_STL.118076,1271898533764.0
1738769025.9014273,nrm.extra.perf.PAPI_L3_TCM.118076,575765843.0
1738769026.9009554,nrm.extra.perf.PAPI_L3_TCA.118076,4785911731.0
1738769026.9009554,nrm.extra.perf.PAPI_TOT_INS.118076,1629954180991.0
1738769026.9009554,nrm.extra.perf.PAPI_TOT_CYC.118076,2909149316904.0
1738769026.9009554,nrm.extra.perf.PAPI_RES_STL.118076,1365248838439.0
1738769026.9009554,nrm.extra.perf.PAPI_L3_TCM.118076,617724395.0
1738769027.9010243,nrm.extra.perf.PAPI_L3_TCA.118076,5083478449.0
1738769027.9010243,nrm.extra.perf.PAPI_TOT_INS.118076,1732635572926.0
1738769027.9010243,nrm.extra.perf.PAPI_TOT_CYC.118076,3097379922842.0
1738769027.9010243,nrm.extra.perf.PAPI_RES_STL.118076,1449737407998.0
1738769027.9010243,nrm.extra.perf.PAPI_L3_TCM.118076,653770286.0
1738769028.9015062,nrm.extra.perf.PAPI_L3_TCA.118076,5365832863.0
1738769028.9015062,nrm.extra.perf.PAPI_TOT_INS.118076,1830682850277.0
1738769028.9015062,nrm.extra.perf.PAPI_TOT_CYC.118076,3281373728453.0
1738769028.9015062,nrm.extra.perf.PAPI_RES_STL.118076,1530627748296.0
1738769028.9015062,nrm.extra.perf.PAPI_L3_TCM.118076,689963427.0
1738769029.9010334,nrm.extra.perf.PAPI_L3_TCA.118076,5715539302.0
1738769029.9010334,nrm.extra.perf.PAPI_TOT_INS.118076,1948044780081.0
1738769029.9010334,nrm.extra.perf.PAPI_TOT_CYC.118076,3480921955260.0
1738769029.9010334,nrm.extra.perf.PAPI_RES_STL.118076,1629902228751.0
1738769029.9010334,nrm.extra.perf.PAPI_L3_TCM.118076,733282311.0
1738769030.9015334,nrm.extra.perf.PAPI_L3_TCA.118076,6066461306.0
1738769030.9015334,nrm.extra.perf.PAPI_TOT_INS.118076,2065807256988.0
1738769030.9015334,nrm.extra.perf.PAPI_TOT_CYC.118076,3681119902337.0
1738769030.9015334,nrm.extra.perf.PAPI_RES_STL.118076,1729349955117.0
1738769030.9015334,nrm.extra.perf.PAPI_L3_TCM.118076,776640235.0
1738769031.9008284,nrm.extra.perf.PAPI_L3_TCA.118076,6412975033.0
1738769031.9008284,nrm.extra.perf.PAPI_TOT_INS.118076,2182444086970.0
1738769031.9008284,nrm.extra.perf.PAPI_TOT_CYC.118076,3880989873070.0
1738769031.9008284,nrm.extra.perf.PAPI_RES_STL.118076,1827468762326.0
