time,scope,value
1746075314.9264998,nrm.extra.perf.PAPI_L3_TCA.169887,440281435.0
1746075314.9264998,nrm.extra.perf.PAPI_TOT_INS.169887,148204986824.0
1746075314.9264998,nrm.extra.perf.PAPI_TOT_CYC.169887,261442442245.0
1746075314.9264998,nrm.extra.perf.PAPI_RES_STL.169887,130863426971.0
1746075314.9264998,nrm.extra.perf.PAPI_L3_TCM.169887,56703701.0
1746075315.9267428,nrm.extra.perf.PAPI_L3_TCA.169887,920184409.0
1746075315.9267428,nrm.extra.perf.PAPI_TOT_INS.169887,308749444482.0
1746075315.9267428,nrm.extra.perf.PAPI_TOT_CYC.169887,535997068677.0
1746075315.9267428,nrm.extra.perf.PAPI_RES_STL.169887,270219409004.0
1746075315.9267428,nrm.extra.perf.PAPI_L3_TCM.169887,116367359.0
1746075316.9270039,nrm.extra.perf.PAPI_L3_TCA.169887,1391512300.0
1746075316.9270039,nrm.extra.perf.PAPI_TOT_INS.169887,466686352229.0
1746075316.9270039,nrm.extra.perf.PAPI_TOT_CYC.169887,804737689256.0
1746075316.9270039,nrm.extra.perf.PAPI_RES_STL.169887,404967015696.0
1746075316.9270039,nrm.extra.perf.PAPI_L3_TCM.169887,174817700.0
1746075317.9273326,nrm.extra.perf.PAPI_L3_TCA.169887,1866745816.0
1746075317.9273326,nrm.extra.perf.PAPI_TOT_INS.169887,625718291588.0
1746075317.9273326,nrm.extra.perf.PAPI_TOT_CYC.169887,1073516630707.0
1746075317.9273326,nrm.extra.perf.PAPI_RES_STL.169887,540461367788.0
1746075317.9273326,nrm.extra.perf.PAPI_L3_TCM.169887,234508782.0
1746075318.92661,nrm.extra.perf.PAPI_L3_TCA.169887,2341649416.0
1746075318.92661,nrm.extra.perf.PAPI_TOT_INS.169887,784811291877.0
1746075318.92661,nrm.extra.perf.PAPI_TOT_CYC.169887,1342354923911.0
1746075318.92661,nrm.extra.perf.PAPI_RES_STL.169887,675485946442.0
1746075318.92661,nrm.extra.perf.PAPI_L3_TCM.169887,293856771.0
1746075319.9268994,nrm.extra.perf.PAPI_L3_TCA.169887,2808173676.0
1746075319.9268994,nrm.extra.perf.PAPI_TOT_INS.169887,941537277786.0
1746075319.9268994,nrm.extra.perf.PAPI_TOT_CYC.169887,1611034333250.0
1746075319.9268994,nrm.extra.perf.PAPI_RES_STL.169887,808315439991.0
1746075319.9268994,nrm.extra.perf.PAPI_L3_TCM.169887,352840849.0
1746075320.9277093,nrm.extra.perf.PAPI_L3_TCA.169887,3275431387.0
1746075320.9277093,nrm.extra.perf.PAPI_TOT_INS.169887,1098611548547.0
1746075320.9277093,nrm.extra.perf.PAPI_TOT_CYC.169887,1880077748703.0
1746075320.9277093,nrm.extra.perf.PAPI_RES_STL.169887,941064658379.0
1746075320.9277093,nrm.extra.perf.PAPI_L3_TCM.169887,409779946.0
1746075321.9269028,nrm.extra.perf.PAPI_L3_TCA.169887,3739017615.0
1746075321.9269028,nrm.extra.perf.PAPI_TOT_INS.169887,1254387324720.0
1746075321.9269028,nrm.extra.perf.PAPI_TOT_CYC.169887,2145300587527.0
1746075321.9269028,nrm.extra.perf.PAPI_RES_STL.169887,1073431713363.0
1746075321.9269028,nrm.extra.perf.PAPI_L3_TCM.169887,468383733.0
1746075322.927172,nrm.extra.perf.PAPI_L3_TCA.169887,4209896009.0
1746075322.927172,nrm.extra.perf.PAPI_TOT_INS.169887,1412368060231.0
1746075322.927172,nrm.extra.perf.PAPI_TOT_CYC.169887,2414076462880.0
1746075322.927172,nrm.extra.perf.PAPI_RES_STL.169887,1207568763723.0
1746075322.927172,nrm.extra.perf.PAPI_L3_TCM.169887,527893736.0
1746075323.9264398,nrm.extra.perf.PAPI_L3_TCA.169887,4682016959.0
1746075323.9264398,nrm.extra.perf.PAPI_TOT_INS.169887,1570631742174.0
1746075323.9264398,nrm.extra.perf.PAPI_TOT_CYC.169887,2682019354389.0
1746075323.9264398,nrm.extra.perf.PAPI_RES_STL.169887,1341807661011.0
1746075323.9264398,nrm.extra.perf.PAPI_L3_TCM.169887,587240499.0
1746075324.926683,nrm.extra.perf.PAPI_L3_TCA.169887,5155190324.0
1746075324.926683,nrm.extra.perf.PAPI_TOT_INS.169887,1729101194240.0
1746075324.926683,nrm.extra.perf.PAPI_TOT_CYC.169887,2950902534929.0
1746075324.926683,nrm.extra.perf.PAPI_RES_STL.169887,1476616384959.0
1746075324.926683,nrm.extra.perf.PAPI_L3_TCM.169887,646655501.0
1746075325.9268892,nrm.extra.perf.PAPI_L3_TCA.169887,5630799360.0
1746075325.9268892,nrm.extra.perf.PAPI_TOT_INS.169887,1888415773389.0
1746075325.9268892,nrm.extra.perf.PAPI_TOT_CYC.169887,3219648641322.0
1746075325.9268892,nrm.extra.perf.PAPI_RES_STL.169887,1611921993761.0
1746075325.9268892,nrm.extra.perf.PAPI_L3_TCM.169887,706304917.0
1746075326.9271042,nrm.extra.perf.PAPI_L3_TCA.169887,6105863337.0
1746075326.9271042,nrm.extra.perf.PAPI_TOT_INS.169887,2047351470834.0
1746075326.9271042,nrm.extra.perf.PAPI_TOT_CYC.169887,3488269528147.0
1746075326.9271042,nrm.extra.perf.PAPI_RES_STL.169887,1747051252464.0
1746075326.9271042,nrm.extra.perf.PAPI_L3_TCM.169887,765365461.0
1746075327.9260626,nrm.extra.perf.PAPI_L3_TCA.169887,6581353596.0
1746075327.9260626,nrm.extra.perf.PAPI_TOT_INS.169887,2206869950509.0
1746075327.9260626,nrm.extra.perf.PAPI_TOT_CYC.169887,3756836102441.0
1746075327.9260626,nrm.extra.perf.PAPI_RES_STL.169887,1882081183399.0
1746075327.9260626,nrm.extra.perf.PAPI_L3_TCM.169887,823957160.0
1746075328.9262512,nrm.extra.perf.PAPI_L3_TCA.169887,7057897083.0
1746075328.9262512,nrm.extra.perf.PAPI_TOT_INS.169887,2366161912620.0
1746075328.9262512,nrm.extra.perf.PAPI_TOT_CYC.169887,4025765960665.0
1746075328.9262512,nrm.extra.perf.PAPI_RES_STL.169887,2017693376637.0
1746075328.9262512,nrm.extra.perf.PAPI_L3_TCM.169887,883562489.0
1746075329.9264987,nrm.extra.perf.PAPI_L3_TCA.169887,7534028217.0
1746075329.9264987,nrm.extra.perf.PAPI_TOT_INS.169887,2525540080472.0
1746075329.9264987,nrm.extra.perf.PAPI_TOT_CYC.169887,4294581891062.0
1746075329.9264987,nrm.extra.perf.PAPI_RES_STL.169887,2153091975048.0
1746075329.9264987,nrm.extra.perf.PAPI_L3_TCM.169887,943287415.0
1746075330.9267383,nrm.extra.perf.PAPI_L3_TCA.169887,8009687477.0
1746075330.9267383,nrm.extra.perf.PAPI_TOT_INS.169887,2684712683855.0
1746075330.9267383,nrm.extra.perf.PAPI_TOT_CYC.169887,4563388152969.0
1746075330.9267383,nrm.extra.perf.PAPI_RES_STL.169887,2288539593577.0
1746075330.9267383,nrm.extra.perf.PAPI_L3_TCM.169887,1002862170.0
1746075331.9268851,nrm.extra.perf.PAPI_L3_TCA.169887,8427484786.0
1746075331.9268851,nrm.extra.perf.PAPI_TOT_INS.169887,2827010640428.0
1746075331.9268851,nrm.extra.perf.PAPI_TOT_CYC.169887,4817063385559.0
1746075331.9268851,nrm.extra.perf.PAPI_RES_STL.169887,2408159018341.0
1746075331.9268851,nrm.extra.perf.PAPI_L3_TCM.169887,1055819963.0
1746075332.9270384,nrm.extra.perf.PAPI_L3_TCA.169887,8901583771.0
1746075332.9270384,nrm.extra.perf.PAPI_TOT_INS.169887,2985712161381.0
1746075332.9270384,nrm.extra.perf.PAPI_TOT_CYC.169887,5085262174633.0
1746075332.9270384,nrm.extra.perf.PAPI_RES_STL.169887,2543044802874.0
1746075332.9270384,nrm.extra.perf.PAPI_L3_TCM.169887,1114955218.0
1746075333.9272802,nrm.extra.perf.PAPI_L3_TCA.169887,9373438146.0
1746075333.9272802,nrm.extra.perf.PAPI_TOT_INS.169887,3144064916816.0
1746075333.9272802,nrm.extra.perf.PAPI_TOT_CYC.169887,5354267812043.0
1746075333.9272802,nrm.extra.perf.PAPI_RES_STL.169887,2677137264083.0
1746075333.9272802,nrm.extra.perf.PAPI_L3_TCM.169887,1173091631.0
1746075334.9265165,nrm.extra.perf.PAPI_L3_TCA.169887,9846966507.0
1746075334.9265165,nrm.extra.perf.PAPI_TOT_INS.169887,3302685778812.0
1746075334.9265165,nrm.extra.perf.PAPI_TOT_CYC.169887,5622515548330.0
1746075334.9265165,nrm.extra.perf.PAPI_RES_STL.169887,2811864538234.0
1746075334.9265165,nrm.extra.perf.PAPI_L3_TCM.169887,1232645644.0
1746075335.9267957,nrm.extra.perf.PAPI_L3_TCA.169887,10323797287.0
1746075335.9267957,nrm.extra.perf.PAPI_TOT_INS.169887,3462150737648.0
1746075335.9267957,nrm.extra.perf.PAPI_TOT_CYC.169887,5891359321931.0
1746075335.9267957,nrm.extra.perf.PAPI_RES_STL.169887,2947434140342.0
1746075335.9267957,nrm.extra.perf.PAPI_L3_TCM.169887,1292325424.0
1746075336.9269595,nrm.extra.perf.PAPI_L3_TCA.169887,10709568683.0
1746075336.9269595,nrm.extra.perf.PAPI_TOT_INS.169887,3594939117739.0
1746075336.9269595,nrm.extra.perf.PAPI_TOT_CYC.169887,6135778435492.0
1746075336.9269595,nrm.extra.perf.PAPI_RES_STL.169887,3058174378967.0
1746075336.9269595,nrm.extra.perf.PAPI_L3_TCM.169887,1341150826.0
1746075337.9273305,nrm.extra.perf.PAPI_L3_TCA.169887,11184894344.0
1746075337.9273305,nrm.extra.perf.PAPI_TOT_INS.169887,3754122715684.0
1746075337.9273305,nrm.extra.perf.PAPI_TOT_CYC.169887,6404601490539.0
1746075337.9273305,nrm.extra.perf.PAPI_RES_STL.169887,3193151344284.0
1746075337.9273305,nrm.extra.perf.PAPI_L3_TCM.169887,1398971492.0
1746075338.926155,nrm.extra.perf.PAPI_L3_TCA.169887,11557402891.0
1746075338.926155,nrm.extra.perf.PAPI_TOT_INS.169887,3883727644275.0
1746075338.926155,nrm.extra.perf.PAPI_TOT_CYC.169887,6645784346959.0
1746075338.926155,nrm.extra.perf.PAPI_RES_STL.169887,3300141150935.0
