time,value
1746074462.5589738,3.0
1746074462.5698912,3.0
1746074462.580554,3.0
1746074462.5911736,3.0
1746074462.6017494,3.0
1746074462.6123946,3.0
1746074462.6229804,3.0
1746074462.6335495,3.0
1746074462.6441736,3.0
1746074462.6547081,3.0
1746074462.6652887,3.0
1746074462.675866,3.0
1746074462.686393,3.0
1746074462.6969407,3.0
1746074462.707521,3.0
1746074462.7180457,3.0
1746074462.7285967,3.0
1746074462.7391183,3.0
1746074462.7503211,3.0
1746074462.7608562,3.0
1746074462.771433,3.0
1746074462.7819433,3.0
1746074462.7924695,3.0
1746074462.8030028,3.0
1746074462.8136668,3.0
1746074462.824188,3.0
1746074462.834725,3.0
1746074462.8452551,3.0
1746074462.8557746,3.0
1746074462.8662858,3.0
1746074462.8771598,3.0
1746074462.8876765,3.0
1746074462.898183,3.0
1746074462.908701,3.0
1746074462.9193475,3.0
1746074462.9306262,2.0
1746074462.9429374,1.0
1746074462.9552355,1.0
1746074462.967465,1.0
1746074462.9808998,1.0
1746074462.9909978,2.0
1746074463.002107,2.0
1746074463.0148942,3.0
1746074463.0258553,3.0
1746074463.0369062,3.0
1746074463.0479429,3.0
1746074463.0598435,3.0
1746074463.070904,3.0
1746074463.0819018,3.0
1746074463.092889,3.0
1746074463.103926,3.0
1746074463.1149113,3.0
1746074463.1258688,3.0
1746074463.1370785,3.0
1746074463.1478336,3.0
1746074463.158465,3.0
1746074463.1691766,3.0
1746074463.1798065,3.0
1746074463.1904316,3.0
1746074463.2010803,3.0
1746074463.2113416,2.0
1746074463.2225015,3.0
1746074463.2338233,3.0
1746074463.2451532,3.0
1746074463.2566178,3.0
1746074463.2683535,3.0
1746074463.2798228,3.0
1746074463.2913642,3.0
1746074463.302854,3.0
1746074463.3143516,3.0
1746074463.3258297,3.0
1746074463.3372505,3.0
1746074463.3486803,3.0
1746074463.360141,3.0
1746074463.3716483,3.0
1746074463.3830786,3.0
1746074463.3945043,3.0
1746074463.4059393,3.0
1746074463.4174514,3.0
1746074463.4288619,3.0
1746074463.440282,3.0
1746074463.4517026,3.0
1746074463.4631057,3.0
1746074463.4745507,3.0
1746074463.4859743,3.0
1746074463.497473,3.0
1746074463.5088625,3.0
1746074463.5220096,3.0
1746074463.536744,2.0
1746074463.5496762,1.0
1746074463.5609004,3.0
1746074463.5722547,3.0
1746074463.5835404,3.0
1746074463.5947986,3.0
1746074463.6061342,3.0
1746074463.6175547,3.0
1746074463.628862,3.0
1746074463.6402,3.0
1746074463.6515665,3.0
1746074463.6628735,3.0
1746074463.6742165,3.0
1746074463.6857271,3.0
1746074463.697039,3.0
1746074463.708389,3.0
1746074463.7197495,3.0
1746074463.7311888,3.0
1746074463.7425263,3.0
1746074463.7538652,3.0
1746074463.765222,3.0
1746074463.7765737,3.0
1746074463.7879272,3.0
1746074463.7992637,3.0
1746074463.8105695,3.0
1746074463.8219025,3.0
1746074463.8332384,3.0
1746074463.8445675,3.0
1746074463.8559184,3.0
1746074463.8673177,3.0
1746074463.8786125,3.0
1746074463.8899481,3.0
1746074463.9012976,3.0
1746074463.9126441,3.0
1746074463.9239833,3.0
1746074463.9353502,3.0
1746074463.9466841,3.0
1746074463.958195,3.0
1746074463.969592,3.0
1746074463.9809294,2.0
1746074463.9922419,3.0
1746074464.0035799,3.0
1746074464.0168877,3.0
1746074464.0299668,3.0
1746074464.0414073,3.0
1746074464.0530324,3.0
1746074464.064779,3.0
1746074464.0763757,3.0
1746074464.0879412,3.0
1746074464.0994987,3.0
1746074464.1110463,3.0
1746074464.122629,3.0
1746074464.1341784,3.0
1746074464.1458125,3.0
1746074464.1573625,3.0
1746074464.1689427,3.0
1746074464.1804955,3.0
1746074464.1921277,3.0
1746074464.2036703,3.0
1746074464.2153144,3.0
1746074464.2268803,3.0
1746074464.2384386,3.0
1746074464.2500145,3.0
1746074464.261568,3.0
1746074464.2731757,3.0
1746074464.2847219,3.0
1746074464.2962534,3.0
1746074464.3078558,3.0
1746074464.319415,3.0
1746074464.3309681,3.0
1746074464.342517,3.0
1746074464.354094,3.0
1746074464.3657906,3.0
1746074464.3773503,3.0
1746074464.3889346,3.0
1746074464.4004745,3.0
1746074464.412133,3.0
1746074464.4236937,3.0
1746074464.435255,3.0
1746074464.4467852,3.0
1746074464.4583337,3.0
1746074464.469881,3.0
1746074464.4814668,3.0
1746074464.493164,3.0
1746074464.504768,3.0
1746074464.5178761,3.0
1746074464.5368729,3.0
1746074464.5521102,1.0
1746074464.5635018,3.0
1746074464.575109,3.0
1746074464.5866168,3.0
1746074464.5981405,3.0
1746074464.6096625,3.0
1746074464.6213255,3.0
1746074464.6328325,3.0
1746074464.6443732,3.0
1746074464.656011,3.0
1746074464.6675532,3.0
1746074464.6790805,3.0
1746074464.6906378,3.0
1746074464.7021787,3.0
1746074464.7137353,3.0
1746074464.725303,3.0
1746074464.7368884,3.0
1746074464.7484276,3.0
1746074464.7606966,3.0
1746074464.7722754,3.0
1746074464.7837849,3.0
1746074464.7954495,3.0
1746074464.8069606,3.0
1746074464.8186061,3.0
1746074464.8302157,3.0
1746074464.8417473,3.0
1746074464.8533134,3.0
1746074464.8648467,3.0
1746074464.8766274,3.0
1746074464.8881679,3.0
1746074464.8996718,3.0
1746074464.911198,3.0
1746074464.922739,3.0
1746074464.9342613,3.0
1746074464.9457946,3.0
1746074464.9576287,3.0
1746074464.9691918,3.0
1746074464.9808183,2.0
1746074464.992283,3.0
1746074465.003806,3.0
1746074465.016276,3.0
1746074465.0276566,3.0
1746074465.0391767,3.0
1746074465.0511372,3.0
1746074465.0632288,3.0
1746074465.0747697,3.0
1746074465.0863378,3.0
1746074465.0976017,3.0
1746074465.108869,3.0
1746074465.1201894,3.0
1746074465.1313982,3.0
1746074465.142628,3.0
1746074465.153995,3.0
1746074465.1653461,3.0
1746074465.1766095,3.0
1746074465.1878607,3.0
1746074465.1990294,3.0
1746074465.210265,3.0
1746074465.221602,3.0
1746074465.232844,3.0
1746074465.2440634,3.0
1746074465.255344,3.0
1746074465.26653,3.0
1746074465.2778254,3.0
1746074465.2890217,3.0
1746074465.3002288,3.0
1746074465.3114314,3.0
1746074465.322668,3.0
1746074465.3338876,3.0
1746074465.3450842,3.0
1746074465.3563147,3.0
1746074465.3675785,3.0
1746074465.3788505,3.0
1746074465.3900461,3.0
1746074465.4012535,3.0
1746074465.412501,3.0
1746074465.423737,3.0
1746074465.4349732,3.0
1746074465.446172,3.0
1746074465.4574313,3.0
1746074465.4686282,3.0
1746074465.4799228,3.0
1746074465.4911299,3.0
1746074465.5024881,3.0
1746074465.5153313,3.0
1746074465.5265343,3.0
1746074465.5365405,2.0
1746074465.5477648,3.0
1746074465.5589414,3.0
1746074465.5701387,3.0
1746074465.5813844,3.0
1746074465.5925915,3.0
1746074465.6039565,3.0
1746074465.6153028,3.0
1746074465.626535,3.0
1746074465.637754,3.0
1746074465.6489432,3.0
1746074465.6601548,3.0
1746074465.6713507,3.0
1746074465.6825693,3.0
1746074465.6937842,3.0
1746074465.7050247,3.0
1746074465.7162616,3.0
1746074465.7274609,3.0
1746074465.7386353,3.0
1746074465.7498848,3.0
1746074465.7610905,3.0
1746074465.772304,3.0
1746074465.7835262,3.0
1746074465.7947323,3.0
1746074465.8059485,3.0
1746074465.8172975,3.0
1746074465.828481,3.0
1746074465.839712,3.0
1746074465.8509052,3.0
1746074465.862172,3.0
1746074465.8733807,3.0
1746074465.884621,3.0
1746074465.8958697,3.0
1746074465.9070594,3.0
1746074465.9182825,3.0
1746074465.929504,3.0
1746074465.9407175,3.0
1746074465.9519954,3.0
1746074465.9632974,3.0
1746074465.9749663,3.0
1746074465.9881341,3.0
1746074465.9993122,3.0
1746074466.0105035,3.0
1746074466.0222523,3.0
1746074466.0340343,3.0
1746074466.0452974,3.0
1746074466.056576,3.0
1746074466.0683737,3.0
1746074466.0796704,3.0
1746074466.0909314,3.0
1746074466.102217,3.0
1746074466.1136289,3.0
1746074466.1249392,3.0
1746074466.136214,3.0
1746074466.1474295,3.0
1746074466.1587322,3.0
1746074466.170035,3.0
1746074466.1813545,3.0
1746074466.1926172,3.0
1746074466.2038515,3.0
1746074466.2152212,3.0
1746074466.226467,3.0
1746074466.237734,3.0
1746074466.2490146,3.0
1746074466.2602978,3.0
1746074466.2715394,3.0
1746074466.2827718,3.0
1746074466.2940006,3.0
1746074466.3052797,3.0
1746074466.3165088,3.0
1746074466.3277905,3.0
1746074466.3390226,3.0
1746074466.3502836,3.0
1746074466.3615355,3.0
1746074466.372766,3.0
1746074466.3840113,3.0
1746074466.39528,3.0
1746074466.4064898,3.0
1746074466.4178674,3.0
1746074466.429165,3.0
1746074466.4404345,3.0
1746074466.4516814,3.0
1746074466.4629238,3.0
1746074466.4741917,3.0
1746074466.4855464,3.0
1746074466.4970722,3.0
1746074466.5083587,3.0
1746074466.521003,3.0
1746074466.5327716,3.0
1746074466.5440464,3.0
1746074466.5553946,3.0
1746074466.566628,3.0
1746074466.577914,3.0
1746074466.5891411,3.0
1746074466.6004026,3.0
1746074466.611612,3.0
1746074466.6228623,3.0
1746074466.6340897,3.0
1746074466.6453094,3.0
1746074466.6565826,3.0
1746074466.6677794,3.0
1746074466.6789699,3.0
1746074466.6901834,3.0
1746074466.7013984,3.0
1746074466.7126548,3.0
1746074466.7238839,3.0
1746074466.7350886,3.0
1746074466.74629,3.0
1746074466.75751,3.0
1746074466.768718,3.0
1746074466.780688,3.0
1746074466.7918918,3.0
1746074466.8030524,3.0
1746074466.8142872,3.0
1746074466.825546,3.0
1746074466.8368,3.0
1746074466.8480437,3.0
1746074466.859269,3.0
1746074466.8704855,3.0
1746074466.8821084,3.0
1746074466.8933225,3.0
1746074466.904568,3.0
1746074466.915795,3.0
1746074466.9270034,3.0
1746074466.9381886,3.0
1746074466.9494288,3.0
1746074466.9607959,3.0
1746074466.9759254,3.0
1746074466.987081,3.0
1746074466.998253,3.0
1746074467.0094998,3.0
1746074467.022473,3.0
1746074467.0336635,3.0
1746074467.0448952,3.0
1746074467.0569727,3.0
1746074467.06818,3.0
1746074467.0793772,3.0
1746074467.0905914,3.0
1746074467.1018097,3.0
1746074467.1130488,3.0
1746074467.1242778,3.0
1746074467.1354883,3.0
1746074467.1466959,3.0
1746074467.1579878,3.0
1746074467.1691856,3.0
1746074467.1804917,3.0
1746074467.1917033,3.0
1746074467.202902,3.0
1746074467.2141469,3.0
1746074467.225425,3.0
1746074467.236694,3.0
1746074467.247946,3.0
1746074467.2591312,3.0
1746074467.270358,3.0
1746074467.281591,3.0
1746074467.2928255,3.0
1746074467.3040185,3.0
1746074467.3152568,3.0
1746074467.3264906,3.0
1746074467.3376744,3.0
1746074467.3488898,3.0
1746074467.3601305,3.0
1746074467.3713546,3.0
1746074467.3826153,3.0
1746074467.393859,3.0
1746074467.40506,3.0
1746074467.41632,3.0
1746074467.4275799,3.0
1746074467.438781,3.0
1746074467.449986,3.0
1746074467.4612226,3.0
1746074467.4724345,3.0
1746074467.4836757,3.0
1746074467.4950724,3.0
1746074467.506238,3.0
1746074467.5190864,3.0
1746074467.5305183,3.0
1746074467.5417604,3.0
1746074467.5529459,3.0
1746074467.5641813,3.0
1746074467.5753682,3.0
1746074467.5866137,3.0
1746074467.5978148,3.0
1746074467.6090155,3.0
1746074467.6203396,3.0
1746074467.631534,3.0
1746074467.642723,3.0
1746074467.6539292,3.0
1746074467.6652198,3.0
1746074467.6764524,3.0
1746074467.6876874,3.0
1746074467.6989062,3.0
1746074467.7101595,3.0
1746074467.7214074,3.0
1746074467.7327118,3.0
1746074467.74393,3.0
1746074467.755402,3.0
1746074467.7666128,3.0
1746074467.7778175,3.0
1746074467.7890298,3.0
1746074467.8002505,3.0
1746074467.811486,3.0
1746074467.8227546,3.0
1746074467.8340232,3.0
1746074467.8452594,3.0
1746074467.8564782,3.0
1746074467.8677123,3.0
1746074467.8789566,3.0
1746074467.890179,3.0
1746074467.9013796,3.0
1746074467.9125757,3.0
1746074467.9238024,3.0
1746074467.935049,3.0
1746074467.9462829,3.0
1746074467.9576218,3.0
1746074467.968812,3.0
1746074467.9800837,2.0
