time,scope,value
1746075294.7765796,nrm.extra.perf.PAPI_L3_TCA.169779,2204981682.0
1746075294.7765796,nrm.extra.perf.PAPI_TOT_INS.169779,56498173413.0
1746075294.7765796,nrm.extra.perf.PAPI_TOT_CYC.169779,295282058064.0
1746075294.7765796,nrm.extra.perf.PAPI_RES_STL.169779,245112478366.0
1746075294.7765796,nrm.extra.perf.PAPI_L3_TCM.169779,1953262407.0
1746075295.7746522,nrm.extra.perf.PAPI_L3_TCA.169779,4448901837.0
1746075295.7746522,nrm.extra.perf.PAPI_TOT_INS.169779,112143348694.0
1746075295.7746522,nrm.extra.perf.PAPI_TOT_CYC.169779,562231424229.0
1746075295.7746522,nrm.extra.perf.PAPI_RES_STL.169779,473032178108.0
1746075295.7746522,nrm.extra.perf.PAPI_L3_TCM.169779,3934493653.0
1746075296.7763789,nrm.extra.perf.PAPI_L3_TCA.169779,6700082715.0
1746075296.7763789,nrm.extra.perf.PAPI_TOT_INS.169779,168096257057.0
1746075296.7763789,nrm.extra.perf.PAPI_TOT_CYC.169779,830163019821.0
1746075296.7763789,nrm.extra.perf.PAPI_RES_STL.169779,701945398167.0
1746075296.7763789,nrm.extra.perf.PAPI_L3_TCM.169779,5930071294.0
1746075297.7761383,nrm.extra.perf.PAPI_L3_TCA.169779,8981308728.0
1746075297.7761383,nrm.extra.perf.PAPI_TOT_INS.169779,224547612503.0
1746075297.7761383,nrm.extra.perf.PAPI_TOT_CYC.169779,1100234603134.0
1746075297.7761383,nrm.extra.perf.PAPI_RES_STL.169779,933815728467.0
1746075297.7761383,nrm.extra.perf.PAPI_L3_TCM.169779,7947726514.0
1746075298.7749903,nrm.extra.perf.PAPI_L3_TCA.169779,11256787623.0
1746075298.7749903,nrm.extra.perf.PAPI_TOT_INS.169779,280925892784.0
1746075298.7749903,nrm.extra.perf.PAPI_TOT_CYC.169779,1370580488570.0
1746075298.7749903,nrm.extra.perf.PAPI_RES_STL.169779,1165261829437.0
1746075298.7749903,nrm.extra.perf.PAPI_L3_TCM.169779,9956440325.0
1746075299.7752297,nrm.extra.perf.PAPI_L3_TCA.169779,13523057531.0
1746075299.7752297,nrm.extra.perf.PAPI_TOT_INS.169779,337257426893.0
1746075299.7752297,nrm.extra.perf.PAPI_TOT_CYC.169779,1641450457800.0
1746075299.7752297,nrm.extra.perf.PAPI_RES_STL.169779,1395929310121.0
1746075299.7752297,nrm.extra.perf.PAPI_L3_TCM.169779,11958335958.0
1746075300.7743723,nrm.extra.perf.PAPI_L3_TCA.169779,15812788750.0
1746075300.7743723,nrm.extra.perf.PAPI_TOT_INS.169779,393719006050.0
1746075300.7743723,nrm.extra.perf.PAPI_TOT_CYC.169779,1911430169024.0
1746075300.7743723,nrm.extra.perf.PAPI_RES_STL.169779,1628894341533.0
1746075300.7743723,nrm.extra.perf.PAPI_L3_TCM.169779,13981699956.0
1746075301.7743857,nrm.extra.perf.PAPI_L3_TCA.169779,18043882744.0
1746075301.7743857,nrm.extra.perf.PAPI_TOT_INS.169779,449477224107.0
1746075301.7743857,nrm.extra.perf.PAPI_TOT_CYC.169779,2180186100184.0
1746075301.7743857,nrm.extra.perf.PAPI_RES_STL.169779,1856084533264.0
1746075301.7743857,nrm.extra.perf.PAPI_L3_TCM.169779,15953436555.0
1746075302.7737355,nrm.extra.perf.PAPI_L3_TCA.169779,20325697634.0
1746075302.7737355,nrm.extra.perf.PAPI_TOT_INS.169779,505909625050.0
1746075302.7737355,nrm.extra.perf.PAPI_TOT_CYC.169779,2450629969611.0
1746075302.7737355,nrm.extra.perf.PAPI_RES_STL.169779,2088388029947.0
1746075302.7737355,nrm.extra.perf.PAPI_L3_TCM.169779,17969289579.0
1746075303.7744486,nrm.extra.perf.PAPI_L3_TCA.169779,22539338665.0
1746075303.7744486,nrm.extra.perf.PAPI_TOT_INS.169779,561483617050.0
1746075303.7744486,nrm.extra.perf.PAPI_TOT_CYC.169779,2719301698126.0
1746075303.7744486,nrm.extra.perf.PAPI_RES_STL.169779,2314070995091.0
1746075303.7744486,nrm.extra.perf.PAPI_L3_TCM.169779,19925709996.0
1746075304.7754452,nrm.extra.perf.PAPI_L3_TCA.169779,24800733959.0
1746075304.7754452,nrm.extra.perf.PAPI_TOT_INS.169779,617811092623.0
1746075304.7754452,nrm.extra.perf.PAPI_TOT_CYC.169779,2990577352962.0
1746075304.7754452,nrm.extra.perf.PAPI_RES_STL.169779,2545033688699.0
1746075304.7754452,nrm.extra.perf.PAPI_L3_TCM.169779,21927134925.0
