time,value
1736265750.8086777,2.0
1736265750.8232005,3.0
1736265750.83766,3.0
1736265750.8479736,2.0
1736265750.8623493,3.0
1736265750.8767579,3.0
1736265750.8911293,3.0
1736265750.9055176,3.0
1736265750.919894,3.0
1736265750.934253,3.0
1736265750.9486456,3.0
1736265750.9630668,3.0
1736265750.9731286,2.0
1736265750.987737,3.0
1736265751.0022774,3.0
1736265751.0168445,3.0
1736265751.031401,3.0
1736265751.0459597,3.0
1736265751.0605226,3.0
1736265751.075065,3.0
1736265751.089654,3.0
1736265751.1042192,3.0
1736265751.1187778,3.0
1736265751.1333582,3.0
1736265751.147917,3.0
1736265751.1624568,3.0
1736265751.1770663,3.0
1736265751.1916142,3.0
1736265751.2061632,3.0
1736265751.220717,3.0
1736265751.235466,3.0
1736265751.2500122,3.0
1736265751.264581,3.0
1736265751.2791386,3.0
1736265751.2937024,3.0
1736265751.308261,3.0
1736265751.3228164,3.0
1736265751.337375,3.0
1736265751.3519492,3.0
1736265751.3664916,3.0
1736265751.3810804,3.0
1736265751.3956308,3.0
1736265751.410203,3.0
1736265751.4249876,3.0
1736265751.4351447,2.0
1736265751.4453542,2.0
1736265751.455558,2.0
1736265751.4657836,2.0
1736265751.476035,2.0
1736265751.4862525,2.0
1736265751.4964705,2.0
1736265751.5066652,2.0
1736265751.5169146,2.0
1736265751.5271149,2.0
1736265751.5373907,2.0
1736265751.5475976,2.0
1736265751.557794,2.0
1736265751.5679936,2.0
1736265751.578209,2.0
1736265751.5884328,2.0
1736265751.5986247,2.0
1736265751.608806,2.0
1736265751.618983,2.0
1736265751.6291654,2.0
1736265751.639374,2.0
1736265751.6495817,2.0
1736265751.6597786,2.0
1736265751.6699574,2.0
1736265751.680183,2.0
1736265751.6903346,2.0
1736265751.7005217,2.0
1736265751.710724,2.0
1736265751.7209163,2.0
1736265751.7310815,2.0
1736265751.7412956,2.0
1736265751.752664,2.0
1736265751.7690153,2.0
1736265751.7821982,1.0
1736265751.7971385,3.0
1736265751.8080375,2.0
1736265751.8181183,2.0
1736265751.8282504,2.0
1736265751.8383622,2.0
1736265751.8489168,2.0
1736265751.8590024,2.0
1736265751.8691194,2.0
1736265751.879223,2.0
1736265751.89015,2.0
1736265751.9002767,2.0
1736265751.9103491,2.0
1736265751.9204574,2.0
1736265751.9305785,2.0
1736265751.9406931,2.0
