time,value
1736271355.8051696,3.0
1736271355.8156097,3.0
1736271355.8260114,3.0
1736271355.8363872,3.0
1736271355.8471076,3.0
1736271355.8575578,3.0
1736271355.8678951,3.0
1736271355.8781905,3.0
1736271355.8885345,3.0
1736271355.8988392,3.0
1736271355.909183,3.0
1736271355.9194772,3.0
1736271355.9297948,3.0
1736271355.9400785,3.0
1736271355.9503317,3.0
1736271355.9606113,3.0
1736271355.970868,3.0
1736271355.9812489,3.0
1736271355.9915063,3.0
1736271356.0017755,3.0
1736271356.012053,3.0
1736271356.022781,3.0
1736271356.0339084,3.0
1736271356.0451446,3.0
1736271356.0563722,3.0
1736271356.0675693,3.0
1736271356.0787933,3.0
1736271356.0900528,3.0
1736271356.1074932,3.0
1736271356.1185908,3.0
1736271356.1298537,3.0
1736271356.141095,3.0
1736271356.1523616,3.0
1736271356.1635807,3.0
1736271356.1748009,3.0
1736271356.1860805,3.0
1736271356.1973062,3.0
1736271356.2085347,3.0
1736271356.2197163,3.0
1736271356.2309215,3.0
1736271356.242108,3.0
1736271356.253286,3.0
1736271356.2644598,3.0
1736271356.2756188,3.0
1736271356.2868226,3.0
1736271356.2979958,3.0
1736271356.3091583,3.0
1736271356.3203208,3.0
1736271356.3314626,3.0
1736271356.3427,3.0
1736271356.3538482,3.0
1736271356.365979,3.0
1736271356.3771162,3.0
1736271356.3882833,3.0
1736271356.399402,3.0
1736271356.4105685,3.0
1736271356.4217117,3.0
1736271356.4328487,3.0
1736271356.4439921,3.0
1736271356.4551566,3.0
1736271356.4663208,3.0
1736271356.477456,3.0
1736271356.4886208,3.0
1736271356.499766,3.0
1736271356.5108829,3.0
1736271356.5220163,3.0
1736271356.533159,3.0
1736271356.5443103,3.0
1736271356.555461,3.0
1736271356.5666058,3.0
1736271356.577791,3.0
1736271356.5889342,3.0
1736271356.600095,3.0
1736271356.6112266,3.0
1736271356.6223824,3.0
1736271356.633525,3.0
1736271356.6446571,3.0
1736271356.6558063,3.0
1736271356.6669214,3.0
1736271356.6780636,3.0
1736271356.689215,3.0
1736271356.7003586,3.0
1736271356.7114813,3.0
1736271356.7226136,3.0
1736271356.7337499,3.0
1736271356.744891,3.0
1736271356.756057,3.0
1736271356.7674496,2.0
1736271356.7782285,1.0
1736271356.7893465,1.0
1736271356.8021657,3.0
1736271356.8141534,3.0
1736271356.8252957,3.0
1736271356.8364463,3.0
1736271356.8482392,3.0
1736271356.8594007,3.0
1736271356.8705566,3.0
1736271356.881699,3.0
1736271356.8928814,3.0
1736271356.9040208,3.0
1736271356.9152045,3.0
1736271356.9263792,3.0
1736271356.9375386,3.0
1736271356.94868,3.0
1736271356.959863,3.0
1736271356.9710033,3.0
1736271356.9821923,3.0
1736271356.993354,3.0
1736271357.0045233,3.0
1736271357.0156844,3.0
1736271357.026814,3.0
1736271357.0379539,3.0
1736271357.04915,3.0
1736271357.0603104,3.0
1736271357.0715053,3.0
1736271357.0826793,3.0
1736271357.0939617,3.0
1736271357.1051006,3.0
1736271357.1162684,3.0
1736271357.1274483,3.0
1736271357.1386335,3.0
1736271357.149773,3.0
1736271357.160971,3.0
1736271357.172118,3.0
1736271357.1832595,3.0
1736271357.1944296,3.0
1736271357.2056375,3.0
1736271357.2168355,3.0
1736271357.2280126,3.0
1736271357.2391605,3.0
1736271357.2503603,3.0
1736271357.261541,3.0
1736271357.2727268,3.0
1736271357.2838824,3.0
1736271357.2950177,3.0
1736271357.3061626,3.0
1736271357.3173256,3.0
1736271357.328502,3.0
1736271357.3396778,3.0
1736271357.350803,3.0
1736271357.361962,3.0
1736271357.3731358,3.0
1736271357.384282,3.0
1736271357.3954325,3.0
1736271357.4065893,3.0
1736271357.4177723,3.0
1736271357.4289577,3.0
1736271357.4401047,3.0
1736271357.451222,3.0
1736271357.4623709,3.0
1736271357.473647,3.0
1736271357.4847908,3.0
1736271357.4959407,3.0
1736271357.5070763,3.0
1736271357.5182576,3.0
1736271357.529421,3.0
1736271357.5446923,2.0
1736271357.557076,1.0
1736271357.5679784,3.0
1736271357.5790694,3.0
1736271357.5902917,3.0
1736271357.6014822,3.0
1736271357.6126292,3.0
1736271357.6237798,3.0
1736271357.6349275,3.0
1736271357.646085,3.0
1736271357.6572628,3.0
1736271357.668442,3.0
1736271357.6795743,3.0
1736271357.6907544,3.0
1736271357.7019372,3.0
1736271357.7131102,3.0
1736271357.7242851,3.0
1736271357.7354362,3.0
1736271357.7466073,3.0
1736271357.7590654,3.0
1736271357.7704768,2.0
1736271357.7816417,3.0
1736271357.7927847,3.0
1736271357.8058004,3.0
1736271357.8169096,3.0
1736271357.8281121,3.0
1736271357.839243,3.0
1736271357.8510885,3.0
1736271357.8622231,3.0
1736271357.873427,3.0
1736271357.8846319,3.0
1736271357.895807,3.0
1736271357.906964,3.0
1736271357.9182215,3.0
1736271357.9294024,3.0
1736271357.9406607,3.0
1736271357.9519231,3.0
1736271357.9631538,3.0
1736271357.9744384,3.0
1736271357.9857361,3.0
1736271357.9970362,3.0
1736271358.0082905,3.0
1736271358.0195007,3.0
1736271358.0307105,3.0
1736271358.041971,3.0
1736271358.053201,3.0
1736271358.0644333,3.0
1736271358.0756736,3.0
1736271358.0868611,3.0
1736271358.0981615,3.0
1736271358.1094155,3.0
1736271358.120668,3.0
1736271358.131905,3.0
1736271358.1431384,3.0
1736271358.1543763,3.0
1736271358.165593,3.0
1736271358.1769135,3.0
1736271358.1882086,3.0
1736271358.1994758,3.0
1736271358.2107413,3.0
1736271358.2220464,3.0
1736271358.2334077,3.0
1736271358.244674,3.0
1736271358.255932,3.0
1736271358.267215,3.0
1736271358.2785032,3.0
1736271358.2897995,3.0
1736271358.3010657,3.0
1736271358.3145676,3.0
1736271358.3269281,3.0
1736271358.3382142,3.0
1736271358.350346,3.0
1736271358.361594,3.0
1736271358.3728876,3.0
1736271358.3848338,3.0
1736271358.3961027,3.0
1736271358.4074113,3.0
1736271358.4186668,3.0
1736271358.429936,3.0
1736271358.44118,3.0
1736271358.4524665,3.0
1736271358.4637306,3.0
1736271358.4749904,3.0
1736271358.4862792,3.0
1736271358.497599,3.0
1736271358.5088763,3.0
1736271358.520165,3.0
1736271358.5314257,3.0
1736271358.5427427,3.0
1736271358.5540009,3.0
1736271358.5652876,3.0
1736271358.5765786,3.0
1736271358.5878506,3.0
1736271358.5991364,3.0
1736271358.6104531,3.0
1736271358.6217182,3.0
1736271358.6329947,3.0
1736271358.6442795,3.0
1736271358.6555312,3.0
1736271358.666774,3.0
1736271358.6780484,3.0
1736271358.6893017,3.0
1736271358.7006032,3.0
1736271358.7118852,3.0
1736271358.723154,3.0
1736271358.7344234,3.0
1736271358.745698,3.0
1736271358.7583063,3.0
1736271358.769548,2.0
1736271358.7807176,3.0
1736271358.7919292,3.0
1736271358.8039079,3.0
1736271358.8167174,3.0
1736271358.827949,3.0
1736271358.8391306,3.0
1736271358.8508472,3.0
1736271358.8620613,3.0
1736271358.8733299,3.0
1736271358.884569,3.0
1736271358.8957925,3.0
1736271358.9070148,3.0
1736271358.9182382,3.0
1736271358.9294534,3.0
1736271358.9406853,3.0
1736271358.951907,3.0
1736271358.9631643,3.0
1736271358.9743905,3.0
1736271358.9856117,3.0
1736271358.9968452,3.0
1736271359.0080976,3.0
1736271359.0193233,3.0
1736271359.0305448,3.0
1736271359.0417902,3.0
1736271359.053032,3.0
1736271359.0642326,3.0
1736271359.075473,3.0
1736271359.0867195,3.0
1736271359.0980222,3.0
1736271359.1092405,3.0
1736271359.1205795,3.0
1736271359.131801,3.0
1736271359.143031,3.0
1736271359.1542897,3.0
1736271359.1655283,3.0
1736271359.176739,3.0
1736271359.1879823,3.0
1736271359.1991975,3.0
1736271359.2103949,3.0
1736271359.2216637,3.0
1736271359.2330701,3.0
1736271359.2443163,3.0
1736271359.255521,3.0
1736271359.2667596,3.0
1736271359.2779849,3.0
1736271359.2891939,3.0
1736271359.3004127,3.0
1736271359.3116317,3.0
1736271359.3228471,3.0
1736271359.334089,3.0
1736271359.3453262,3.0
1736271359.3565378,3.0
1736271359.367751,3.0
1736271359.378995,3.0
1736271359.390203,3.0
1736271359.4014254,3.0
1736271359.412661,3.0
1736271359.4239316,3.0
1736271359.4351382,3.0
1736271359.4463773,3.0
1736271359.457589,3.0
1736271359.4688184,3.0
1736271359.4800391,3.0
1736271359.4912586,3.0
1736271359.5025191,3.0
1736271359.5137258,3.0
1736271359.5249684,3.0
1736271359.5361853,3.0
1736271359.547398,3.0
1736271359.5586448,3.0
1736271359.5698686,3.0
1736271359.581074,3.0
1736271359.5922995,3.0
1736271359.603518,3.0
1736271359.614727,3.0
1736271359.6260061,3.0
1736271359.637247,3.0
1736271359.6484826,3.0
1736271359.6597576,3.0
1736271359.671004,3.0
1736271359.682256,3.0
1736271359.6934824,3.0
1736271359.704707,3.0
1736271359.7159107,3.0
1736271359.727135,3.0
1736271359.7383735,3.0
1736271359.7496073,3.0
1736271359.7620952,3.0
1736271359.7757213,3.0
1736271359.7869189,3.0
1736271359.7981882,3.0
1736271359.811234,3.0
1736271359.8227646,3.0
1736271359.834091,3.0
1736271359.8460212,3.0
1736271359.857248,3.0
1736271359.868465,3.0
1736271359.8797455,3.0
1736271359.8909893,3.0
1736271359.9022412,3.0
1736271359.9135153,3.0
1736271359.9247236,3.0
1736271359.9359348,3.0
1736271359.9471495,3.0
1736271359.9583714,3.0
1736271359.9696138,3.0
1736271359.980891,3.0
1736271359.9921138,3.0
1736271360.0033274,3.0
1736271360.0145667,3.0
1736271360.025823,3.0
1736271360.037111,3.0
1736271360.0483265,3.0
1736271360.0595446,3.0
1736271360.07076,3.0
1736271360.0832732,2.0
1736271360.094429,3.0
1736271360.1056573,3.0
1736271360.1168942,3.0
1736271360.1281638,3.0
1736271360.1393635,3.0
1736271360.1506116,3.0
