time,scope,value
1736279236.7597992,0,157.4180209780786
1736279236.7597992,1,161.90283557086704
1736279237.7597673,0,130.5216916796283
1736279237.7597673,1,130.26034518806784
1736279238.759773,0,129.7475169892209
1736279238.759773,1,132.54388733950705
1736279239.7597923,0,129.90350764313828
1736279239.7597923,1,128.1778900498373
1736279240.7597709,0,128.39745590108788
1736279240.7597709,1,130.20605761795744
1736279241.7597976,0,129.03032036026212
1736279241.7597976,1,129.741060018004
1736279242.7598052,0,129.76477959775687
1736279242.7598052,1,130.48067834235295
1736279243.759706,0,129.19782674089348
1736279243.759706,1,126.99551957819975
1736279244.7598097,0,130.26637210786055
1736279244.7598097,1,129.87924101837186
1736279245.7597563,0,130.44871490971718
1736279245.7597563,1,128.5458656273627
1736279246.7597814,0,129.8679108705897
1736279246.7597814,1,128.31092800816288
1736279247.7597804,0,131.05300368784523
1736279247.7597804,1,128.98505820982365
1736279248.7597334,0,129.5009153226976
1736279248.7597334,1,130.47670725167282
1736279249.7597668,0,130.0659048066158
1736279249.7597668,1,130.42177033496216
1736279250.759801,0,130.85921473786672
1736279250.759801,1,129.35595995230545
1736279251.7597737,0,131.0140562845032
1736279251.7597737,1,131.5234554245578
1736279252.7597718,0,131.8711532667704
1736279252.7597718,1,128.96973539137096
1736279253.7597637,0,129.3913695178935
1736279253.7597637,1,128.759983917221
1736279254.7598,0,131.67152986707737
1736279254.7598,1,129.8886352019791
1736279255.759797,0,130.975450053304
1736279255.759797,1,130.29045962497372
1736279256.7597952,0,129.420560087407
1736279256.7597952,1,130.1063853847519
1736279257.759792,0,129.39572586520384
1736279257.759792,1,128.57700965862333
1736279258.7597754,0,129.4466292934789
1736279258.7597754,1,130.46055715923893
1736279259.7597532,0,130.41280339634767
1736279259.7597532,1,129.99507518560435
1736279260.7597992,0,130.75174205891236
1736279260.7597992,1,129.30483042926275
1736279261.7597632,0,128.62339288920236
1736279261.7597632,1,128.5583653664776
1736279262.7597442,0,130.90660721063244
1736279262.7597442,1,127.4689024758788
1736279263.7598057,0,128.94244309567728
1736279263.7598057,1,130.52559040029735
1736279264.7597773,0,130.55074276820397
1736279264.7597773,1,130.10503542014263
1736279265.7597682,0,130.46847615259716
1736279265.7597682,1,129.2853642257113
1736279266.759811,0,131.45714491001496
1736279266.759811,1,130.2755255942452
1736279267.7597888,0,132.28655731601424
1736279267.7597888,1,130.91849488058668
1736279268.7597651,0,128.78658253908495
1736279268.7597651,1,129.40152064250356
1736279269.7597675,0,129.7907408781296
1736279269.7597675,1,130.7220903220806
1736279270.7597756,0,130.69313854859885
1736279270.7597756,1,130.51996265876693
1736279271.7597752,0,128.5830686868158
1736279271.7597752,1,129.95635277875692
1736279272.7597606,0,130.50157272262092
1736279272.7597606,1,129.86358844646787
1736279273.7597845,0,131.05765562413933
1736279273.7597845,1,129.73571036088563
1736279274.7597601,0,128.84390034824946
1736279274.7597601,1,128.6012312316366
1736279275.7597928,0,128.81213947308837
1736279275.7597928,1,131.19213350665595
1736279276.7597885,0,129.1494252749877
1736279276.7597885,1,130.47611818330006
1736279277.75975,0,130.25282947512665
1736279277.75975,1,128.99574262327857
1736279278.7597885,0,129.64941717631777
1736279278.7597885,1,130.7906917126535
1736279279.7597878,0,129.19591995943034
1736279279.7597878,1,130.37972282713025
1736279280.7597752,0,129.28791955999287
1736279280.7597752,1,130.93966389518462
1736279281.7597518,0,128.73067876794968
1736279281.7597518,1,129.56958937240023
1736279282.7597675,0,129.67653280038303
1736279282.7597675,1,128.93332863101358
1736279283.7597754,0,129.09374911851404
1736279283.7597754,1,128.3049519751968
1736279284.7597868,0,129.98857372967072
1736279284.7597868,1,128.46299936669791
1736279285.7597895,0,129.27126113597473
1736279285.7597895,1,132.57856117413218
1736279286.7597558,0,129.8952097994837
1736279286.7597558,1,128.63634780832976
1736279287.759791,0,128.895250375342
1736279287.759791,1,130.6236370983044
1736279288.759788,0,131.9778186514447
1736279288.759788,1,128.47356946293806
1736279289.7597558,0,128.86334978457432
1736279289.7597558,1,130.26429180513645
1736279290.7597938,0,129.23580082709023
1736279290.7597938,1,128.43911474172128
1736279291.759714,0,128.88393123490852
1736279291.759714,1,128.5694277072074
1736279292.759761,0,128.63155091380347
1736279292.759761,1,130.41943066638132
1736279293.7597568,0,129.01508119791106
1736279293.7597568,1,130.51802438822406
1736279294.7597861,0,130.9508897408004
1736279294.7597861,1,130.49032074854028
1736279295.7597702,0,129.5655102731272
1736279295.7597702,1,130.2713325468949
1736279296.7597797,0,129.47313931011877
1736279296.7597797,1,130.9296815390011
1736279297.7597713,0,128.79239614412248
1736279297.7597713,1,130.92759800128093
1736279298.7598042,0,128.77819282947166
1736279298.7598042,1,128.55199426536262
1736279299.759792,0,129.13883199715394
1736279299.759792,1,129.17598939357498
1736279300.7597432,0,130.2738749022525
1736279300.7597432,1,128.87323523443627
1736279301.7597682,0,130.62794873721066
1736279301.7597682,1,128.697031342875
1736279302.7597215,0,129.15071380829477
1736279302.7597215,1,128.50822248337298
1736279303.759744,0,129.11033911765622
1736279303.759744,1,128.04892798668658
1736279304.759764,0,131.1971091156042
1736279304.759764,1,128.81154905053174
1736279305.759777,0,130.17350532971363
1736279305.759777,1,128.26469177398877
1736279306.7596965,0,130.3675817440878
1736279306.7596965,1,130.8042859843058
1736279307.7597861,0,128.5482269419318
1736279307.7597861,1,130.05694785095633
1736279308.7597773,0,130.8172049011636
1736279308.7597773,1,129.5186034128265
1736279309.759763,0,128.9539353223662
1736279309.759763,1,129.02428872805447
1736279310.7598004,0,128.9143172768776
1736279310.7598004,1,130.82454073166838
1736279311.7596948,0,130.61842741434347
1736279311.7596948,1,129.16142451215143
1736279312.7597735,0,128.30987046204157
1736279312.7597735,1,131.24307978525272
1736279313.759784,0,130.22787837283357
1736279313.759784,1,129.51185982310798
1736279314.759802,0,128.76011370583186
1736279314.759802,1,129.53109170115493
1736279315.7597966,0,128.88341440580203
1736279315.7597966,1,128.58837785769708
1736279316.7597625,0,131.54116296365655
1736279316.7597625,1,129.8439151332898
1736279317.7597919,0,129.37067663019306
1736279317.7597919,1,131.31407372707352
1736279318.7597954,0,129.66563849312973
1736279318.7597954,1,128.74098297103725
1736279319.7607276,0,129.91600053054395
1736279319.7607276,1,128.28929440102374
1736279320.759761,0,130.93441216188532
1736279320.759761,1,128.5425681325115
1736279321.7597818,0,130.66929327427567
1736279321.7597818,1,128.79755054404657
1736279322.7597053,0,128.17379107434377
1736279322.7597053,1,129.71938927876403
1736279323.7598042,0,131.77051448296478
1736279323.7598042,1,129.68997301499718
1736279324.7597816,0,131.43689740641418
1736279324.7597816,1,131.3681856498584
1736279325.7597697,0,130.13457070184748
1736279325.7597697,1,128.97736192000744
1736279326.759776,0,129.96925453106417
1736279326.759776,1,128.7771980980264
1736279327.7597055,0,129.5023243330155
1736279327.7597055,1,129.2693891771262
1736279328.7598023,0,130.80229072499503
1736279328.7598023,1,129.12094184258603
1736279329.7597783,0,128.9450308574872
1736279329.7597783,1,128.3619742239392
1736279330.759779,0,130.5795059639629
1736279330.759779,1,129.87597982354117
1736279331.759699,0,129.61088794873638
1736279331.759699,1,129.5196579354688
1736279332.7597506,0,131.26130261220734
1736279332.7597506,1,128.07419697466796
1736279333.7597973,0,131.52445060719575
1736279333.7597973,1,129.05678323799026
1736279334.759782,0,131.52472284690433
1736279334.759782,1,131.75393664402074
1736279335.7597718,0,129.5316466134409
1736279335.7597718,1,131.3569230254721
1736279336.7597535,0,130.72290953305307
1736279336.7597535,1,131.53853215276564
1736279337.7597816,0,129.97074991321406
1736279337.7597816,1,131.43779293696034
1736279338.7597704,0,129.86994530773651
1736279338.7597704,1,128.92882695051233
1736279339.7597919,0,129.32689915230966
1736279339.7597919,1,129.1532542512457
1736279340.7597773,0,129.05073491230786
1736279340.7597773,1,130.372301663054
1736279341.7597735,0,130.61436702985665
1736279341.7597735,1,129.28271037605782
1736279342.7597022,0,129.36794507162008
1736279342.7597022,1,128.65439845211287
1736279343.759799,0,129.92677664941493
1736279343.759799,1,130.2965958917585
1736279344.7597342,0,129.59596780679294
1736279344.7597342,1,130.2818353838218
1736279345.7597604,0,131.16907850102888
1736279345.7597604,1,128.9295186622059
1736279346.7597399,0,128.772114559751
1736279346.7597399,1,131.71266425516146
1736279347.7597797,0,128.40656322417368
1736279347.7597797,1,128.58457379669184
1736279348.7597744,0,131.49937535303806
1736279348.7597744,1,128.48941106922902
1736279349.7597709,0,127.80115722427563
1736279349.7597709,1,131.03148296150323
1736279350.7597797,0,131.0623873880889
1736279350.7597797,1,131.07112509362452
1736279351.7598262,0,132.08539316587002
1736279351.7598262,1,129.91304984957898
1736279352.759767,0,129.9442146661476
1736279352.759767,1,130.12926047216905
