time,value
1736259934.6661193,3.0
1736259934.6807132,3.0
1736259934.6951363,3.0
1736259934.7095392,3.0
1736259934.72398,3.0
1736259934.738427,3.0
1736259934.7528722,3.0
1736259934.7629106,2.0
1736259934.774311,2.0
1736259934.7887065,3.0
1736259934.8031385,3.0
1736259934.8134966,2.0
1736259934.8278959,3.0
1736259934.8422852,3.0
1736259934.8524692,2.0
1736259934.8668005,3.0
1736259934.8812172,3.0
1736259934.8956137,3.0
1736259934.910018,3.0
1736259934.9244537,3.0
1736259934.9388592,3.0
1736259934.9532576,3.0
1736259934.967749,3.0
1736259934.9821315,3.0
1736259934.9965303,3.0
1736259935.0109148,3.0
1736259935.0253265,3.0
1736259935.039767,3.0
1736259935.0541542,3.0
1736259935.068546,3.0
1736259935.0829415,3.0
1736259935.0932798,2.0
1736259935.1076174,3.0
1736259935.1220212,3.0
1736259935.136418,3.0
1736259935.1507516,3.0
1736259935.1650908,3.0
1736259935.17942,3.0
1736259935.1937912,3.0
1736259935.2081347,3.0
1736259935.2224605,3.0
1736259935.2369034,3.0
1736259935.2512481,3.0
1736259935.2656238,3.0
1736259935.2799995,3.0
1736259935.2943544,3.0
1736259935.3087304,3.0
1736259935.3230863,3.0
1736259935.3374813,3.0
1736259935.3518586,3.0
1736259935.3662045,3.0
1736259935.3805683,3.0
1736259935.3949218,3.0
1736259935.409296,3.0
1736259935.4236681,3.0
1736259935.438032,3.0
1736259935.4523852,3.0
1736259935.4667454,3.0
1736259935.4773335,2.0
1736259935.491696,3.0
1736259935.5060563,3.0
1736259935.5204184,3.0
1736259935.5347786,3.0
1736259935.5491555,3.0
1736259935.5635064,3.0
1736259935.577915,3.0
1736259935.5923183,3.0
1736259935.603188,2.0
1736259935.6236749,3.0
1736259935.6340473,1.0
1736259935.6484268,3.0
1736259935.6627743,3.0
1736259935.6771336,3.0
1736259935.6914816,3.0
1736259935.705835,3.0
1736259935.7201767,3.0
1736259935.734524,3.0
1736259935.748875,3.0
1736259935.7643054,3.0
1736259935.7747293,2.0
1736259935.789078,3.0
1736259935.803424,3.0
1736259935.8135583,2.0
1736259935.8279161,3.0
1736259935.8422573,3.0
1736259935.8566935,3.0
1736259935.8710127,3.0
1736259935.8853724,3.0
1736259935.8997283,3.0
1736259935.9140494,3.0
1736259935.9284072,3.0
1736259935.9427662,3.0
1736259935.9571393,3.0
1736259935.9714754,3.0
1736259935.9858358,3.0
1736259936.0001764,3.0
1736259936.0145,3.0
1736259936.0288525,3.0
1736259936.0432003,3.0
1736259936.0575588,3.0
1736259936.0719025,3.0
1736259936.0862498,3.0
1736259936.1053252,3.0
1736259936.1155682,2.0
1736259936.129915,3.0
1736259936.1442835,3.0
1736259936.1586268,3.0
1736259936.1729803,3.0
1736259936.1873083,3.0
1736259936.2016537,3.0
1736259936.2160242,3.0
1736259936.2305682,3.0
1736259936.2449284,3.0
1736259936.2592573,3.0
1736259936.2736104,3.0
1736259936.2879517,3.0
1736259936.3022919,3.0
1736259936.3166354,3.0
1736259936.3309593,3.0
1736259936.3453314,3.0
1736259936.3596714,3.0
1736259936.3740082,3.0
1736259936.3883593,3.0
1736259936.4027007,3.0
1736259936.417046,3.0
1736259936.4314036,3.0
1736259936.4457946,3.0
1736259936.4601417,3.0
1736259936.474461,3.0
1736259936.488824,3.0
1736259936.503234,3.0
1736259936.5177116,3.0
1736259936.5321941,3.0
1736259936.5466542,3.0
1736259936.5611198,3.0
1736259936.5755382,3.0
1736259936.5900202,3.0
1736259936.6055007,3.0
1736259936.6262875,3.0
1736259936.6374955,1.0
1736259936.6518624,3.0
1736259936.6662188,3.0
1736259936.6805983,3.0
1736259936.6950164,3.0
1736259936.7094545,3.0
1736259936.7239046,3.0
1736259936.7383244,3.0
1736259936.7527509,3.0
1736259936.7688222,3.0
1736259936.7831228,3.0
1736259936.7975836,3.0
1736259936.8125267,3.0
1736259936.826946,3.0
1736259936.8413694,3.0
1736259936.8558252,3.0
1736259936.8702393,3.0
1736259936.884638,3.0
1736259936.8990405,3.0
1736259936.9134579,3.0
1736259936.9278708,3.0
1736259936.9422526,3.0
1736259936.956668,3.0
1736259936.9710567,3.0
1736259936.9855242,3.0
1736259936.999921,3.0
1736259937.0143466,3.0
