time,actuator,value
1770306325.9019296,Actuator(ptr=c_void_p(275873408)),83.0
1770306333.908111,Actuator(ptr=c_void_p(275873408)),83.0
1770306341.9232552,Actuator(ptr=c_void_p(275873408)),83.0
1770306349.9465346,Actuator(ptr=c_void_p(275873408)),83.0
1770306357.9660761,Actuator(ptr=c_void_p(275873408)),83.0
1770306365.987559,Actuator(ptr=c_void_p(275873408)),83.0
1770306374.0050483,Actuator(ptr=c_void_p(275873408)),83.0
1770306382.0233884,Actuator(ptr=c_void_p(275873408)),83.0
1770306390.0418985,Actuator(ptr=c_void_p(275873408)),83.0
1770306398.0602348,Actuator(ptr=c_void_p(275873408)),83.0
1770306406.0793586,Actuator(ptr=c_void_p(275873408)),83.0
1770306414.097996,Actuator(ptr=c_void_p(275873408)),83.0
1770306422.1173108,Actuator(ptr=c_void_p(275873408)),83.0
1770306430.134345,Actuator(ptr=c_void_p(275873408)),83.0
1770306438.1524262,Actuator(ptr=c_void_p(275873408)),83.0
