time,value
1770310973.0443676,1.0
1770310973.1951306,3.0
1770310973.3449025,3.0
1770310973.4958189,3.0
1770310973.6450877,3.0
1770310973.7945895,3.0
1770310973.9432313,3.0
1770310974.0921288,3.0
1770310974.241073,3.0
1770310974.3895917,3.0
1770310974.5384765,3.0
1770310974.6879585,3.0
1770310974.837453,3.0
1770310974.9863887,3.0
1770310975.1357849,3.0
1770310975.2844539,3.0
1770310975.432883,3.0
1770310975.5819845,3.0
1770310975.7306964,3.0
1770310975.8790178,3.0
1770310976.0276225,3.0
1770310976.176873,3.0
1770310976.3251913,3.0
1770310976.473804,3.0
1770310976.6236343,3.0
1770310976.7731235,3.0
1770310976.922268,3.0
1770310977.071004,3.0
1770310977.220275,3.0
1770310977.368508,3.0
1770310977.5174124,3.0
1770310977.6661139,3.0
1770310977.814868,3.0
1770310977.9642603,3.0
1770310978.1129797,3.0
1770310978.2615795,3.0
1770310978.409974,3.0
1770310978.5589175,3.0
1770310978.7070916,3.0
1770310978.8564546,3.0
1770310979.0052066,3.0
1770310979.159731,3.0
1770310979.3082106,3.0
1770310979.467095,3.0
1770310979.616225,3.0
1770310979.7658753,3.0
1770310979.9145749,3.0
1770310980.0634637,3.0
1770310980.212423,3.0
1770310980.3611677,3.0
1770310980.510202,3.0
1770310980.6588204,3.0
1770310980.808159,3.0
1770310980.957308,3.0
1770310981.1066945,3.0
1770310981.256105,3.0
1770310981.404763,3.0
1770310981.553865,3.0
1770310981.7025232,3.0
1770310981.8510745,3.0
1770310982.0000713,3.0
1770310982.1492946,3.0
1770310982.298155,3.0
1770310982.4468837,3.0
1770310982.5956547,3.0
1770310982.7445745,3.0
1770310982.8939414,3.0
1770310983.042861,3.0
1770310983.1921961,3.0
1770310983.3405528,3.0
1770310983.4895232,3.0
1770310983.6380954,3.0
1770310983.7873795,3.0
1770310983.9359388,3.0
1770310984.0848618,3.0
1770310984.2338686,3.0
1770310984.382405,3.0
1770310984.5314388,3.0
1770310984.6803124,3.0
1770310984.8294857,3.0
1770310984.978101,3.0
1770310985.127946,3.0
1770310985.2769241,3.0
1770310985.4255369,3.0
1770310985.574744,3.0
1770310985.7235365,3.0
1770310985.8727345,3.0
