time,scope,value
1751791898.9721959,nrm.extra.perf.PAPI_L3_TCA.113591,5667411.0
1751791898.9721959,nrm.extra.perf.PAPI_TOT_INS.113591,3696601981.0
1751791898.9721959,nrm.extra.perf.PAPI_TOT_CYC.113591,4361799726.0
1751791898.9721959,nrm.extra.perf.PAPI_RES_STL.113591,743360471.0
1751791898.9721959,nrm.extra.perf.PAPI_L3_TCM.113591,3514498.0
1751791899.972411,nrm.extra.perf.PAPI_L3_TCA.113591,14619824.0
1751791899.972411,nrm.extra.perf.PAPI_TOT_INS.113591,9452298149.0
1751791899.972411,nrm.extra.perf.PAPI_TOT_CYC.113591,7551874926.0
1751791899.972411,nrm.extra.perf.PAPI_RES_STL.113591,1051192410.0
1751791899.972411,nrm.extra.perf.PAPI_L3_TCM.113591,10279885.0
1751791900.971633,nrm.extra.perf.PAPI_L3_TCA.113591,23588524.0
1751791900.971633,nrm.extra.perf.PAPI_TOT_INS.113591,15144806153.0
1751791900.971633,nrm.extra.perf.PAPI_TOT_CYC.113591,10645021268.0
1751791900.971633,nrm.extra.perf.PAPI_RES_STL.113591,1375760786.0
1751791900.971633,nrm.extra.perf.PAPI_L3_TCM.113591,17274349.0
1751791901.9718263,nrm.extra.perf.PAPI_L3_TCA.113591,32789612.0
1751791901.9718263,nrm.extra.perf.PAPI_TOT_INS.113591,20780248529.0
1751791901.9718263,nrm.extra.perf.PAPI_TOT_CYC.113591,13656945442.0
1751791901.9718263,nrm.extra.perf.PAPI_RES_STL.113591,1709771363.0
1751791901.9718263,nrm.extra.perf.PAPI_L3_TCM.113591,24676503.0
1751791902.9719903,nrm.extra.perf.PAPI_L3_TCA.113591,42783274.0
1751791902.9719903,nrm.extra.perf.PAPI_TOT_INS.113591,26696361672.0
1751791902.9719903,nrm.extra.perf.PAPI_TOT_CYC.113591,16713921495.0
1751791902.9719903,nrm.extra.perf.PAPI_RES_STL.113591,2062433719.0
1751791902.9719903,nrm.extra.perf.PAPI_L3_TCM.113591,32884572.0
1751791903.9721587,nrm.extra.perf.PAPI_L3_TCA.113591,53472005.0
1751791903.9721587,nrm.extra.perf.PAPI_TOT_INS.113591,32841317185.0
