time,actuator,value
1751801694.297118,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801696.2997115,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801698.3022523,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801700.3047915,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801702.3073134,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801704.3098476,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801706.312371,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801708.3160944,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801710.3201563,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801712.324216,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801714.3282633,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801716.33231,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801718.3363385,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801720.3403745,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801722.34449,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801724.3485954,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801726.3526874,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801728.3567972,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801730.3608582,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801732.3648827,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801734.3691974,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801736.3734229,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801738.3775363,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801740.381482,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801742.3854256,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801744.3894167,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801746.39338,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801748.3972092,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801750.401327,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801752.4054384,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801754.4095807,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801756.4135554,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801758.4174852,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801760.4214387,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801762.425277,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801764.429243,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801766.433066,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801768.4371505,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801770.4412103,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801772.445115,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801774.4490926,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801776.4531183,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801778.4570944,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801780.4611242,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801782.4652112,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801784.4692187,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801786.4730184,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801788.4770076,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801790.4811096,Actuator(ptr=c_void_p(94493429364320)),147.0
1751801792.4851172,Actuator(ptr=c_void_p(94493429364320)),147.0
