time,scope,value
1769983724.091503,0,5950861.8564453125
1769983724.091503,1,5950861.8564453125
1769983725.0916116,0,5950909.698364258
1769983725.0916116,1,5950909.698364258
1769983726.0907269,0,5950957.3654174805
1769983726.0907269,1,5950957.411193848
1769983727.0909045,0,5951005.207946777
1769983727.0909045,1,5951005.207946777
1769983728.0909936,0,5951052.907714844
1769983728.0909936,1,5951052.907714844
1769983729.0911252,0,5951100.556274414
1769983729.0911252,1,5951100.556274414
1769983730.091217,0,5951148.2892456055
1769983730.091217,1,5951148.2892456055
1769983731.0912306,0,5951196.027648926
1769983731.0912306,1,5951196.027648926
1769983732.0913563,0,5951243.760803223
1769983732.0913563,1,5951243.760803223
1769983733.0914683,0,5951291.49407959
1769983733.0914683,1,5951291.49407959
1769983734.091564,0,5951339.075073242
1769983734.091564,1,5951339.075073242
1769983735.091677,0,5951386.73425293
1769983735.091677,1,5951386.73425293
1769983736.090817,0,5951518.4552612305
1769983736.090817,1,5951518.4552612305
1769983737.0908203,0,5951638.199768066
1769983737.0908203,1,5951638.199768066
1769983738.0908191,0,5951749.795043945
1769983738.0908191,1,5951749.920288086
1769983739.090813,0,5951861.5392456055
1769983739.090813,1,5951861.5392456055
1769983740.0908184,0,5951973.156860352
1769983740.0908184,1,5951973.280395508
1769983741.0908105,0,5952084.898498535
1769983741.0908105,1,5952084.898498535
1769983742.090816,0,5952196.602600098
1769983742.090816,1,5952196.602600098
1769983743.0908172,0,5952308.2459106445
1769983743.0908172,1,5952308.2459106445
1769983744.090822,0,5952419.876525879
1769983744.090822,1,5952419.998779297
1769983745.090815,0,5952531.612854004
1769983745.090815,1,5952531.612854004
1769983746.0908175,0,5952643.259765625
1769983746.0908175,1,5952643.259765625
1769983747.090806,0,5952754.989501953
1769983747.090806,1,5952754.989501953
1769983748.0908153,0,5952866.6640625
1769983748.0908153,1,5952866.6640625
1769983749.0908208,0,5952978.298034668
1769983749.0908208,1,5952978.298034668
1769983750.0908175,0,5953089.939880371
1769983750.0908175,1,5953089.939880371
1769983751.090823,0,5953201.688598633
1769983751.090823,1,5953201.688598633
1769983752.0908194,0,5953313.3408203125
1769983752.0908194,1,5953313.3408203125
1769983753.0908124,0,5953424.964050293
1769983753.0908124,1,5953424.964050293
1769983754.0908234,0,5953536.636962891
1769983754.0908234,1,5953536.636962891
1769983755.09082,0,5953648.369812012
1769983755.09082,1,5953648.369812012
1769983756.0908208,0,5953759.985656738
1769983756.0908208,1,5953759.985656738
1769983757.090816,0,5953871.742492676
1769983757.090816,1,5953871.742492676
1769983758.0908165,0,5953983.41217041
1769983758.0908165,1,5953983.41217041
1769983759.0908084,0,5954095.036804199
1769983759.0908084,1,5954095.036804199
1769983760.090817,0,5954206.6873168945
1769983760.090817,1,5954206.6873168945
1769983761.0908117,0,5954318.439880371
1769983761.0908117,1,5954318.439880371
1769983762.0908043,0,5954430.046569824
1769983762.0908043,1,5954430.046569824
1769983763.0908177,0,5954541.794006348
1769983763.0908177,1,5954541.794006348
1769983764.0908139,0,5954653.450683594
1769983764.0908139,1,5954653.450683594
1769983765.0908127,0,5954765.050720215
1769983765.0908127,1,5954765.166931152
1769983766.0908043,0,5954876.815063477
1769983766.0908043,1,5954876.815063477
1769983767.090813,0,5954988.419921875
1769983767.090813,1,5954988.544067383
1769983768.0908048,0,5955100.151062012
1769983768.0908048,1,5955100.151062012
1769983769.0908039,0,5955211.769165039
1769983769.0908039,1,5955211.769165039
1769983770.0908186,0,5955323.530517578
1769983770.0908186,1,5955323.530517578
1769983771.090799,0,5955435.0986328125
1769983771.090799,1,5955435.0986328125
1769983772.0908015,0,5955546.865356445
1769983772.0908015,1,5955546.865356445
1769983773.090813,0,5955658.497802734
1769983773.090813,1,5955658.6025390625
1769983774.0908117,0,5955770.223205566
1769983774.0908117,1,5955770.223205566
1769983775.0907443,0,5955881.864379883
1769983775.0907443,1,5955881.864379883
1769983776.0908082,0,5955993.575317383
1769983776.0908082,1,5955993.575317383
1769983777.090803,0,5956105.21685791
1769983777.090803,1,5956105.301086426
1769983778.0938053,0,5956217.290710449
1769983778.0938053,1,5956217.290710449
1769983779.0908155,0,5956328.563903809
1769983779.0908155,1,5956328.563903809
1769983780.0908096,0,5956440.327209473
1769983780.0908096,1,5956440.327209473
1769983781.0908177,0,5956551.922119141
1769983781.0908177,1,5956551.922119141
1769983782.090814,0,5956663.680969238
1769983782.090814,1,5956663.680969238
1769983783.090813,0,5956775.303222656
1769983783.090813,1,5956775.303222656
1769983784.090808,0,5956886.9454956055
1769983784.090808,1,5956886.9454956055
1769983785.0908163,0,5956998.664794922
1769983785.0908163,1,5956998.664794922
1769983786.090812,0,5957110.315185547
1769983786.090812,1,5957110.315185547
1769983787.0908048,0,5957221.9295043945
1769983787.0908048,1,5957222.053344727
1769983788.0908039,0,5957333.682495117
1769983788.0908039,1,5957333.682495117
1769983789.0908134,0,5957445.338134766
1769983789.0908134,1,5957445.338134766
1769983790.0908134,0,5957557.06237793
1769983790.0908134,1,5957557.06237793
1769983791.090754,0,5957668.700500488
1769983791.090754,1,5957668.700500488
1769983792.0908103,0,5957780.338623047
1769983792.0908103,1,5957780.453979492
1769983793.0907955,0,5957892.099365234
1769983793.0907955,1,5957892.099365234
1769983794.090827,0,5958003.727600098
1769983794.090827,1,5958003.727600098
1769983795.0908177,0,5958115.373291016
1769983795.0908177,1,5958115.481567383
1769983796.090815,0,5958227.11706543
1769983796.090815,1,5958227.11706543
1769983797.0908136,0,5958338.761962891
1769983797.0908136,1,5958338.761962891
1769983798.0908055,0,5958450.426940918
1769983798.0908055,1,5958450.506652832
1769983799.0908132,0,5958562.146057129
1769983799.0908132,1,5958562.146057129
1769983800.0908134,0,5958673.776245117
1769983800.0908134,1,5958673.776245117
1769983801.0908098,0,5958785.419006348
1769983801.0908098,1,5958785.54107666
1769983802.0908122,0,5958897.177368164
1769983802.0908122,1,5958897.177368164
1769983803.0907998,0,5959008.838256836
1769983803.0907998,1,5959008.838256836
1769983804.09081,0,5959120.454162598
1769983804.09081,1,5959120.454162598
1769983805.0908103,0,5959232.229125977
1769983805.0908103,1,5959232.229125977
1769983806.0908122,0,5959343.869384766
1769983806.0908122,1,5959343.869384766
1769983807.0908134,0,5959455.517272949
1769983807.0908134,1,5959455.610717773
1769983808.0908191,0,5959567.249145508
1769983808.0908191,1,5959567.249145508
1769983809.0908172,0,5959678.9060668945
1769983809.0908172,1,5959678.9060668945
1769983810.0908124,0,5959790.540100098
1769983810.0908124,1,5959790.540100098
1769983811.0908198,0,5959902.1912231445
1769983811.0908198,1,5959902.1912231445
1769983812.0908194,0,5960013.928161621
1769983812.0908194,1,5960013.928161621
1769983813.0908241,0,5960125.595397949
1769983813.0908241,1,5960125.595397949
1769983814.0908015,0,5960237.245361328
1769983814.0908015,1,5960237.245361328
1769983815.0908132,0,5960348.881530762
1769983815.0908132,1,5960348.99597168
1769983816.0908086,0,5960460.56842041
1769983816.0908086,1,5960460.681945801
1769983817.0908105,0,5960572.282714844
1769983817.0908105,1,5960572.282714844
1769983818.0908127,0,5960683.933532715
1769983818.0908127,1,5960683.933532715
1769983819.090837,0,5960795.674316406
1769983819.090837,1,5960795.674316406
1769983820.090815,0,5960907.317626953
1769983820.090815,1,5960907.317626953
1769983821.0908182,0,5961018.943725586
1769983821.0908182,1,5961019.06237793
1769983822.0908186,0,5961130.671020508
1769983822.0908186,1,5961130.671020508
1769983823.0908117,0,5961242.336242676
1769983823.0908117,1,5961242.336242676
1769983824.090808,0,5961354.056518555
1769983824.090808,1,5961354.056518555
1769983825.0908103,0,5961465.720458984
1769983825.0908103,1,5961465.720458984
1769983826.0908124,0,5961577.372741699
1769983826.0908124,1,5961577.372741699
1769983827.0908058,0,5961688.9451293945
1769983827.0908058,1,5961689.088134766
1769983828.090808,0,5961800.71282959
1769983828.090808,1,5961800.71282959
1769983829.0908005,0,5961912.3671875
1769983829.0908005,1,5961912.4841918945
