time,scope,value
1769996349.1516428,nrm.extra.perf.PAPI_L3_TCA.171703,6621408.0
1769996349.1516428,nrm.extra.perf.PAPI_TOT_INS.171703,4483227604.0
1769996349.1516428,nrm.extra.perf.PAPI_TOT_CYC.171703,4406389433.0
1769996349.1516428,nrm.extra.perf.PAPI_RES_STL.171703,840689345.0
1769996349.1516428,nrm.extra.perf.PAPI_L3_TCM.171703,4283051.0
1769996350.1518202,nrm.extra.perf.PAPI_L3_TCA.171703,17790388.0
1769996350.1518202,nrm.extra.perf.PAPI_TOT_INS.171703,11872118001.0
1769996350.1518202,nrm.extra.perf.PAPI_TOT_CYC.171703,7591619709.0
1769996350.1518202,nrm.extra.perf.PAPI_RES_STL.171703,1338139115.0
1769996350.1518202,nrm.extra.perf.PAPI_L3_TCM.171703,12765100.0
1769996351.1509762,nrm.extra.perf.PAPI_L3_TCA.171703,29447263.0
1769996351.1509762,nrm.extra.perf.PAPI_TOT_INS.171703,19252226362.0
1769996351.1509762,nrm.extra.perf.PAPI_TOT_CYC.171703,10769183460.0
1769996351.1509762,nrm.extra.perf.PAPI_RES_STL.171703,1865159407.0
1769996351.1509762,nrm.extra.perf.PAPI_L3_TCM.171703,22053311.0
1769996352.1511984,nrm.extra.perf.PAPI_L3_TCA.171703,36037742.0
1769996352.1511984,nrm.extra.perf.PAPI_TOT_INS.171703,23834434192.0
1769996352.1511984,nrm.extra.perf.PAPI_TOT_CYC.171703,12945915202.0
1769996352.1511984,nrm.extra.perf.PAPI_RES_STL.171703,2294455823.0
1769996352.1511984,nrm.extra.perf.PAPI_L3_TCM.171703,27600770.0
1769996353.1513252,nrm.extra.perf.PAPI_L3_TCA.171703,46222552.0
1769996353.1513252,nrm.extra.perf.PAPI_TOT_INS.171703,30104275246.0
1769996353.1513252,nrm.extra.perf.PAPI_TOT_CYC.171703,15670218894.0
1769996353.1513252,nrm.extra.perf.PAPI_RES_STL.171703,2731092343.0
1769996353.1513252,nrm.extra.perf.PAPI_L3_TCM.171703,36171850.0
1769996354.1515195,nrm.extra.perf.PAPI_L3_TCA.171703,58386355.0
1769996354.1515195,nrm.extra.perf.PAPI_TOT_INS.171703,37275307619.0
1769996354.1515195,nrm.extra.perf.PAPI_TOT_CYC.171703,18705738358.0
1769996354.1515195,nrm.extra.perf.PAPI_RES_STL.171703,3212675895.0
1769996354.1515195,nrm.extra.perf.PAPI_L3_TCM.171703,46442107.0
1769996355.1517022,nrm.extra.perf.PAPI_L3_TCA.171703,71524095.0
1769996355.1517022,nrm.extra.perf.PAPI_TOT_INS.171703,44851434420.0
1769996355.1517022,nrm.extra.perf.PAPI_TOT_CYC.171703,21836308556.0
1769996355.1517022,nrm.extra.perf.PAPI_RES_STL.171703,3707400369.0
1769996355.1517022,nrm.extra.perf.PAPI_L3_TCM.171703,57656624.0
1769996356.150917,nrm.extra.perf.PAPI_L3_TCA.171703,84645132.0
1769996356.150917,nrm.extra.perf.PAPI_TOT_INS.171703,52301092634.0
1769996356.150917,nrm.extra.perf.PAPI_TOT_CYC.171703,24912969158.0
