time,value
1761888765.2893646,1.0
1761888765.445382,1.0
1761888765.599952,1.0
1761888765.7544148,1.0
1761888765.9093006,1.0
1761888766.064896,1.0
1761888766.2196243,1.0
1761888766.3750288,1.0
1761888766.5377216,1.0
1761888766.7004764,1.0
1761888766.862924,1.0
1761888767.025406,1.0
1761888767.1894734,1.0
1761888767.3642871,1.0
1761888767.5207093,1.0
1761888767.688353,1.0
1761888767.8548539,1.0
1761888768.0105734,1.0
1761888768.1657605,1.0
1761888768.3209598,1.0
1761888768.4750988,1.0
1761888768.6456866,1.0
1761888768.8076034,1.0
1761888768.9611502,1.0
1761888769.1080897,1.0
1761888769.2551532,1.0
1761888769.4015963,1.0
1761888769.5475953,1.0
1761888769.6945627,1.0
1761888769.8462942,1.0
1761888769.995036,1.0
1761888770.1447341,1.0
1761888770.30813,1.0
1761888770.4871793,1.0
1761888770.6430223,1.0
1761888770.8033834,1.0
1761888770.9571598,1.0
1761888771.1210897,1.0
1761888771.3010707,1.0
1761888771.480124,1.0
1761888771.664161,1.0
1761888771.842547,1.0
1761888772.0132048,1.0
1761888772.1661584,1.0
1761888772.31404,1.0
1761888772.4650543,1.0
1761888772.6160998,1.0
1761888772.7692337,1.0
1761888772.9226813,1.0
1761888773.080075,1.0
1761888773.2628174,1.0
1761888773.4161963,1.0
1761888773.5805473,1.0
1761888773.7600708,1.0
1761888773.9335396,1.0
1761888774.0991511,1.0
1761888774.2581763,1.0
1761888774.407176,1.0
1761888774.5890486,1.0
1761888774.754139,1.0
1761888774.9110909,1.0
1761888775.0991147,1.0
1761888775.2881255,1.0
1761888775.4585955,1.0
1761888775.6070895,1.0
1761888775.7880235,1.0
1761888775.9704125,1.0
1761888776.124164,1.0
1761888776.2944896,1.0
1761888776.457058,1.0
1761888776.6496813,1.0
1761888776.810434,1.0
1761888776.9701533,1.0
1761888777.1584349,1.0
1761888777.3168464,1.0
1761888777.4748108,1.0
1761888777.629516,1.0
1761888777.7883286,1.0
1761888777.96811,1.0
1761888778.1582894,1.0
1761888778.3528476,1.0
1761888778.5445466,1.0
1761888778.6994207,1.0
1761888778.8545961,1.0
1761888779.026064,1.0
1761888779.1851742,1.0
1761888779.3462167,1.0
1761888779.5371258,1.0
1761888779.7208066,1.0
1761888779.8778603,1.0
1761888780.0365865,1.0
1761888780.1921036,1.0
1761888780.3541315,1.0
1761888780.5231795,1.0
1761888780.670042,1.0
1761888780.846834,1.0
1761888781.0118396,1.0
1761888781.1932576,1.0
1761888781.3435757,1.0
1761888781.4880517,1.0
1761888781.665826,1.0
1761888781.8178985,1.0
1761888781.9972847,1.0
1761888782.1630356,1.0
1761888782.3319616,1.0
1761888782.5080585,1.0
1761888782.6870039,1.0
1761888782.8660064,1.0
1761888783.0328536,1.0
1761888783.1970582,1.0
1761888783.368931,1.0
1761888783.5141034,1.0
1761888783.6780322,1.0
1761888783.8249822,1.0
1761888783.9996548,1.0
1761888784.1798768,1.0
1761888784.3580592,1.0
1761888784.5397317,1.0
1761888784.6870294,1.0
1761888784.8340929,1.0
1761888784.9888468,1.0
1761888785.1349761,1.0
