time,actuator,value
1770045494.660127,Actuator(ptr=c_void_p(271801056)),159.0
1770045502.7121003,Actuator(ptr=c_void_p(271801056)),159.0
1770045510.7759995,Actuator(ptr=c_void_p(271801056)),159.0
1770045518.8274226,Actuator(ptr=c_void_p(271801056)),159.0
1770045526.8732445,Actuator(ptr=c_void_p(271801056)),159.0
1770045534.9248674,Actuator(ptr=c_void_p(271801056)),159.0
1770045542.9808161,Actuator(ptr=c_void_p(271801056)),159.0
1770045551.038587,Actuator(ptr=c_void_p(271801056)),159.0
1770045559.0807064,Actuator(ptr=c_void_p(271801056)),159.0
1770045567.1314807,Actuator(ptr=c_void_p(271801056)),159.0
1770045575.1891594,Actuator(ptr=c_void_p(271801056)),159.0
1770045583.2446969,Actuator(ptr=c_void_p(271801056)),159.0
1770045591.298936,Actuator(ptr=c_void_p(271801056)),159.0
1770045599.3539927,Actuator(ptr=c_void_p(271801056)),159.0
1770045607.4083652,Actuator(ptr=c_void_p(271801056)),159.0
1770045615.473245,Actuator(ptr=c_void_p(271801056)),159.0
1770045623.5163949,Actuator(ptr=c_void_p(271801056)),159.0
1770045631.5643787,Actuator(ptr=c_void_p(271801056)),159.0
1770045639.6086874,Actuator(ptr=c_void_p(271801056)),159.0
1770045647.6513274,Actuator(ptr=c_void_p(271801056)),159.0
