time,scope,value
1751801212.9579098,nrm.extra.perf.PAPI_L3_TCA.122604,5543986.0
1751801212.9579098,nrm.extra.perf.PAPI_TOT_INS.122604,3727040296.0
1751801212.9579098,nrm.extra.perf.PAPI_TOT_CYC.122604,4404805556.0
1751801212.9579098,nrm.extra.perf.PAPI_RES_STL.122604,749637180.0
1751801212.9579098,nrm.extra.perf.PAPI_L3_TCM.122604,3414127.0
1751801213.9580564,nrm.extra.perf.PAPI_L3_TCA.122604,14351421.0
1751801213.9580564,nrm.extra.perf.PAPI_TOT_INS.122604,9475711478.0
1751801213.9580564,nrm.extra.perf.PAPI_TOT_CYC.122604,7595144730.0
1751801213.9580564,nrm.extra.perf.PAPI_RES_STL.122604,1065112337.0
1751801213.9580564,nrm.extra.perf.PAPI_L3_TCM.122604,10089950.0
1751801214.9581313,nrm.extra.perf.PAPI_L3_TCA.122604,22834152.0
1751801214.9581313,nrm.extra.perf.PAPI_TOT_INS.122604,14931957868.0
1751801214.9581313,nrm.extra.perf.PAPI_TOT_CYC.122604,10605082484.0
1751801214.9581313,nrm.extra.perf.PAPI_RES_STL.122604,1386896544.0
1751801214.9581313,nrm.extra.perf.PAPI_L3_TCM.122604,16749376.0
1751801215.9581985,nrm.extra.perf.PAPI_L3_TCA.122604,32275422.0
1751801215.9581985,nrm.extra.perf.PAPI_TOT_INS.122604,20782904817.0
1751801215.9581985,nrm.extra.perf.PAPI_TOT_CYC.122604,13700443597.0
1751801215.9581985,nrm.extra.perf.PAPI_RES_STL.122604,1736865218.0
1751801215.9581985,nrm.extra.perf.PAPI_L3_TCM.122604,24341329.0
1751801216.9582713,nrm.extra.perf.PAPI_L3_TCA.122604,42156445.0
1751801216.9582713,nrm.extra.perf.PAPI_TOT_INS.122604,26685491688.0
1751801216.9582713,nrm.extra.perf.PAPI_TOT_CYC.122604,16757099570.0
1751801216.9582713,nrm.extra.perf.PAPI_RES_STL.122604,2094069449.0
1751801216.9582713,nrm.extra.perf.PAPI_L3_TCM.122604,32487142.0
1751801217.958342,nrm.extra.perf.PAPI_L3_TCA.122604,52671089.0
1751801217.958342,nrm.extra.perf.PAPI_TOT_INS.122604,32814242778.0
1751801217.958342,nrm.extra.perf.PAPI_TOT_CYC.122604,19833810305.0
1751801217.958342,nrm.extra.perf.PAPI_RES_STL.122604,2460831754.0
1751801217.958342,nrm.extra.perf.PAPI_L3_TCM.122604,41279876.0
1751801218.957409,nrm.extra.perf.PAPI_L3_TCA.122604,63755090.0
1751801218.957409,nrm.extra.perf.PAPI_TOT_INS.122604,39135682642.0
1751801218.957409,nrm.extra.perf.PAPI_TOT_CYC.122604,22919205468.0
1751801218.957409,nrm.extra.perf.PAPI_RES_STL.122604,2835709565.0
1751801218.957409,nrm.extra.perf.PAPI_L3_TCM.122604,50676093.0
1751801219.9574726,nrm.extra.perf.PAPI_L3_TCA.122604,75229759.0
1751801219.9574726,nrm.extra.perf.PAPI_TOT_INS.122604,45597396808.0
1751801219.9574726,nrm.extra.perf.PAPI_TOT_CYC.122604,25998257355.0
1751801219.9574726,nrm.extra.perf.PAPI_RES_STL.122604,3211129827.0
1751801219.9574726,nrm.extra.perf.PAPI_L3_TCM.122604,60484370.0
1751801220.957545,nrm.extra.perf.PAPI_L3_TCA.122604,87175389.0
1751801220.957545,nrm.extra.perf.PAPI_TOT_INS.122604,52251536607.0
1751801220.957545,nrm.extra.perf.PAPI_TOT_CYC.122604,29090415902.0
1751801220.957545,nrm.extra.perf.PAPI_RES_STL.122604,3590192323.0
1751801220.957545,nrm.extra.perf.PAPI_L3_TCM.122604,70788065.0
1751801221.9576151,nrm.extra.perf.PAPI_L3_TCA.122604,99544944.0
1751801221.9576151,nrm.extra.perf.PAPI_TOT_INS.122604,59138490480.0
1751801221.9576151,nrm.extra.perf.PAPI_TOT_CYC.122604,32204931535.0
1751801221.9576151,nrm.extra.perf.PAPI_RES_STL.122604,3972212337.0
1751801221.9576151,nrm.extra.perf.PAPI_L3_TCM.122604,81504741.0
1751801222.9576826,nrm.extra.perf.PAPI_L3_TCA.122604,111631280.0
1751801222.9576826,nrm.extra.perf.PAPI_TOT_INS.122604,66251476918.0
1751801222.9576826,nrm.extra.perf.PAPI_TOT_CYC.122604,35348758641.0
1751801222.9576826,nrm.extra.perf.PAPI_RES_STL.122604,4363726516.0
1751801222.9576826,nrm.extra.perf.PAPI_L3_TCM.122604,91994220.0
1751801223.9577467,nrm.extra.perf.PAPI_L3_TCA.122604,124002555.0
1751801223.9577467,nrm.extra.perf.PAPI_TOT_INS.122604,73356679601.0
1751801223.9577467,nrm.extra.perf.PAPI_TOT_CYC.122604,38445613873.0
1751801223.9577467,nrm.extra.perf.PAPI_RES_STL.122604,4748953981.0
1751801223.9577467,nrm.extra.perf.PAPI_L3_TCM.122604,102802066.0
1751801224.9578176,nrm.extra.perf.PAPI_L3_TCA.122604,137282661.0
1751801224.9578176,nrm.extra.perf.PAPI_TOT_INS.122604,80920375254.0
1751801224.9578176,nrm.extra.perf.PAPI_TOT_CYC.122604,41632286500.0
1751801224.9578176,nrm.extra.perf.PAPI_RES_STL.122604,5139527729.0
1751801224.9578176,nrm.extra.perf.PAPI_L3_TCM.122604,114415426.0
1751801225.959775,nrm.extra.perf.PAPI_L3_TCA.122604,2354850113.0
1751801225.959775,nrm.extra.perf.PAPI_TOT_INS.122604,120542210192.0
1751801225.959775,nrm.extra.perf.PAPI_TOT_CYC.122604,252044605440.0
1751801225.959775,nrm.extra.perf.PAPI_RES_STL.122604,149313388441.0
1751801225.959775,nrm.extra.perf.PAPI_L3_TCM.122604,847422911.0
1751801226.9596722,nrm.extra.perf.PAPI_L3_TCA.122604,5623382388.0
1751801226.9596722,nrm.extra.perf.PAPI_TOT_INS.122604,176302288008.0
1751801226.9596722,nrm.extra.perf.PAPI_TOT_CYC.122604,557952851833.0
1751801226.9596722,nrm.extra.perf.PAPI_RES_STL.122604,359844857346.0
1751801226.9596722,nrm.extra.perf.PAPI_L3_TCM.122604,1895877167.0
1751801227.9589136,nrm.extra.perf.PAPI_L3_TCA.122604,9845335840.0
1751801227.9589136,nrm.extra.perf.PAPI_TOT_INS.122604,243253782068.0
1751801227.9589136,nrm.extra.perf.PAPI_TOT_CYC.122604,859462052034.0
1751801227.9589136,nrm.extra.perf.PAPI_RES_STL.122604,574617007162.0
1751801227.9589136,nrm.extra.perf.PAPI_L3_TCM.122604,3246985099.0
1751801228.9594784,nrm.extra.perf.PAPI_L3_TCA.122604,14575401076.0
1751801228.9594784,nrm.extra.perf.PAPI_TOT_INS.122604,315772222675.0
1751801228.9594784,nrm.extra.perf.PAPI_TOT_CYC.122604,1161845708036.0
1751801228.9594784,nrm.extra.perf.PAPI_RES_STL.122604,798736778474.0
1751801228.9594784,nrm.extra.perf.PAPI_L3_TCM.122604,4757379546.0
1751801229.9592865,nrm.extra.perf.PAPI_L3_TCA.122604,19304695164.0
1751801229.9592865,nrm.extra.perf.PAPI_TOT_INS.122604,388320314257.0
1751801229.9592865,nrm.extra.perf.PAPI_TOT_CYC.122604,1464125782055.0
1751801229.9592865,nrm.extra.perf.PAPI_RES_STL.122604,1022372049589.0
1751801229.9592865,nrm.extra.perf.PAPI_L3_TCM.122604,6265002299.0
1751801230.9594848,nrm.extra.perf.PAPI_L3_TCA.122604,24045680235.0
1751801230.9594848,nrm.extra.perf.PAPI_TOT_INS.122604,460949564190.0
1751801230.9594848,nrm.extra.perf.PAPI_TOT_CYC.122604,1766475831827.0
1751801230.9594848,nrm.extra.perf.PAPI_RES_STL.122604,1246152304143.0
1751801230.9594848,nrm.extra.perf.PAPI_L3_TCM.122604,7772436151.0
1751801231.9593482,nrm.extra.perf.PAPI_L3_TCA.122604,28770760256.0
1751801231.9593482,nrm.extra.perf.PAPI_TOT_INS.122604,533439463385.0
1751801231.9593482,nrm.extra.perf.PAPI_TOT_CYC.122604,2068469428013.0
1751801231.9593482,nrm.extra.perf.PAPI_RES_STL.122604,1469677672821.0
1751801231.9593482,nrm.extra.perf.PAPI_L3_TCM.122604,9278692858.0
1751801232.959293,nrm.extra.perf.PAPI_L3_TCA.122604,33503902581.0
1751801232.959293,nrm.extra.perf.PAPI_TOT_INS.122604,606050854201.0
1751801232.959293,nrm.extra.perf.PAPI_TOT_CYC.122604,2370114566194.0
1751801232.959293,nrm.extra.perf.PAPI_RES_STL.122604,1692554345223.0
1751801232.959293,nrm.extra.perf.PAPI_L3_TCM.122604,10785089516.0
1751801233.9592001,nrm.extra.perf.PAPI_L3_TCA.122604,38237600490.0
1751801233.9592001,nrm.extra.perf.PAPI_TOT_INS.122604,678652479861.0
1751801233.9592001,nrm.extra.perf.PAPI_TOT_CYC.122604,2671636537246.0
1751801233.9592001,nrm.extra.perf.PAPI_RES_STL.122604,1915387882184.0
1751801233.9592001,nrm.extra.perf.PAPI_L3_TCM.122604,12291181959.0
1751801234.9598482,nrm.extra.perf.PAPI_L3_TCA.122604,42956757589.0
1751801234.9598482,nrm.extra.perf.PAPI_TOT_INS.122604,751188778695.0
1751801234.9598482,nrm.extra.perf.PAPI_TOT_CYC.122604,2973357163194.0
1751801234.9598482,nrm.extra.perf.PAPI_RES_STL.122604,2137407853719.0
1751801234.9598482,nrm.extra.perf.PAPI_L3_TCM.122604,13791575140.0
1751801235.9598138,nrm.extra.perf.PAPI_L3_TCA.122604,48200019732.0
1751801235.9598138,nrm.extra.perf.PAPI_TOT_INS.122604,830950990822.0
1751801235.9598138,nrm.extra.perf.PAPI_TOT_CYC.122604,3269903824704.0
1751801235.9598138,nrm.extra.perf.PAPI_RES_STL.122604,2348986953583.0
1751801235.9598138,nrm.extra.perf.PAPI_L3_TCM.122604,15462083021.0
1751801236.9591432,nrm.extra.perf.PAPI_L3_TCA.122604,53977887635.0
1751801236.9591432,nrm.extra.perf.PAPI_TOT_INS.122604,917339375022.0
1751801236.9591432,nrm.extra.perf.PAPI_TOT_CYC.122604,3566437960487.0
1751801236.9591432,nrm.extra.perf.PAPI_RES_STL.122604,2560920258655.0
1751801236.9591432,nrm.extra.perf.PAPI_L3_TCM.122604,17290916246.0
1751801237.960142,nrm.extra.perf.PAPI_L3_TCA.122604,60174286447.0
1751801237.960142,nrm.extra.perf.PAPI_TOT_INS.122604,1007310144702.0
1751801237.960142,nrm.extra.perf.PAPI_TOT_CYC.122604,3858815027835.0
1751801237.960142,nrm.extra.perf.PAPI_RES_STL.122604,2782451672141.0
1751801237.960142,nrm.extra.perf.PAPI_L3_TCM.122604,19263775397.0
1751801238.9598663,nrm.extra.perf.PAPI_L3_TCA.122604,66926592800.0
1751801238.9598663,nrm.extra.perf.PAPI_TOT_INS.122604,1102349870354.0
1751801238.9598663,nrm.extra.perf.PAPI_TOT_CYC.122604,4150649722468.0
1751801238.9598663,nrm.extra.perf.PAPI_RES_STL.122604,3018646627384.0
1751801238.9598663,nrm.extra.perf.PAPI_L3_TCM.122604,21404260736.0
1751801239.9593248,nrm.extra.perf.PAPI_L3_TCA.122604,73639423989.0
1751801239.9593248,nrm.extra.perf.PAPI_TOT_INS.122604,1197039653488.0
1751801239.9593248,nrm.extra.perf.PAPI_TOT_CYC.122604,4442402423958.0
1751801239.9593248,nrm.extra.perf.PAPI_RES_STL.122604,3253577914379.0
1751801239.9593248,nrm.extra.perf.PAPI_L3_TCM.122604,23531506132.0
1751801240.9587786,nrm.extra.perf.PAPI_L3_TCA.122604,80366393949.0
1751801240.9587786,nrm.extra.perf.PAPI_TOT_INS.122604,1291864535942.0
1751801240.9587786,nrm.extra.perf.PAPI_TOT_CYC.122604,4734095337664.0
1751801240.9587786,nrm.extra.perf.PAPI_RES_STL.122604,3488962420735.0
1751801240.9587786,nrm.extra.perf.PAPI_L3_TCM.122604,25662405911.0
1751801241.9596117,nrm.extra.perf.PAPI_L3_TCA.122604,87087118623.0
1751801241.9596117,nrm.extra.perf.PAPI_TOT_INS.122604,1386672487317.0
1751801241.9596117,nrm.extra.perf.PAPI_TOT_CYC.122604,5026161068057.0
1751801241.9596117,nrm.extra.perf.PAPI_RES_STL.122604,3724375506042.0
1751801241.9596117,nrm.extra.perf.PAPI_L3_TCM.122604,27792203208.0
1751801242.958955,nrm.extra.perf.PAPI_L3_TCA.122604,93822389572.0
1751801242.958955,nrm.extra.perf.PAPI_TOT_INS.122604,1481564377064.0
1751801242.958955,nrm.extra.perf.PAPI_TOT_CYC.122604,5317774628642.0
1751801242.958955,nrm.extra.perf.PAPI_RES_STL.122604,3959677264895.0
1751801242.958955,nrm.extra.perf.PAPI_L3_TCM.122604,29921761370.0
1751801243.959817,nrm.extra.perf.PAPI_L3_TCA.122604,100559142952.0
1751801243.959817,nrm.extra.perf.PAPI_TOT_INS.122604,1576522416568.0
1751801243.959817,nrm.extra.perf.PAPI_TOT_CYC.122604,5609623344094.0
1751801243.959817,nrm.extra.perf.PAPI_RES_STL.122604,4195506997966.0
1751801243.959817,nrm.extra.perf.PAPI_L3_TCM.122604,32056556150.0
1751801244.9592597,nrm.extra.perf.PAPI_L3_TCA.122604,107256465861.0
1751801244.9592597,nrm.extra.perf.PAPI_TOT_INS.122604,1671101015186.0
1751801244.9592597,nrm.extra.perf.PAPI_TOT_CYC.122604,5901083261732.0
1751801244.9592597,nrm.extra.perf.PAPI_RES_STL.122604,4429470469998.0
1751801244.9592597,nrm.extra.perf.PAPI_L3_TCM.122604,34173987611.0
1751801245.9601839,nrm.extra.perf.PAPI_L3_TCA.122604,113994771487.0
1751801245.9601839,nrm.extra.perf.PAPI_TOT_INS.122604,1766043561463.0
1751801245.9601839,nrm.extra.perf.PAPI_TOT_CYC.122604,6192539220571.0
1751801245.9601839,nrm.extra.perf.PAPI_RES_STL.122604,4665014053066.0
1751801245.9601839,nrm.extra.perf.PAPI_L3_TCM.122604,36309284345.0
1751801246.9598453,nrm.extra.perf.PAPI_L3_TCA.122604,120725567562.0
1751801246.9598453,nrm.extra.perf.PAPI_TOT_INS.122604,1860902102300.0
1751801246.9598453,nrm.extra.perf.PAPI_TOT_CYC.122604,6483772410307.0
1751801246.9598453,nrm.extra.perf.PAPI_RES_STL.122604,4899969849444.0
1751801246.9598453,nrm.extra.perf.PAPI_L3_TCM.122604,38438362999.0
1751801247.959264,nrm.extra.perf.PAPI_L3_TCA.122604,127371129801.0
1751801247.959264,nrm.extra.perf.PAPI_TOT_INS.122604,1954992390248.0
1751801247.959264,nrm.extra.perf.PAPI_TOT_CYC.122604,6773504042772.0
1751801247.959264,nrm.extra.perf.PAPI_RES_STL.122604,5131948126084.0
1751801247.959264,nrm.extra.perf.PAPI_L3_TCM.122604,40545819538.0
1751801248.9596736,nrm.extra.perf.PAPI_L3_TCA.122604,134077540962.0
1751801248.9596736,nrm.extra.perf.PAPI_TOT_INS.122604,2050101820825.0
1751801248.9596736,nrm.extra.perf.PAPI_TOT_CYC.122604,7064682081267.0
1751801248.9596736,nrm.extra.perf.PAPI_RES_STL.122604,5366542815682.0
1751801248.9596736,nrm.extra.perf.PAPI_L3_TCM.122604,42681819074.0
1751801249.9592917,nrm.extra.perf.PAPI_L3_TCA.122604,140779174948.0
1751801249.9592917,nrm.extra.perf.PAPI_TOT_INS.122604,2145127029647.0
1751801249.9592917,nrm.extra.perf.PAPI_TOT_CYC.122604,7355495147772.0
1751801249.9592917,nrm.extra.perf.PAPI_RES_STL.122604,5601109481084.0
1751801249.9592917,nrm.extra.perf.PAPI_L3_TCM.122604,44817121613.0
1751801250.9592195,nrm.extra.perf.PAPI_L3_TCA.122604,147400807452.0
1751801250.9592195,nrm.extra.perf.PAPI_TOT_INS.122604,2239261241605.0
1751801250.9592195,nrm.extra.perf.PAPI_TOT_CYC.122604,7644635753204.0
1751801250.9592195,nrm.extra.perf.PAPI_RES_STL.122604,5832716007885.0
1751801250.9592195,nrm.extra.perf.PAPI_L3_TCM.122604,46929959073.0
1751801251.960161,nrm.extra.perf.PAPI_L3_TCA.122604,154127276726.0
1751801251.960161,nrm.extra.perf.PAPI_TOT_INS.122604,2334557603090.0
1751801251.960161,nrm.extra.perf.PAPI_TOT_CYC.122604,7935758501757.0
1751801251.960161,nrm.extra.perf.PAPI_RES_STL.122604,6067874793706.0
1751801251.960161,nrm.extra.perf.PAPI_L3_TCM.122604,49072438904.0
1751801252.9597635,nrm.extra.perf.PAPI_L3_TCA.122604,160360138317.0
1751801252.9597635,nrm.extra.perf.PAPI_TOT_INS.122604,2425688460047.0
1751801252.9597635,nrm.extra.perf.PAPI_TOT_CYC.122604,8229061306254.0
1751801252.9597635,nrm.extra.perf.PAPI_RES_STL.122604,6288599681202.0
1751801252.9597635,nrm.extra.perf.PAPI_L3_TCM.122604,51058494437.0
1751801253.9593668,nrm.extra.perf.PAPI_L3_TCA.122604,166122541800.0
1751801253.9593668,nrm.extra.perf.PAPI_TOT_INS.122604,2512893462613.0
1751801253.9593668,nrm.extra.perf.PAPI_TOT_CYC.122604,8525226897369.0
1751801253.9593668,nrm.extra.perf.PAPI_RES_STL.122604,6496204970631.0
1751801253.9593668,nrm.extra.perf.PAPI_L3_TCM.122604,52896389151.0
1751801254.9592206,nrm.extra.perf.PAPI_L3_TCA.122604,171860742835.0
1751801254.9592206,nrm.extra.perf.PAPI_TOT_INS.122604,2599885488290.0
1751801254.9592206,nrm.extra.perf.PAPI_TOT_CYC.122604,8821307859045.0
1751801254.9592206,nrm.extra.perf.PAPI_RES_STL.122604,6702996580247.0
1751801254.9592206,nrm.extra.perf.PAPI_L3_TCM.122604,54727320173.0
1751801255.9594693,nrm.extra.perf.PAPI_L3_TCA.122604,177652627559.0
1751801255.9594693,nrm.extra.perf.PAPI_TOT_INS.122604,2687338524494.0
1751801255.9594693,nrm.extra.perf.PAPI_TOT_CYC.122604,9117632469300.0
1751801255.9594693,nrm.extra.perf.PAPI_RES_STL.122604,6911448920320.0
1751801255.9594693,nrm.extra.perf.PAPI_L3_TCM.122604,56570638888.0
1751801256.9593375,nrm.extra.perf.PAPI_L3_TCA.122604,183437209305.0
1751801256.9593375,nrm.extra.perf.PAPI_TOT_INS.122604,2774726527658.0
1751801256.9593375,nrm.extra.perf.PAPI_TOT_CYC.122604,9413657471958.0
1751801256.9593375,nrm.extra.perf.PAPI_RES_STL.122604,7120059220261.0
1751801256.9593375,nrm.extra.perf.PAPI_L3_TCM.122604,58417669593.0
1751801257.9586046,nrm.extra.perf.PAPI_L3_TCA.122604,189233184763.0
1751801257.9586046,nrm.extra.perf.PAPI_TOT_INS.122604,2862174165185.0
1751801257.9586046,nrm.extra.perf.PAPI_TOT_CYC.122604,9709668168774.0
1751801257.9586046,nrm.extra.perf.PAPI_RES_STL.122604,7328553578223.0
1751801257.9586046,nrm.extra.perf.PAPI_L3_TCM.122604,60262054420.0
1751801258.9592452,nrm.extra.perf.PAPI_L3_TCA.122604,195026909570.0
1751801258.9592452,nrm.extra.perf.PAPI_TOT_INS.122604,2949676995835.0
1751801258.9592452,nrm.extra.perf.PAPI_TOT_CYC.122604,10006039202555.0
1751801258.9592452,nrm.extra.perf.PAPI_RES_STL.122604,7537423123932.0
1751801258.9592452,nrm.extra.perf.PAPI_L3_TCM.122604,62110174621.0
1751801259.9601443,nrm.extra.perf.PAPI_L3_TCA.122604,200817688855.0
1751801259.9601443,nrm.extra.perf.PAPI_TOT_INS.122604,3037143516006.0
1751801259.9601443,nrm.extra.perf.PAPI_TOT_CYC.122604,10302397326107.0
1751801259.9601443,nrm.extra.perf.PAPI_RES_STL.122604,7746077399113.0
1751801259.9601443,nrm.extra.perf.PAPI_L3_TCM.122604,63956752520.0
1751801260.9598815,nrm.extra.perf.PAPI_L3_TCA.122604,206606021023.0
1751801260.9598815,nrm.extra.perf.PAPI_TOT_INS.122604,3124557452003.0
1751801260.9598815,nrm.extra.perf.PAPI_TOT_CYC.122604,10598510168985.0
1751801260.9598815,nrm.extra.perf.PAPI_RES_STL.122604,7954629256317.0
1751801260.9598815,nrm.extra.perf.PAPI_L3_TCM.122604,65800910867.0
1751801261.9597669,nrm.extra.perf.PAPI_L3_TCA.122604,212400260358.0
1751801261.9597669,nrm.extra.perf.PAPI_TOT_INS.122604,3212006267177.0
1751801261.9597669,nrm.extra.perf.PAPI_TOT_CYC.122604,10894519900972.0
1751801261.9597669,nrm.extra.perf.PAPI_RES_STL.122604,8163357990284.0
1751801261.9597669,nrm.extra.perf.PAPI_L3_TCM.122604,67648353615.0
1751801262.959702,nrm.extra.perf.PAPI_L3_TCA.122604,218198357041.0
1751801262.959702,nrm.extra.perf.PAPI_TOT_INS.122604,3299512747352.0
1751801262.959702,nrm.extra.perf.PAPI_TOT_CYC.122604,11190510921460.0
1751801262.959702,nrm.extra.perf.PAPI_RES_STL.122604,8372018132524.0
1751801262.959702,nrm.extra.perf.PAPI_L3_TCM.122604,69496071971.0
1751801263.9596334,nrm.extra.perf.PAPI_L3_TCA.122604,223997618768.0
1751801263.9596334,nrm.extra.perf.PAPI_TOT_INS.122604,3387008288237.0
1751801263.9596334,nrm.extra.perf.PAPI_TOT_CYC.122604,11486547072620.0
1751801263.9596334,nrm.extra.perf.PAPI_RES_STL.122604,8580872497069.0
1751801263.9596334,nrm.extra.perf.PAPI_L3_TCM.122604,71344400852.0
1751801264.9594946,nrm.extra.perf.PAPI_L3_TCA.122604,229763259430.0
1751801264.9594946,nrm.extra.perf.PAPI_TOT_INS.122604,3474238162499.0
1751801264.9594946,nrm.extra.perf.PAPI_TOT_CYC.122604,11782627077962.0
1751801264.9594946,nrm.extra.perf.PAPI_RES_STL.122604,8788510740160.0
1751801264.9594946,nrm.extra.perf.PAPI_L3_TCM.122604,73181771059.0
1751801265.95885,nrm.extra.perf.PAPI_L3_TCA.122604,235554965099.0
1751801265.95885,nrm.extra.perf.PAPI_TOT_INS.122604,3561666839192.0
1751801265.95885,nrm.extra.perf.PAPI_TOT_CYC.122604,12078637276440.0
1751801265.95885,nrm.extra.perf.PAPI_RES_STL.122604,8996888634694.0
1751801265.95885,nrm.extra.perf.PAPI_L3_TCM.122604,75024880474.0
1751801266.9597504,nrm.extra.perf.PAPI_L3_TCA.122604,241342835326.0
1751801266.9597504,nrm.extra.perf.PAPI_TOT_INS.122604,3649105916487.0
1751801266.9597504,nrm.extra.perf.PAPI_TOT_CYC.122604,12374923485483.0
1751801266.9597504,nrm.extra.perf.PAPI_RES_STL.122604,9205589318480.0
1751801266.9597504,nrm.extra.perf.PAPI_L3_TCM.122604,76871737413.0
1751801267.9596386,nrm.extra.perf.PAPI_L3_TCA.122604,247139098461.0
1751801267.9596386,nrm.extra.perf.PAPI_TOT_INS.122604,3736578806768.0
1751801267.9596386,nrm.extra.perf.PAPI_TOT_CYC.122604,12670921843056.0
1751801267.9596386,nrm.extra.perf.PAPI_RES_STL.122604,9414360831543.0
1751801267.9596386,nrm.extra.perf.PAPI_L3_TCM.122604,78718689382.0
1751801268.959054,nrm.extra.perf.PAPI_L3_TCA.122604,252695255768.0
1751801268.959054,nrm.extra.perf.PAPI_TOT_INS.122604,3821820690247.0
1751801268.959054,nrm.extra.perf.PAPI_TOT_CYC.122604,12967052858216.0
1751801268.959054,nrm.extra.perf.PAPI_RES_STL.122604,9616210964789.0
1751801268.959054,nrm.extra.perf.PAPI_L3_TCM.122604,80489205344.0
1751801269.9594367,nrm.extra.perf.PAPI_L3_TCA.122604,258125342642.0
1751801269.9594367,nrm.extra.perf.PAPI_TOT_INS.122604,3905804275271.0
1751801269.9594367,nrm.extra.perf.PAPI_TOT_CYC.122604,13263608966507.0
1751801269.9594367,nrm.extra.perf.PAPI_RES_STL.122604,9815856228942.0
1751801269.9594367,nrm.extra.perf.PAPI_L3_TCM.122604,82223121882.0
