time,scope,value
1765116648.6453102,0,53221815.49139404
1765116648.6453102,1,53221815.49139404
1765116649.6443057,0,53221973.96697998
1765116649.6443057,1,53221973.96697998
1765116650.6443174,0,53222131.40307617
1765116650.6443174,1,53222131.40307617
1765116651.6443179,0,53222277.970581055
1765116651.6443179,1,53222277.970581055
1765116652.6443093,0,53222424.49975586
1765116652.6443093,1,53222424.49975586
1765116653.6443105,0,53222571.02630615
1765116653.6443105,1,53222571.02630615
1765116654.6443279,0,53222717.71862793
1765116654.6443279,1,53222717.71862793
1765116655.6443293,0,53222864.300354004
1765116655.6443293,1,53222864.300354004
1765116656.644311,0,53223010.79144287
1765116656.644311,1,53223010.79144287
1765116657.6443079,0,53223157.398620605
1765116657.6443079,1,53223157.398620605
1765116658.6443272,0,53223303.94128418
1765116658.6443272,1,53223304.09692383
1765116659.6442947,0,53223450.59979248
1765116659.6442947,1,53223450.59979248
1765116660.644318,0,53223597.12475586
1765116660.644318,1,53223597.12475586
1765116661.6443262,0,53223743.687805176
1765116661.6443262,1,53223743.687805176
1765116662.6443229,0,53223890.253723145
1765116662.6443229,1,53223890.253723145
1765116663.644321,0,53224036.898864746
1765116663.644321,1,53224036.898864746
1765116664.6443088,0,53224183.43951416
1765116664.6443088,1,53224183.43951416
1765116665.644325,0,53224330.04901123
1765116665.644325,1,53224330.04901123
1765116666.6443126,0,53224476.58459473
1765116666.6443126,1,53224476.58459473
1765116667.6443124,0,53224623.1416626
1765116667.6443124,1,53224623.1416626
1765116668.64432,0,53224769.701049805
1765116668.64432,1,53224769.701049805
1765116669.6443186,0,53224916.43383789
1765116669.6443186,1,53224916.43383789
1765116670.6443214,0,53225062.95275879
1765116670.6443214,1,53225062.95275879
1765116671.6443248,0,53225209.507995605
1765116671.6443248,1,53225209.507995605
1765116672.6443226,0,53225356.07098389
1765116672.6443226,1,53225356.07098389
1765116673.6443226,0,53225502.63946533
1765116673.6443226,1,53225502.63946533
1765116674.6443248,0,53225649.16900635
1765116674.6443248,1,53225649.32775879
1765116675.6443188,0,53225795.882873535
1765116675.6443188,1,53225795.882873535
1765116676.6443164,0,53225942.453308105
1765116676.6443164,1,53225942.453308105
1765116677.6443064,0,53226088.999816895
1765116677.6443064,1,53226088.999816895
1765116678.6443217,0,53226235.52984619
1765116678.6443217,1,53226235.52984619
1765116679.6443179,0,53226382.177368164
1765116679.6443179,1,53226382.177368164
1765116680.6443033,0,53226528.6741333
1765116680.6443033,1,53226528.6741333
1765116681.6443176,0,53226675.204711914
1765116681.6443176,1,53226675.36907959
1765116682.6443155,0,53226821.900390625
1765116682.6443155,1,53226821.900390625
1765116683.6443405,0,53226968.49121094
1765116683.6443405,1,53226968.49121094
1765116684.6443226,0,53227115.00958252
1765116684.6443226,1,53227115.00958252
1765116685.6443255,0,53227261.59680176
1765116685.6443255,1,53227261.59680176
1765116686.6443107,0,53227408.14880371
1765116686.6443107,1,53227408.14880371
1765116687.6443155,0,53227554.682006836
1765116687.6443155,1,53227554.82336426
1765116688.6443214,0,53227701.419555664
1765116688.6443214,1,53227701.419555664
1765116689.644326,0,53227847.93902588
1765116689.644326,1,53227847.93902588
1765116690.6443105,0,53227994.523498535
1765116690.6443105,1,53227994.523498535
1765116691.644314,0,53228141.1149292
1765116691.644314,1,53228141.1149292
1765116692.6443062,0,53228287.6361084
1765116692.6443062,1,53228287.6361084
1765116693.6443195,0,53228434.230895996
1765116693.6443195,1,53228434.230895996
1765116694.6443162,0,53228580.7824707
1765116694.6443162,1,53228580.7824707
1765116695.6443229,0,53228727.35595703
1765116695.6443229,1,53228727.35595703
1765116696.6443224,0,53228873.86419678
1765116696.6443224,1,53228874.03259277
1765116697.6443079,0,53229020.429870605
1765116697.6443079,1,53229020.58544922
1765116698.6443188,0,53229167.13293457
1765116698.6443188,1,53229167.13293457
1765116699.644318,0,53229313.68829346
1765116699.644318,1,53229313.68829346
1765116700.6443243,0,53229460.273010254
1765116700.6443243,1,53229460.273010254
1765116701.6443195,0,53229606.86138916
1765116701.6443195,1,53229606.86138916
1765116702.6443257,0,53229753.431884766
1765116702.6443257,1,53229753.431884766
1765116703.6443262,0,53229899.95202637
1765116703.6443262,1,53229899.95202637
1765116704.6443148,0,53230046.6315918
1765116704.6443148,1,53230046.6315918
1765116705.6443176,0,53230193.187438965
1765116705.6443176,1,53230193.187438965
1765116706.6443207,0,53230339.75524902
1765116706.6443207,1,53230339.75524902
1765116707.644314,0,53230486.27008057
1765116707.644314,1,53230486.27008057
1765116708.6443205,0,53230632.860839844
1765116708.6443205,1,53230632.860839844
1765116709.6442535,0,53230779.4420166
1765116709.6442535,1,53230779.4420166
1765116710.6443195,0,53230926.09820557
1765116710.6443195,1,53230926.09820557
1765116711.6443195,0,53231072.62890625
1765116711.6443195,1,53231072.62890625
1765116712.6443179,0,53231219.187072754
1765116712.6443179,1,53231219.187072754
1765116713.6443172,0,53231365.70611572
1765116713.6443172,1,53231365.70611572
1765116714.6443164,0,53231512.27789307
1765116714.6443164,1,53231512.27789307
1765116715.644326,0,53231658.98950195
1765116715.644326,1,53231658.98950195
1765116716.644299,0,53231805.521240234
1765116716.644299,1,53231805.521240234
1765116717.6443162,0,53231952.0491333
1765116717.6443162,1,53231952.0491333
1765116718.6443017,0,53232098.610961914
1765116718.6443017,1,53232098.728271484
1765116719.6443188,0,53232245.1998291
1765116719.6443188,1,53232245.1998291
1765116720.644314,0,53232391.734436035
1765116720.644314,1,53232391.86791992
1765116721.6443143,0,53232538.33355713
1765116721.6443143,1,53232538.47314453
1765116722.644312,0,53232684.913635254
1765116722.644312,1,53232685.01470947
1765116723.6443105,0,53232831.597351074
1765116723.6443105,1,53232831.597351074
1765116724.6443233,0,53232978.135131836
1765116724.6443233,1,53232978.135131836
1765116725.6443157,0,53233124.6708374
1765116725.6443157,1,53233124.6708374
1765116726.6443205,0,53233271.232421875
1765116726.6443205,1,53233271.3828125
1765116727.644327,0,53233417.76904297
1765116727.644327,1,53233417.92211914
1765116728.644329,0,53233564.46826172
1765116728.644329,1,53233564.46826172
1765116729.6443021,0,53233711.02819824
1765116729.6443021,1,53233711.02819824
1765116730.6443229,0,53233857.55914307
1765116730.6443229,1,53233857.55914307
1765116731.6443126,0,53234004.23321533
1765116731.6443126,1,53234004.23321533
1765116732.6443136,0,53234150.72088623
1765116732.6443136,1,53234150.72088623
1765116733.6443133,0,53234297.30371094
1765116733.6443133,1,53234297.30371094
1765116734.6443148,0,53234443.86004639
1765116734.6443148,1,53234443.86004639
1765116735.6443243,0,53234590.491760254
1765116735.6443243,1,53234590.491760254
1765116736.644302,0,53234737.08947754
1765116736.644302,1,53234737.08947754
1765116737.644305,0,53234883.63000488
1765116737.644305,1,53234883.63000488
1765116738.6443176,0,53235030.19213867
1765116738.6443176,1,53235030.19213867
1765116739.6443195,0,53235176.77178955
1765116739.6443195,1,53235176.77178955
1765116740.644325,0,53235323.439331055
1765116740.644325,1,53235323.439331055
1765116741.6443267,0,53235469.87774658
1765116741.6443267,1,53235470.03088379
1765116742.6443093,0,53235616.536621094
1765116742.6443093,1,53235616.536621094
1765116743.6443126,0,53235763.127441406
1765116743.6443126,1,53235763.127441406
1765116744.644323,0,53235909.70446777
1765116744.644323,1,53235909.70446777
1765116745.6443298,0,53236056.238708496
1765116745.6443298,1,53236056.351379395
1765116746.6443117,0,53236202.76019287
1765116746.6443117,1,53236202.922058105
1765116747.6443229,0,53236349.44995117
1765116747.6443229,1,53236349.44995117
1765116748.6443167,0,53236495.99847412
1765116748.6443167,1,53236495.99847412
1765116749.6443264,0,53236642.51849365
1765116749.6443264,1,53236642.66467285
1765116750.6443186,0,53236789.08166504
1765116750.6443186,1,53236789.08166504
1765116751.644313,0,53236935.664367676
1765116751.644313,1,53236935.664367676
1765116752.6443264,0,53237082.26068115
1765116752.6443264,1,53237082.38482666
1765116753.6443145,0,53237228.80419922
1765116753.6443145,1,53237228.94580078
1765116754.6443102,0,53237375.480163574
1765116754.6443102,1,53237375.480163574
1765116755.644323,0,53237522.06591797
1765116755.644323,1,53237522.06591797
1765116756.644317,0,53237668.61004639
1765116756.644317,1,53237668.61004639
1765116757.6443248,0,53237815.14343262
1765116757.6443248,1,53237815.14343262
1765116758.6443229,0,53237961.8225708
1765116758.6443229,1,53237961.8225708
1765116759.6443179,0,53238108.34051514
1765116759.6443179,1,53238108.34051514
1765116760.6443226,0,53238254.88104248
1765116760.6443226,1,53238254.88104248
1765116761.644309,0,53238401.56335449
1765116761.644309,1,53238401.56335449
1765116762.6443255,0,53238548.14141846
1765116762.6443255,1,53238548.14141846
1765116763.6443102,0,53238694.669433594
1765116763.6443102,1,53238694.669433594
1765116764.644323,0,53238841.200683594
1765116764.644323,1,53238841.200683594
1765116765.6443162,0,53238987.85473633
1765116765.6443162,1,53238987.85473633
1765116766.6443172,0,53239134.40490723
1765116766.6443172,1,53239134.40490723
1765116767.644327,0,53239280.976501465
1765116767.644327,1,53239280.976501465
1765116768.6443236,0,53239427.49523926
1765116768.6443236,1,53239427.49523926
1765116769.6443193,0,53239574.08538818
1765116769.6443193,1,53239574.08538818
1765116770.6443026,0,53239720.7255249
1765116770.6443026,1,53239720.7255249
1765116771.6443262,0,53239867.303100586
1765116771.6443262,1,53239867.303100586
1765116772.6443222,0,53240013.81878662
1765116772.6443222,1,53240013.81878662
1765116773.6443272,0,53240160.41168213
1765116773.6443272,1,53240160.41168213
1765116774.6443272,0,53240306.970825195
1765116774.6443272,1,53240307.125305176
1765116775.6443293,0,53240453.55645752
1765116775.6443293,1,53240453.55645752
1765116776.6443193,0,53240600.232177734
1765116776.6443193,1,53240600.232177734
1765116777.6443205,0,53240746.78588867
1765116777.6443205,1,53240746.78588867
1765116778.6443248,0,53240893.344055176
1765116778.6443248,1,53240893.344055176
1765116779.6443198,0,53241039.884521484
1765116779.6443198,1,53241039.884521484
1765116780.6443262,0,53241186.43536377
1765116780.6443262,1,53241186.61071777
1765116781.6443093,0,53241333.10534668
1765116781.6443093,1,53241333.10534668
1765116782.644301,0,53241479.65460205
1765116782.644301,1,53241479.65460205
1765116783.6443195,0,53241626.24664307
1765116783.6443195,1,53241626.24664307
1765116784.6443079,0,53241772.78179932
1765116784.6443079,1,53241772.78179932
1765116785.6443243,0,53241919.33306885
1765116785.6443243,1,53241919.482055664
1765116786.6443152,0,53242066.03631592
1765116786.6443152,1,53242066.03631592
1765116787.644312,0,53242212.53808594
1765116787.644312,1,53242212.53808594
1765116788.6443179,0,53242359.0513916
1765116788.6443179,1,53242359.20654297
1765116789.6443105,0,53242505.74676514
1765116789.6443105,1,53242505.74676514
1765116790.6442914,0,53242652.32324219
1765116790.6442914,1,53242652.32324219
1765116791.6443245,0,53242798.87713623
1765116791.6443245,1,53242798.87713623
1765116792.6443229,0,53242945.40374756
1765116792.6443229,1,53242945.55609131
1765116793.6443152,0,53243092.09033203
1765116793.6443152,1,53243092.09033203
1765116794.6443236,0,53243238.66381836
1765116794.6443236,1,53243238.66381836
1765116795.6443305,0,53243385.19543457
1765116795.6443305,1,53243385.19543457
1765116796.6443245,0,53243531.73022461
1765116796.6443245,1,53243531.73022461
1765116797.6443276,0,53243678.27416992
1765116797.6443276,1,53243678.429382324
1765116798.6443202,0,53243824.99053955
