time,value
1765134587.1517637,1.0
1765134587.1929421,1.0
1765134587.2370954,1.0
1765134587.2772105,1.0
1765134587.317072,1.0
1765134587.3568065,1.0
1765134587.39655,1.0
1765134587.4360912,1.0
1765134587.4757266,1.0
1765134587.5155823,1.0
1765134587.5551918,1.0
1765134587.5948591,1.0
1765134587.6347353,1.0
1765134587.6751058,1.0
1765134587.7153451,1.0
1765134587.7555804,1.0
1765134587.7955356,1.0
1765134587.835451,1.0
1765134587.875347,1.0
1765134587.9151838,1.0
1765134587.9549415,1.0
1765134587.9949467,1.0
1765134588.0351174,1.0
1765134588.07512,1.0
1765134588.1150577,1.0
1765134588.155015,1.0
1765134588.1951506,1.0
1765134588.2365947,1.0
1765134588.2853775,1.0
1765134588.303859,1.0
1765134588.3220057,1.0
1765134588.340131,1.0
1765134588.3582711,1.0
1765134588.3763847,1.0
1765134588.394642,1.0
1765134588.412572,1.0
1765134588.4304576,1.0
1765134588.4486141,1.0
1765134588.503982,1.0
1765134588.5229928,1.0
1765134588.5649397,1.0
1765134588.5940492,1.0
1765134588.6197057,1.0
1765134588.6615684,1.0
1765134588.6820228,1.0
1765134588.70189,1.0
1765134588.7219307,1.0
1765134588.7416239,1.0
1765134588.761451,1.0
1765134588.7811697,1.0
1765134588.8010087,1.0
1765134588.8208342,1.0
1765134588.8405488,1.0
1765134588.8602118,1.0
1765134588.8798707,1.0
1765134588.8995442,1.0
1765134588.9192472,1.0
1765134588.9389668,1.0
1765134588.9593716,1.0
1765134588.9799197,1.0
1765134589.0004663,1.0
1765134589.021133,1.0
1765134589.0417087,1.0
1765134589.06233,1.0
1765134589.083459,1.0
1765134589.10417,1.0
1765134589.1249294,1.0
1765134589.1456566,1.0
1765134589.1662524,1.0
1765134589.1869056,1.0
1765134589.2075622,1.0
1765134589.2298315,1.0
1765134589.250473,1.0
1765134589.2711291,1.0
1765134589.291873,1.0
1765134589.31246,1.0
1765134589.333027,1.0
1765134589.353677,1.0
1765134589.3743515,1.0
1765134589.3954427,1.0
1765134589.416545,1.0
1765134589.4378567,1.0
1765134589.4590056,1.0
1765134589.480117,1.0
1765134589.501524,1.0
1765134589.52261,1.0
1765134589.5436802,1.0
1765134589.564776,1.0
1765134589.5857499,1.0
1765134589.606918,1.0
1765134589.6281168,1.0
1765134589.6500201,1.0
1765134589.6710792,1.0
1765134589.6927,1.0
1765134589.7138453,1.0
1765134589.735596,1.0
1765134589.7567396,1.0
1765134589.7778804,1.0
1765134589.7990139,1.0
1765134589.8201714,1.0
1765134589.8414094,1.0
1765134589.8625298,1.0
1765134589.8836193,1.0
1765134589.9047587,1.0
1765134589.9257846,1.0
1765134589.9468057,1.0
1765134589.9678934,1.0
1765134589.9891534,1.0
1765134590.0103457,1.0
1765134590.0315225,1.0
1765134590.0526292,1.0
1765134590.0737424,1.0
1765134590.0947607,1.0
1765134590.1158435,1.0
1765134590.1369298,1.0
1765134590.1579676,1.0
1765134590.1789281,1.0
1765134590.2000299,1.0
1765134590.222956,1.0
1765134590.2440934,1.0
1765134590.2651963,1.0
1765134590.2863386,1.0
1765134590.3073392,1.0
1765134590.3284285,1.0
1765134590.3495529,1.0
1765134590.3706923,1.0
1765134590.3917766,1.0
1765134590.4128692,1.0
1765134590.4340236,1.0
1765134590.455192,1.0
1765134590.4778767,1.0
1765134590.49919,1.0
1765134590.520251,1.0
1765134590.541389,1.0
1765134590.5624564,1.0
1765134590.5834816,1.0
1765134590.604495,1.0
1765134590.6255674,1.0
1765134590.6471362,1.0
1765134590.6681352,1.0
1765134590.6896505,1.0
1765134590.7106943,1.0
1765134590.7321777,1.0
1765134590.7531652,1.0
1765134590.7742987,1.0
1765134590.7953298,1.0
1765134590.8163855,1.0
1765134590.8373697,1.0
1765134590.85841,1.0
1765134590.8795733,1.0
1765134590.900669,1.0
1765134590.9216793,1.0
1765134590.9427648,1.0
1765134590.963893,1.0
1765134590.9849262,1.0
1765134591.006031,1.0
1765134591.0269768,1.0
1765134591.048007,1.0
