time,actuator,value
1770345400.623813,Actuator(ptr=c_void_p(362297312)),136.0
1770345408.630347,Actuator(ptr=c_void_p(362297312)),136.0
1770345416.641058,Actuator(ptr=c_void_p(362297312)),136.0
1770345424.6559186,Actuator(ptr=c_void_p(362297312)),136.0
1770345432.667686,Actuator(ptr=c_void_p(362297312)),136.0
1770345440.6817403,Actuator(ptr=c_void_p(362297312)),136.0
1770345448.6963627,Actuator(ptr=c_void_p(362297312)),136.0
1770345456.7099717,Actuator(ptr=c_void_p(362297312)),136.0
1770345464.7259014,Actuator(ptr=c_void_p(362297312)),136.0
1770345472.740939,Actuator(ptr=c_void_p(362297312)),136.0
1770345480.7533495,Actuator(ptr=c_void_p(362297312)),136.0
1770345488.7649102,Actuator(ptr=c_void_p(362297312)),136.0
