time,scope,value
1764998232.5617425,nrm.extra.perf.PAPI_L3_TCA.572359,418221948.0
1764998232.5617425,nrm.extra.perf.PAPI_TOT_INS.572359,135867008093.0
1764998232.5617425,nrm.extra.perf.PAPI_TOT_CYC.572359,235196500024.0
1764998232.5617425,nrm.extra.perf.PAPI_RES_STL.572359,115253611513.0
1764998232.5617425,nrm.extra.perf.PAPI_L3_TCM.572359,42459665.0
1764998233.557654,nrm.extra.perf.PAPI_L3_TCA.572359,826027431.0
1764998233.557654,nrm.extra.perf.PAPI_TOT_INS.572359,267849514999.0
1764998233.557654,nrm.extra.perf.PAPI_TOT_CYC.572359,458604385734.0
1764998233.557654,nrm.extra.perf.PAPI_RES_STL.572359,226779743517.0
1764998233.557654,nrm.extra.perf.PAPI_L3_TCM.572359,83987322.0
1764998234.557648,nrm.extra.perf.PAPI_L3_TCA.572359,1233430370.0
1764998234.557648,nrm.extra.perf.PAPI_TOT_INS.572359,399923952842.0
1764998234.557648,nrm.extra.perf.PAPI_TOT_CYC.572359,682832176168.0
1764998234.557648,nrm.extra.perf.PAPI_RES_STL.572359,337988425020.0
1764998234.557648,nrm.extra.perf.PAPI_L3_TCM.572359,125531581.0
1764998235.5574915,nrm.extra.perf.PAPI_L3_TCA.572359,1642228079.0
1764998235.5574915,nrm.extra.perf.PAPI_TOT_INS.572359,532653436043.0
1764998235.5574915,nrm.extra.perf.PAPI_TOT_CYC.572359,907284799585.0
1764998235.5574915,nrm.extra.perf.PAPI_RES_STL.572359,449527143039.0
1764998235.5574915,nrm.extra.perf.PAPI_L3_TCM.572359,164345882.0
1764998236.5574872,nrm.extra.perf.PAPI_L3_TCA.572359,2052986807.0
1764998236.5574872,nrm.extra.perf.PAPI_TOT_INS.572359,665548752752.0
1764998236.5574872,nrm.extra.perf.PAPI_TOT_CYC.572359,1131992684234.0
1764998236.5574872,nrm.extra.perf.PAPI_RES_STL.572359,561473972775.0
1764998236.5574872,nrm.extra.perf.PAPI_L3_TCM.572359,203572147.0
1764998237.558652,nrm.extra.perf.PAPI_L3_TCA.572359,2466001567.0
1764998237.558652,nrm.extra.perf.PAPI_TOT_INS.572359,798816490915.0
1764998237.558652,nrm.extra.perf.PAPI_TOT_CYC.572359,1357016606346.0
1764998237.558652,nrm.extra.perf.PAPI_RES_STL.572359,673991930247.0
1764998237.558652,nrm.extra.perf.PAPI_L3_TCM.572359,243685401.0
1764998238.5572343,nrm.extra.perf.PAPI_L3_TCA.572359,2840416399.0
1764998238.5572343,nrm.extra.perf.PAPI_TOT_INS.572359,921935643367.0
1764998238.5572343,nrm.extra.perf.PAPI_TOT_CYC.572359,1573248048534.0
1764998238.5572343,nrm.extra.perf.PAPI_RES_STL.572359,776137375274.0
1764998238.5572343,nrm.extra.perf.PAPI_L3_TCM.572359,278912899.0
1764998239.557597,nrm.extra.perf.PAPI_L3_TCA.572359,3250627714.0
1764998239.557597,nrm.extra.perf.PAPI_TOT_INS.572359,1054725827379.0
1764998239.557597,nrm.extra.perf.PAPI_TOT_CYC.572359,1798390482125.0
1764998239.557597,nrm.extra.perf.PAPI_RES_STL.572359,888034287529.0
1764998239.557597,nrm.extra.perf.PAPI_L3_TCM.572359,317593356.0
1764998240.558651,nrm.extra.perf.PAPI_L3_TCA.572359,3643771284.0
1764998240.558651,nrm.extra.perf.PAPI_TOT_INS.572359,1182462242841.0
1764998240.558651,nrm.extra.perf.PAPI_TOT_CYC.572359,2017988973759.0
1764998240.558651,nrm.extra.perf.PAPI_RES_STL.572359,995191608542.0
1764998240.558651,nrm.extra.perf.PAPI_L3_TCM.572359,355230757.0
1764998241.556964,nrm.extra.perf.PAPI_L3_TCA.572359,4038520300.0
1764998241.556964,nrm.extra.perf.PAPI_TOT_INS.572359,1311013623825.0
1764998241.556964,nrm.extra.perf.PAPI_TOT_CYC.572359,2237982841733.0
1764998241.556964,nrm.extra.perf.PAPI_RES_STL.572359,1102822691675.0
1764998241.556964,nrm.extra.perf.PAPI_L3_TCM.572359,391926497.0
1764998242.5586889,nrm.extra.perf.PAPI_L3_TCA.572359,4428935997.0
1764998242.5586889,nrm.extra.perf.PAPI_TOT_INS.572359,1438077906097.0
1764998242.5586889,nrm.extra.perf.PAPI_TOT_CYC.572359,2457373407837.0
1764998242.5586889,nrm.extra.perf.PAPI_RES_STL.572359,1209533851877.0
1764998242.5586889,nrm.extra.perf.PAPI_L3_TCM.572359,428764401.0
1764998243.5597124,nrm.extra.perf.PAPI_L3_TCA.572359,4841751331.0
1764998243.5597124,nrm.extra.perf.PAPI_TOT_INS.572359,1571753489454.0
1764998243.5597124,nrm.extra.perf.PAPI_TOT_CYC.572359,2682746490518.0
1764998243.5597124,nrm.extra.perf.PAPI_RES_STL.572359,1321971976959.0
1764998243.5597124,nrm.extra.perf.PAPI_L3_TCM.572359,467213330.0
1764998244.5617325,nrm.extra.perf.PAPI_L3_TCA.572359,5255595470.0
1764998244.5617325,nrm.extra.perf.PAPI_TOT_INS.572359,1705574585284.0
1764998244.5617325,nrm.extra.perf.PAPI_TOT_CYC.572359,2908312918865.0
1764998244.5617325,nrm.extra.perf.PAPI_RES_STL.572359,1434731369886.0
1764998244.5617325,nrm.extra.perf.PAPI_L3_TCM.572359,505875934.0
1764998245.5576985,nrm.extra.perf.PAPI_L3_TCA.572359,5664401140.0
1764998245.5576985,nrm.extra.perf.PAPI_TOT_INS.572359,1837864903453.0
1764998245.5576985,nrm.extra.perf.PAPI_TOT_CYC.572359,3132447187787.0
1764998245.5576985,nrm.extra.perf.PAPI_RES_STL.572359,1546187070759.0
1764998245.5576985,nrm.extra.perf.PAPI_L3_TCM.572359,544188918.0
1764998246.5576768,nrm.extra.perf.PAPI_L3_TCA.572359,6075093342.0
1764998246.5576768,nrm.extra.perf.PAPI_TOT_INS.572359,1970845665537.0
1764998246.5576768,nrm.extra.perf.PAPI_TOT_CYC.572359,3357553589089.0
1764998246.5576768,nrm.extra.perf.PAPI_RES_STL.572359,1657996723966.0
1764998246.5576768,nrm.extra.perf.PAPI_L3_TCM.572359,582619521.0
1764998247.5596747,nrm.extra.perf.PAPI_L3_TCA.572359,6488997381.0
1764998247.5596747,nrm.extra.perf.PAPI_TOT_INS.572359,2104695099159.0
1764998247.5596747,nrm.extra.perf.PAPI_TOT_CYC.572359,3583028875692.0
1764998247.5596747,nrm.extra.perf.PAPI_RES_STL.572359,1770744520349.0
1764998247.5596747,nrm.extra.perf.PAPI_L3_TCM.572359,621395628.0
1764998248.5606658,nrm.extra.perf.PAPI_L3_TCA.572359,6896289294.0
1764998248.5606658,nrm.extra.perf.PAPI_TOT_INS.572359,2236852989412.0
1764998248.5606658,nrm.extra.perf.PAPI_TOT_CYC.572359,3808057584036.0
