time,scope,value
1765099853.6473029,0,50877520.048706055
1765099853.6473029,1,50877520.048706055
1765099854.6443257,0,50877680.747558594
1765099854.6443257,1,50877680.747558594
1765099855.6443741,0,50877816.185058594
1765099855.6443741,1,50877816.185058594
1765099856.6443007,0,50877951.76654053
1765099856.6443007,1,50877951.76654053
1765099857.644312,0,50878087.55548096
1765099857.644312,1,50878087.55548096
1765099858.6443093,0,50878223.15362549
1765099858.6443093,1,50878223.15362549
1765099859.6444027,0,50878358.73309326
1765099859.6444027,1,50878358.845581055
1765099860.644311,0,50878494.42303467
1765099860.644311,1,50878494.42303467
1765099861.6444058,0,50878629.97192383
1765099861.6444058,1,50878629.97192383
1765099862.6443198,0,50878765.382629395
1765099862.6443198,1,50878765.52923584
1765099863.644306,0,50878901.09423828
1765099863.644306,1,50878901.09423828
1765099864.6444066,0,50879036.70257568
1765099864.6444066,1,50879036.813964844
1765099865.6443167,0,50879172.45214844
1765099865.6443167,1,50879172.59753418
1765099866.6443226,0,50879308.15307617
1765099866.6443226,1,50879308.15307617
1765099867.6444209,0,50879443.56628418
1765099867.6444209,1,50879443.66656494
1765099868.644305,0,50879579.24029541
1765099868.644305,1,50879579.24029541
1765099869.6443996,0,50879714.7890625
1765099869.6443996,1,50879714.7890625
1765099870.6443071,0,50879850.514038086
1765099870.6443071,1,50879850.514038086
1765099871.6443107,0,50879986.078552246
1765099871.6443107,1,50879986.078552246
1765099872.6444173,0,50880121.57849121
1765099872.6444173,1,50880121.69256592
1765099873.644303,0,50880257.28796387
1765099873.644303,1,50880257.28796387
1765099874.6443076,0,50880392.90789795
1765099874.6443076,1,50880392.90789795
1765099875.6443076,0,50880528.61773682
1765099875.6443076,1,50880528.61773682
1765099876.6443121,0,50880664.111083984
1765099876.6443121,1,50880664.111083984
1765099877.6442945,0,50880799.659973145
1765099877.6442945,1,50880799.659973145
1765099878.6443179,0,50880935.34539795
1765099878.6443179,1,50880935.34539795
1765099879.6443117,0,50881070.96575928
1765099879.6443117,1,50881070.96575928
1765099880.6443093,0,50881206.55371094
1765099880.6443093,1,50881206.55371094
1765099881.644304,0,50881342.158691406
1765099881.644304,1,50881342.158691406
1765099882.6443064,0,50881477.68463135
1765099882.6443064,1,50881477.68463135
1765099883.6444895,0,50881606.7689209
1765099883.6444895,1,50881606.7689209
