time,scope,value
1742769292.5045862,0,7915.965515136719
1742769292.5045862,1,7916.29736328125
1742769293.503612,0,8019.862854003906
1742769293.503612,1,8019.935607910156
1742769294.5037022,0,8108.579895019531
1742769294.5037022,1,8108.7855224609375
1742769295.5045893,0,8197.3837890625
1742769295.5045893,1,8197.580261230469
1742769296.5036244,0,8285.978332519531
1742769296.5036244,1,8286.173156738281
1742769297.504131,0,8374.855407714844
1742769297.504131,1,8375.055908203125
1742769298.5040824,0,8463.533569335938
1742769298.5040824,1,8463.703125
1742769299.5036786,0,8552.20458984375
1742769299.5036786,1,8552.372314453125
1742769300.5044703,0,8641.076416015625
1742769300.5044703,1,8641.16064453125
1742769301.50399,0,8729.905212402344
1742769301.50399,1,8729.974243164062
1742769302.503821,0,8818.470458984375
1742769302.503821,1,8818.547546386719
1742769303.5035918,0,8907.230834960938
1742769303.5035918,1,8907.327697753906
1742769304.5042155,0,8995.99658203125
1742769304.5042155,1,8996.291442871094
1742769305.5044706,0,9084.931640625
1742769305.5044706,1,9085.271057128906
1742769306.5036778,0,9173.397888183594
1742769306.5036778,1,9173.477905273438
1742769307.5043557,0,9262.237487792969
1742769307.5043557,1,9262.377014160156
1742769308.5038428,0,9350.942810058594
1742769308.5038428,1,9351.115783691406
1742769309.5041332,0,9439.866516113281
1742769309.5041332,1,9439.935485839844
1742769310.503793,0,9528.346252441406
1742769310.503793,1,9528.628112792969
1742769311.5039806,0,9617.164245605469
1742769311.5039806,1,9617.313110351562
1742769312.5044165,0,9705.970336914062
1742769312.5044165,1,9706.140319824219
1742769313.504187,0,9794.722595214844
1742769313.504187,1,9794.876708984375
1742769314.5038567,0,9883.359680175781
1742769314.5038567,1,9883.528259277344
1742769315.5042498,0,9972.270568847656
1742769315.5042498,1,9972.424133300781
1742769316.5042279,0,10060.979736328125
1742769316.5042279,1,10061.041137695312
1742769317.5041685,0,10149.630737304688
1742769317.5041685,1,10149.797790527344
1742769318.5045514,0,10238.380310058594
1742769318.5045514,1,10238.547912597656
1742769319.504346,0,10327.094970703125
1742769319.504346,1,10327.17333984375
1742769320.5040586,0,10415.889099121094
1742769320.5040586,1,10416.020263671875
1742769321.504433,0,10504.63427734375
1742769321.504433,1,10504.806945800781
1742769322.5039687,0,10593.304992675781
1742769322.5039687,1,10593.4677734375
1742769323.5044878,0,10682.145385742188
1742769323.5044878,1,10682.310852050781
1742769324.5039604,0,10770.832092285156
1742769324.5039604,1,10771.001708984375
1742769325.5037222,0,10859.524719238281
1742769325.5037222,1,10859.696533203125
1742769326.503738,0,10948.36669921875
1742769326.503738,1,10948.558837890625
1742769327.503773,0,11037.0400390625
1742769327.503773,1,11037.120849609375
1742769328.5044277,0,11125.87890625
1742769328.5044277,1,11125.92919921875
1742769329.504389,0,11214.572814941406
1742769329.504389,1,11214.666076660156
1742769330.504433,0,11303.299255371094
1742769330.504433,1,11303.443542480469
1742769331.50405,0,11392.05322265625
1742769331.50405,1,11392.243041992188
1742769332.5036354,0,11480.660461425781
1742769332.5036354,1,11480.835021972656
1742769333.5045598,0,11569.561767578125
1742769333.5045598,1,11569.641662597656
1742769334.504351,0,11658.313659667969
1742769334.504351,1,11658.465698242188
1742769335.503864,0,11746.941528320312
1742769335.503864,1,11747.110961914062
1742769336.5044014,0,11835.770568847656
1742769336.5044014,1,11835.918762207031
1742769337.5035772,0,11924.448791503906
1742769337.5035772,1,11924.609619140625
1742769338.5044382,0,12013.221130371094
1742769338.5044382,1,12013.50732421875
1742769339.5043843,0,12101.941528320312
1742769339.5043843,1,12102.112365722656
1742769340.5045881,0,12190.67138671875
1742769340.5045881,1,12190.9453125
1742769341.5037558,0,12279.369812011719
1742769341.5037558,1,12279.538391113281
1742769342.5036328,0,12368.145568847656
1742769342.5036328,1,12368.282287597656
1742769343.5039644,0,12456.808959960938
1742769343.5039644,1,12456.959838867188
1742769344.5042033,0,12545.653503417969
1742769344.5042033,1,12545.815490722656
1742769345.5044785,0,12634.464965820312
1742769345.5044785,1,12634.665649414062
1742769346.503827,0,12723.063293457031
1742769346.503827,1,12723.23291015625
1742769347.5044262,0,12811.875427246094
1742769347.5044262,1,12812.057189941406
1742769348.5044658,0,12900.658325195312
1742769348.5044658,1,12900.807373046875
1742769349.5039952,0,12989.364685058594
1742769349.5039952,1,12989.519592285156
1742769350.5037332,0,13078.162475585938
1742769350.5037332,1,13078.314575195312
1742769351.5036128,0,13166.771728515625
1742769351.5036128,1,13166.9560546875
1742769352.5045378,0,13255.661437988281
1742769352.5045378,1,13255.807006835938
1742769353.5044856,0,13344.363891601562
1742769353.5044856,1,13344.53662109375
1742769354.5043104,0,13433.139282226562
1742769354.5043104,1,13433.219787597656
1742769355.5044553,0,13521.760681152344
1742769355.5044553,1,13521.9287109375
1742769356.5043519,0,13610.633544921875
1742769356.5043519,1,13610.701782226562
1742769357.5036056,0,13699.240783691406
1742769357.5036056,1,13699.338745117188
1742769358.5039377,0,13788.015808105469
1742769358.5039377,1,13788.097473144531
1742769359.5036526,0,13876.825317382812
1742769359.5036526,1,13876.894714355469
1742769360.503716,0,13965.478881835938
1742769360.503716,1,13965.561889648438
1742769361.5038717,0,14054.313232421875
1742769361.5038717,1,14054.432861328125
