time,scope,value
1765088901.644299,0,160.301491701138
1765088901.644299,1,162.50111906251266
1765088902.6443152,0,132.01348741511018
1765088902.6443152,1,135.6779206823051
1765088903.644297,0,129.51454460279626
1765088903.644297,1,132.06202054607863
1765088904.644334,0,130.8874404250073
1765088904.644334,1,133.22054663107798
1765088905.6443124,0,128.6987213320879
1765088905.6443124,1,129.9371687902168
1765088906.6443882,0,127.80430241246196
1765088906.6443882,1,129.72744221634136
1765088907.6443121,0,132.5273138892663
1765088907.6443121,1,128.94413727274298
1765088908.6443553,0,132.6576556178992
1765088908.6443553,1,129.937427767978
1765088909.644311,0,129.1215971075129
1765088909.644311,1,131.3351780556799
1765088910.6443107,0,129.83873405741514
1765088910.6443107,1,129.1196159368598
1765088911.6443088,0,127.85450919115776
1765088911.6443088,1,130.84953213127568
1765088912.6443076,0,132.8132020288893
1765088912.6443076,1,128.95823852806294
1765088913.6443005,0,129.1311454122199
1765088913.6443005,1,128.68380829021442
1765088914.644299,0,128.3412013851382
1765088914.644299,1,128.41514909615847
1765088915.644306,0,129.99596655346215
1765088915.644306,1,132.06169642896964
1765088916.644297,0,127.48264010085255
1765088916.644297,1,126.75264044557275
1765088917.6453142,0,129.20120669870437
1765088917.6453142,1,131.33107408138218
1765088918.6442993,0,131.94992626791117
1765088918.6442993,1,132.48171178073787
1765088919.6443083,0,130.5914526544498
1765088919.6443083,1,128.73310428698372
1765088920.644299,0,130.37145590695454
1765088920.644299,1,132.51951387328893
1765088921.6443107,0,128.9148322603395
1765088921.6443107,1,131.61225082439563
1765088922.6442957,0,128.37024953049328
1765088922.6442957,1,129.1701657693842
1765088923.644303,0,130.54603270221716
1765088923.644303,1,130.25357747559025
1765088924.644303,0,130.6531015655648
1765088924.644303,1,127.87822739128728
1765088925.644301,0,130.2899844087814
1765088925.644301,1,128.7934088370646
1765088926.6443222,0,126.88527563305651
1765088926.6443222,1,128.55633911669008
1765088927.6443055,0,127.4726194843471
1765088927.6443055,1,129.93366092785638
1765088928.6443074,0,129.84022625191835
1765088928.6443074,1,127.50078765593801
1765088929.6443036,0,132.1042859267026
1765088929.6443036,1,127.30886740332775
