time,actuator,value
1770048418.7755651,Actuator(ptr=c_void_p(271801056)),165.0
1770048426.7981138,Actuator(ptr=c_void_p(271801056)),165.0
1770048434.8195047,Actuator(ptr=c_void_p(271801056)),165.0
1770048442.8334424,Actuator(ptr=c_void_p(271801056)),165.0
1770048450.8538527,Actuator(ptr=c_void_p(271801056)),165.0
1770048458.8702545,Actuator(ptr=c_void_p(271801056)),165.0
1770048466.8889475,Actuator(ptr=c_void_p(271801056)),165.0
1770048474.9089086,Actuator(ptr=c_void_p(271801056)),165.0
1770048482.92993,Actuator(ptr=c_void_p(271801056)),165.0
1770048490.9523358,Actuator(ptr=c_void_p(271801056)),165.0
1770048498.9729388,Actuator(ptr=c_void_p(271801056)),165.0
1770048506.9919674,Actuator(ptr=c_void_p(271801056)),165.0
1770048515.0101032,Actuator(ptr=c_void_p(271801056)),165.0
1770048523.0289643,Actuator(ptr=c_void_p(271801056)),165.0
1770048531.0490768,Actuator(ptr=c_void_p(271801056)),165.0
1770048539.0644128,Actuator(ptr=c_void_p(271801056)),165.0
