time,scope,value
1762869022.9359782,nrm.extra.perf.PAPI_L3_TCA.75927,62286477.0
1762869022.9359782,nrm.extra.perf.PAPI_TOT_INS.75927,5495942891.0
1762869022.9359782,nrm.extra.perf.PAPI_TOT_CYC.75927,17687508089.0
1762869022.9359782,nrm.extra.perf.PAPI_RES_STL.75927,6035991326.0
1762869022.9359782,nrm.extra.perf.PAPI_L3_TCM.75927,51669080.0
1762869023.9458876,nrm.extra.perf.PAPI_L3_TCA.75927,1130768073.0
1762869023.9458876,nrm.extra.perf.PAPI_TOT_INS.75927,66537221566.0
1762869023.9458876,nrm.extra.perf.PAPI_TOT_CYC.75927,236656612644.0
1762869023.9458876,nrm.extra.perf.PAPI_RES_STL.75927,163294619724.0
1762869023.9458876,nrm.extra.perf.PAPI_L3_TCM.75927,997061700.0
1762869024.9478838,nrm.extra.perf.PAPI_L3_TCA.75927,2517335910.0
1762869024.9478838,nrm.extra.perf.PAPI_TOT_INS.75927,146050061302.0
1762869024.9478838,nrm.extra.perf.PAPI_TOT_CYC.75927,527036524508.0
1762869024.9478838,nrm.extra.perf.PAPI_RES_STL.75927,368977063844.0
1762869024.9478838,nrm.extra.perf.PAPI_L3_TCM.75927,2214500187.0
1762869025.9420283,nrm.extra.perf.PAPI_L3_TCA.75927,4171294487.0
1762869025.9420283,nrm.extra.perf.PAPI_TOT_INS.75927,240385669578.0
1762869025.9420283,nrm.extra.perf.PAPI_TOT_CYC.75927,795834622356.0
1762869025.9420283,nrm.extra.perf.PAPI_RES_STL.75927,537915137991.0
1762869025.9420283,nrm.extra.perf.PAPI_L3_TCM.75927,3653508959.0
1762869026.9434495,nrm.extra.perf.PAPI_L3_TCA.75927,5922632323.0
1762869026.9434495,nrm.extra.perf.PAPI_TOT_INS.75927,339687453123.0
1762869026.9434495,nrm.extra.perf.PAPI_TOT_CYC.75927,1066529223847.0
1762869026.9434495,nrm.extra.perf.PAPI_RES_STL.75927,706502874150.0
1762869026.9434495,nrm.extra.perf.PAPI_L3_TCM.75927,5180873354.0
1762869027.9406445,nrm.extra.perf.PAPI_L3_TCA.75927,7669932908.0
1762869027.9406445,nrm.extra.perf.PAPI_TOT_INS.75927,438805042517.0
1762869027.9406445,nrm.extra.perf.PAPI_TOT_CYC.75927,1336012511969.0
1762869027.9406445,nrm.extra.perf.PAPI_RES_STL.75927,874828660836.0
1762869027.9406445,nrm.extra.perf.PAPI_L3_TCM.75927,6707398663.0
1762869028.936637,nrm.extra.perf.PAPI_L3_TCA.75927,9409407337.0
1762869028.936637,nrm.extra.perf.PAPI_TOT_INS.75927,537551342266.0
1762869028.936637,nrm.extra.perf.PAPI_TOT_CYC.75927,1605353086418.0
1762869028.936637,nrm.extra.perf.PAPI_RES_STL.75927,1042449909603.0
1762869028.936637,nrm.extra.perf.PAPI_L3_TCM.75927,8228272005.0
1762869029.9369352,nrm.extra.perf.PAPI_L3_TCA.75927,11152397045.0
1762869029.9369352,nrm.extra.perf.PAPI_TOT_INS.75927,636569181915.0
1762869029.9369352,nrm.extra.perf.PAPI_TOT_CYC.75927,1875960386138.0
1762869029.9369352,nrm.extra.perf.PAPI_RES_STL.75927,1210890775611.0
1762869029.9369352,nrm.extra.perf.PAPI_L3_TCM.75927,9752169153.0
1762869030.9464946,nrm.extra.perf.PAPI_L3_TCA.75927,12890733666.0
1762869030.9464946,nrm.extra.perf.PAPI_TOT_INS.75927,735690816920.0
1762869030.9464946,nrm.extra.perf.PAPI_TOT_CYC.75927,2144496287355.0
1762869030.9464946,nrm.extra.perf.PAPI_RES_STL.75927,1376375623073.0
1762869030.9464946,nrm.extra.perf.PAPI_L3_TCM.75927,11276904942.0
1762869031.937122,nrm.extra.perf.PAPI_L3_TCA.75927,14609491614.0
1762869031.937122,nrm.extra.perf.PAPI_TOT_INS.75927,834092975690.0
1762869031.937122,nrm.extra.perf.PAPI_TOT_CYC.75927,2409169647850.0
1762869031.937122,nrm.extra.perf.PAPI_RES_STL.75927,1534757603398.0
1762869031.937122,nrm.extra.perf.PAPI_L3_TCM.75927,12764245332.0
1762869032.9390352,nrm.extra.perf.PAPI_L3_TCA.75927,16503587132.0
1762869032.9390352,nrm.extra.perf.PAPI_TOT_INS.75927,939738857716.0
1762869032.9390352,nrm.extra.perf.PAPI_TOT_CYC.75927,2675632341000.0
1762869032.9390352,nrm.extra.perf.PAPI_RES_STL.75927,1705740884079.0
1762869032.9390352,nrm.extra.perf.PAPI_L3_TCM.75927,14404578690.0
1762869033.9397259,nrm.extra.perf.PAPI_L3_TCA.75927,18404671708.0
1762869033.9397259,nrm.extra.perf.PAPI_TOT_INS.75927,1045402570125.0
1762869033.9397259,nrm.extra.perf.PAPI_TOT_CYC.75927,2941891467905.0
1762869033.9397259,nrm.extra.perf.PAPI_RES_STL.75927,1876386160336.0
1762869033.9397259,nrm.extra.perf.PAPI_L3_TCM.75927,16040480374.0
1762869034.93961,nrm.extra.perf.PAPI_L3_TCA.75927,20297097737.0
