time,value
1765062789.9011633,1.0
1765062789.9302244,1.0
1765062789.95908,1.0
1765062789.9877648,1.0
1765062790.0165322,1.0
1765062790.045216,1.0
1765062790.0741158,1.0
1765062790.102801,1.0
1765062790.1318169,1.0
1765062790.1605911,1.0
1765062790.1895137,1.0
1765062790.218284,1.0
1765062790.2469563,1.0
1765062790.2759783,1.0
1765062790.304714,1.0
1765062790.333483,1.0
1765062790.3622744,1.0
1765062790.3911223,1.0
1765062790.4199016,1.0
1765062790.4486256,1.0
1765062790.4774003,1.0
1765062790.506173,1.0
1765062790.5348823,1.0
1765062790.563663,1.0
1765062790.592455,1.0
1765062790.624038,1.0
1765062790.6545389,1.0
1765062790.6853943,1.0
1765062790.7157552,1.0
1765062790.7462697,1.0
1765062790.7765007,1.0
1765062790.806948,1.0
1765062790.83764,1.0
1765062790.8681185,1.0
1765062790.8993294,1.0
1765062790.9298456,1.0
1765062790.9612012,1.0
1765062790.9917195,1.0
1765062791.022484,1.0
1765062791.0536819,1.0
1765062791.0844336,1.0
1765062791.1149683,1.0
1765062791.1453931,1.0
1765062791.1759725,1.0
1765062791.2064784,1.0
1765062791.2370417,1.0
1765062791.2676463,1.0
1765062791.3144763,1.0
1765062791.34552,1.0
1765062791.3761156,1.0
1765062791.4066195,1.0
1765062791.4371998,1.0
1765062791.4677174,1.0
1765062791.4985073,1.0
1765062791.5290034,1.0
1765062791.5596,1.0
1765062791.5902114,1.0
1765062791.6222363,1.0
1765062791.652911,1.0
1765062791.6836884,1.0
1765062791.7143834,1.0
1765062791.7455294,1.0
1765062791.7761357,1.0
1765062791.823503,1.0
1765062791.8475845,1.0
1765062791.8705297,1.0
1765062791.893636,1.0
1765062791.9166758,1.0
1765062791.9392924,1.0
1765062791.9619744,1.0
1765062791.984649,1.0
1765062792.007343,1.0
1765062792.0300865,1.0
1765062792.0529625,1.0
1765062792.0757136,1.0
1765062792.098586,1.0
1765062792.1214173,1.0
1765062792.1442683,1.0
1765062792.1669686,1.0
1765062792.1899848,1.0
1765062792.2128747,1.0
1765062792.236143,1.0
1765062792.258899,1.0
1765062792.281655,1.0
1765062792.304394,1.0
1765062792.3270264,1.0
1765062792.349873,1.0
1765062792.3726606,1.0
1765062792.395641,1.0
1765062792.4187121,1.0
1765062792.4415324,1.0
1765062792.464401,1.0
1765062792.4871345,1.0
1765062792.509859,1.0
1765062792.5325012,1.0
1765062792.5553916,1.0
1765062792.5784101,1.0
1765062792.601362,1.0
1765062792.6257045,1.0
1765062792.6484687,1.0
1765062792.6712873,1.0
1765062792.6941664,1.0
1765062792.7173026,1.0
1765062792.7401946,1.0
1765062792.7630067,1.0
1765062792.7859147,1.0
1765062792.808636,1.0
1765062792.8314795,1.0
1765062792.8541803,1.0
1765062792.8770502,1.0
1765062792.8998466,1.0
1765062792.9227684,1.0
1765062792.9457061,1.0
1765062792.9688554,1.0
1765062792.9915793,1.0
1765062793.01432,1.0
1765062793.037298,1.0
1765062793.0600903,1.0
1765062793.0829122,1.0
1765062793.105674,1.0
1765062793.1285903,1.0
1765062793.151387,1.0
1765062793.1741347,1.0
1765062793.1969388,1.0
1765062793.2201955,1.0
1765062793.242874,1.0
1765062793.2655938,1.0
1765062793.288461,1.0
1765062793.311231,1.0
1765062793.3341956,1.0
1765062793.3569016,1.0
1765062793.3799164,1.0
1765062793.402753,1.0
1765062793.4255755,1.0
1765062793.4485006,1.0
1765062793.4713874,1.0
1765062793.4944878,1.0
1765062793.5173197,1.0
1765062793.5401385,1.0
1765062793.562813,1.0
1765062793.5857658,1.0
1765062793.6099765,1.0
1765062793.632802,1.0
1765062793.6558173,1.0
1765062793.678976,1.0
1765062793.702095,1.0
1765062793.7250237,1.0
1765062793.7478395,1.0
1765062793.7705672,1.0
1765062793.793607,1.0
1765062793.8163993,1.0
1765062793.8394666,1.0
1765062793.8623576,1.0
1765062793.8851929,1.0
1765062793.9080245,1.0
1765062793.9307997,1.0
1765062793.9540126,1.0
1765062793.9765902,1.0
1765062793.9994147,1.0
1765062794.0222752,1.0
1765062794.0449865,1.0
1765062794.0683713,1.0
1765062794.0911343,1.0
1765062794.1139092,1.0
1765062794.1368034,1.0
1765062794.159477,1.0
1765062794.1825202,1.0
1765062794.2061534,1.0
1765062794.228755,1.0
1765062794.2516832,1.0
1765062794.2745638,1.0
1765062794.2975557,1.0
1765062794.3204172,1.0
1765062794.343552,1.0
1765062794.3662271,1.0
1765062794.3890471,1.0
1765062794.4119208,1.0
1765062794.4346936,1.0
1765062794.457911,1.0
1765062794.480798,1.0
1765062794.5036535,1.0
1765062794.5263276,1.0
1765062794.5491579,1.0
1765062794.5720122,1.0
1765062794.594684,1.0
1765062794.6187665,1.0
1765062794.641739,1.0
1765062794.664712,1.0
1765062794.687677,1.0
1765062794.7107754,1.0
1765062794.7336988,1.0
1765062794.756209,1.0
1765062794.7791548,1.0
1765062794.801715,1.0
1765062794.8246555,1.0
1765062794.8475912,1.0
1765062794.8705337,1.0
1765062794.8934505,1.0
1765062794.9164147,1.0
1765062794.939156,1.0
1765062794.9617836,1.0
1765062794.9847357,1.0
1765062795.0077105,1.0
1765062795.0305421,1.0
1765062795.053401,1.0
1765062795.0761378,1.0
1765062795.098939,1.0
1765062795.1215656,1.0
1765062795.1443727,1.0
1765062795.1670318,1.0
1765062795.18973,1.0
1765062795.2125218,1.0
1765062795.235356,1.0
1765062795.2580247,1.0
1765062795.2806597,1.0
1765062795.303311,1.0
1765062795.3264349,1.0
1765062795.3490598,1.0
1765062795.3720915,1.0
1765062795.394868,1.0
1765062795.4175558,1.0
1765062795.4403229,1.0
1765062795.4633336,1.0
1765062795.485876,1.0
1765062795.5086377,1.0
1765062795.5316315,1.0
1765062795.554398,1.0
1765062795.5774393,1.0
1765062795.6001868,1.0
1765062795.624915,1.0
1765062795.6479232,1.0
1765062795.6707726,1.0
1765062795.6936908,1.0
1765062795.7164319,1.0
1765062795.7395737,1.0
1765062795.7623348,1.0
1765062795.7850783,1.0
1765062795.8077998,1.0
1765062795.830712,1.0
1765062795.8533902,1.0
1765062795.8763006,1.0
1765062795.8989146,1.0
1765062795.9216838,1.0
1765062795.9444237,1.0
1765062795.967326,1.0
1765062795.9902356,1.0
1765062796.0129406,1.0
1765062796.035699,1.0
1765062796.05841,1.0
1765062796.0812793,1.0
1765062796.1041546,1.0
1765062796.1267102,1.0
1765062796.149372,1.0
1765062796.172222,1.0
1765062796.195242,1.0
1765062796.2184758,1.0
1765062796.2415054,1.0
1765062796.264232,1.0
1765062796.2870607,1.0
1765062796.3099272,1.0
1765062796.332777,1.0
1765062796.3557978,1.0
1765062796.378718,1.0
1765062796.4014525,1.0
1765062796.4245534,1.0
1765062796.4473598,1.0
1765062796.470169,1.0
1765062796.4927344,1.0
1765062796.5157335,1.0
1765062796.5383718,1.0
1765062796.5613923,1.0
1765062796.5840008,1.0
1765062796.6085918,1.0
1765062796.6318552,1.0
1765062796.655017,1.0
1765062796.6778185,1.0
1765062796.7009542,1.0
1765062796.7241287,1.0
1765062796.7470217,1.0
1765062796.7697406,1.0
1765062796.792705,1.0
1765062796.8154414,1.0
1765062796.838469,1.0
1765062796.8612134,1.0
1765062796.8839765,1.0
1765062796.9067369,1.0
1765062796.9296117,1.0
1765062796.9526494,1.0
1765062796.9753618,1.0
1765062796.9981425,1.0
1765062797.0209298,1.0
1765062797.043828,1.0
1765062797.06658,1.0
1765062797.0894384,1.0
1765062797.112286,1.0
1765062797.1350498,1.0
1765062797.1577518,1.0
1765062797.1805942,1.0
1765062797.2033012,1.0
1765062797.2264686,1.0
1765062797.2492857,1.0
1765062797.2718816,1.0
1765062797.2945063,1.0
1765062797.317526,1.0
1765062797.3407004,1.0
1765062797.363608,1.0
1765062797.386348,1.0
1765062797.409066,1.0
1765062797.4318092,1.0
1765062797.454572,1.0
1765062797.4771154,1.0
1765062797.5000193,1.0
1765062797.5228004,1.0
1765062797.5456944,1.0
1765062797.568375,1.0
1765062797.5913947,1.0
1765062797.615124,1.0
1765062797.6377654,1.0
1765062797.6609416,1.0
1765062797.6838439,1.0
1765062797.706782,1.0
1765062797.7296603,1.0
1765062797.7524893,1.0
1765062797.7754028,1.0
1765062797.817434,1.0
1765062797.8404057,1.0
1765062797.863432,1.0
1765062797.886278,1.0
1765062797.9091995,1.0
1765062797.932295,1.0
1765062797.9550567,1.0
1765062797.977942,1.0
1765062798.0008988,1.0
1765062798.0237305,1.0
1765062798.0464811,1.0
1765062798.069864,1.0
1765062798.0932972,1.0
1765062798.1158826,1.0
1765062798.138769,1.0
1765062798.1619005,1.0
1765062798.1847708,1.0
1765062798.2076352,1.0
1765062798.2305524,1.0
1765062798.2533529,1.0
1765062798.2764435,1.0
1765062798.2993188,1.0
