time,scope,value
1765111200.796203,nrm.extra.perf.PAPI_L3_TCA.714463,2485164010.0
1765111200.796203,nrm.extra.perf.PAPI_TOT_INS.714463,41550159684.0
1765111200.796203,nrm.extra.perf.PAPI_TOT_CYC.714463,290583823189.0
1765111200.796203,nrm.extra.perf.PAPI_RES_STL.714463,261305052724.0
1765111200.796203,nrm.extra.perf.PAPI_L3_TCM.714463,2326639259.0
1765111201.8003297,nrm.extra.perf.PAPI_L3_TCA.714463,5006171569.0
1765111201.8003297,nrm.extra.perf.PAPI_TOT_INS.714463,84097299412.0
1765111201.8003297,nrm.extra.perf.PAPI_TOT_CYC.714463,586494204241.0
1765111201.8003297,nrm.extra.perf.PAPI_RES_STL.714463,523649154985.0
1765111201.8003297,nrm.extra.perf.PAPI_L3_TCM.714463,4687438088.0
1765111202.7973273,nrm.extra.perf.PAPI_L3_TCA.714463,7477548013.0
1765111202.7973273,nrm.extra.perf.PAPI_TOT_INS.714463,125753276467.0
1765111202.7973273,nrm.extra.perf.PAPI_TOT_CYC.714463,875533025676.0
1765111202.7973273,nrm.extra.perf.PAPI_RES_STL.714463,779848540278.0
1765111202.7973273,nrm.extra.perf.PAPI_L3_TCM.714463,7001746356.0
1765111203.7916114,nrm.extra.perf.PAPI_L3_TCA.714463,9966467933.0
1765111203.7916114,nrm.extra.perf.PAPI_TOT_INS.714463,167557758627.0
1765111203.7916114,nrm.extra.perf.PAPI_TOT_CYC.714463,1165556864635.0
1765111203.7916114,nrm.extra.perf.PAPI_RES_STL.714463,1037737381523.0
1765111203.7916114,nrm.extra.perf.PAPI_L3_TCM.714463,9328546080.0
1765111204.795217,nrm.extra.perf.PAPI_L3_TCA.714463,12506458572.0
1765111204.795217,nrm.extra.perf.PAPI_TOT_INS.714463,210038329075.0
1765111204.795217,nrm.extra.perf.PAPI_TOT_CYC.714463,1460407361589.0
1765111204.795217,nrm.extra.perf.PAPI_RES_STL.714463,1300940970884.0
1765111204.795217,nrm.extra.perf.PAPI_L3_TCM.714463,11702255466.0
1765111205.789642,nrm.extra.perf.PAPI_L3_TCA.714463,15017492049.0
1765111205.789642,nrm.extra.perf.PAPI_TOT_INS.714463,252094967631.0
1765111205.789642,nrm.extra.perf.PAPI_TOT_CYC.714463,1752512315514.0
1765111205.789642,nrm.extra.perf.PAPI_RES_STL.714463,1561554048956.0
1765111205.789642,nrm.extra.perf.PAPI_L3_TCM.714463,14052291889.0
1765111206.7941263,nrm.extra.perf.PAPI_L3_TCA.714463,17510532094.0
1765111206.7941263,nrm.extra.perf.PAPI_TOT_INS.714463,294536828173.0
1765111206.7941263,nrm.extra.perf.PAPI_TOT_CYC.714463,2047631290111.0
1765111206.7941263,nrm.extra.perf.PAPI_RES_STL.714463,1820886241576.0
1765111206.7941263,nrm.extra.perf.PAPI_L3_TCM.714463,16390442008.0
1765111207.7938337,nrm.extra.perf.PAPI_L3_TCA.714463,20017971382.0
