time,scope,value
1770038389.0925741,0,13186205.066711426
1770038389.0925741,1,13186205.066711426
1770038390.0908916,0,13186358.945007324
1770038390.0908916,1,13186358.945007324
1770038391.0908813,0,13186513.204406738
1770038391.0908813,1,13186513.364379883
1770038392.0908656,0,13186667.541931152
1770038392.0908656,1,13186667.697143555
1770038393.0908716,0,13186822.74029541
1770038393.0908716,1,13186822.74029541
1770038394.0909069,0,13186977.753601074
1770038394.0909069,1,13186977.753601074
1770038395.0908768,0,13187132.85168457
1770038395.0908768,1,13187132.962463379
1770038396.0908892,0,13187288.112121582
1770038396.0908892,1,13187288.576965332
1770038397.0908751,0,13187442.63446045
1770038397.0908751,1,13187442.80053711
1770038398.0908864,0,13187597.215942383
1770038398.0908864,1,13187597.215942383
1770038399.0908768,0,13187752.465393066
1770038399.0908768,1,13187752.465393066
1770038400.0918574,0,13187907.215576172
1770038400.0918574,1,13187907.377929688
1770038401.0908618,0,13188062.441589355
1770038401.0908618,1,13188062.441589355
1770038402.0908587,0,13188217.7913208
1770038402.0908587,1,13188217.935119629
1770038403.0908926,0,13188373.43560791
1770038403.0908926,1,13188373.43560791
1770038404.0909102,0,13188528.823913574
1770038404.0909102,1,13188528.823913574
1770038405.0909183,0,13188683.71875
1770038405.0909183,1,13188683.868408203
1770038406.0908513,0,13188838.862060547
1770038406.0908513,1,13188839.019836426
1770038407.0908399,0,13188994.639526367
1770038407.0908399,1,13188994.639526367
1770038408.0908937,0,13189149.379943848
1770038408.0908937,1,13189149.533813477
1770038409.0908637,0,13189304.535461426
1770038409.0908637,1,13189304.535461426
1770038410.0908835,0,13189460.240783691
1770038410.0908835,1,13189460.434387207
1770038411.0908854,0,13189615.971313477
1770038411.0908854,1,13189616.126831055
1770038412.090882,0,13189771.722473145
1770038412.090882,1,13189771.861206055
1770038413.0908844,0,13189927.616821289
1770038413.0908844,1,13189927.616821289
1770038414.0908673,0,13190083.182983398
1770038414.0908673,1,13190083.182983398
1770038415.0908775,0,13190238.549865723
1770038415.0908775,1,13190238.699829102
1770038416.090863,0,13190394.316589355
1770038416.090863,1,13190394.316589355
1770038417.0908651,0,13190549.871887207
1770038417.0908651,1,13190549.871887207
1770038418.0908542,0,13190705.133178711
1770038418.0908542,1,13190705.286071777
1770038419.0908544,0,13190860.86730957
1770038419.0908544,1,13190861.024169922
1770038420.0908802,0,13191016.664123535
1770038420.0908802,1,13191016.664123535
1770038421.0908747,0,13191172.324829102
1770038421.0908747,1,13191172.324829102
1770038422.0908673,0,13191327.95111084
1770038422.0908673,1,13191328.12097168
1770038423.0908747,0,13191483.68572998
1770038423.0908747,1,13191483.68572998
1770038424.0908687,0,13191639.321899414
1770038424.0908687,1,13191639.321899414
1770038425.0908713,0,13191793.905273438
1770038425.0908713,1,13191793.905273438
1770038426.090867,0,13191949.356384277
1770038426.090867,1,13191949.522949219
1770038427.0908902,0,13192105.126525879
1770038427.0908902,1,13192105.126525879
1770038428.0908906,0,13192260.726135254
1770038428.0908906,1,13192260.726135254
1770038429.0908654,0,13192416.335754395
1770038429.0908654,1,13192416.335754395
1770038430.0908859,0,13192572.01953125
1770038430.0908859,1,13192572.184143066
1770038431.0908687,0,13192727.7789917
1770038431.0908687,1,13192727.7789917
1770038432.0909288,0,13192883.4039917
1770038432.0909288,1,13192883.557067871
1770038433.0908778,0,13193039.291687012
1770038433.0908778,1,13193039.291687012
1770038434.090851,0,13193194.981445312
1770038434.090851,1,13193194.981445312
1770038435.0908854,0,13193350.801086426
1770038435.0908854,1,13193350.942993164
1770038436.0908577,0,13193504.798278809
1770038436.0908577,1,13193504.798278809
1770038437.0908718,0,13193660.590332031
1770038437.0908718,1,13193660.590332031
1770038438.090857,0,13193816.522583008
1770038438.090857,1,13193816.66809082
