time,scope,value
1774923339.2073314,0,154.68226610940482
1774923339.2073314,1,153.27584447044222
1774923340.2073624,0,155.5426598788053
1774923340.2073624,1,155.62402817916973
1774923341.207372,0,155.15749600464466
1774923341.207372,1,156.84381054002063
1774923342.2073762,0,151.49785809943256
1774923342.2073762,1,155.34401606929427
1774923343.2073367,0,153.20189847313452
1774923343.2073367,1,152.67700593687098
1774923344.2073534,0,152.82450887974568
1774923344.2073534,1,153.03585478373213
1774923345.2073843,0,153.6537546377409
1774923345.2073843,1,150.26276216864645
1774923346.2073774,0,153.49483840047264
1774923346.2073774,1,153.39025251172504
1774923347.2073364,0,152.7425205414512
1774923347.2073364,1,152.1294635053078
1774923348.207387,0,152.4552193572157
1774923348.207387,1,157.05579990022943
1774923349.2073455,0,154.09671505120244
1774923349.2073455,1,150.9531506978407
1774923350.20735,0,147.86984544952332
1774923350.20735,1,151.63395462284987
1774923351.2073498,0,152.0410005061148
1774923351.2073498,1,151.85345977590563
1774923352.2073574,0,153.43166616801966
1774923352.2073574,1,153.07186537812316
1774923353.2073522,0,152.99455008124445
1774923353.2073522,1,151.41820033962873
1774923354.207358,0,152.58455417293987
1774923354.207358,1,153.04944614851317
1774923355.2073653,0,150.3505886351
1774923355.2073653,1,150.4766150140163
1774923356.2073772,0,153.39876996106094
1774923356.2073772,1,152.32615480039235
1774923357.2073543,0,153.10134385715912
1774923357.2073543,1,152.8896315655586
1774923358.2073758,0,151.64516657035168
1774923358.2073758,1,153.4410498722613
1774923359.2072875,0,153.08001889923514
1774923359.2072875,1,153.31147161966481
1774923360.207345,0,151.90499354177692
1774923360.207345,1,153.49487774417736
1774923361.2072725,0,152.5399138119761
1774923361.2072725,1,152.22283171810662
1774923362.2073514,0,151.8303344095166
1774923362.2073514,1,154.69450186207416
1774923363.2073398,0,151.7877262461706
1774923363.2073398,1,150.61538833620116
1774923364.207345,0,152.50935976680123
1774923364.207345,1,153.16909962994413
1774923365.2073615,0,154.22312417649755
1774923365.2073615,1,153.75671031517203
1774923366.2073412,0,152.89719894695423
1774923366.2073412,1,152.3821110282145
1774923367.207332,0,151.45398632852883
1774923367.207332,1,153.04742565943005
1774923368.207371,0,151.63945734281972
1774923368.207371,1,153.30196018579005
1774923369.2073717,0,153.42092008480242
1774923369.2073717,1,156.03370288244588
1774923370.2073846,0,151.57415715823166
1774923370.2073846,1,151.10272460680096
1774923371.2073457,0,154.49580891848345
1774923371.2073457,1,155.61145938728194
1774923372.2073684,0,153.9284499480927
1774923372.2073684,1,152.4447747524304
1774923373.2073426,0,152.6140111445008
1774923373.2073426,1,153.14916256080534
1774923374.2073433,0,150.4150699990564
1774923374.2073433,1,152.53255822588946
1774923375.2073402,0,154.9277742537047
1774923375.2073402,1,152.00207850244675
1774923376.208385,0,152.72495412801953
1774923376.208385,1,151.39676148526874
1774923377.207342,0,153.76083208936348
1774923377.207342,1,153.59615491976274
1774923378.2073567,0,153.00925469727878
1774923378.2073567,1,152.33149040119116
1774923379.2073464,0,153.40930677235076
1774923379.2073464,1,153.57514344009905
1774923380.2073514,0,153.4138092430213
1774923380.2073514,1,153.19142754737916
1774923381.2073405,0,155.00215900653987
1774923381.2073405,1,151.64739391848968
1774923382.2073388,0,152.74130627260817
1774923382.2073388,1,152.11018836492696
1774923383.2073607,0,151.6459121460455
1774923383.2073607,1,152.94764418926874
1774923384.2073424,0,154.50777948191904
1774923384.2073424,1,152.35775482027222
1774923385.2073703,0,153.1745109048787
1774923385.2073703,1,148.79763780969463
1774923386.2073717,0,154.11911760988727
1774923386.2073717,1,153.46510820884848
1774923387.2073348,0,151.9865964374584
1774923387.2073348,1,154.6561875420591
1774923388.2073557,0,148.81498185394977
1774923388.2073557,1,53.37819767341813
