time,value
1774925799.8455899,2.0
1774925799.8602257,3.0
1774925799.8747516,3.0
1774925799.889195,3.0
1774925799.9036117,3.0
1774925799.918008,3.0
1774925799.932472,3.0
1774925799.9469376,3.0
1774925799.9613829,3.0
1774925799.975877,3.0
1774925799.9903498,3.0
1774925800.0047824,3.0
1774925800.0195234,3.0
1774925800.0341294,3.0
1774925800.0488715,3.0
1774925800.0634198,3.0
1774925800.0779688,3.0
1774925800.0925672,3.0
1774925800.1071854,3.0
1774925800.121742,3.0
1774925800.1362872,3.0
1774925800.1508265,3.0
1774925800.1652792,3.0
1774925800.1798675,3.0
1774925800.1945057,3.0
1774925800.2091954,3.0
1774925800.2237544,3.0
1774925800.2385356,3.0
1774925800.2530437,3.0
1774925800.2676415,3.0
1774925800.2822917,3.0
1774925800.2932165,2.0
1774925800.307924,3.0
1774925800.3179753,2.0
1774925800.3325074,3.0
1774925800.347115,3.0
1774925800.3617206,3.0
1774925800.3763056,3.0
1774925800.3910468,3.0
1774925800.4056177,3.0
1774925800.4203334,3.0
1774925800.4350114,3.0
1774925800.449625,3.0
1774925800.4641912,3.0
1774925800.4787674,3.0
1774925800.4934487,3.0
1774925800.5081415,3.0
1774925800.5227237,3.0
1774925800.5372849,3.0
1774925800.5520074,3.0
1774925800.566577,3.0
1774925800.5812907,3.0
1774925800.595837,3.0
1774925800.6104195,3.0
1774925800.6250007,3.0
1774925800.6396377,3.0
1774925800.6542654,3.0
1774925800.6688054,3.0
1774925800.683383,3.0
1774925800.6979463,3.0
1774925800.7125585,3.0
1774925800.7271068,3.0
1774925800.7417026,3.0
1774925800.75623,3.0
1774925800.7708514,3.0
1774925800.7860928,3.0
1774925800.7988913,1.0
1774925800.8095956,1.0
1774925800.8244228,3.0
1774925800.8388739,3.0
1774925800.853467,3.0
1774925800.8680432,3.0
1774925800.8825912,3.0
1774925800.8971515,3.0
1774925800.9117343,3.0
1774925800.9263015,3.0
1774925800.9408727,3.0
1774925800.9554758,3.0
1774925800.9701073,3.0
1774925800.9847183,3.0
1774925800.9947858,2.0
1774925801.009452,3.0
1774925801.0240872,3.0
1774925801.0387728,3.0
1774925801.0488784,2.0
1774925801.0635242,3.0
1774925801.0781615,3.0
1774925801.0928044,3.0
1774925801.1075459,3.0
1774925801.1221564,3.0
1774925801.1368852,3.0
1774925801.1514156,3.0
1774925801.1660652,3.0
1774925801.1807134,3.0
1774925801.1953716,3.0
1774925801.2104516,3.0
1774925801.2249224,3.0
1774925801.2395003,3.0
1774925801.254224,3.0
1774925801.268786,3.0
1774925801.2833989,3.0
1774925801.2980638,3.0
1774925801.312668,3.0
1774925801.327267,3.0
1774925801.3418667,3.0
1774925801.356456,3.0
1774925801.371022,3.0
1774925801.385682,3.0
1774925801.4002643,3.0
1774925801.4148536,3.0
1774925801.4295003,3.0
1774925801.4440968,3.0
1774925801.4586685,3.0
1774925801.4732392,3.0
1774925801.4878206,3.0
1774925801.5024137,3.0
1774925801.5171146,3.0
1774925801.5316877,3.0
1774925801.546277,3.0
1774925801.5608416,3.0
1774925801.5754104,3.0
1774925801.5899704,3.0
1774925801.604546,3.0
1774925801.6191165,3.0
1774925801.633721,3.0
1774925801.6483493,3.0
1774925801.663096,3.0
1774925801.6776905,3.0
1774925801.6922812,3.0
1774925801.7068603,3.0
1774925801.7214458,3.0
1774925801.7314613,2.0
1774925801.7460232,3.0
1774925801.7606077,3.0
1774925801.7751818,3.0
1774925801.786236,2.0
1774925801.8046052,2.0
1774925801.8159335,1.0
1774925801.8306077,3.0
1774925801.8451927,3.0
1774925801.8597577,3.0
1774925801.8743834,3.0
1774925801.8889568,3.0
1774925801.9035459,3.0
1774925801.91811,3.0
1774925801.932723,3.0
1774925801.9473164,3.0
1774925801.9618862,3.0
1774925801.9764652,3.0
1774925801.9910645,3.0
1774925802.0056427,3.0
1774925802.0202293,3.0
1774925802.034793,3.0
1774925802.0496101,3.0
1774925802.0600173,2.0
1774925802.0745695,3.0
1774925802.089158,3.0
1774925802.1037533,3.0
1774925802.1183605,3.0
1774925802.1284122,2.0
1774925802.1429048,3.0
1774925802.1574864,3.0
1774925802.172062,3.0
1774925802.186687,3.0
1774925802.2012548,3.0
1774925802.2159889,3.0
1774925802.2305472,3.0
1774925802.245282,3.0
1774925802.2599144,3.0
1774925802.2745569,3.0
1774925802.2892401,3.0
1774925802.3038044,3.0
1774925802.3184166,3.0
1774925802.3329883,3.0
1774925802.3476107,3.0
1774925802.3621752,3.0
1774925802.376744,3.0
1774925802.3913376,3.0
1774925802.405899,3.0
1774925802.4204695,3.0
1774925802.4351466,3.0
1774925802.4497643,3.0
1774925802.4643502,3.0
1774925802.4789138,3.0
1774925802.4934845,3.0
1774925802.5081654,3.0
1774925802.522871,3.0
1774925802.5374632,3.0
1774925802.552038,3.0
1774925802.5666046,3.0
1774925802.5811644,3.0
1774925802.5958097,3.0
1774925802.6104443,3.0
1774925802.62508,3.0
1774925802.6397574,3.0
1774925802.654404,3.0
1774925802.669041,3.0
1774925802.6837282,3.0
1774925802.6983526,3.0
1774925802.7130377,3.0
1774925802.7277534,3.0
1774925802.7424374,3.0
1774925802.7571142,3.0
1774925802.7718031,3.0
1774925802.781923,2.0
1774925802.7926881,2.0
1774925802.8066952,1.0
1774925802.8186796,1.0
1774925802.83329,3.0
1774925802.8479,3.0
1774925802.8624423,3.0
1774925802.8769927,3.0
1774925802.8915417,3.0
1774925802.9060905,3.0
1774925802.9206426,3.0
1774925802.935228,3.0
1774925802.9498308,3.0
1774925802.9644573,3.0
1774925802.9790761,3.0
1774925802.9936426,3.0
1774925803.0082703,3.0
1774925803.0228946,3.0
1774925803.037524,3.0
1774925803.047571,2.0
1774925803.0622573,3.0
1774925803.076894,3.0
1774925803.0915444,3.0
1774925803.1062233,3.0
1774925803.1208916,3.0
1774925803.1309185,2.0
1774925803.1456027,3.0
1774925803.1603003,3.0
1774925803.1749313,3.0
1774925803.1896665,3.0
1774925803.2043273,3.0
1774925803.2144535,2.0
1774925803.2290676,3.0
1774925803.2437124,3.0
1774925803.25846,3.0
1774925803.2731194,3.0
1774925803.2880893,3.0
1774925803.302666,3.0
1774925803.3173437,3.0
1774925803.3319657,3.0
1774925803.3465633,3.0
1774925803.3611314,3.0
1774925803.3757267,3.0
1774925803.390335,3.0
1774925803.4049416,3.0
1774925803.4195209,3.0
1774925803.4341297,3.0
1774925803.4488082,3.0
1774925803.4634063,3.0
1774925803.4780035,3.0
1774925803.4925897,3.0
1774925803.5071406,3.0
1774925803.5218384,3.0
1774925803.5364556,3.0
1774925803.5510454,3.0
1774925803.5656843,3.0
1774925803.580288,3.0
1774925803.5948772,3.0
1774925803.6094432,3.0
1774925803.6194985,2.0
1774925803.6340613,3.0
1774925803.6487148,3.0
1774925803.6633985,3.0
1774925803.678043,3.0
1774925803.692602,3.0
1774925803.7072244,3.0
1774925803.7218194,3.0
1774925803.7364058,3.0
1774925803.7464702,2.0
1774925803.7610505,3.0
1774925803.7758088,3.0
1774925803.7862566,2.0
1774925803.7963784,2.0
1774925803.808049,2.0
1774925803.8226528,3.0
1774925803.837299,3.0
1774925803.852012,3.0
1774925803.8665984,3.0
1774925803.8811688,3.0
1774925803.8958204,3.0
1774925803.9104216,3.0
1774925803.9250395,3.0
1774925803.9396193,3.0
1774925803.9544127,3.0
1774925803.9690201,3.0
1774925803.9836543,3.0
1774925803.9982696,3.0
1774925804.0128589,3.0
1774925804.027648,3.0
1774925804.0422487,3.0
1774925804.0522661,2.0
1774925804.0669227,3.0
1774925804.0815256,3.0
1774925804.0961404,3.0
1774925804.1109452,3.0
1774925804.1255484,3.0
1774925804.1403127,3.0
1774925804.1547966,3.0
1774925804.1693108,3.0
1774925804.1837907,3.0
1774925804.198249,3.0
1774925804.2131708,3.0
1774925804.2276518,3.0
1774925804.2422397,3.0
1774925804.2569807,3.0
1774925804.2715714,3.0
1774925804.286301,3.0
1774925804.3010032,3.0
1774925804.3155856,3.0
1774925804.3301857,3.0
1774925804.3447974,3.0
1774925804.3548105,2.0
1774925804.36939,3.0
1774925804.3839931,3.0
1774925804.3985941,3.0
1774925804.4132042,3.0
1774925804.427822,3.0
1774925804.442395,3.0
1774925804.457071,3.0
1774925804.4716759,3.0
1774925804.4863153,3.0
1774925804.5009282,3.0
1774925804.515687,3.0
1774925804.530384,3.0
1774925804.544977,3.0
1774925804.559549,3.0
1774925804.5695636,2.0
1774925804.5841427,3.0
1774925804.598766,3.0
1774925804.6134253,3.0
1774925804.6279798,3.0
1774925804.64258,3.0
1774925804.6526506,2.0
1774925804.667234,3.0
1774925804.681858,3.0
1774925804.69644,3.0
1774925804.7110379,3.0
1774925804.725649,3.0
1774925804.7404075,3.0
1774925804.755001,3.0
1774925804.7695873,3.0
1774925804.785536,3.0
1774925804.7955923,2.0
1774925804.805772,2.0
1774925804.8203912,3.0
1774925804.8349874,3.0
1774925804.8496635,3.0
1774925804.864285,3.0
1774925804.8789046,3.0
1774925804.8935099,3.0
1774925804.908112,3.0
1774925804.9227166,3.0
1774925804.9373217,3.0
1774925804.9519043,3.0
1774925804.9664989,3.0
1774925804.981089,3.0
1774925804.9956748,3.0
1774925805.0102952,3.0
1774925805.0203109,2.0
1774925805.0348663,3.0
1774925805.0494556,3.0
1774925805.0641074,3.0
1774925805.078691,3.0
1774925805.0934637,3.0
1774925805.108125,3.0
1774925805.1227503,3.0
1774925805.1327505,2.0
1774925805.1473832,3.0
1774925805.1619642,3.0
1774925805.1765382,3.0
1774925805.1911347,3.0
1774925805.2057593,3.0
1774925805.220478,3.0
1774925805.2350783,3.0
1774925805.2451665,2.0
1774925805.2598062,3.0
1774925805.2744176,3.0
1774925805.2891417,3.0
1774925805.3037872,3.0
1774925805.3184583,3.0
1774925805.3330874,3.0
1774925805.3478453,3.0
1774925805.3624294,3.0
1774925805.3725073,2.0
1774925805.38708,3.0
1774925805.4016614,3.0
1774925805.4162722,3.0
1774925805.4308655,3.0
1774925805.445481,3.0
1774925805.4600408,3.0
1774925805.47465,3.0
1774925805.489226,3.0
1774925805.5038178,3.0
1774925805.5184295,3.0
1774925805.5330021,3.0
1774925805.5475733,3.0
1774925805.562353,3.0
1774925805.577049,3.0
1774925805.5916598,3.0
1774925805.6062498,3.0
1774925805.6208503,3.0
1774925805.6356194,3.0
1774925805.6502404,3.0
1774925805.6648967,3.0
1774925805.679509,3.0
1774925805.6941226,3.0
1774925805.7086024,3.0
1774925805.723185,3.0
1774925805.7379034,3.0
1774925805.7525241,3.0
1774925805.7671082,3.0
1774925805.7828846,3.0
1774925805.7975788,3.0
1774925805.8123572,3.0
1774925805.8269935,3.0
1774925805.8415625,3.0
1774925805.8561883,3.0
1774925805.8707983,3.0
1774925805.8854828,3.0
1774925805.900052,3.0
1774925805.914676,3.0
1774925805.9292738,3.0
1774925805.943858,3.0
1774925805.9584553,3.0
1774925805.9729588,3.0
1774925805.987554,3.0
1774925806.002106,3.0
1774925806.0168219,3.0
1774925806.0314803,3.0
1774925806.0461462,3.0
1774925806.060976,3.0
1774925806.075563,3.0
1774925806.09014,3.0
1774925806.1047509,3.0
1774925806.1147742,2.0
1774925806.129396,3.0
1774925806.144035,3.0
1774925806.1588917,3.0
1774925806.1735413,3.0
1774925806.1881263,3.0
1774925806.2027297,3.0
1774925806.212829,2.0
1774925806.2273912,3.0
1774925806.2419617,3.0
1774925806.2566593,3.0
1774925806.2712677,3.0
1774925806.2858686,3.0
1774925806.3004687,3.0
1774925806.315082,3.0
1774925806.329708,3.0
1774925806.3397236,2.0
1774925806.3543432,3.0
1774925806.3689446,3.0
1774925806.3837018,3.0
1774925806.3983169,3.0
1774925806.412926,3.0
1774925806.427509,3.0
1774925806.4421046,3.0
1774925806.4566884,3.0
1774925806.4712977,3.0
1774925806.4860795,3.0
1774925806.5008035,3.0
1774925806.5153587,3.0
1774925806.5299609,3.0
1774925806.544575,3.0
1774925806.5591974,3.0
1774925806.5738132,3.0
1774925806.5884442,3.0
1774925806.603028,3.0
1774925806.617606,3.0
1774925806.6322372,3.0
1774925806.646932,3.0
1774925806.6615493,3.0
1774925806.6761637,3.0
1774925806.69077,3.0
1774925806.7053638,3.0
1774925806.7199578,3.0
1774925806.7345312,3.0
1774925806.7491198,3.0
1774925806.7637246,3.0
1774925806.778356,3.0
1774925806.7892752,2.0
1774925806.8040764,3.0
1774925806.8187056,3.0
1774925806.8334281,3.0
1774925806.8480432,3.0
1774925806.8627527,3.0
1774925806.8773994,3.0
1774925806.89199,3.0
1774925806.90673,3.0
1774925806.9213722,3.0
1774925806.9359574,3.0
1774925806.950575,3.0
1774925806.9652288,3.0
1774925806.9798326,3.0
1774925806.9944825,3.0
1774925807.009098,3.0
1774925807.023693,3.0
1774925807.0383248,3.0
1774925807.053208,3.0
1774925807.0679107,3.0
1774925807.0825064,3.0
1774925807.097091,3.0
1774925807.1116843,3.0
1774925807.1262996,3.0
1774925807.1410701,3.0
1774925807.155691,3.0
1774925807.1703124,3.0
1774925807.1848633,3.0
1774925807.1994617,3.0
1774925807.2143624,3.0
1774925807.2244027,2.0
1774925807.2389789,3.0
1774925807.2536242,3.0
1774925807.2682207,3.0
1774925807.2828531,3.0
1774925807.2975624,3.0
1774925807.3121333,3.0
1774925807.3267412,3.0
1774925807.3413515,3.0
1774925807.3559256,3.0
1774925807.3705716,3.0
1774925807.3851652,3.0
1774925807.3997989,3.0
1774925807.4143746,3.0
1774925807.4289572,3.0
1774925807.4435928,3.0
1774925807.4582107,3.0
1774925807.4728065,3.0
1774925807.4874125,3.0
1774925807.502042,3.0
1774925807.516709,3.0
1774925807.5313141,3.0
1774925807.5458794,3.0
1774925807.5604503,3.0
1774925807.5750704,3.0
1774925807.5896695,3.0
1774925807.6042576,3.0
1774925807.6188488,3.0
1774925807.6288836,2.0
1774925807.6434777,3.0
1774925807.6581783,3.0
1774925807.6728427,3.0
1774925807.6875167,3.0
1774925807.7022142,3.0
1774925807.7168467,3.0
1774925807.7315423,3.0
1774925807.7462256,3.0
1774925807.7608643,3.0
1774925807.7755435,3.0
1774925807.7911186,3.0
1774925807.8094878,2.0
1774925807.8209062,1.0
1774925807.8354955,3.0
1774925807.8501024,3.0
1774925807.8647711,3.0
1774925807.8793557,3.0
1774925807.8939688,3.0
1774925807.9085867,3.0
1774925807.923158,3.0
1774925807.9377587,3.0
1774925807.9524155,3.0
1774925807.9670827,3.0
1774925807.9770954,2.0
1774925807.9917598,3.0
1774925808.006421,3.0
1774925808.021044,3.0
1774925808.0356777,3.0
1774925808.0503135,3.0
1774925808.0603948,2.0
1774925808.0749705,3.0
1774925808.089576,3.0
1774925808.1041894,3.0
1774925808.1189017,3.0
1774925808.1336348,3.0
1774925808.1483557,3.0
1774925808.1628907,3.0
1774925808.1775105,3.0
