time,scope,value
1761844051.5986452,0,2410858.6635131836
1761844051.5986452,1,2410858.6635131836
1761844052.5986454,0,2411012.3583374023
1761844052.5986454,1,2411012.5049438477
1761844053.5986354,0,2411165.599304199
1761844053.5986354,1,2411165.599304199
1761844054.598651,0,2411312.095336914
1761844054.598651,1,2411312.095336914
1761844055.5986245,0,2411458.658935547
1761844055.5986245,1,2411458.658935547
1761844056.5986419,0,2411605.224609375
1761844056.5986419,1,2411605.224609375
1761844057.5986762,0,2411751.805053711
1761844057.5986762,1,2411751.939758301
1761844058.5996962,0,2411898.4940185547
1761844058.5996962,1,2411898.646179199
1761844059.5986452,0,2412045.036010742
1761844059.5986452,1,2412045.036010742
1761844060.598654,0,2412191.5506591797
1761844060.598654,1,2412191.5506591797
1761844061.5986538,0,2412338.2009277344
1761844061.5986538,1,2412338.2009277344
1761844062.598641,0,2412484.762145996
1761844062.598641,1,2412484.762145996
1761844063.598676,0,2412631.3474121094
1761844063.598676,1,2412631.3474121094
1761844064.5986433,0,2412777.8809814453
1761844064.5986433,1,2412777.8809814453
1761844065.598635,0,2412924.433898926
1761844065.598635,1,2412924.5764160156
1761844066.5986266,0,2413070.9760742188
1761844066.5986266,1,2413070.9760742188
1761844067.5986142,0,2413217.5275878906
1761844067.5986142,1,2413217.686401367
1761844068.5986547,0,2413364.097961426
1761844068.5986547,1,2413364.2532958984
1761844069.5986578,0,2413510.8103027344
1761844069.5986578,1,2413510.8103027344
1761844070.598649,0,2413657.38470459
1761844070.598649,1,2413657.38470459
1761844071.5986412,0,2413803.9216308594
1761844071.5986412,1,2413804.066833496
1761844072.598634,0,2413950.477661133
1761844072.598634,1,2413950.6306762695
1761844073.5985656,0,2414097.1015625
1761844073.5985656,1,2414097.1015625
1761844074.5986278,0,2414243.6166381836
1761844074.5986278,1,2414243.6166381836
1761844075.59864,0,2414390.207397461
1761844075.59864,1,2414390.3576049805
1761844076.5986795,0,2414536.905883789
1761844076.5986795,1,2414536.905883789
1761844077.5986454,0,2414683.449951172
1761844077.5986454,1,2414683.449951172
1761844078.5986452,0,2414829.9447021484
1761844078.5986452,1,2414830.0912475586
1761844079.5986679,0,2414976.6358032227
1761844079.5986679,1,2414976.6358032227
1761844080.598675,0,2415123.1931762695
1761844080.598675,1,2415123.1931762695
1761844081.5986686,0,2415269.7197265625
1761844081.5986686,1,2415269.7197265625
1761844082.5986621,0,2415416.308288574
1761844082.5986621,1,2415416.462463379
1761844083.5986717,0,2415562.8189086914
1761844083.5986717,1,2415563.1079101562
1761844084.5986218,0,2415709.418395996
1761844084.5986218,1,2415709.418395996
1761844085.598663,0,2415856.1204833984
1761844085.598663,1,2415856.1204833984
1761844086.598638,0,2416002.668334961
1761844086.598638,1,2416002.668334961
