time,scope,value
1765090616.6443443,0,156.5231752504023
1765090616.6443443,1,160.2675974867902
1765090617.6443439,0,129.840105176527
1765090617.6443439,1,128.5999170962818
1765090618.6443992,0,127.94906784174714
1765090618.6443992,1,128.79177922351852
1765090619.6444113,0,129.44983842192966
1765090619.6444113,1,130.02645943578787
1765090620.6442995,0,128.9978779177726
1765090620.6442995,1,131.54366285536952
1765090621.6443903,0,130.02423488722923
1765090621.6443903,1,131.24382693204242
1765090622.6444068,0,129.25983280385972
1765090622.6444068,1,131.23875375825233
1765090623.6443791,0,129.23914927011276
1765090623.6443791,1,131.7193831711743
1765090624.6443622,0,130.29874577042344
1765090624.6443622,1,129.7726586922914
1765090625.64438,0,126.06834744134547
1765090625.64438,1,130.07833238822323
1765090626.644383,0,129.71268881071484
1765090626.644383,1,129.55611687632674
1765090627.6443968,0,128.63847705958676
1765090627.6443968,1,128.25675042415398
1765090628.6444032,0,128.87989787217285
1765090628.6444032,1,129.96829823598986
1765090629.6443887,0,129.30040397035333
1765090629.6443887,1,129.5480297716687
1765090630.6443799,0,129.34201447972399
1765090630.6443799,1,132.1159848512492
1765090631.6443825,0,127.61679877384687
1765090631.6443825,1,129.12819955791755
1765090632.6443753,0,131.60739353958212
1765090632.6443753,1,129.97031535436943
1765090633.64432,0,129.3975634353809
1765090633.64432,1,131.1841198266265
1765090634.6443744,0,130.6974219203672
1765090634.6443744,1,128.649802708335
1765090635.6443856,0,129.17388149283
1765090635.6443856,1,128.25869805182194
1765090636.6444244,0,131.82319343163658
1765090636.6444244,1,130.63992337234043
1765090637.6443858,0,130.7033796417712
1765090637.6443858,1,129.68141832151505
1765090638.6443853,0,130.90677814383034
1765090638.6443853,1,129.73748157425248
1765090639.6443937,0,128.47964095631303
1765090639.6443937,1,130.18588239435894
1765090640.6443684,0,130.89165060173116
1765090640.6443684,1,129.85662174120998
1765090641.6443915,0,130.09236253306125
1765090641.6443915,1,130.0625103767659
1765090642.6443698,0,129.99653160924476
1765090642.6443698,1,129.27648797882878
1765090643.6443782,0,131.48411975483577
1765090643.6443782,1,130.00927306399268
1765090644.6443906,0,129.9552933807987
1765090644.6443906,1,127.14617249045806
1765090645.6443748,0,130.0759326844346
1765090645.6443748,1,130.04952885773247
1765090646.644382,0,128.45842844840692
1765090646.644382,1,129.17164855665854
1765090647.6443608,0,130.80148485690435
1765090647.6443608,1,127.96843052524922
1765090648.6443784,0,130.512973323915
1765090648.6443784,1,130.18168673734766
1765090649.6444008,0,129.13390090201025
1765090649.6444008,1,130.43371575875864
1765090650.6442962,0,129.5980531491988
1765090650.6442962,1,130.0678499601485
1765090651.6443527,0,128.95117748206155
1765090651.6443527,1,130.6746318704407
