time,value
1774889879.283864,3.0
1774889879.2947152,3.0
1774889879.3053102,3.0
1774889879.3159215,3.0
1774889879.3268406,3.0
1774889879.3373716,3.0
1774889879.3478866,3.0
1774889879.3584197,3.0
1774889879.3690355,3.0
1774889879.3796096,3.0
1774889879.3901112,3.0
1774889879.4006057,3.0
1774889879.4111814,3.0
1774889879.4216924,3.0
1774889879.4322383,3.0
1774889879.4427261,3.0
1774889879.4532626,3.0
1774889879.4638054,3.0
1774889879.4743555,3.0
1774889879.4848537,3.0
1774889879.4953556,3.0
1774889879.505844,3.0
1774889879.5163777,3.0
1774889879.526862,3.0
1774889879.537348,3.0
1774889879.5479274,3.0
1774889879.5585132,3.0
1774889879.5689921,3.0
1774889879.5796578,3.0
1774889879.5901961,3.0
1774889879.6007998,3.0
1774889879.6112854,3.0
1774889879.621806,3.0
1774889879.632346,3.0
1774889879.6430285,3.0
1774889879.653568,3.0
1774889879.6640773,3.0
1774889879.6745915,3.0
1774889879.6850965,3.0
1774889879.6956449,3.0
1774889879.7076597,3.0
1774889879.7181406,3.0
1774889879.7286613,3.0
1774889879.73919,3.0
1774889879.7497163,3.0
1774889879.7604427,3.0
1774889879.7709467,3.0
1774889879.7816176,3.0
1774889879.7923276,3.0
1774889879.803673,3.0
1774889879.8152237,3.0
1774889879.8270242,3.0
1774889879.8386939,3.0
1774889879.850386,3.0
1774889879.86195,3.0
1774889879.873553,3.0
1774889879.8851411,3.0
1774889879.8969562,3.0
1774889879.9085827,3.0
1774889879.9202743,3.0
1774889879.9319112,3.0
1774889879.9435666,3.0
1774889879.9551697,3.0
1774889879.966833,3.0
1774889879.9783409,3.0
1774889879.9898689,3.0
1774889880.0015204,3.0
1774889880.0130744,3.0
1774889880.0248969,3.0
1774889880.0365071,3.0
1774889880.0481014,3.0
1774889880.0598154,3.0
1774889880.07159,3.0
1774889880.0836883,3.0
1774889880.095369,3.0
1774889880.1072044,3.0
1774889880.1188874,3.0
1774889880.1304498,3.0
1774889880.1423619,3.0
1774889880.1539218,3.0
1774889880.1655838,3.0
1774889880.177162,3.0
1774889880.188875,3.0
1774889880.2005103,3.0
1774889880.212789,3.0
1774889880.2245753,3.0
1774889880.236149,3.0
1774889880.2641199,2.0
1774889880.275384,3.0
1774889880.2873092,3.0
1774889880.2989519,3.0
1774889880.3106987,3.0
1774889880.3223,3.0
1774889880.3340917,3.0
1774889880.345723,3.0
1774889880.357439,3.0
1774889880.3691168,3.0
1774889880.3809354,3.0
1774889880.392674,3.0
1774889880.4045117,3.0
1774889880.416103,3.0
1774889880.4277508,3.0
1774889880.4395087,3.0
1774889880.4511886,3.0
1774889880.4627929,3.0
1774889880.4744637,3.0
1774889880.4861984,3.0
1774889880.4979537,3.0
1774889880.5096443,3.0
1774889880.521539,3.0
1774889880.5334258,3.0
1774889880.5451736,3.0
1774889880.556845,3.0
1774889880.5685587,3.0
1774889880.5802677,3.0
1774889880.5921333,3.0
1774889880.603896,3.0
1774889880.6155803,3.0
1774889880.6272683,3.0
1774889880.6389458,3.0
1774889880.650607,3.0
1774889880.6623137,3.0
1774889880.673972,3.0
1774889880.6856935,3.0
1774889880.6973782,3.0
1774889880.709076,3.0
1774889880.720743,3.0
1774889880.7324514,3.0
1774889880.7440507,3.0
1774889880.7557533,3.0
1774889880.7674856,3.0
1774889880.7792535,3.0
1774889880.7909894,3.0
1774889880.80269,3.0
1774889880.814448,3.0
1774889880.8262541,3.0
1774889880.8380222,3.0
1774889880.8497076,3.0
1774889880.8613694,3.0
1774889880.8730206,3.0
1774889880.8847275,3.0
1774889880.8964386,3.0
1774889880.908055,3.0
1774889880.9196584,3.0
1774889880.9312825,3.0
1774889880.942875,3.0
1774889880.9545388,3.0
1774889880.9661288,3.0
1774889880.9777288,3.0
1774889880.9893897,3.0
1774889881.001028,3.0
1774889881.0126274,3.0
1774889881.0245159,3.0
1774889881.0360641,3.0
1774889881.047653,3.0
1774889881.0593665,3.0
1774889881.0709856,3.0
1774889881.0826554,3.0
1774889881.0942717,3.0
1774889881.1061707,3.0
1774889881.1177878,3.0
1774889881.129443,3.0
1774889881.1410902,3.0
1774889881.1527178,3.0
1774889881.1643357,3.0
1774889881.1759923,3.0
1774889881.1875648,3.0
1774889881.19924,3.0
1774889881.2109501,3.0
1774889881.2226098,3.0
1774889881.2342162,3.0
1774889881.2675507,3.0
1774889881.2788513,3.0
1774889881.2905772,3.0
1774889881.302124,3.0
1774889881.313687,3.0
1774889881.3253267,3.0
1774889881.336937,3.0
1774889881.3485568,3.0
1774889881.3601851,3.0
1774889881.371756,3.0
1774889881.3834178,3.0
1774889881.3948858,3.0
1774889881.4064775,3.0
1774889881.4180965,3.0
1774889881.4297123,3.0
1774889881.4413002,3.0
1774889881.4529357,3.0
1774889881.4644825,3.0
1774889881.4761095,3.0
1774889881.4877102,3.0
1774889881.4993396,3.0
1774889881.5108442,3.0
1774889881.522493,3.0
1774889881.5339994,3.0
1774889881.5456169,3.0
1774889881.5572681,3.0
1774889881.5690186,3.0
1774889881.5805542,3.0
1774889881.5921535,3.0
1774889881.6037607,3.0
1774889881.6153781,3.0
1774889881.6269908,3.0
1774889881.6386356,3.0
1774889881.650321,3.0
1774889881.661969,3.0
1774889881.6736438,3.0
1774889881.6851985,3.0
1774889881.6967556,3.0
1774889881.708413,3.0
1774889881.7199626,3.0
1774889881.731627,3.0
1774889881.7431962,3.0
1774889881.7550037,3.0
1774889881.7665575,3.0
1774889881.7783136,3.0
1774889881.7898998,3.0
1774889881.8016176,3.0
1774889881.8131735,3.0
1774889881.8249454,3.0
1774889881.8366976,3.0
1774889881.8483107,3.0
1774889881.859873,3.0
1774889881.8717647,3.0
1774889881.8833234,3.0
1774889881.8950837,3.0
1774889881.906836,3.0
1774889881.918403,3.0
1774889881.9299734,3.0
1774889881.941647,3.0
1774889881.9532387,3.0
1774889881.9648364,3.0
1774889881.9765077,3.0
1774889881.9881008,3.0
1774889881.9997475,3.0
1774889882.0113168,3.0
1774889882.0229204,3.0
1774889882.0345712,3.0
1774889882.0461922,3.0
1774889882.0578063,3.0
1774889882.0694242,3.0
1774889882.0810366,3.0
1774889882.092656,3.0
1774889882.1044972,3.0
1774889882.116051,3.0
1774889882.1281815,3.0
1774889882.139779,3.0
1774889882.1513848,3.0
1774889882.1630554,3.0
1774889882.174635,3.0
1774889882.1862233,3.0
1774889882.197887,3.0
1774889882.2100604,3.0
1774889882.2214282,3.0
1774889882.2330337,3.0
1774889882.2465637,3.0
1774889882.2572196,2.0
1774889882.2687545,3.0
1774889882.2803621,3.0
1774889882.2920601,3.0
1774889882.303593,3.0
1774889882.3151982,3.0
1774889882.3267553,3.0
1774889882.3383796,3.0
1774889882.3499105,3.0
1774889882.361483,3.0
1774889882.3730538,3.0
1774889882.3846025,3.0
1774889882.3962235,3.0
1774889882.4078727,3.0
1774889882.4194431,3.0
1774889882.4309368,3.0
1774889882.4425087,3.0
1774889882.4540162,3.0
1774889882.4656353,3.0
1774889882.4771528,3.0
1774889882.4887133,3.0
1774889882.500227,3.0
1774889882.5117905,3.0
1774889882.5234387,3.0
1774889882.5351245,3.0
1774889882.5466905,3.0
1774889882.5582354,3.0
1774889882.5698469,3.0
1774889882.5815077,3.0
1774889882.592983,3.0
1774889882.6045587,3.0
1774889882.6161907,3.0
1774889882.6277478,3.0
1774889882.6392946,3.0
1774889882.6508622,3.0
1774889882.6624706,3.0
1774889882.673985,3.0
1774889882.6855617,3.0
1774889882.6971009,3.0
1774889882.7087002,3.0
1774889882.7203364,3.0
1774889882.732017,3.0
1774889882.7435946,3.0
1774889882.755217,3.0
1774889882.7667634,3.0
1774889882.7784674,3.0
1774889882.7900114,3.0
1774889882.801671,3.0
1774889882.8132806,3.0
1774889882.8252888,3.0
1774889882.8366957,3.0
1774889882.8485518,3.0
1774889882.860121,3.0
1774889882.8717303,3.0
1774889882.8833992,3.0
1774889882.8951867,3.0
1774889882.9068966,3.0
1774889882.918563,3.0
1774889882.930218,3.0
1774889882.9421225,3.0
1774889882.953784,3.0
1774889882.9654267,3.0
1774889882.9771297,3.0
1774889882.988757,3.0
1774889883.000554,3.0
1774889883.012172,3.0
1774889883.0239942,3.0
1774889883.0355794,3.0
1774889883.0473204,3.0
1774889883.0588133,3.0
1774889883.0704098,3.0
1774889883.081971,3.0
1774889883.0936487,3.0
1774889883.1056333,3.0
1774889883.1173642,3.0
1774889883.1289303,3.0
1774889883.1405478,3.0
1774889883.1522322,3.0
1774889883.16381,3.0
1774889883.1754804,3.0
1774889883.187079,3.0
1774889883.198721,3.0
1774889883.2105362,3.0
1774889883.221961,3.0
1774889883.2336237,3.0
1774889883.246704,3.0
1774889883.2584066,3.0
1774889883.2700226,3.0
1774889883.281886,3.0
1774889883.2935894,3.0
1774889883.305253,3.0
1774889883.3168802,3.0
1774889883.3285122,3.0
1774889883.3401437,3.0
1774889883.3517506,3.0
1774889883.3633316,3.0
1774889883.375217,3.0
1774889883.38679,3.0
1774889883.398555,3.0
1774889883.410178,3.0
1774889883.422257,3.0
1774889883.4338143,3.0
1774889883.4455097,3.0
1774889883.457084,3.0
1774889883.4687104,3.0
1774889883.4802854,3.0
1774889883.491914,3.0
1774889883.5035098,3.0
1774889883.5151165,3.0
1774889883.5267766,3.0
1774889883.5383365,3.0
1774889883.5499377,3.0
1774889883.5615237,3.0
1774889883.5732841,3.0
1774889883.5848894,3.0
1774889883.5965405,3.0
1774889883.6081917,3.0
1774889883.6198847,3.0
1774889883.631448,3.0
1774889883.6430278,3.0
1774889883.6546361,3.0
1774889883.6659992,3.0
1774889883.6776164,3.0
1774889883.6892388,3.0
1774889883.7006083,3.0
1774889883.7121046,3.0
1774889883.723607,3.0
1774889883.7349765,3.0
1774889883.7465346,3.0
1774889883.7579875,3.0
1774889883.7694216,3.0
1774889883.780795,3.0
1774889883.792363,3.0
1774889883.803756,3.0
1774889883.8153615,3.0
1774889883.8269293,3.0
1774889883.8382866,3.0
1774889883.84966,3.0
1774889883.8611982,3.0
1774889883.872545,3.0
1774889883.884085,3.0
1774889883.8954377,3.0
1774889883.906967,3.0
1774889883.9183726,3.0
1774889883.9297104,3.0
1774889883.9413102,3.0
1774889883.952759,3.0
1774889883.9641,3.0
1774889883.9756544,3.0
1774889883.9872239,3.0
1774889883.9986382,3.0
1774889884.010005,3.0
1774889884.0214674,3.0
1774889884.0333366,3.0
1774889884.0447369,3.0
1774889884.0565143,3.0
1774889884.0678551,3.0
1774889884.0792046,3.0
1774889884.090551,3.0
1774889884.1024485,3.0
1774889884.1138248,3.0
1774889884.1252122,3.0
1774889884.136715,3.0
1774889884.1480966,3.0
1774889884.1595576,3.0
1774889884.170931,3.0
1774889884.1825852,3.0
1774889884.1940403,3.0
1774889884.2055168,3.0
1774889884.2171636,3.0
1774889884.2284973,3.0
1774889884.2415645,3.0
1774889884.2539546,3.0
1774889884.2653277,3.0
1774889884.2767942,3.0
1774889884.2883732,3.0
1774889884.2997394,3.0
1774889884.3111334,3.0
1774889884.322557,3.0
1774889884.3339028,3.0
1774889884.3455586,3.0
1774889884.3569396,3.0
1774889884.368348,3.0
1774889884.3797204,3.0
1774889884.391192,3.0
1774889884.4026525,3.0
1774889884.414289,3.0
1774889884.4256744,3.0
1774889884.4371784,3.0
1774889884.448596,3.0
1774889884.4600387,3.0
1774889884.4714222,3.0
1774889884.4828672,3.0
1774889884.4942827,3.0
1774889884.5056393,3.0
1774889884.5170743,3.0
1774889884.529014,3.0
1774889884.5404482,3.0
1774889884.5518334,3.0
1774889884.5632012,3.0
1774889884.574701,3.0
1774889884.586067,3.0
1774889884.5974998,3.0
1774889884.6089807,3.0
1774889884.6204755,3.0
1774889884.6318426,3.0
1774889884.6432345,3.0
1774889884.6547155,3.0
1774889884.6660967,3.0
1774889884.6775687,3.0
1774889884.68894,3.0
1774889884.7004385,3.0
1774889884.7118464,3.0
1774889884.7232502,3.0
1774889884.7346163,3.0
1774889884.7461488,3.0
1774889884.7575903,3.0
1774889884.769143,3.0
1774889884.780576,3.0
1774889884.7920141,3.0
1774889884.8036163,3.0
1774889884.8152192,3.0
1774889884.8267453,3.0
1774889884.8384202,3.0
1774889884.8498526,3.0
1774889884.861268,3.0
1774889884.8726897,3.0
1774889884.8842046,3.0
1774889884.8956168,3.0
1774889884.9070377,3.0
