time,scope,value
1774924534.8355093,nrm.extra.perf.PAPI_L3_TCA.305443,2322248498.0
1774924534.8355093,nrm.extra.perf.PAPI_TOT_INS.305443,48541373958.0
1774924534.8355093,nrm.extra.perf.PAPI_TOT_CYC.305443,294193099907.0
1774924534.8355093,nrm.extra.perf.PAPI_RES_STL.305443,261985178952.0
1774924534.8355093,nrm.extra.perf.PAPI_L3_TCM.305443,2066326662.0
1774924535.834573,nrm.extra.perf.PAPI_L3_TCA.305443,4625198187.0
1774924535.834573,nrm.extra.perf.PAPI_TOT_INS.305443,97581148098.0
1774924535.834573,nrm.extra.perf.PAPI_TOT_CYC.305443,592921253320.0
1774924535.834573,nrm.extra.perf.PAPI_RES_STL.305443,520790098727.0
1774924535.834573,nrm.extra.perf.PAPI_L3_TCM.305443,4109142220.0
1774924536.8313677,nrm.extra.perf.PAPI_L3_TCA.305443,6921075797.0
1774924536.8313677,nrm.extra.perf.PAPI_TOT_INS.305443,145959014276.0
1774924536.8313677,nrm.extra.perf.PAPI_TOT_CYC.305443,888711782227.0
1774924536.8313677,nrm.extra.perf.PAPI_RES_STL.305443,780841195762.0
1774924536.8313677,nrm.extra.perf.PAPI_L3_TCM.305443,6151383679.0
1774924537.8329968,nrm.extra.perf.PAPI_L3_TCA.305443,9255083374.0
1774924537.8329968,nrm.extra.perf.PAPI_TOT_INS.305443,194974164390.0
1774924537.8329968,nrm.extra.perf.PAPI_TOT_CYC.305443,1188950725294.0
1774924537.8329968,nrm.extra.perf.PAPI_RES_STL.305443,1046075047120.0
1774924537.8329968,nrm.extra.perf.PAPI_L3_TCM.305443,8231208958.0
1774924538.8358226,nrm.extra.perf.PAPI_L3_TCA.305443,11593175166.0
1774924538.8358226,nrm.extra.perf.PAPI_TOT_INS.305443,244145911660.0
1774924538.8358226,nrm.extra.perf.PAPI_TOT_CYC.305443,1489945953768.0
1774924538.8358226,nrm.extra.perf.PAPI_RES_STL.305443,1310429854755.0
1774924538.8358226,nrm.extra.perf.PAPI_L3_TCM.305443,10303610570.0
1774924539.8346527,nrm.extra.perf.PAPI_L3_TCA.305443,13913885940.0
1774924539.8346527,nrm.extra.perf.PAPI_TOT_INS.305443,293070005845.0
1774924539.8346527,nrm.extra.perf.PAPI_TOT_CYC.305443,1789562695513.0
1774924539.8346527,nrm.extra.perf.PAPI_RES_STL.305443,1573656433072.0
1774924539.8346527,nrm.extra.perf.PAPI_L3_TCM.305443,12368547924.0
1774924540.8304784,nrm.extra.perf.PAPI_L3_TCA.305443,16239043941.0
1774924540.8304784,nrm.extra.perf.PAPI_TOT_INS.305443,341856861745.0
1774924540.8304784,nrm.extra.perf.PAPI_TOT_CYC.305443,2088205314483.0
1774924540.8304784,nrm.extra.perf.PAPI_RES_STL.305443,1836893514327.0
1774924540.8304784,nrm.extra.perf.PAPI_L3_TCM.305443,14433195432.0
1774924541.8393857,nrm.extra.perf.PAPI_L3_TCA.305443,18590045626.0
1774924541.8393857,nrm.extra.perf.PAPI_TOT_INS.305443,391096222835.0
1774924541.8393857,nrm.extra.perf.PAPI_TOT_CYC.305443,2390777400169.0
1774924541.8393857,nrm.extra.perf.PAPI_RES_STL.305443,2104914879413.0
1774924541.8393857,nrm.extra.perf.PAPI_L3_TCM.305443,16535439343.0
1774924542.8325503,nrm.extra.perf.PAPI_L3_TCA.305443,20887491078.0
1774924542.8325503,nrm.extra.perf.PAPI_TOT_INS.305443,439664127191.0
1774924542.8325503,nrm.extra.perf.PAPI_TOT_CYC.305443,2684909170593.0
1774924542.8325503,nrm.extra.perf.PAPI_RES_STL.305443,2361991427077.0
1774924542.8325503,nrm.extra.perf.PAPI_L3_TCM.305443,18570878907.0
1774924543.835567,nrm.extra.perf.PAPI_L3_TCA.305443,23251989787.0
1774924543.835567,nrm.extra.perf.PAPI_TOT_INS.305443,489151965994.0
1774924543.835567,nrm.extra.perf.PAPI_TOT_CYC.305443,2985740118145.0
1774924543.835567,nrm.extra.perf.PAPI_RES_STL.305443,2628147197820.0
1774924543.835567,nrm.extra.perf.PAPI_L3_TCM.305443,20673531633.0
1774924544.836978,nrm.extra.perf.PAPI_L3_TCA.305443,25556908612.0
1774924544.836978,nrm.extra.perf.PAPI_TOT_INS.305443,537612717383.0
1774924544.836978,nrm.extra.perf.PAPI_TOT_CYC.305443,3282266867422.0
1774924544.836978,nrm.extra.perf.PAPI_RES_STL.305443,2889385909088.0
1774924544.836978,nrm.extra.perf.PAPI_L3_TCM.305443,22723876044.0
1774924545.8363457,nrm.extra.perf.PAPI_L3_TCA.305443,27864768374.0
1774924545.8363457,nrm.extra.perf.PAPI_TOT_INS.305443,586525572259.0
1774924545.8363457,nrm.extra.perf.PAPI_TOT_CYC.305443,3582374209478.0
1774924545.8363457,nrm.extra.perf.PAPI_RES_STL.305443,3151117590286.0
1774924545.8363457,nrm.extra.perf.PAPI_L3_TCM.305443,24774302879.0
1774924546.8334577,nrm.extra.perf.PAPI_L3_TCA.305443,30195601963.0
1774924546.8334577,nrm.extra.perf.PAPI_TOT_INS.305443,635392170276.0
1774924546.8334577,nrm.extra.perf.PAPI_TOT_CYC.305443,3881646767854.0
1774924546.8334577,nrm.extra.perf.PAPI_RES_STL.305443,3415640293755.0
1774924546.8334577,nrm.extra.perf.PAPI_L3_TCM.305443,26846908141.0
1774924547.838788,nrm.extra.perf.PAPI_L3_TCA.305443,32545802689.0
1774924547.838788,nrm.extra.perf.PAPI_TOT_INS.305443,684685879391.0
1774924547.838788,nrm.extra.perf.PAPI_TOT_CYC.305443,4183259356560.0
1774924547.838788,nrm.extra.perf.PAPI_RES_STL.305443,3681874002963.0
1774924547.838788,nrm.extra.perf.PAPI_L3_TCM.305443,28934779026.0
1774924548.8305702,nrm.extra.perf.PAPI_L3_TCA.305443,34862940612.0
1774924548.8305702,nrm.extra.perf.PAPI_TOT_INS.305443,733311097135.0
1774924548.8305702,nrm.extra.perf.PAPI_TOT_CYC.305443,4480975981345.0
1774924548.8305702,nrm.extra.perf.PAPI_RES_STL.305443,3944306514817.0
1774924548.8305702,nrm.extra.perf.PAPI_L3_TCM.305443,30992474143.0
1774924549.8359687,nrm.extra.perf.PAPI_L3_TCA.305443,37202638583.0
1774924549.8359687,nrm.extra.perf.PAPI_TOT_INS.305443,782473372979.0
1774924549.8359687,nrm.extra.perf.PAPI_TOT_CYC.305443,4782398975146.0
1774924549.8359687,nrm.extra.perf.PAPI_RES_STL.305443,4210578959165.0
1774924549.8359687,nrm.extra.perf.PAPI_L3_TCM.305443,33079724478.0
1774924550.8349845,nrm.extra.perf.PAPI_L3_TCA.305443,39507723838.0
1774924550.8349845,nrm.extra.perf.PAPI_TOT_INS.305443,831103598046.0
1774924550.8349845,nrm.extra.perf.PAPI_TOT_CYC.305443,5078875419496.0
1774924550.8349845,nrm.extra.perf.PAPI_RES_STL.305443,4470057598242.0
1774924550.8349845,nrm.extra.perf.PAPI_L3_TCM.305443,35122174802.0
1774924551.832396,nrm.extra.perf.PAPI_L3_TCA.305443,41851286773.0
1774924551.832396,nrm.extra.perf.PAPI_TOT_INS.305443,880251551389.0
1774924551.832396,nrm.extra.perf.PAPI_TOT_CYC.305443,5378309208138.0
1774924551.832396,nrm.extra.perf.PAPI_RES_STL.305443,4734820726847.0
1774924551.832396,nrm.extra.perf.PAPI_L3_TCM.305443,37209310289.0
1774924552.8345926,nrm.extra.perf.PAPI_L3_TCA.305443,44223935878.0
1774924552.8345926,nrm.extra.perf.PAPI_TOT_INS.305443,929737099743.0
1774924552.8345926,nrm.extra.perf.PAPI_TOT_CYC.305443,5679101727938.0
1774924552.8345926,nrm.extra.perf.PAPI_RES_STL.305443,5002258812636.0
1774924552.8345926,nrm.extra.perf.PAPI_L3_TCM.305443,39319315354.0
1774924553.836591,nrm.extra.perf.PAPI_L3_TCA.305443,46061862692.0
1774924553.836591,nrm.extra.perf.PAPI_TOT_INS.305443,977083832912.0
