time,scope,value
1742762968.5040143,0,177565.91967773438
1742762968.5040143,1,177566.5103149414
1742762969.5045679,0,177678.33825683594
1742762969.5045679,1,177678.78125
1742762970.5045905,0,177789.8338623047
1742762970.5045905,1,177790.2823486328
1742762971.504379,0,177901.55352783203
1742762971.504379,1,177901.98248291016
1742762972.5040636,0,178013.17889404297
1742762972.5040636,1,178013.59942626953
1742762973.5046139,0,178125.00958251953
1742762973.5046139,1,178125.10278320312
1742762974.5044131,0,178236.3140258789
1742762974.5044131,1,178236.7490234375
1742762975.5044265,0,178348.06243896484
1742762975.5044265,1,178348.27612304688
1742762976.5039387,0,178459.71087646484
1742762976.5039387,1,178459.81274414062
1742762977.5036154,0,178571.25384521484
1742762977.5036154,1,178571.36279296875
1742762978.5041342,0,178683.2074584961
1742762978.5041342,1,178683.42529296875
1742762979.5042074,0,178794.52221679688
1742762979.5042074,1,178794.62774658203
1742762980.5045483,0,178906.69354248047
1742762980.5045483,1,178906.82202148438
1742762981.5039988,0,179018.33197021484
1742762981.5039988,1,179018.42413330078
1742762982.5038326,0,179129.7279663086
1742762982.5038326,1,179129.8271484375
1742762983.5038786,0,179241.6089477539
1742762983.5038786,1,179241.69842529297
1742762984.5038486,0,179353.41650390625
1742762984.5038486,1,179353.6396484375
1742762985.5040174,0,179464.732421875
1742762985.5040174,1,179464.92645263672
1742762986.504399,0,179576.60107421875
1742762986.504399,1,179576.79418945312
1742762987.5040042,0,179688.35314941406
1742762987.5040042,1,179688.53302001953
1742762988.504299,0,179799.93115234375
1742762988.504299,1,179800.03985595703
1742762989.50422,0,179911.79962158203
1742762989.50422,1,179912.23986816406
1742762990.5038471,0,180023.3173828125
1742762990.5038471,1,180023.85717773438
1742762991.5045028,0,180134.8046875
1742762991.5045028,1,180135.24639892578
1742762992.504429,0,180246.79229736328
1742762992.504429,1,180247.2364501953
1742762993.5045614,0,180358.27282714844
1742762993.5045614,1,180358.36749267578
1742762994.5038953,0,180470.1241455078
1742762994.5038953,1,180470.24938964844
1742762995.5042975,0,180581.7525024414
1742762995.5042975,1,180582.19134521484
1742762996.5041351,0,180693.48583984375
1742762996.5041351,1,180694.0366821289
1742762997.504198,0,180804.9971923828
1742762997.504198,1,180805.4727783203
1742762998.5038855,0,180916.7435913086
1742762998.5038855,1,180917.19689941406
1742762999.5044537,0,181028.4633178711
1742762999.5044537,1,181028.65899658203
1742763000.5040104,0,181140.2045288086
1742763000.5040104,1,181140.4126586914
1742763001.5037255,0,181251.4854736328
1742763001.5037255,1,181251.6812133789
1742763002.503888,0,181363.31646728516
1742763002.503888,1,181363.40979003906
1742763003.5046186,0,181475.0531616211
1742763003.5046186,1,181475.25524902344
1742763004.5046508,0,181587.01806640625
1742763004.5046508,1,181587.58862304688
1742763005.5041077,0,181698.4227294922
1742763005.5041077,1,181698.9874267578
1742763006.50429,0,181810.2593383789
1742763006.50429,1,181810.8265991211
1742763007.5040307,0,181921.7700805664
1742763007.5040307,1,181922.44079589844
1742763008.5038774,0,182033.50579833984
1742763008.5038774,1,182034.06079101562
1742763009.5042727,0,182145.24530029297
1742763009.5042727,1,182145.6573486328
1742763010.5038123,0,182256.93688964844
1742763010.5038123,1,182257.41339111328
1742763011.5042262,0,182368.78759765625
1742763011.5042262,1,182369.23681640625
1742763012.503852,0,182480.1869506836
1742763012.503852,1,182480.31909179688
1742763013.5039485,0,182591.94580078125
1742763013.5039485,1,182592.3861694336
1742763014.5038426,0,182703.77661132812
1742763014.5038426,1,182703.87799072266
1742763015.504182,0,182815.19415283203
1742763015.504182,1,182815.63598632812
1742763016.5041015,0,182927.02716064453
1742763016.5041015,1,182927.25366210938
1742763017.503848,0,183038.6322631836
1742763017.503848,1,183038.85968017578
1742763018.504568,0,183150.4789428711
1742763018.504568,1,183150.58947753906
1742763019.5041497,0,183261.88256835938
1742763019.5041497,1,183262.31567382812
1742763020.5038075,0,183373.4892578125
1742763020.5038075,1,183373.81622314453
1742763021.503762,0,183485.25103759766
1742763021.503762,1,183485.3505859375
1742763022.504179,0,183596.98291015625
1742763022.504179,1,183597.18920898438
1742763023.5039647,0,183708.37408447266
1742763023.5039647,1,183708.57135009766
1742763024.5038068,0,183820.5858154297
1742763024.5038068,1,183820.9034423828
1742763025.5041058,0,183931.96807861328
1742763025.5041058,1,183932.46643066406
1742763026.5044029,0,184043.47924804688
1742763026.5044029,1,184043.58435058594
1742763027.504434,0,184155.35345458984
1742763027.504434,1,184155.8978881836
1742763028.5045943,0,184267.08673095703
1742763028.5045943,1,184267.4161376953
1742763029.504548,0,184379.19006347656
1742763029.504548,1,184379.41497802734
1742763030.5042934,0,184490.4808959961
1742763030.5042934,1,184491.01739501953
1742763031.5040286,0,184602.09698486328
1742763031.5040286,1,184602.5400390625
1742763032.5040622,0,184713.73248291016
1742763032.5040622,1,184714.1635131836
1742763033.5045302,0,184825.59381103516
1742763033.5045302,1,184825.91467285156
1742763034.5037398,0,184937.2158203125
1742763034.5037398,1,184937.8812866211
1742763035.504574,0,185048.82330322266
1742763035.504574,1,185048.9263305664
1742763036.5042298,0,185160.3550415039
1742763036.5042298,1,185160.79754638672
1742763037.504403,0,185272.17651367188
1742763037.504403,1,185272.62084960938
1742763038.5044775,0,185383.83337402344
1742763038.5044775,1,185384.3739013672
1742763039.5044012,0,185495.5816040039
1742763039.5044012,1,185495.91729736328
1742763040.5039625,0,185607.20880126953
1742763040.5039625,1,185607.32305908203
1742763041.5038214,0,185718.72924804688
1742763041.5038214,1,185719.25421142578
1742763042.5041673,0,185830.70782470703
1742763042.5041673,1,185830.89025878906
1742763043.5044906,0,185942.189453125
1742763043.5044906,1,185942.39263916016
1742763044.5044358,0,186053.7142944336
1742763044.5044358,1,186054.16339111328
1742763045.503823,0,186165.44653320312
1742763045.503823,1,186165.91552734375
1742763046.503767,0,186277.40893554688
1742763046.503767,1,186277.64337158203
1742763047.5043807,0,186388.9464111328
1742763047.5043807,1,186389.3846435547
1742763048.5044832,0,186500.57843017578
1742763048.5044832,1,186501.0404663086
1742763049.504232,0,186612.03454589844
1742763049.504232,1,186612.60650634766
1742763050.5040548,0,186723.94775390625
1742763050.5040548,1,186724.29010009766
1742763051.504175,0,186835.79583740234
1742763051.504175,1,186836.00762939453
1742763052.5044808,0,186947.44354248047
1742763052.5044808,1,186947.9327392578
1742763053.5046527,0,187058.86248779297
1742763053.5046527,1,187059.41333007812
1742763054.504252,0,187170.4995727539
1742763054.504252,1,187170.93603515625
1742763055.5040927,0,187282.23876953125
1742763055.5040927,1,187282.6880493164
1742763056.5039546,0,187393.99713134766
1742763056.5039546,1,187394.55004882812
1742763057.503856,0,187505.71026611328
1742763057.503856,1,187506.28063964844
1742763058.5037913,0,187617.45587158203
1742763058.5037913,1,187617.7900390625
1742763059.5037968,0,187728.9599609375
1742763059.5037968,1,187729.30377197266
1742763060.5042193,0,187840.95922851562
1742763060.5042193,1,187841.2935180664
1742763061.504309,0,187952.34313964844
1742763061.504309,1,187952.79498291016
1742763062.5038385,0,188063.94842529297
1742763062.5038385,1,188064.39782714844
1742763063.5042944,0,188175.80145263672
1742763063.5042944,1,188176.13146972656
1742763064.5037758,0,188287.43359375
1742763064.5037758,1,188287.76953125
1742763065.504027,0,188398.97583007812
1742763065.504027,1,188399.16986083984
1742763066.5044274,0,188510.70336914062
1742763066.5044274,1,188511.05169677734
1742763067.5038993,0,188622.32458496094
1742763067.5038993,1,188622.7889404297
1742763068.5043497,0,188734.1827392578
1742763068.5043497,1,188734.38702392578
1742763069.504401,0,188845.59326171875
1742763069.504401,1,188846.1572265625
1742763070.503586,0,188957.64959716797
1742763070.503586,1,188957.95135498047
1742763071.5041,0,189068.95233154297
1742763071.5041,1,189069.42120361328
1742763072.5043395,0,189180.81323242188
1742763072.5043395,1,189181.16235351562
1742763073.5041509,0,189292.45581054688
1742763073.5041509,1,189292.80603027344
1742763074.5040853,0,189403.9486694336
1742763074.5040853,1,189404.43286132812
1742763075.504113,0,189515.93927001953
1742763075.504113,1,189516.16204833984
1742763076.5038347,0,189627.4418334961
1742763076.5038347,1,189627.77935791016
1742763077.5042808,0,189739.30743408203
1742763077.5042808,1,189739.5244140625
1742763078.5041122,0,189850.94067382812
1742763078.5041122,1,189851.0458984375
1742763079.5043428,0,189962.57153320312
1742763079.5043428,1,189963.0210571289
1742763080.50466,0,190074.1103515625
1742763080.50466,1,190074.58319091797
1742763081.5045593,0,190186.08337402344
1742763081.5045593,1,190186.5072631836
1742763082.5041404,0,190297.68493652344
1742763082.5041404,1,190298.02166748047
1742763083.5043998,0,190409.12799072266
1742763083.5043998,1,190409.5821533203
1742763084.5040593,0,190520.97302246094
1742763084.5040593,1,190521.3046875
1742763085.5046725,0,190632.49334716797
1742763085.5046725,1,190633.0726928711
1742763086.50444,0,190744.2716064453
1742763086.50444,1,190744.73205566406
1742763087.504052,0,190856.04235839844
1742763087.504052,1,190856.49072265625
1742763088.504491,0,190967.86517333984
1742763088.504491,1,190968.0889892578
1742763089.5044022,0,191079.4144897461
1742763089.5044022,1,191079.89038085938
1742763090.503791,0,191191.03521728516
1742763090.503791,1,191191.3526611328
1742763091.5036404,0,191302.55688476562
1742763091.5036404,1,191303.00036621094
1742763092.5043228,0,191414.51678466797
1742763092.5043228,1,191414.84991455078
1742763093.5039008,0,191525.83923339844
1742763093.5039008,1,191526.3989868164
1742763094.503747,0,191637.7787475586
1742763094.503747,1,191637.89373779297
1742763095.5039191,0,191749.42834472656
1742763095.5039191,1,191749.87884521484
1742763096.5043285,0,191861.07891845703
1742763096.5043285,1,191861.53533935547
1742763097.5040548,0,191972.4564819336
1742763097.5040548,1,191972.90270996094
1742763098.5045524,0,192084.4390258789
1742763098.5045524,1,192084.86303710938
1742763099.5039015,0,192196.1806640625
1742763099.5039015,1,192196.51440429688
1742763100.5040908,0,192307.80755615234
1742763100.5040908,1,192308.25885009766
1742763101.5046628,0,192419.5478515625
1742763101.5046628,1,192420.08862304688
1742763102.5046518,0,192531.16149902344
1742763102.5046518,1,192531.62280273438
1742763103.5041544,0,192642.70123291016
1742763103.5041544,1,192643.1469116211
1742763104.5038738,0,192754.57244873047
1742763104.5038738,1,192755.01733398438
1742763105.5040088,0,192866.1768798828
1742763105.5040088,1,192866.51141357422
1742763106.5041125,0,192978.0283203125
1742763106.5041125,1,192978.25018310547
1742763107.50419,0,193089.5576171875
1742763107.50419,1,193089.98779296875
1742763108.504655,0,193201.32653808594
1742763108.504655,1,193201.8758544922
1742763109.5038073,0,193312.80743408203
1742763109.5038073,1,193313.18170166016
1742763110.5037682,0,193424.4619140625
1742763110.5037682,1,193425.0219116211
1742763111.504659,0,193536.34686279297
1742763111.504659,1,193536.68005371094
1742763112.5038764,0,193647.8671875
1742763112.5038764,1,193648.31268310547
1742763113.5046036,0,193759.6982421875
1742763113.5046036,1,193760.14617919922
1742763114.5046113,0,193871.4243774414
1742763114.5046113,1,193872.10668945312
1742763115.5045943,0,193983.0965576172
1742763115.5045943,1,193983.5414428711
1742763116.5039754,0,194094.58294677734
1742763116.5039754,1,194095.02185058594
1742763117.5040863,0,194206.30987548828
1742763117.5040863,1,194206.7387084961
1742763118.5039728,0,194318.1552734375
1742763118.5039728,1,194318.59381103516
1742763119.504234,0,194429.77923583984
1742763119.504234,1,194430.11236572266
1742763120.504565,0,194541.404296875
1742763120.504565,1,194541.95336914062
1742763121.5043757,0,194653.02899169922
1742763121.5043757,1,194653.3682861328
1742763122.5036957,0,194764.6611328125
1742763122.5036957,1,194765.1016845703
1742763123.5038452,0,194876.39080810547
1742763123.5038452,1,194876.6098022461
1742763124.5044172,0,194988.13610839844
1742763124.5044172,1,194988.7012939453
1742763125.503862,0,195099.65948486328
1742763125.503862,1,195100.11041259766
1742763126.5040412,0,195211.52185058594
1742763126.5040412,1,195212.0537109375
1742763127.5035813,0,195322.77307128906
1742763127.5035813,1,195323.24285888672
1742763128.504391,0,195434.7667236328
1742763128.504391,1,195435.14276123047
1742763129.5045586,0,195546.62829589844
1742763129.5045586,1,195546.73345947266
1742763130.5040464,0,195658.1114501953
1742763130.5040464,1,195658.56103515625
1742763131.5041392,0,195769.64807128906
1742763131.5041392,1,195770.09252929688
1742763132.5040004,0,195881.4857788086
1742763132.5040004,1,195881.83367919922
1742763133.5039093,0,195992.9970703125
1742763133.5039093,1,195993.45385742188
1742763134.5041327,0,196104.7579345703
1742763134.5041327,1,196105.32220458984
1742763135.5044506,0,196216.58642578125
1742763135.5044506,1,196217.02740478516
1742763136.5046148,0,196328.3267211914
1742763136.5046148,1,196328.66552734375
1742763137.5039892,0,196439.83660888672
1742763137.5039892,1,196440.30047607422
1742763138.5039852,0,196551.61016845703
1742763138.5039852,1,196552.05499267578
1742763139.5038257,0,196663.09405517578
1742763139.5038257,1,196663.54266357422
1742763140.5037565,0,196775.04498291016
1742763140.5037565,1,196775.29333496094
1742763141.5038922,0,196886.4634399414
1742763141.5038922,1,196887.03497314453
1742763142.5039985,0,196998.3609008789
1742763142.5039985,1,196998.90216064453
1742763143.5044477,0,197109.9555053711
1742763143.5044477,1,197110.13970947266
1742763144.5041113,0,197221.81091308594
1742763144.5041113,1,197222.1466064453
1742763145.503893,0,197333.10717773438
1742763145.503893,1,197333.3071899414
1742763146.5040963,0,197445.09509277344
1742763146.5040963,1,197445.65954589844
1742763147.5040755,0,197556.51391601562
1742763147.5040755,1,197557.05883789062
1742763148.5040255,0,197668.23931884766
1742763148.5040255,1,197668.68463134766
1742763149.5044265,0,197779.75494384766
1742763149.5044265,1,197780.31658935547
1742763150.503951,0,197891.4041748047
1742763150.503951,1,197891.9481201172
1742763151.5046911,0,198003.45440673828
1742763151.5046911,1,198003.93029785156
1742763152.5039368,0,198114.99322509766
1742763152.5039368,1,198115.64221191406
1742763153.504328,0,198226.7315673828
1742763153.504328,1,198227.16583251953
1742763154.5044706,0,198338.4971923828
1742763154.5044706,1,198339.04559326172
1742763155.5044882,0,198450.21490478516
1742763155.5044882,1,198450.55920410156
1742763156.5037029,0,198561.64251708984
1742763156.5037029,1,198562.3057861328
1742763157.5038233,0,198673.38122558594
1742763157.5038233,1,198673.73712158203
1742763158.5039496,0,198785.22857666016
1742763158.5039496,1,198785.68127441406
1742763159.504425,0,198896.8621826172
1742763159.504425,1,198897.30908203125
