time,scope,value
1742836562.5409124,0,51.45080135504627
1742836562.5409124,1,51.50492390590138
1742836563.5412338,0,162.5863141331768
1742836563.5412338,1,162.63996813881639
1742836564.5413494,0,161.72575062764008
1742836564.5413494,1,165.60337460882735
1742836565.5415087,0,157.99417854172074
1742836565.5415087,1,159.8339139137815
1742836566.5412333,0,159.0179012043786
1742836566.5412333,1,157.83825665384393
1742836567.541468,0,158.79305453864703
1742836567.541468,1,157.6632926958292
1742836568.540999,0,158.66635877960823
1742836568.540999,1,160.12118763826163
1742836569.541657,0,161.032911164486
1742836569.541657,1,157.5076104975955
1742836570.5416758,0,158.0490764661418
1742836570.5416758,1,159.38170463733132
1742836571.5414338,0,158.25813684679596
1742836571.5414338,1,156.4328568842486
1742836572.5408044,0,160.3692187775139
1742836572.5408044,1,159.81042450915965
1742836573.5412061,0,157.6180476449067
1742836573.5412061,1,159.19987828346726
1742836574.5409985,0,162.31490682382938
1742836574.5409985,1,163.49817276175142
1742836575.5411167,0,157.71817355945592
1742836575.5411167,1,158.66043342836755
1742836576.540968,0,160.33642879775397
1742836576.540968,1,158.87960199410716
1742836577.5414827,0,159.99832461691582
1742836577.5414827,1,161.05830397589665
1742836578.541679,0,160.85190497945075
1742836578.541679,1,156.6142451672965
1742836579.5407865,0,160.07005492008238
1742836579.5407865,1,158.724593572753
1742836580.541618,0,160.1406966055044
1742836580.541618,1,158.99976510463318
1742836581.5410726,0,158.69110717306623
1742836581.5410726,1,160.24020616818902
1742836582.5411808,0,157.37993913770785
1742836582.5411808,1,159.7613335712891
1742836583.5413263,0,160.18598017095923
1742836583.5413263,1,157.38409138035027
1742836584.541366,0,160.63095261558223
1742836584.541366,1,157.45178274733007
1742836585.540807,0,157.3337491383572
1742836585.540807,1,159.05370585439007
1742836586.5409153,0,160.95257996114935
1742836586.5409153,1,159.22148409647806
1742836587.5413373,0,157.93787004295652
1742836587.5413373,1,157.2551886914375
1742836588.5412114,0,158.31678731162845
1742836588.5412114,1,160.47764992869386
1742836589.5412693,0,157.99858538186604
1742836589.5412693,1,158.8031835887422
1742836590.540857,0,162.21288907842197
1742836590.540857,1,158.49933747896603
1742836591.5415094,0,157.43711108351928
1742836591.5415094,1,161.47686836159463
1742836592.5411694,0,158.5962869304002
1742836592.5411694,1,160.2493161877405
1742836593.5409465,0,158.34123980378928
1742836593.5409465,1,157.0485019939544
1742836594.5408561,0,158.2701119323439
1742836594.5408561,1,158.12887996395554
1742836595.5412726,0,159.09464015400366
1742836595.5412726,1,158.7293205155727
1742836596.5410943,0,157.59024171975096
1742836596.5410943,1,160.12223186738714
1742836597.5414863,0,156.91328714511104
1742836597.5414863,1,158.59072065473853
1742836598.5409973,0,158.29999852129933
1742836598.5409973,1,157.37919539800325
1742836599.5414538,0,157.39115896593825
1742836599.5414538,1,158.9916465997358
1742836600.5408087,0,159.11264792647822
1742836600.5408087,1,160.28075985984796
1742836601.5409062,0,159.39743581615576
1742836601.5409062,1,158.1769376362187
1742836602.5411525,0,158.69394147145374
1742836602.5411525,1,161.77005123957994
1742836603.5411525,0,159.74117392907073
1742836603.5411525,1,158.1678043156316
1742836604.541074,0,162.28289585739736
1742836604.541074,1,158.40950857822074
1742836605.5410898,0,160.22173594924914
1742836605.5410898,1,159.68587142431815
1742836606.5411987,0,154.81792919284368
1742836606.5411987,1,163.93772556729223
1742836607.540871,0,160.18767505659935
1742836607.540871,1,158.18216679605914
1742836608.5410607,0,161.29841296243396
1742836608.5410607,1,156.623126514156
1742836609.5409534,0,158.5196942855329
1742836609.5409534,1,159.35721651501402
1742836610.5413306,0,160.7200035897064
1742836610.5413306,1,156.86558639330664
1742836611.5408487,0,158.707107740555
1742836611.5408487,1,158.28929328146654
1742836612.5406947,0,158.01300506254208
1742836612.5406947,1,157.8824577654046
1742836613.5415924,0,159.5755402629971
1742836613.5415924,1,157.39125419444284
1742836614.540719,0,159.51589215968454
1742836614.540719,1,159.89224215503103
1742836615.5409012,0,158.8759093321629
1742836615.5409012,1,158.53913270907333
1742836616.54091,0,158.81157901660234
1742836616.54091,1,158.29697322494286
1742836617.5415022,0,158.7018277623624
1742836617.5415022,1,158.4374554898018
1742836618.540972,0,158.6408406466076
1742836618.540972,1,157.81388529016934
1742836619.5407705,0,159.92343665435493
1742836619.5407705,1,157.64808071860847
1742836620.5415618,0,159.53750215428443
1742836620.5415618,1,158.91305622642332
1742836621.5412464,0,159.899194051482
1742836621.5412464,1,158.5698052295633
1742836622.5415823,0,157.41108271980235
1742836622.5415823,1,159.8596676276055
1742836623.5410798,0,160.54438672846973
1742836623.5410798,1,157.14713417482253
1742836624.541278,0,157.11112736102675
1742836624.541278,1,159.8448137369597
1742836625.5415866,0,158.32895767137032
1742836625.5415866,1,155.4746503515856
1742836626.541038,0,157.73013568078196
1742836626.541038,1,160.47465049142053
1742836627.5414507,0,159.06875529648792
1742836627.5414507,1,158.8594890343183
1742836628.5415525,0,158.79335701723693
1742836628.5415525,1,157.20883243320787
1742836629.5412204,0,158.59296153779243
1742836629.5412204,1,158.94295478062497
1742836630.5411968,0,162.78423831263888
1742836630.5411968,1,158.73224477352537
1742836631.541497,0,157.80688364533006
1742836631.541497,1,159.11263056308002
1742836632.5412397,0,158.95387441725734
1742836632.5412397,1,158.06875515404698
1742836633.5407026,0,160.28427051375004
1742836633.5407026,1,157.81406771807957
1742836634.5412028,0,160.6377934698092
1742836634.5412028,1,159.2593123759186
1742836635.5407596,0,158.7464130598845
1742836635.5407596,1,159.16526052022212
1742836636.5413525,0,159.3821492089115
1742836636.5413525,1,157.8578063939861
1742836637.5414362,0,159.34604344126043
1742836637.5414362,1,158.52548140441488
1742836638.541299,0,157.7361675003067
1742836638.541299,1,159.7383322553457
1742836639.5411987,0,157.7156596040151
1742836639.5411987,1,160.16541724951372
1742836640.5416665,0,157.85013773400226
1742836640.5416665,1,157.1369517768865
1742836641.5411925,0,159.60525236329215
1742836641.5411925,1,157.71156039888797
1742836642.541195,0,158.01179779630735
1742836642.541195,1,158.44634521265493
1742836643.5408041,0,158.08604098646657
1742836643.5408041,1,158.9856740224706
1742836644.5412123,0,158.25663423790155
1742836644.5412123,1,159.64074989860637
1742836645.541366,0,158.13489295284526
1742836645.541366,1,157.92407480190755
1742836646.5409825,0,158.4123163485447
1742836646.5409825,1,158.14986055402142
1742836647.5415359,0,159.44469984067834
1742836647.5415359,1,157.7738762599934
1742836648.5410311,0,158.12974138030944
1742836648.5410311,1,158.94289848445575
1742836649.5407662,0,157.61201729893332
1742836649.5407662,1,157.1462483037079
1742836650.5407748,0,159.87037540512512
1742836650.5407748,1,158.3947172929029
1742836651.541041,0,158.8346883479917
1742836651.541041,1,158.89508046420417
1742836652.5415792,0,158.0351645841963
1742836652.5415792,1,161.69650426432534
1742836653.5411034,0,160.03867216038512
1742836653.5411034,1,158.58821962729593
1742836654.5409842,0,159.90220258045778
1742836654.5409842,1,159.443346359753
1742836655.54102,0,157.69913975758718
1742836655.54102,1,158.1603152097247
1742836656.5415492,0,158.18702136346892
1742836656.5415492,1,158.06907206889375
1742836657.5415485,0,160.01639577070569
1742836657.5415485,1,159.89294977447415
1742836658.5414083,0,156.8232370041432
1742836658.5414083,1,159.3147011375886
