time,scope,value
1758266482.6801429,0,124.90931767154254
1758266482.6801429,1,103.76803624821011
1758266483.6796634,0,105.85854785383034
1758266483.6796634,1,105.37984908830975
1758266484.6796365,0,106.52267813237016
1758266484.6796365,1,105.68491144115525
1758266485.6799946,0,109.28938457604409
1758266485.6799946,1,104.85492947992938
1758266486.679935,0,107.40027101481478
1758266486.679935,1,106.9185296723013
1758266487.6797578,0,107.20148955523915
1758266487.6797578,1,105.55490752872502
1758266488.6800318,0,107.06828116269341
1758266488.6800318,1,105.87558372490938
1758266489.6797686,0,107.05682057787891
1758266489.6797686,1,107.0495166697856
1758266490.6804323,0,106.39461740984432
1758266490.6804323,1,107.36833349715513
1758266491.6802142,0,107.443063757544
1758266491.6802142,1,107.40152398212885
1758266492.6795788,0,106.30041974081452
1758266492.6795788,1,107.44406802068706
1758266493.679828,0,105.69874285088716
1758266493.679828,1,107.07609496213476
1758266494.6798615,0,105.76213084244989
1758266494.6798615,1,105.79622374164451
1758266495.6795933,0,106.21636094580076
1758266495.6795933,1,107.21571379573017
1758266496.6796453,0,105.4335981515324
1758266496.6796453,1,106.62460934307812
1758266497.6802056,0,107.12894379360809
1758266497.6802056,1,105.62768839918334
1758266498.679685,0,106.62310862754269
1758266498.679685,1,106.98641020587715
1758266499.6801362,0,106.18908870673258
1758266499.6801362,1,104.44170663903837
1758266500.6804464,0,106.56676382907017
1758266500.6804464,1,106.75329631257402
1758266501.6796129,0,109.8990213305458
1758266501.6796129,1,107.38106728245914
1758266502.680342,0,107.40470896790971
1758266502.680342,1,106.67969716978725
1758266503.6804755,0,107.23646589926318
1758266503.6804755,1,106.50333722678272
1758266504.679565,0,106.65805763967073
1758266504.679565,1,106.71196088779398
1758266505.6796534,0,106.42854675055715
1758266505.6796534,1,106.32961342707559
1758266506.6802611,0,108.18327621510606
1758266506.6802611,1,106.96086458449311
1758266507.6795824,0,106.29946112360913
1758266507.6795824,1,105.37642777363108
1758266508.6798263,0,107.36434509460253
1758266508.6798263,1,107.5470684161053
1758266509.6801395,0,105.80828317038198
1758266509.6801395,1,107.73909074394075
1758266510.6803982,0,103.9434589982776
1758266510.6803982,1,108.05478122787301
1758266511.680026,0,107.60100527663307
1758266511.680026,1,106.63269929018925
1758266512.6800642,0,106.21975033906932
1758266512.6800642,1,107.11937638478848
1758266513.6799364,0,105.76225938485673
1758266513.6799364,1,107.3014511554686
1758266514.6801615,0,106.4585638044709
1758266514.6801615,1,106.3867929356419
1758266515.6804223,0,106.94922673197642
1758266515.6804223,1,107.64118838239345
1758266516.6803074,0,106.62210620214235
1758266516.6803074,1,109.33288356478879
1758266517.679578,0,107.10402721600398
1758266517.679578,1,106.05193445743583
1758266518.679752,0,106.93333918547016
1758266518.679752,1,106.15166711242273
1758266519.6804135,0,106.16986668558546
1758266519.6804135,1,106.77872563132772
1758266520.680477,0,107.90863614478071
1758266520.680477,1,105.33990077907359
1758266521.6800382,0,107.81429197273688
1758266521.6800382,1,106.14417650512047
1758266522.6798315,0,106.6681078155101
1758266522.6798315,1,105.87367937477563
1758266523.679715,0,108.31392464678973
1758266523.679715,1,106.9250498960758
1758266524.6795597,0,108.50407507672035
1758266524.6795597,1,106.10349856357006
1758266525.6802664,0,107.8924367449276
1758266525.6802664,1,105.85957407687017
1758266526.679671,0,107.72235025327853
1758266526.679671,1,107.64864633929655
1758266527.6800504,0,106.99764811020314
1758266527.6800504,1,107.87624922063796
1758266528.6801715,0,106.33980347688056
1758266528.6801715,1,107.9832325778066
1758266529.6800954,0,106.15698715263127
1758266529.6800954,1,106.55563157471136
1758266530.6795635,0,107.15442969342935
1758266530.6795635,1,106.32371764191629
1758266531.6798694,0,105.8869586272397
1758266531.6798694,1,107.56779918254777
1758266532.6804667,0,107.69442088743291
1758266532.6804667,1,106.12268670269566
1758266533.6798887,0,107.50639643733795
1758266533.6798887,1,106.96193007264839
1758266534.6803966,0,105.99196920148077
1758266534.6803966,1,106.29603978257748
1758266535.680326,0,105.95228110384163
1758266535.680326,1,106.06074594459639
1758266536.6796384,0,106.48054354044358
1758266536.6796384,1,106.96615213241923
1758266537.6796029,0,105.73961192890476
1758266537.6796029,1,107.0420882827487
1758266538.6796942,0,107.55363106366877
1758266538.6796942,1,106.54278526317388
1758266539.6799996,0,107.53314502333521
1758266539.6799996,1,105.9678149541554
