time,actuator,value
1758272433.6819909,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272435.69014,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272437.6978297,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272439.7053492,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272441.7132547,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272443.719749,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272445.7274752,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272447.735561,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272449.7426875,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272451.751432,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272453.7603018,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272455.7681916,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272457.7774048,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272459.78585,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272461.7940185,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272463.802198,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272465.8104405,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272467.819125,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272469.8284802,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272471.8380952,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272473.8478515,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272475.8571012,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272477.8662496,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272479.873878,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272481.8810835,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272483.8912663,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272485.8987963,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272487.9072235,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272489.9165077,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272491.925763,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272493.9341254,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272495.94274,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272497.9518304,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272499.960098,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272501.9689875,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272503.9782875,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272505.9858167,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272507.9943287,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272510.0030406,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272512.0118194,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272514.020787,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272516.028848,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272518.037657,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272520.0449498,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272522.054542,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272524.0633533,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272526.0727007,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272528.083523,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272530.0928254,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272532.1009853,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272534.1094995,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272536.1168728,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272538.125351,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272540.1332045,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272542.142598,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272544.1522806,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272546.161303,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272548.1678948,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272550.1756792,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272552.185284,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272554.193961,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272556.201425,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272558.2094464,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272560.2188118,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272562.227137,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272564.2369695,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272566.24507,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272568.2522562,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272570.2618048,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272572.2694347,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272574.277735,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272576.2861843,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272578.2952175,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272580.3043287,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272582.3123116,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272584.3212354,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272586.3311684,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272588.339438,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272590.347484,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272592.3563077,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272594.3656108,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272596.3742273,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272598.3840544,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272600.3929381,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272602.4025865,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272604.411607,Actuator(ptr=c_void_p(93904866784960)),147.0
1758272606.420004,Actuator(ptr=c_void_p(93904866784960)),147.0
