time,value
1761784125.237732,1.0
1761784125.2549324,1.0
1761784125.271976,1.0
1761784125.2889676,1.0
1761784125.3059695,1.0
1761784125.3229604,1.0
1761784125.339887,1.0
1761784125.3568344,1.0
1761784125.3737714,1.0
1761784125.3910038,1.0
1761784125.4079835,1.0
1761784125.4250212,1.0
1761784125.4421184,1.0
1761784125.4591231,1.0
1761784125.476148,1.0
1761784125.493198,1.0
1761784125.5101652,1.0
1761784125.5271518,1.0
1761784125.5442305,1.0
1761784125.561361,1.0
1761784125.5783548,1.0
1761784125.5954418,1.0
1761784125.6124604,1.0
1761784125.630736,1.0
1761784125.6477065,1.0
1761784125.6647198,1.0
1761784125.6817167,1.0
1761784125.698774,1.0
1761784125.7157538,1.0
1761784125.7327633,1.0
1761784125.74978,1.0
1761784125.7667766,1.0
1761784125.7838647,1.0
1761784125.800919,1.0
1761784125.8179321,1.0
1761784125.8349447,1.0
1761784125.8519802,1.0
1761784125.868984,1.0
1761784125.8860276,1.0
1761784125.9030287,1.0
1761784125.9200232,1.0
1761784125.9370975,1.0
1761784125.9542327,1.0
1761784125.971266,1.0
1761784125.9883153,1.0
1761784126.0054188,1.0
1761784126.0226886,1.0
1761784126.0400655,1.0
1761784126.0571005,1.0
1761784126.07428,1.0
1761784126.0914247,1.0
1761784126.1086497,1.0
1761784126.1257758,1.0
1761784126.142874,1.0
1761784126.1599503,1.0
1761784126.1919737,1.0
1761784126.2090905,1.0
1761784126.2262132,1.0
1761784126.2433317,1.0
1761784126.260894,1.0
1761784126.2784643,1.0
1761784126.2958047,1.0
1761784126.313108,1.0
1761784126.3304408,1.0
1761784126.3479266,1.0
1761784126.3652482,1.0
1761784126.3827817,1.0
1761784126.4004595,1.0
1761784126.4177728,1.0
1761784126.4351447,1.0
1761784126.452595,1.0
1761784126.46995,1.0
1761784126.4872565,1.0
1761784126.5046275,1.0
1761784126.521938,1.0
1761784126.5392714,1.0
1761784126.5566359,1.0
1761784126.5739682,1.0
1761784126.5912826,1.0
1761784126.6087568,1.0
1761784126.6260896,1.0
1761784126.6434157,1.0
1761784126.660776,1.0
1761784126.6781263,1.0
1761784126.6954637,1.0
1761784126.7128172,1.0
1761784126.7300677,1.0
1761784126.7473392,1.0
1761784126.7645757,1.0
1761784126.781843,1.0
1761784126.7990704,1.0
1761784126.8164134,1.0
1761784126.833631,1.0
1761784126.850901,1.0
1761784126.8681295,1.0
1761784126.8853204,1.0
1761784126.9026287,1.0
1761784126.9198358,1.0
1761784126.9372897,1.0
1761784126.9545398,1.0
1761784126.9718332,1.0
1761784126.9891236,1.0
1761784127.0064414,1.0
1761784127.02389,1.0
1761784127.0414968,1.0
1761784127.0587935,1.0
1761784127.0762746,1.0
1761784127.0936,1.0
1761784127.111102,1.0
1761784127.1288865,1.0
1761784127.1461885,1.0
1761784127.1635957,1.0
1761784127.199351,1.0
1761784127.2168124,1.0
1761784127.2341375,1.0
1761784127.25147,1.0
1761784127.268669,1.0
1761784127.2858999,1.0
1761784127.3031247,1.0
1761784127.3203866,1.0
1761784127.3376586,1.0
1761784127.3548698,1.0
1761784127.3720686,1.0
1761784127.3893805,1.0
1761784127.4067783,1.0
1761784127.4242573,1.0
1761784127.4415984,1.0
1761784127.4588692,1.0
1761784127.4761183,1.0
1761784127.4933195,1.0
1761784127.5106008,1.0
1761784127.5278218,1.0
1761784127.54518,1.0
1761784127.5624177,1.0
1761784127.5796459,1.0
1761784127.5969024,1.0
1761784127.6141198,1.0
1761784127.6314726,1.0
1761784127.6492844,1.0
1761784127.66663,1.0
1761784127.6837962,1.0
1761784127.7010047,1.0
1761784127.718199,1.0
1761784127.7353587,1.0
1761784127.7525258,1.0
1761784127.7697604,1.0
1761784127.7869399,1.0
1761784127.8041298,1.0
1761784127.821405,1.0
1761784127.8385637,1.0
1761784127.855776,1.0
1761784127.8729174,1.0
1761784127.8900516,1.0
1761784127.907206,1.0
1761784127.924416,1.0
1761784127.9415984,1.0
1761784127.9589114,1.0
1761784127.9760602,1.0
1761784127.9932458,1.0
1761784128.010481,1.0
1761784128.027979,1.0
1761784128.0453482,1.0
1761784128.06252,1.0
1761784128.0799234,1.0
1761784128.0970998,1.0
1761784128.11443,1.0
1761784128.1316116,1.0
1761784128.1487877,1.0
1761784128.1668968,1.0
1761784128.2031426,1.0
1761784128.2202446,1.0
1761784128.2374043,1.0
1761784128.254503,1.0
1761784128.2716238,1.0
1761784128.288823,1.0
1761784128.305899,1.0
1761784128.3230307,1.0
1761784128.3401244,1.0
1761784128.3572836,1.0
1761784128.3745806,1.0
1761784128.391806,1.0
1761784128.408883,1.0
1761784128.4259772,1.0
1761784128.4430692,1.0
1761784128.460217,1.0
1761784128.4773118,1.0
1761784128.494457,1.0
1761784128.5115623,1.0
1761784128.528762,1.0
1761784128.54584,1.0
1761784128.5629349,1.0
1761784128.5800307,1.0
1761784128.5971315,1.0
1761784128.6144118,1.0
1761784128.6315413,1.0
1761784128.6486442,1.0
1761784128.6657393,1.0
1761784128.6828854,1.0
1761784128.6999702,1.0
1761784128.7170677,1.0
1761784128.734249,1.0
1761784128.7513542,1.0
1761784128.7684739,1.0
1761784128.7856543,1.0
1761784128.8027537,1.0
1761784128.8198447,1.0
1761784128.8370156,1.0
1761784128.8541136,1.0
1761784128.8713388,1.0
1761784128.8884852,1.0
1761784128.9056346,1.0
1761784128.922751,1.0
1761784128.9398854,1.0
1761784128.9570942,1.0
1761784128.9742258,1.0
1761784128.9913566,1.0
1761784129.0084403,1.0
1761784129.025543,1.0
1761784129.042964,1.0
1761784129.0600483,1.0
1761784129.0774407,1.0
1761784129.0946233,1.0
1761784129.112062,1.0
1761784129.1290915,1.0
1761784129.1470003,1.0
1761784129.1640747,1.0
1761784129.1828878,1.0
1761784129.202031,1.0
1761784129.2192643,1.0
1761784129.2365155,1.0
1761784129.2536197,1.0
1761784129.2707493,1.0
1761784129.2879226,1.0
1761784129.3050358,1.0
1761784129.3221893,1.0
1761784129.3392627,1.0
1761784129.3563664,1.0
1761784129.3735142,1.0
1761784129.390717,1.0
1761784129.4078531,1.0
1761784129.4249518,1.0
1761784129.4420366,1.0
1761784129.459198,1.0
1761784129.4762912,1.0
1761784129.4934008,1.0
1761784129.510567,1.0
1761784129.527643,1.0
1761784129.544803,1.0
1761784129.5619094,1.0
1761784129.578984,1.0
1761784129.5960908,1.0
1761784129.6132283,1.0
1761784129.6303153,1.0
1761784129.647574,1.0
1761784129.6646776,1.0
1761784129.681758,1.0
1761784129.6989524,1.0
1761784129.716035,1.0
1761784129.7331827,1.0
1761784129.7503028,1.0
1761784129.7674217,1.0
1761784129.784527,1.0
1761784129.8016798,1.0
1761784129.8188004,1.0
1761784129.8359303,1.0
1761784129.853042,1.0
1761784129.8701766,1.0
1761784129.8872993,1.0
1761784129.9044201,1.0
1761784129.9215136,1.0
1761784129.9386113,1.0
1761784129.9556923,1.0
1761784129.9728065,1.0
1761784129.9898615,1.0
1761784130.0069578,1.0
1761784130.0240347,1.0
1761784130.041444,1.0
1761784130.058642,1.0
1761784130.076044,1.0
1761784130.0932045,1.0
1761784130.1105523,1.0
1761784130.1278327,1.0
1761784130.144962,1.0
1761784130.162096,1.0
1761784130.180561,1.0
1761784130.1981275,1.0
1761784130.2152624,1.0
1761784130.2323627,1.0
1761784130.2494767,1.0
1761784130.2666142,1.0
1761784130.2837517,1.0
1761784130.30084,1.0
1761784130.3179677,1.0
1761784130.3350549,1.0
1761784130.352284,1.0
1761784130.3693793,1.0
1761784130.3866603,1.0
1761784130.4038732,1.0
1761784130.4209814,1.0
1761784130.4380636,1.0
1761784130.4552839,1.0
1761784130.472601,1.0
1761784130.489696,1.0
1761784130.506966,1.0
1761784130.524105,1.0
1761784130.5412002,1.0
1761784130.5583267,1.0
1761784130.5755048,1.0
1761784130.5926588,1.0
1761784130.6097548,1.0
1761784130.6269696,1.0
1761784130.6440492,1.0
1761784130.6611743,1.0
1761784130.678366,1.0
1761784130.6954453,1.0
1761784130.712585,1.0
1761784130.7296972,1.0
1761784130.746847,1.0
1761784130.763927,1.0
1761784130.7812746,1.0
1761784130.798461,1.0
1761784130.8156178,1.0
1761784130.8327677,1.0
1761784130.8499548,1.0
1761784130.8671257,1.0
1761784130.8842854,1.0
1761784130.901474,1.0
1761784130.9186547,1.0
1761784130.9357858,1.0
1761784130.9529622,1.0
1761784130.9701307,1.0
1761784130.9873934,1.0
1761784131.0046914,1.0
1761784131.0218515,1.0
1761784131.039275,1.0
1761784131.056433,1.0
1761784131.0738728,1.0
1761784131.0909956,1.0
1761784131.108222,1.0
1761784131.1253908,1.0
1761784131.1425817,1.0
1761784131.1599388,1.0
1761784131.1785166,1.0
1761784131.1958468,1.0
1761784131.2130272,1.0
1761784131.230588,1.0
1761784131.2478693,1.0
1761784131.2650287,1.0
1761784131.2822263,1.0
1761784131.2993739,1.0
1761784131.316603,1.0
1761784131.3337471,1.0
1761784131.3509817,1.0
1761784131.3681211,1.0
1761784131.3853247,1.0
1761784131.4026911,1.0
1761784131.4198585,1.0
1761784131.4370248,1.0
1761784131.4542246,1.0
1761784131.4713964,1.0
1761784131.4886334,1.0
1761784131.5057843,1.0
1761784131.5229564,1.0
1761784131.5401099,1.0
1761784131.5573788,1.0
1761784131.5746484,1.0
1761784131.5919,1.0
1761784131.6090808,1.0
1761784131.6263573,1.0
1761784131.6435094,1.0
1761784131.660948,1.0
1761784131.6781301,1.0
1761784131.6951764,1.0
1761784131.7122447,1.0
1761784131.7293015,1.0
1761784131.746432,1.0
1761784131.7634978,1.0
1761784131.7805748,1.0
1761784131.7976847,1.0
1761784131.814853,1.0
1761784131.831889,1.0
1761784131.8491013,1.0
1761784131.866178,1.0
1761784131.883211,1.0
1761784131.900367,1.0
1761784131.9174085,1.0
1761784131.9345708,1.0
1761784131.9516075,1.0
1761784131.9687574,1.0
1761784131.9857852,1.0
1761784132.0029957,1.0
1761784132.0200417,1.0
1761784132.0374012,1.0
1761784132.054405,1.0
1761784132.0715797,1.0
1761784132.088642,1.0
1761784132.10581,1.0
1761784132.1228611,1.0
1761784132.139995,1.0
1761784132.1570356,1.0
1761784132.175393,1.0
1761784132.192637,1.0
1761784132.2097929,1.0
1761784132.2268298,1.0
1761784132.243914,1.0
1761784132.2609744,1.0
1761784132.2782128,1.0
1761784132.2952716,1.0
1761784132.3123007,1.0
1761784132.3294182,1.0
1761784132.3464544,1.0
1761784132.363506,1.0
1761784132.3806393,1.0
1761784132.3977478,1.0
1761784132.4148438,1.0
1761784132.4318824,1.0
1761784132.4488912,1.0
1761784132.4660337,1.0
1761784132.4831142,1.0
1761784132.5001454,1.0
1761784132.5171762,1.0
1761784132.5343046,1.0
1761784132.5513737,1.0
1761784132.5684066,1.0
1761784132.5854664,1.0
1761784132.6025631,1.0
1761784132.6195884,1.0
1761784132.6367064,1.0
1761784132.6538424,1.0
1761784132.670893,1.0
1761784132.687999,1.0
1761784132.705016,1.0
1761784132.7221456,1.0
1761784132.739151,1.0
1761784132.7562602,1.0
1761784132.7732825,1.0
1761784132.790318,1.0
1761784132.8073823,1.0
1761784132.8245075,1.0
1761784132.8416376,1.0
1761784132.8586686,1.0
1761784132.8757918,1.0
1761784132.8928704,1.0
1761784132.9100206,1.0
1761784132.9270422,1.0
1761784132.9442027,1.0
1761784132.961242,1.0
1761784132.978305,1.0
1761784132.9954264,1.0
1761784133.0124562,1.0
1761784133.0294623,1.0
1761784133.0466611,1.0
1761784133.0637913,1.0
1761784133.0809937,1.0
1761784133.0980058,1.0
1761784133.1152503,1.0
1761784133.1323965,1.0
1761784133.1494498,1.0
1761784133.1674302,1.0
1761784133.1940894,1.0
1761784133.2218854,1.0
1761784133.2390692,1.0
1761784133.2563317,1.0
1761784133.2739148,1.0
1761784133.291121,1.0
1761784133.3084588,1.0
1761784133.3257008,1.0
1761784133.342831,1.0
1761784133.3601642,1.0
1761784133.3773432,1.0
1761784133.394626,1.0
1761784133.4116397,1.0
1761784133.4286942,1.0
1761784133.445775,1.0
1761784133.462905,1.0
1761784133.4801488,1.0
1761784133.4972134,1.0
1761784133.5143206,1.0
1761784133.5314388,1.0
1761784133.5485008,1.0
1761784133.5655844,1.0
1761784133.5827403,1.0
1761784133.5998087,1.0
1761784133.6169462,1.0
1761784133.6340263,1.0
1761784133.6511075,1.0
1761784133.6683874,1.0
1761784133.6855254,1.0
1761784133.702689,1.0
1761784133.719755,1.0
1761784133.7368882,1.0
1761784133.7539792,1.0
1761784133.771079,1.0
1761784133.7881708,1.0
1761784133.8052127,1.0
1761784133.8223581,1.0
1761784133.8394566,1.0
1761784133.856548,1.0
1761784133.8736491,1.0
1761784133.8907175,1.0
1761784133.9078195,1.0
1761784133.924926,1.0
1761784133.9420357,1.0
1761784133.9590993,1.0
1761784133.976191,1.0
1761784133.9932585,1.0
1761784134.0103598,1.0
1761784134.027416,1.0
1761784134.0447552,1.0
1761784134.0618176,1.0
1761784134.079176,1.0
1761784134.0962381,1.0
1761784134.1134877,1.0
1761784134.1305077,1.0
1761784134.1476197,1.0
1761784134.1647737,1.0
1761784134.1832526,1.0
1761784134.2093344,1.0
1761784134.2347417,1.0
1761784134.2518733,1.0
1761784134.2689934,1.0
1761784134.2860625,1.0
1761784134.3031936,1.0
1761784134.3202424,1.0
1761784134.337327,1.0
1761784134.3545096,1.0
1761784134.371625,1.0
1761784134.388685,1.0
1761784134.4058406,1.0
1761784134.422917,1.0
1761784134.4400022,1.0
1761784134.457171,1.0
1761784134.4742281,1.0
1761784134.4913197,1.0
1761784134.5084867,1.0
1761784134.525648,1.0
1761784134.5426943,1.0
1761784134.559773,1.0
1761784134.5768523,1.0
1761784134.5939372,1.0
1761784134.610996,1.0
1761784134.628111,1.0
1761784134.645175,1.0
1761784134.6622396,1.0
1761784134.679328,1.0
1761784134.6963975,1.0
1761784134.7134862,1.0
1761784134.730634,1.0
1761784134.7476876,1.0
1761784134.7647898,1.0
1761784134.7818477,1.0
1761784134.7989104,1.0
1761784134.8160264,1.0
1761784134.8331323,1.0
1761784134.8501916,1.0
1761784134.8672993,1.0
1761784134.8844607,1.0
1761784134.901539,1.0
1761784134.9186587,1.0
1761784134.9357538,1.0
1761784134.952821,1.0
1761784134.9699,1.0
1761784134.9869397,1.0
1761784135.0040643,1.0
1761784135.021108,1.0
1761784135.0384314,1.0
1761784135.0554388,1.0
1761784135.072682,1.0
1761784135.0897646,1.0
1761784135.1069598,1.0
1761784135.1240773,1.0
1761784135.1411722,1.0
1761784135.1582737,1.0
1761784135.1769574,1.0
1761784135.194061,1.0
1761784135.211206,1.0
1761784135.2283256,1.0
1761784135.2454202,1.0
1761784135.2625391,1.0
1761784135.2796164,1.0
1761784135.2966938,1.0
1761784135.3137503,1.0
1761784135.348046,1.0
1761784135.3651662,1.0
1761784135.382267,1.0
1761784135.399521,1.0
1761784135.41662,1.0
1761784135.4337177,1.0
1761784135.4508605,1.0
1761784135.4679685,1.0
1761784135.485109,1.0
1761784135.5022104,1.0
1761784135.5193186,1.0
1761784135.5364318,1.0
1761784135.5535367,1.0
1761784135.5706592,1.0
1761784135.5878763,1.0
1761784135.6049635,1.0
1761784135.622042,1.0
1761784135.6391578,1.0
1761784135.6562357,1.0
1761784135.6734889,1.0
1761784135.690538,1.0
1761784135.7078216,1.0
1761784135.72494,1.0
1761784135.7420332,1.0
1761784135.7591524,1.0
1761784135.7763739,1.0
1761784135.793455,1.0
1761784135.8114913,1.0
1761784135.8285844,1.0
1761784135.8457046,1.0
1761784135.8627934,1.0
1761784135.8798773,1.0
1761784135.8970294,1.0
1761784135.9142146,1.0
1761784135.9313066,1.0
1761784135.9483852,1.0
1761784135.96545,1.0
1761784135.9825516,1.0
1761784135.999611,1.0
1761784136.0167341,1.0
1761784136.0340323,1.0
1761784136.0510888,1.0
1761784136.0684147,1.0
1761784136.085511,1.0
1761784136.1026495,1.0
1761784136.1198907,1.0
1761784136.1369424,1.0
1761784136.1540015,1.0
1761784136.1720066,1.0
1761784136.1890428,1.0
1761784136.2061207,1.0
1761784136.223225,1.0
1761784136.2403123,1.0
1761784136.2573767,1.0
1761784136.2745228,1.0
1761784136.2916148,1.0
1761784136.3087237,1.0
1761784136.3258486,1.0
1761784136.3429239,1.0
1761784136.3600283,1.0
1761784136.37725,1.0
1761784136.394458,1.0
1761784136.4114854,1.0
1761784136.4285443,1.0
1761784136.4456635,1.0
1761784136.4627674,1.0
1761784136.479869,1.0
1761784136.4969718,1.0
1761784136.514011,1.0
1761784136.5311162,1.0
1761784136.5482404,1.0
1761784136.5653224,1.0
1761784136.5823827,1.0
1761784136.5995495,1.0
1761784136.6166022,1.0
1761784136.633714,1.0
1761784136.6507692,1.0
1761784136.6680276,1.0
1761784136.6851552,1.0
1761784136.7022285,1.0
1761784136.7193844,1.0
1761784136.7365162,1.0
1761784136.7536907,1.0
1761784136.7709098,1.0
1761784136.788062,1.0
1761784136.8052251,1.0
1761784136.8223639,1.0
1761784136.839541,1.0
1761784136.8566825,1.0
1761784136.8738022,1.0
1761784136.8909483,1.0
1761784136.9081063,1.0
1761784136.9252841,1.0
1761784136.942427,1.0
1761784136.959596,1.0
1761784136.976744,1.0
1761784136.993922,1.0
1761784137.011219,1.0
1761784137.0283906,1.0
1761784137.045911,1.0
1761784137.0630665,1.0
1761784137.0805068,1.0
1761784137.0983906,1.0
1761784137.1158543,1.0
1761784137.1329868,1.0
1761784137.1501126,1.0
1761784137.168303,1.0
1761784137.1857781,1.0
1761784137.2029064,1.0
1761784137.2200663,1.0
1761784137.237334,1.0
1761784137.254434,1.0
1761784137.2715251,1.0
1761784137.2886064,1.0
1761784137.3057024,1.0
1761784137.3227966,1.0
1761784137.339882,1.0
1761784137.3569517,1.0
1761784137.374392,1.0
1761784137.3916557,1.0
1761784137.408621,1.0
1761784137.4257364,1.0
1761784137.4428947,1.0
1761784137.459946,1.0
1761784137.4770203,1.0
1761784137.4941087,1.0
1761784137.5112023,1.0
1761784137.528274,1.0
1761784137.545339,1.0
1761784137.5624132,1.0
1761784137.5794842,1.0
1761784137.5966425,1.0
1761784137.6136882,1.0
1761784137.6307845,1.0
1761784137.6478229,1.0
1761784137.664882,1.0
1761784137.6820378,1.0
1761784137.699522,1.0
1761784137.7166157,1.0
1761784137.7336824,1.0
1761784137.7507615,1.0
1761784137.7678535,1.0
1761784137.7849627,1.0
1761784137.802094,1.0
1761784137.8192005,1.0
1761784137.8363378,1.0
1761784137.8534243,1.0
1761784137.8705924,1.0
1761784137.8877459,1.0
1761784137.9048057,1.0
1761784137.921959,1.0
1761784137.9391718,1.0
1761784137.9562776,1.0
1761784137.9732316,1.0
1761784137.9903684,1.0
1761784138.0074759,1.0
1761784138.024538,1.0
1761784138.0420318,1.0
1761784138.059101,1.0
1761784138.0763662,1.0
1761784138.0934165,1.0
1761784138.110764,1.0
1761784138.127857,1.0
1761784138.1449516,1.0
1761784138.1621585,1.0
1761784138.1803443,1.0
1761784138.1973886,1.0
1761784138.2145386,1.0
1761784138.2316027,1.0
1761784138.2487059,1.0
1761784138.2657566,1.0
1761784138.2828138,1.0
1761784138.2998953,1.0
1761784138.317,1.0
1761784138.3341022,1.0
1761784138.3511548,1.0
1761784138.3683052,1.0
1761784138.3853986,1.0
1761784138.4036033,1.0
1761784138.420731,1.0
1761784138.437834,1.0
1761784138.4549212,1.0
1761784138.4719746,1.0
1761784138.4890509,1.0
1761784138.5060997,1.0
1761784138.5232713,1.0
1761784138.5403469,1.0
1761784138.557436,1.0
1761784138.5745747,1.0
1761784138.5916383,1.0
1761784138.608673,1.0
1761784138.6257136,1.0
1761784138.6428175,1.0
1761784138.659891,1.0
1761784138.6769674,1.0
1761784138.694097,1.0
1761784138.7111466,1.0
1761784138.7282145,1.0
1761784138.7453144,1.0
1761784138.7626002,1.0
1761784138.7796588,1.0
1761784138.7967176,1.0
1761784138.8138287,1.0
1761784138.8308804,1.0
1761784138.8480601,1.0
1761784138.8651183,1.0
1761784138.882162,1.0
1761784138.8994076,1.0
1761784138.9164917,1.0
1761784138.933597,1.0
1761784138.9507334,1.0
1761784138.9677854,1.0
1761784138.9848835,1.0
1761784139.0019863,1.0
1761784139.0190296,1.0
1761784139.0365915,1.0
1761784139.0536706,1.0
1761784139.070835,1.0
1761784139.0879548,1.0
1761784139.1051693,1.0
1761784139.122226,1.0
1761784139.1394167,1.0
1761784139.1565034,1.0
1761784139.1750832,1.0
1761784139.1921887,1.0
1761784139.2092955,1.0
1761784139.2264745,1.0
1761784139.243599,1.0
1761784139.2608087,1.0
1761784139.277914,1.0
1761784139.2951505,1.0
1761784139.3122387,1.0
1761784139.329443,1.0
1761784139.3463821,1.0
1761784139.363491,1.0
1761784139.3806055,1.0
1761784139.3978262,1.0
1761784139.4154632,1.0
1761784139.4327445,1.0
1761784139.4499629,1.0
1761784139.4670892,1.0
1761784139.4842262,1.0
1761784139.501371,1.0
1761784139.5186112,1.0
1761784139.5357444,1.0
1761784139.5529099,1.0
1761784139.570071,1.0
1761784139.5872188,1.0
1761784139.6043875,1.0
1761784139.621549,1.0
1761784139.6387742,1.0
1761784139.6559153,1.0
1761784139.6730642,1.0
1761784139.6902177,1.0
1761784139.707553,1.0
1761784139.7247126,1.0
1761784139.7418265,1.0
1761784139.75897,1.0
1761784139.7760534,1.0
1761784139.7931578,1.0
1761784139.8101585,1.0
1761784139.8271985,1.0
1761784139.8442464,1.0
1761784139.8613465,1.0
1761784139.8784776,1.0
1761784139.895593,1.0
1761784139.9126956,1.0
1761784139.9298112,1.0
1761784139.9469247,1.0
1761784139.964024,1.0
1761784139.9811568,1.0
1761784139.9982607,1.0
1761784140.0153594,1.0
1761784140.0326233,1.0
1761784140.0497591,1.0
1761784140.0668566,1.0
1761784140.0841243,1.0
1761784140.101222,1.0
1761784140.1184547,1.0
1761784140.1355813,1.0
1761784140.152729,1.0
1761784140.1708975,1.0
1761784140.1880732,1.0
1761784140.2051437,1.0
1761784140.22223,1.0
1761784140.2393298,1.0
1761784140.2563922,1.0
1761784140.2734544,1.0
1761784140.2905724,1.0
1761784140.3076868,1.0
1761784140.3247662,1.0
1761784140.3418171,1.0
1761784140.3589385,1.0
1761784140.3760314,1.0
1761784140.39318,1.0
1761784140.4102077,1.0
1761784140.427367,1.0
1761784140.4444313,1.0
1761784140.4616137,1.0
1761784140.478709,1.0
1761784140.4958,1.0
1761784140.5128503,1.0
1761784140.529936,1.0
1761784140.5471346,1.0
1761784140.5641959,1.0
1761784140.5813003,1.0
1761784140.5983908,1.0
1761784140.6154547,1.0
1761784140.6325362,1.0
1761784140.6496787,1.0
1761784140.6667428,1.0
1761784140.683828,1.0
1761784140.7009277,1.0
1761784140.718025,1.0
1761784140.735094,1.0
1761784140.7521634,1.0
1761784140.769293,1.0
1761784140.7863595,1.0
1761784140.8034549,1.0
1761784140.8205383,1.0
1761784140.837645,1.0
1761784140.8547053,1.0
1761784140.8718328,1.0
1761784140.888878,1.0
