time,scope,value
1761784644.030667,0,1939662.2927246094
1761784644.030667,1,1939662.9169921875
1761784645.0306673,0,1939817.0919189453
1761784645.0306673,1,1939817.0919189453
1761784646.030655,0,1939972.407043457
1761784646.030655,1,1939972.407043457
1761784647.0316663,0,1940127.8408813477
1761784647.0316663,1,1940127.8408813477
1761784648.0306444,0,1940284.015258789
1761784648.0306444,1,1940284.015258789
1761784649.0306563,0,1940439.1432495117
1761784649.0306563,1,1940439.1432495117
1761784650.0306926,0,1940593.9842529297
1761784650.0306926,1,1940593.9842529297
1761784651.030648,0,1940748.926940918
1761784651.030648,1,1940748.926940918
1761784652.0306666,0,1940903.174255371
1761784652.0306666,1,1940903.383239746
1761784653.0306695,0,1941057.378112793
1761784653.0306695,1,1941057.378112793
1761784654.0306852,0,1941211.7069091797
1761784654.0306852,1,1941211.840209961
1761784655.0306647,0,1941366.424194336
1761784655.0306647,1,1941366.424194336
1761784656.0306613,0,1941521.375366211
1761784656.0306613,1,1941521.375366211
1761784657.0306542,0,1941676.1560058594
1761784657.0306542,1,1941676.1560058594
1761784658.030662,0,1941831.1072998047
1761784658.030662,1,1941831.1072998047
1761784659.030645,0,1941986.0166015625
1761784659.030645,1,1941986.0166015625
1761784660.0306416,0,1942141.1334838867
1761784660.0306416,1,1942141.1334838867
1761784661.0306728,0,1942295.7600708008
1761784661.0306728,1,1942295.7600708008
1761784662.0306406,0,1942451.0374145508
1761784662.0306406,1,1942451.0374145508
1761784663.0306728,0,1942606.1493530273
1761784663.0306728,1,1942606.305847168
1761784664.030663,0,1942761.0172729492
1761784664.030663,1,1942761.0172729492
1761784665.0306735,0,1942915.5808105469
1761784665.0306735,1,1942915.5808105469
1761784666.03063,0,1943070.774230957
1761784666.03063,1,1943070.774230957
1761784667.0306726,0,1943225.9844360352
1761784667.0306726,1,1943225.9844360352
1761784668.0306833,0,1943381.2201538086
1761784668.0306833,1,1943381.4134521484
1761784669.0305746,0,1943536.5362548828
1761784669.0305746,1,1943536.5362548828
1761784670.0306704,0,1943691.8380126953
1761784670.0306704,1,1943691.9963378906
1761784671.0306888,0,1943847.250427246
1761784671.0306888,1,1943847.250427246
1761784672.030639,0,1944002.4473876953
1761784672.030639,1,1944002.4473876953
1761784673.0306554,0,1944157.7559204102
1761784673.0306554,1,1944157.7559204102
1761784674.0306451,0,1944313.0989379883
1761784674.0306451,1,1944313.0989379883
1761784675.0308406,0,1944468.4118041992
1761784675.0308406,1,1944468.4118041992
1761784676.0306602,0,1944623.6827392578
1761784676.0306602,1,1944623.8565063477
1761784677.0306559,0,1944778.9580688477
1761784677.0306559,1,1944779.1228637695
1761784678.0306475,0,1944934.438293457
1761784678.0306475,1,1944934.438293457
1761784679.030657,0,1945089.8134765625
1761784679.030657,1,1945089.8134765625
1761784680.0306463,0,1945245.3054199219
1761784680.0306463,1,1945245.3054199219
1761784681.030659,0,1945400.6903686523
1761784681.030659,1,1945400.6903686523
1761784682.0306602,0,1945556.2553100586
1761784682.0306602,1,1945556.2553100586
1761784683.030667,0,1945711.6290283203
1761784683.030667,1,1945711.6290283203
1761784684.0306578,0,1945866.9739990234
1761784684.0306578,1,1945866.9739990234
1761784685.0306456,0,1946022.4152832031
1761784685.0306456,1,1946022.4152832031
1761784686.0306582,0,1946177.7341918945
1761784686.0306582,1,1946177.7341918945
1761784687.0306516,0,1946333.058959961
1761784687.0306516,1,1946333.058959961
1761784688.0306458,0,1946488.5488891602
1761784688.0306458,1,1946488.5488891602
1761784689.0305872,0,1946643.786743164
1761784689.0305872,1,1946643.786743164
1761784690.030682,0,1946799.2301635742
1761784690.030682,1,1946799.2301635742
1761784691.030685,0,1946954.5260009766
1761784691.030685,1,1946954.5260009766
1761784692.030682,0,1947110.0079345703
1761784692.030682,1,1947110.0079345703
1761784693.0306764,0,1947265.3489990234
1761784693.0306764,1,1947265.3489990234
1761784694.0306275,0,1947420.6573486328
1761784694.0306275,1,1947420.6573486328
1761784695.0306506,0,1947576.0287475586
1761784695.0306506,1,1947576.1747436523
1761784696.0306845,0,1947731.4197387695
1761784696.0306845,1,1947731.4197387695
1761784697.030615,0,1947886.7317504883
1761784697.030615,1,1947886.9046020508
1761784698.030646,0,1948042.15625
1761784698.030646,1,1948042.15625
1761784699.030668,0,1948197.5220947266
1761784699.030668,1,1948197.6448364258
1761784700.0306332,0,1948352.9841918945
1761784700.0306332,1,1948352.9841918945
1761784701.030667,0,1948508.2763061523
1761784701.030667,1,1948508.2763061523
1761784702.0306609,0,1948663.419494629
1761784702.0306609,1,1948663.5948486328
1761784703.0306387,0,1948818.8099975586
1761784703.0306387,1,1948818.8099975586
1761784704.0306482,0,1948974.0341796875
1761784704.0306482,1,1948974.0341796875
1761784705.0306528,0,1949129.1748046875
1761784705.0306528,1,1949129.3318481445
1761784706.030652,0,1949284.3571777344
1761784706.030652,1,1949284.466796875
1761784707.030655,0,1949439.6108398438
1761784707.030655,1,1949439.6108398438
1761784708.0306294,0,1949594.7083740234
1761784708.0306294,1,1949594.8434448242
1761784709.0317383,0,1949750.0573730469
1761784709.0317383,1,1949750.0573730469
1761784710.0306685,0,1949904.9710083008
1761784710.0306685,1,1949904.9710083008
1761784711.030651,0,1950060.0155029297
1761784711.030651,1,1950060.1918945312
1761784712.030573,0,1950215.2888793945
1761784712.030573,1,1950215.2888793945
1761784713.0306685,0,1950370.6028442383
1761784713.0306685,1,1950370.6028442383
1761784714.0306475,0,1950525.7434082031
1761784714.0306475,1,1950525.7434082031
1761784715.030658,0,1950680.871459961
1761784715.030658,1,1950680.871459961
1761784716.0306554,0,1950836.026550293
1761784716.0306554,1,1950836.026550293
1761784717.030635,0,1950991.1645507812
1761784717.030635,1,1950991.1645507812
1761784718.0306666,0,1951146.4608764648
1761784718.0306666,1,1951146.4608764648
1761784719.0307188,0,1951301.6282958984
1761784719.0307188,1,1951301.6282958984
1761784720.0316842,0,1951456.933959961
1761784720.0316842,1,1951456.933959961
1761784721.0306463,0,1951611.8833618164
1761784721.0306463,1,1951612.040222168
1761784722.0306587,0,1951767.2058105469
1761784722.0306587,1,1951767.2058105469
1761784723.0306463,0,1951922.391052246
1761784723.0306463,1,1951922.391052246
1761784724.0306451,0,1952077.51171875
1761784724.0306451,1,1952077.51171875
1761784725.0306394,0,1952232.7670898438
1761784725.0306394,1,1952232.930480957
1761784726.030648,0,1952388.049194336
1761784726.030648,1,1952388.2209472656
1761784727.030653,0,1952543.4543457031
1761784727.030653,1,1952543.4543457031
1761784728.0305674,0,1952698.6282348633
1761784728.0305674,1,1952698.6282348633
1761784729.030639,0,1952853.8178710938
1761784729.030639,1,1952853.9684448242
1761784730.0306594,0,1953009.0501708984
1761784730.0306594,1,1953009.0501708984
1761784731.0308917,0,1953164.1481323242
1761784731.0308917,1,1953164.1481323242
1761784732.0306365,0,1953319.3404541016
1761784732.0306365,1,1953319.3404541016
1761784733.0306404,0,1953474.3634643555
1761784733.0306404,1,1953474.3634643555
1761784734.0306575,0,1953629.3915405273
1761784734.0306575,1,1953629.5736083984
1761784735.030676,0,1953784.4521484375
1761784735.030676,1,1953784.618713379
1761784736.0306342,0,1953939.55078125
1761784736.0306342,1,1953939.6989135742
1761784737.03065,0,1954094.6588134766
1761784737.03065,1,1954094.6588134766
1761784738.0306618,0,1954249.851135254
1761784738.0306618,1,1954249.851135254
1761784739.0305645,0,1954404.8671875
