time,scope,value
1774905946.9292076,nrm.extra.perf.PAPI_L3_TCA.273307,2312441370.0
1774905946.9292076,nrm.extra.perf.PAPI_TOT_INS.273307,46320726367.0
1774905946.9292076,nrm.extra.perf.PAPI_TOT_CYC.273307,287203907695.0
1774905946.9292076,nrm.extra.perf.PAPI_RES_STL.273307,254383914532.0
1774905946.9292076,nrm.extra.perf.PAPI_L3_TCM.273307,2166198343.0
1774905947.9251392,nrm.extra.perf.PAPI_L3_TCA.273307,4631489267.0
1774905947.9251392,nrm.extra.perf.PAPI_TOT_INS.273307,92423123963.0
1774905947.9251392,nrm.extra.perf.PAPI_TOT_CYC.273307,553446145746.0
1774905947.9251392,nrm.extra.perf.PAPI_RES_STL.273307,489060081343.0
1774905947.9251392,nrm.extra.perf.PAPI_L3_TCM.273307,4317246658.0
1774905948.9226463,nrm.extra.perf.PAPI_L3_TCA.273307,6935677240.0
1774905948.9226463,nrm.extra.perf.PAPI_TOT_INS.273307,138339990169.0
1774905948.9226463,nrm.extra.perf.PAPI_TOT_CYC.273307,819413339283.0
1774905948.9226463,nrm.extra.perf.PAPI_RES_STL.273307,722671547671.0
1774905948.9226463,nrm.extra.perf.PAPI_L3_TCM.273307,6463420177.0
1774905949.9216113,nrm.extra.perf.PAPI_L3_TCA.273307,9246415670.0
1774905949.9216113,nrm.extra.perf.PAPI_TOT_INS.273307,184387765531.0
1774905949.9216113,nrm.extra.perf.PAPI_TOT_CYC.273307,1085958113049.0
1774905949.9216113,nrm.extra.perf.PAPI_RES_STL.273307,957401083176.0
1774905949.9216113,nrm.extra.perf.PAPI_L3_TCM.273307,8621199151.0
1774905950.9257634,nrm.extra.perf.PAPI_L3_TCA.273307,11610264116.0
1774905950.9257634,nrm.extra.perf.PAPI_TOT_INS.273307,231215063428.0
1774905950.9257634,nrm.extra.perf.PAPI_TOT_CYC.273307,1357427810395.0
1774905950.9257634,nrm.extra.perf.PAPI_RES_STL.273307,1198379057993.0
1774905950.9257634,nrm.extra.perf.PAPI_L3_TCM.273307,10830587316.0
1774905951.9245038,nrm.extra.perf.PAPI_L3_TCA.273307,13979939495.0
1774905951.9245038,nrm.extra.perf.PAPI_TOT_INS.273307,277933849340.0
1774905951.9245038,nrm.extra.perf.PAPI_TOT_CYC.273307,1629486086405.0
1774905951.9245038,nrm.extra.perf.PAPI_RES_STL.273307,1440834925755.0
1774905951.9245038,nrm.extra.perf.PAPI_L3_TCM.273307,13035765595.0
1774905952.9258597,nrm.extra.perf.PAPI_L3_TCA.273307,16338204430.0
1774905952.9258597,nrm.extra.perf.PAPI_TOT_INS.273307,324676761070.0
1774905952.9258597,nrm.extra.perf.PAPI_TOT_CYC.273307,1902350310307.0
1774905952.9258597,nrm.extra.perf.PAPI_RES_STL.273307,1683492848919.0
1774905952.9258597,nrm.extra.perf.PAPI_L3_TCM.273307,15240786804.0
1774905953.9235394,nrm.extra.perf.PAPI_L3_TCA.273307,18694427140.0
1774905953.9235394,nrm.extra.perf.PAPI_TOT_INS.273307,371279603836.0
1774905953.9235394,nrm.extra.perf.PAPI_TOT_CYC.273307,2174275598104.0
1774905953.9235394,nrm.extra.perf.PAPI_RES_STL.273307,1925314324024.0
1774905953.9235394,nrm.extra.perf.PAPI_L3_TCM.273307,17438155569.0
1774905954.925695,nrm.extra.perf.PAPI_L3_TCA.273307,21043223196.0
1774905954.925695,nrm.extra.perf.PAPI_TOT_INS.273307,417656209721.0
1774905954.925695,nrm.extra.perf.PAPI_TOT_CYC.273307,2443754590565.0
1774905954.925695,nrm.extra.perf.PAPI_RES_STL.273307,2165045169926.0
1774905954.925695,nrm.extra.perf.PAPI_L3_TCM.273307,19627840375.0
1774905955.9313135,nrm.extra.perf.PAPI_L3_TCA.273307,23412969378.0
1774905955.9313135,nrm.extra.perf.PAPI_TOT_INS.273307,464408885170.0
1774905955.9313135,nrm.extra.perf.PAPI_TOT_CYC.273307,2716253184520.0
1774905955.9313135,nrm.extra.perf.PAPI_RES_STL.273307,2408610442813.0
1774905955.9313135,nrm.extra.perf.PAPI_L3_TCM.273307,21844943728.0
1774905956.9211502,nrm.extra.perf.PAPI_L3_TCA.273307,25733981195.0
1774905956.9211502,nrm.extra.perf.PAPI_TOT_INS.273307,510338318893.0
1774905956.9211502,nrm.extra.perf.PAPI_TOT_CYC.273307,2983697570621.0
1774905956.9211502,nrm.extra.perf.PAPI_RES_STL.273307,2645647857639.0
1774905956.9211502,nrm.extra.perf.PAPI_L3_TCM.273307,24003303078.0
1774905957.9269605,nrm.extra.perf.PAPI_L3_TCA.273307,28071294459.0
1774905957.9269605,nrm.extra.perf.PAPI_TOT_INS.273307,556763241454.0
1774905957.9269605,nrm.extra.perf.PAPI_TOT_CYC.273307,3254407364095.0
1774905957.9269605,nrm.extra.perf.PAPI_RES_STL.273307,2885635623932.0
1774905957.9269605,nrm.extra.perf.PAPI_L3_TCM.273307,26188473955.0
1774905958.9226983,nrm.extra.perf.PAPI_L3_TCA.273307,30430252480.0
1774905958.9226983,nrm.extra.perf.PAPI_TOT_INS.273307,603327441942.0
1774905958.9226983,nrm.extra.perf.PAPI_TOT_CYC.273307,3525476585622.0
1774905958.9226983,nrm.extra.perf.PAPI_RES_STL.273307,3127217939007.0
1774905958.9226983,nrm.extra.perf.PAPI_L3_TCM.273307,28386009067.0
1774905959.9269404,nrm.extra.perf.PAPI_L3_TCA.273307,32805988007.0
1774905959.9269404,nrm.extra.perf.PAPI_TOT_INS.273307,650156487406.0
1774905959.9269404,nrm.extra.perf.PAPI_TOT_CYC.273307,3798610128255.0
1774905959.9269404,nrm.extra.perf.PAPI_RES_STL.273307,3371300241541.0
1774905959.9269404,nrm.extra.perf.PAPI_L3_TCM.273307,30607217286.0
1774905960.9230561,nrm.extra.perf.PAPI_L3_TCA.273307,35160971636.0
1774905960.9230561,nrm.extra.perf.PAPI_TOT_INS.273307,696667146070.0
1774905960.9230561,nrm.extra.perf.PAPI_TOT_CYC.273307,4069806401508.0
1774905960.9230561,nrm.extra.perf.PAPI_RES_STL.273307,3613060734505.0
1774905960.9230561,nrm.extra.perf.PAPI_L3_TCM.273307,32804797663.0
1774905961.921567,nrm.extra.perf.PAPI_L3_TCA.273307,37521418771.0
1774905961.921567,nrm.extra.perf.PAPI_TOT_INS.273307,743341210757.0
1774905961.921567,nrm.extra.perf.PAPI_TOT_CYC.273307,4341984929967.0
1774905961.921567,nrm.extra.perf.PAPI_RES_STL.273307,3854911694837.0
1774905961.921567,nrm.extra.perf.PAPI_L3_TCM.273307,35002285114.0
1774905962.9247618,nrm.extra.perf.PAPI_L3_TCA.273307,39842128031.0
1774905962.9247618,nrm.extra.perf.PAPI_TOT_INS.273307,789593278424.0
1774905962.9247618,nrm.extra.perf.PAPI_TOT_CYC.273307,4612175433540.0
1774905962.9247618,nrm.extra.perf.PAPI_RES_STL.273307,4093025667847.0
1774905962.9247618,nrm.extra.perf.PAPI_L3_TCM.273307,37168074200.0
1774905963.9289522,nrm.extra.perf.PAPI_L3_TCA.273307,42213864437.0
1774905963.9289522,nrm.extra.perf.PAPI_TOT_INS.273307,836454085854.0
1774905963.9289522,nrm.extra.perf.PAPI_TOT_CYC.273307,4885594822026.0
1774905963.9289522,nrm.extra.perf.PAPI_RES_STL.273307,4336995155065.0
1774905963.9289522,nrm.extra.perf.PAPI_L3_TCM.273307,39385336014.0
1774905964.9210227,nrm.extra.perf.PAPI_L3_TCA.273307,44563102705.0
1774905964.9210227,nrm.extra.perf.PAPI_TOT_INS.273307,882867393406.0
1774905964.9210227,nrm.extra.perf.PAPI_TOT_CYC.273307,5156099427808.0
1774905964.9210227,nrm.extra.perf.PAPI_RES_STL.273307,4577618892225.0
1774905964.9210227,nrm.extra.perf.PAPI_L3_TCM.273307,41571173938.0
1774905965.9239955,nrm.extra.perf.PAPI_L3_TCA.273307,46888650982.0
1774905965.9239955,nrm.extra.perf.PAPI_TOT_INS.273307,929060084374.0
1774905965.9239955,nrm.extra.perf.PAPI_TOT_CYC.273307,5426056395484.0
1774905965.9239955,nrm.extra.perf.PAPI_RES_STL.273307,4816245894710.0
1774905965.9239955,nrm.extra.perf.PAPI_L3_TCM.273307,43741409690.0
1774905966.9215672,nrm.extra.perf.PAPI_L3_TCA.273307,49242311455.0
1774905966.9215672,nrm.extra.perf.PAPI_TOT_INS.273307,975638706821.0
1774905966.9215672,nrm.extra.perf.PAPI_TOT_CYC.273307,5697930849556.0
1774905966.9215672,nrm.extra.perf.PAPI_RES_STL.273307,5058158300062.0
1774905966.9215672,nrm.extra.perf.PAPI_L3_TCM.273307,45939120477.0
1774905967.9219494,nrm.extra.perf.PAPI_L3_TCA.273307,51611889204.0
