time,scope,value
1769939949.5419798,nrm.extra.perf.PAPI_L3_TCA.125336,2041388612.0
1769939949.5419798,nrm.extra.perf.PAPI_TOT_INS.125336,51061347780.0
1769939949.5419798,nrm.extra.perf.PAPI_TOT_CYC.125336,223939183825.0
1769939949.5419798,nrm.extra.perf.PAPI_RES_STL.125336,189309354694.0
1769939949.5419798,nrm.extra.perf.PAPI_L3_TCM.125336,1814326845.0
1769939950.543904,nrm.extra.perf.PAPI_L3_TCA.125336,3864948356.0
1769939950.543904,nrm.extra.perf.PAPI_TOT_INS.125336,99110174984.0
1769939950.543904,nrm.extra.perf.PAPI_TOT_CYC.125336,425779160483.0
1769939950.543904,nrm.extra.perf.PAPI_RES_STL.125336,342473165437.0
1769939950.543904,nrm.extra.perf.PAPI_L3_TCM.125336,3440123733.0
1769939951.5449207,nrm.extra.perf.PAPI_L3_TCA.125336,5825904203.0
1769939951.5449207,nrm.extra.perf.PAPI_TOT_INS.125336,148226509767.0
1769939951.5449207,nrm.extra.perf.PAPI_TOT_CYC.125336,623941630629.0
1769939951.5449207,nrm.extra.perf.PAPI_RES_STL.125336,506375142857.0
1769939951.5449207,nrm.extra.perf.PAPI_L3_TCM.125336,5184958203.0
1769939952.5416808,nrm.extra.perf.PAPI_L3_TCA.125336,7779069514.0
1769939952.5416808,nrm.extra.perf.PAPI_TOT_INS.125336,197502578998.0
1769939952.5416808,nrm.extra.perf.PAPI_TOT_CYC.125336,824276098433.0
1769939952.5416808,nrm.extra.perf.PAPI_RES_STL.125336,670052147197.0
1769939952.5416808,nrm.extra.perf.PAPI_L3_TCM.125336,6922881618.0
1769939953.5406837,nrm.extra.perf.PAPI_L3_TCA.125336,9759019359.0
1769939953.5406837,nrm.extra.perf.PAPI_TOT_INS.125336,247062979246.0
1769939953.5406837,nrm.extra.perf.PAPI_TOT_CYC.125336,1025050333427.0
1769939953.5406837,nrm.extra.perf.PAPI_RES_STL.125336,836072730357.0
1769939953.5406837,nrm.extra.perf.PAPI_L3_TCM.125336,8682158812.0
1769939954.5440483,nrm.extra.perf.PAPI_L3_TCA.125336,11627469539.0
1769939954.5440483,nrm.extra.perf.PAPI_TOT_INS.125336,295637778127.0
1769939954.5440483,nrm.extra.perf.PAPI_TOT_CYC.125336,1228241789384.0
1769939954.5440483,nrm.extra.perf.PAPI_RES_STL.125336,993818785121.0
1769939954.5440483,nrm.extra.perf.PAPI_L3_TCM.125336,10345392082.0
1769939955.5404842,nrm.extra.perf.PAPI_L3_TCA.125336,13369588577.0
1769939955.5404842,nrm.extra.perf.PAPI_TOT_INS.125336,342696539797.0
1769939955.5404842,nrm.extra.perf.PAPI_TOT_CYC.125336,1431563076540.0
1769939955.5404842,nrm.extra.perf.PAPI_RES_STL.125336,1141946505772.0
1769939955.5404842,nrm.extra.perf.PAPI_L3_TCM.125336,11898685775.0
1769939956.5403504,nrm.extra.perf.PAPI_L3_TCA.125336,15347337155.0
1769939956.5403504,nrm.extra.perf.PAPI_TOT_INS.125336,391971331017.0
1769939956.5403504,nrm.extra.perf.PAPI_TOT_CYC.125336,1628984090298.0
1769939956.5403504,nrm.extra.perf.PAPI_RES_STL.125336,1306735160082.0
1769939956.5403504,nrm.extra.perf.PAPI_L3_TCM.125336,13660053113.0
1769939957.545641,nrm.extra.perf.PAPI_L3_TCA.125336,17333277028.0
1769939957.545641,nrm.extra.perf.PAPI_TOT_INS.125336,441487315767.0
1769939957.545641,nrm.extra.perf.PAPI_TOT_CYC.125336,1827537017965.0
1769939957.545641,nrm.extra.perf.PAPI_RES_STL.125336,1472339589057.0
1769939957.545641,nrm.extra.perf.PAPI_L3_TCM.125336,15428912996.0
1769939958.540167,nrm.extra.perf.PAPI_L3_TCA.125336,19328001797.0
1769939958.540167,nrm.extra.perf.PAPI_TOT_INS.125336,491096873591.0
1769939958.540167,nrm.extra.perf.PAPI_TOT_CYC.125336,2026332468759.0
1769939958.540167,nrm.extra.perf.PAPI_RES_STL.125336,1638980877037.0
1769939958.540167,nrm.extra.perf.PAPI_L3_TCM.125336,17205318525.0
1769939959.546036,nrm.extra.perf.PAPI_L3_TCA.125336,21352786865.0
1769939959.546036,nrm.extra.perf.PAPI_TOT_INS.125336,541347909753.0
1769939959.546036,nrm.extra.perf.PAPI_TOT_CYC.125336,2227086424134.0
1769939959.546036,nrm.extra.perf.PAPI_RES_STL.125336,1808278086598.0
1769939959.546036,nrm.extra.perf.PAPI_L3_TCM.125336,19011649288.0
1769939960.5411196,nrm.extra.perf.PAPI_L3_TCA.125336,23366741185.0
1769939960.5411196,nrm.extra.perf.PAPI_TOT_INS.125336,591125819595.0
1769939960.5411196,nrm.extra.perf.PAPI_TOT_CYC.125336,2425398863264.0
1769939960.5411196,nrm.extra.perf.PAPI_RES_STL.125336,1976047033593.0
1769939960.5411196,nrm.extra.perf.PAPI_L3_TCM.125336,20802546392.0
1769939961.5467863,nrm.extra.perf.PAPI_L3_TCA.125336,25401333772.0
1769939961.5467863,nrm.extra.perf.PAPI_TOT_INS.125336,641439119255.0
1769939961.5467863,nrm.extra.perf.PAPI_TOT_CYC.125336,2625843520800.0
1769939961.5467863,nrm.extra.perf.PAPI_RES_STL.125336,2145825254938.0
1769939961.5467863,nrm.extra.perf.PAPI_L3_TCM.125336,22615591088.0
1769939962.5446486,nrm.extra.perf.PAPI_L3_TCA.125336,27413513962.0
1769939962.5446486,nrm.extra.perf.PAPI_TOT_INS.125336,691291204706.0
1769939962.5446486,nrm.extra.perf.PAPI_TOT_CYC.125336,2824817705867.0
1769939962.5446486,nrm.extra.perf.PAPI_RES_STL.125336,2313647241321.0
1769939962.5446486,nrm.extra.perf.PAPI_L3_TCM.125336,24406993736.0
1769939963.5438483,nrm.extra.perf.PAPI_L3_TCA.125336,29424132942.0
1769939963.5438483,nrm.extra.perf.PAPI_TOT_INS.125336,741167352320.0
1769939963.5438483,nrm.extra.perf.PAPI_TOT_CYC.125336,3024271058661.0
1769939963.5438483,nrm.extra.perf.PAPI_RES_STL.125336,2481651246850.0
1769939963.5438483,nrm.extra.perf.PAPI_L3_TCM.125336,26198317118.0
1769939964.5465858,nrm.extra.perf.PAPI_L3_TCA.125336,31400040510.0
1769939964.5465858,nrm.extra.perf.PAPI_TOT_INS.125336,790504869895.0
1769939964.5465858,nrm.extra.perf.PAPI_TOT_CYC.125336,3222577179632.0
1769939964.5465858,nrm.extra.perf.PAPI_RES_STL.125336,2646736340380.0
1769939964.5465858,nrm.extra.perf.PAPI_L3_TCM.125336,27959631266.0
1769939965.5456266,nrm.extra.perf.PAPI_L3_TCA.125336,33424802388.0
1769939965.5456266,nrm.extra.perf.PAPI_TOT_INS.125336,840522272588.0
1769939965.5456266,nrm.extra.perf.PAPI_TOT_CYC.125336,3421775213108.0
1769939965.5456266,nrm.extra.perf.PAPI_RES_STL.125336,2815170827360.0
1769939965.5456266,nrm.extra.perf.PAPI_L3_TCM.125336,29758212084.0
1769939966.541322,nrm.extra.perf.PAPI_L3_TCA.125336,35401208826.0
1769939966.541322,nrm.extra.perf.PAPI_TOT_INS.125336,889661709586.0
1769939966.541322,nrm.extra.perf.PAPI_TOT_CYC.125336,3618242345790.0
1769939966.541322,nrm.extra.perf.PAPI_RES_STL.125336,2980056543014.0
1769939966.541322,nrm.extra.perf.PAPI_L3_TCM.125336,31519394998.0
1769939967.5543811,nrm.extra.perf.PAPI_L3_TCA.125336,37424283330.0
1769939967.5543811,nrm.extra.perf.PAPI_TOT_INS.125336,939990108810.0
1769939967.5543811,nrm.extra.perf.PAPI_TOT_CYC.125336,3819278597283.0
1769939967.5543811,nrm.extra.perf.PAPI_RES_STL.125336,3150517679343.0
1769939967.5543811,nrm.extra.perf.PAPI_L3_TCM.125336,33340398945.0
1769939968.5410814,nrm.extra.perf.PAPI_L3_TCA.125336,39433215706.0
1769939968.5410814,nrm.extra.perf.PAPI_TOT_INS.125336,989580176275.0
1769939968.5410814,nrm.extra.perf.PAPI_TOT_CYC.125336,4017412189992.0
1769939968.5410814,nrm.extra.perf.PAPI_RES_STL.125336,3316576933783.0
1769939968.5410814,nrm.extra.perf.PAPI_L3_TCM.125336,35108849941.0
1769939969.54328,nrm.extra.perf.PAPI_L3_TCA.125336,41452520816.0
1769939969.54328,nrm.extra.perf.PAPI_TOT_INS.125336,1039659946668.0
1769939969.54328,nrm.extra.perf.PAPI_TOT_CYC.125336,4217806893621.0
1769939969.54328,nrm.extra.perf.PAPI_RES_STL.125336,3485522089951.0
1769939969.54328,nrm.extra.perf.PAPI_L3_TCM.125336,36907089022.0
1769939970.5456295,nrm.extra.perf.PAPI_L3_TCA.125336,43465195822.0
1769939970.5456295,nrm.extra.perf.PAPI_TOT_INS.125336,1089672182701.0
1769939970.5456295,nrm.extra.perf.PAPI_TOT_CYC.125336,4418352670745.0
1769939970.5456295,nrm.extra.perf.PAPI_RES_STL.125336,3653697197393.0
1769939970.5456295,nrm.extra.perf.PAPI_L3_TCM.125336,38698043318.0
1769939971.541113,nrm.extra.perf.PAPI_L3_TCA.125336,45459087114.0
1769939971.541113,nrm.extra.perf.PAPI_TOT_INS.125336,1139297809241.0
1769939971.541113,nrm.extra.perf.PAPI_TOT_CYC.125336,4617646895778.0
1769939971.541113,nrm.extra.perf.PAPI_RES_STL.125336,3820595595212.0
1769939971.541113,nrm.extra.perf.PAPI_L3_TCM.125336,40473990108.0
1769939972.5547986,nrm.extra.perf.PAPI_L3_TCA.125336,47473174796.0
1769939972.5547986,nrm.extra.perf.PAPI_TOT_INS.125336,1189385864742.0
1769939972.5547986,nrm.extra.perf.PAPI_TOT_CYC.125336,4818602907290.0
1769939972.5547986,nrm.extra.perf.PAPI_RES_STL.125336,3989438996052.0
1769939972.5547986,nrm.extra.perf.PAPI_L3_TCM.125336,42286504258.0
1769939973.5412974,nrm.extra.perf.PAPI_L3_TCA.125336,49464711652.0
1769939973.5412974,nrm.extra.perf.PAPI_TOT_INS.125336,1239022995233.0
1769939973.5412974,nrm.extra.perf.PAPI_TOT_CYC.125336,5018139224957.0
1769939973.5412974,nrm.extra.perf.PAPI_RES_STL.125336,4155710968550.0
1769939973.5412974,nrm.extra.perf.PAPI_L3_TCM.125336,44040809643.0
1769939974.5475526,nrm.extra.perf.PAPI_L3_TCA.125336,51462327835.0
1769939974.5475526,nrm.extra.perf.PAPI_TOT_INS.125336,1288844035000.0
1769939974.5475526,nrm.extra.perf.PAPI_TOT_CYC.125336,5218829063557.0
1769939974.5475526,nrm.extra.perf.PAPI_RES_STL.125336,4323444458464.0
1769939974.5475526,nrm.extra.perf.PAPI_L3_TCM.125336,45831091646.0
1769939975.5413773,nrm.extra.perf.PAPI_L3_TCA.125336,53470579757.0
1769939975.5413773,nrm.extra.perf.PAPI_TOT_INS.125336,1338713414912.0
1769939975.5413773,nrm.extra.perf.PAPI_TOT_CYC.125336,5418689449771.0
1769939975.5413773,nrm.extra.perf.PAPI_RES_STL.125336,4491027269913.0
1769939975.5413773,nrm.extra.perf.PAPI_L3_TCM.125336,47607490783.0
1769939976.5467894,nrm.extra.perf.PAPI_L3_TCA.125336,55489093365.0
1769939976.5467894,nrm.extra.perf.PAPI_TOT_INS.125336,1388886401459.0
1769939976.5467894,nrm.extra.perf.PAPI_TOT_CYC.125336,5619795094065.0
1769939976.5467894,nrm.extra.perf.PAPI_RES_STL.125336,4659930447912.0
1769939976.5467894,nrm.extra.perf.PAPI_L3_TCM.125336,49406252557.0
1769939977.5424824,nrm.extra.perf.PAPI_L3_TCA.125336,57499194568.0
1769939977.5424824,nrm.extra.perf.PAPI_TOT_INS.125336,1438660055609.0
1769939977.5424824,nrm.extra.perf.PAPI_TOT_CYC.125336,5818556886672.0
1769939977.5424824,nrm.extra.perf.PAPI_RES_STL.125336,4827850827502.0
1769939977.5424824,nrm.extra.perf.PAPI_L3_TCM.125336,51197505921.0
1769939978.5403016,nrm.extra.perf.PAPI_L3_TCA.125336,59514884963.0
1769939978.5403016,nrm.extra.perf.PAPI_TOT_INS.125336,1488563446316.0
1769939978.5403016,nrm.extra.perf.PAPI_TOT_CYC.125336,6017890329100.0
1769939978.5403016,nrm.extra.perf.PAPI_RES_STL.125336,4995827097677.0
1769939978.5403016,nrm.extra.perf.PAPI_L3_TCM.125336,52988587810.0
1769939979.5401833,nrm.extra.perf.PAPI_L3_TCA.125336,61526351892.0
1769939979.5401833,nrm.extra.perf.PAPI_TOT_INS.125336,1538495174288.0
1769939979.5401833,nrm.extra.perf.PAPI_TOT_CYC.125336,6217725113919.0
1769939979.5401833,nrm.extra.perf.PAPI_RES_STL.125336,5163846861305.0
1769939979.5401833,nrm.extra.perf.PAPI_L3_TCM.125336,54779404329.0
1769939980.5442855,nrm.extra.perf.PAPI_L3_TCA.125336,63533269958.0
1769939980.5442855,nrm.extra.perf.PAPI_TOT_INS.125336,1588507859892.0
1769939980.5442855,nrm.extra.perf.PAPI_TOT_CYC.125336,6418827856755.0
1769939980.5442855,nrm.extra.perf.PAPI_RES_STL.125336,5332275711805.0
1769939980.5442855,nrm.extra.perf.PAPI_L3_TCM.125336,56569982248.0
1769939981.5417814,nrm.extra.perf.PAPI_L3_TCA.125336,65529328709.0
1769939981.5417814,nrm.extra.perf.PAPI_TOT_INS.125336,1638221119126.0
1769939981.5417814,nrm.extra.perf.PAPI_TOT_CYC.125336,6618540527507.0
1769939981.5417814,nrm.extra.perf.PAPI_RES_STL.125336,5499243275532.0
1769939981.5417814,nrm.extra.perf.PAPI_L3_TCM.125336,58345917933.0
1769939982.54021,nrm.extra.perf.PAPI_L3_TCA.125336,67543829964.0
1769939982.54021,nrm.extra.perf.PAPI_TOT_INS.125336,1688114879861.0
1769939982.54021,nrm.extra.perf.PAPI_TOT_CYC.125336,6817970722487.0
1769939982.54021,nrm.extra.perf.PAPI_RES_STL.125336,5667321275868.0
