time,value
1770029500.8832612,3.0
1770029500.8941748,3.0
1770029500.9053152,2.0
1770029500.916097,3.0
1770029500.9267468,3.0
1770029500.9395568,3.0
1770029500.9502969,3.0
1770029500.962185,3.0
1770029500.9751034,3.0
1770029500.9904144,2.0
1770029501.0011122,3.0
1770029501.012028,3.0
1770029501.0232267,2.0
1770029501.0338259,3.0
1770029501.044614,3.0
1770029501.0580144,3.0
1770029501.068705,3.0
1770029501.0806477,3.0
1770029501.0972607,3.0
1770029501.1106882,3.0
1770029501.1213844,3.0
1770029501.1330397,2.0
1770029501.143975,3.0
1770029501.1547642,3.0
1770029501.1656098,3.0
1770029501.178195,3.0
1770029501.1895359,3.0
1770029501.2010999,3.0
1770029501.2168763,3.0
1770029501.2287009,2.0
1770029501.2394989,3.0
1770029501.2503757,3.0
1770029501.263351,3.0
1770029501.2742271,3.0
1770029501.2854347,3.0
1770029501.2987454,3.0
1770029501.309515,3.0
1770029501.3214939,3.0
1770029501.3322837,3.0
1770029501.343136,3.0
1770029501.3544176,3.0
1770029501.3702872,2.0
1770029501.3810718,3.0
1770029501.3920066,3.0
1770029501.4028118,3.0
1770029501.4135878,3.0
1770029501.4240518,2.0
1770029501.4348004,3.0
1770029501.4456136,3.0
1770029501.4564033,3.0
1770029501.4672186,3.0
1770029501.4779887,3.0
1770029501.4906056,3.0
1770029501.501488,3.0
1770029501.5124497,3.0
1770029501.5244887,3.0
1770029501.5412643,3.0
1770029501.5519385,1.0
1770029501.567359,2.0
1770029501.580993,3.0
1770029501.5920548,3.0
1770029501.602989,3.0
1770029501.6163983,3.0
1770029501.6289022,3.0
1770029501.640014,3.0
1770029501.653262,2.0
1770029501.6657996,3.0
1770029501.6767144,3.0
1770029501.691266,2.0
1770029501.701817,1.0
1770029501.7118435,1.0
1770029501.7282639,2.0
1770029501.7388396,1.0
1770029501.749531,1.0
1770029501.760753,3.0
1770029501.7718894,3.0
1770029501.7833595,3.0
1770029501.7983282,2.0
1770029501.8093624,3.0
1770029501.8204248,3.0
1770029501.832656,3.0
1770029501.8454072,1.0
1770029501.8595233,1.0
1770029501.8704317,3.0
1770029501.881496,3.0
1770029501.8924024,3.0
1770029501.9034846,3.0
1770029501.9168985,3.0
1770029501.927955,3.0
1770029501.9447465,3.0
1770029501.9561532,2.0
1770029501.9672077,3.0
1770029501.978143,3.0
1770029501.9885397,2.0
1770029501.9994564,3.0
1770029502.0104218,3.0
1770029502.021364,3.0
1770029502.034838,3.0
1770029502.0459564,3.0
1770029502.0582078,3.0
1770029502.0691407,3.0
1770029502.0802946,3.0
1770029502.091336,3.0
1770029502.102513,3.0
1770029502.1134233,3.0
1770029502.1244814,3.0
1770029502.1356983,3.0
1770029502.1475248,2.0
1770029502.1658745,2.0
1770029502.1774077,3.0
1770029502.1879597,2.0
1770029502.1990786,3.0
1770029502.2103133,3.0
1770029502.223297,3.0
1770029502.2345765,3.0
1770029502.247189,3.0
1770029502.2585106,3.0
1770029502.269787,3.0
1770029502.2887769,3.0
1770029502.300266,3.0
1770029502.3114834,3.0
1770029502.3225586,3.0
1770029502.333815,3.0
1770029502.3440075,2.0
1770029502.3561265,3.0
1770029502.3673966,3.0
1770029502.378672,3.0
1770029502.3899267,3.0
1770029502.4011116,3.0
1770029502.4188306,2.0
1770029502.4300828,2.0
1770029502.4427114,3.0
1770029502.4537203,3.0
1770029502.4694676,2.0
1770029502.480851,3.0
1770029502.4917789,3.0
1770029502.502594,3.0
1770029502.513542,3.0
1770029502.525076,2.0
1770029502.5362313,3.0
1770029502.5471582,3.0
1770029502.5581143,3.0
1770029502.569117,3.0
1770029502.5800898,3.0
1770029502.5919282,3.0
1770029502.603254,3.0
1770029502.6145368,3.0
1770029502.6255126,3.0
1770029502.6393728,3.0
1770029502.652321,2.0
1770029502.6632807,3.0
1770029502.6742444,3.0
1770029502.6853044,2.0
1770029502.6963081,3.0
1770029502.7076268,3.0
1770029502.7208312,3.0
1770029502.7323844,3.0
1770029502.7441778,3.0
1770029502.7602108,3.0
1770029502.771289,2.0
1770029502.7822778,3.0
1770029502.7933896,3.0
1770029502.8046162,2.0
1770029502.815627,3.0
1770029502.826795,3.0
1770029502.8386393,3.0
1770029502.8518963,1.0
1770029502.8670092,1.0
1770029502.8777032,3.0
1770029502.8932874,3.0
1770029502.9045053,2.0
1770029502.9152114,3.0
1770029502.9258947,3.0
1770029502.9378245,2.0
1770029502.9485714,3.0
1770029502.95985,3.0
1770029502.9736025,3.0
1770029502.9844124,3.0
1770029502.9966588,3.0
1770029503.007677,3.0
1770029503.0185683,3.0
1770029503.0352788,3.0
1770029503.046041,2.0
1770029503.056909,3.0
1770029503.0678914,3.0
1770029503.0788674,3.0
1770029503.0898852,3.0
1770029503.1023777,3.0
1770029503.1133206,3.0
1770029503.1242628,3.0
1770029503.135479,3.0
1770029503.1466508,3.0
1770029503.1600344,3.0
1770029503.1712506,3.0
1770029503.182172,3.0
1770029503.1962888,2.0
1770029503.2088916,3.0
