time,scope,value
1774890601.2073567,0,20832463.613830566
1774890601.2073567,1,20832463.783813477
1774890602.2073603,0,20832590.398742676
1774890602.2073603,1,20832590.398742676
1774890603.2073648,0,20832691.15484619
1774890603.2073648,1,20832691.15484619
1774890604.207355,0,20832791.828430176
1774890604.207355,1,20832791.828430176
1774890605.2073598,0,20832892.54675293
1774890605.2073598,1,20832892.54675293
1774890606.2073455,0,20832993.25262451
1774890606.2073455,1,20832993.25262451
1774890607.2073607,0,20833093.893798828
1774890607.2073607,1,20833094.0055542
1774890608.2073793,0,20833194.657043457
1774890608.2073793,1,20833194.657043457
1774890609.207409,0,20833295.375549316
1774890609.207409,1,20833295.375549316
1774890610.2073896,0,20833396.06311035
1774890610.2073896,1,20833396.13922119
1774890611.2073603,0,20833496.83203125
1774890611.2073603,1,20833496.83203125
1774890612.2073724,0,20833597.506774902
1774890612.2073724,1,20833597.506774902
1774890613.2073708,0,20833698.182861328
1774890613.2073708,1,20833698.182861328
1774890614.2073824,0,20833798.880004883
1774890614.2073824,1,20833798.880004883
1774890615.207392,0,20833899.655090332
1774890615.207392,1,20833899.655090332
1774890616.2073472,0,20834000.254943848
1774890616.2073472,1,20834000.361328125
1774890617.2072763,0,20834101.00616455
1774890617.2072763,1,20834101.00616455
1774890618.2073803,0,20834201.701904297
1774890618.2073803,1,20834201.805236816
1774890619.2073944,0,20834302.42138672
1774890619.2073944,1,20834302.535949707
1774890620.2073123,0,20834403.147216797
1774890620.2073123,1,20834403.23651123
1774890621.2073715,0,20834503.863830566
1774890621.2073715,1,20834503.863830566
1774890622.20735,0,20834604.508789062
1774890622.20735,1,20834605.032958984
1774890623.207356,0,20834705.244018555
1774890623.207356,1,20834705.244018555
1774890624.2073681,0,20834805.98071289
1774890624.2073681,1,20834806.0625
1774890625.2073786,0,20834906.68878174
1774890625.2073786,1,20834906.68878174
1774890626.2073748,0,20835007.364379883
1774890626.2073748,1,20835007.46343994
1774890627.2083774,0,20835108.155151367
1774890627.2083774,1,20835108.256225586
1774890628.207345,0,20835208.78778076
1774890628.207345,1,20835208.78778076
1774890629.2073715,0,20835309.557250977
1774890629.2073715,1,20835309.557250977
1774890630.2073724,0,20835410.17791748
1774890630.2073724,1,20835410.29333496
1774890631.2073708,0,20835510.905029297
1774890631.2073708,1,20835511.00805664
1774890632.2073612,0,20835611.642089844
1774890632.2073612,1,20835611.642089844
1774890633.207334,0,20835712.359069824
1774890633.207334,1,20835712.359069824
1774890634.2073607,0,20835813.11590576
1774890634.2073607,1,20835813.11590576
1774890635.2073748,0,20835913.739074707
1774890635.2073748,1,20835913.739074707
1774890636.207384,0,20836014.484191895
1774890636.207384,1,20836014.484191895
1774890637.2074218,0,20836115.18395996
1774890637.2074218,1,20836115.18395996
1774890638.2073636,0,20836215.857055664
1774890638.2073636,1,20836215.970825195
1774890639.2074227,0,20836316.597961426
1774890639.2074227,1,20836316.597961426
