time,value
1765085230.0097961,2.0
1765085230.0245552,3.0
1765085230.039153,3.0
1765085230.0535934,3.0
1765085230.0680003,3.0
1765085230.0824513,3.0
1765085230.0968354,3.0
1765085230.1112425,3.0
1765085230.1256964,3.0
1765085230.1401765,3.0
1765085230.1546288,3.0
1765085230.1690927,3.0
1765085230.1835346,3.0
1765085230.1979768,3.0
1765085230.2124197,3.0
1765085230.2268417,3.0
1765085230.241289,3.0
1765085230.2558491,3.0
1765085230.270298,3.0
1765085230.2847147,3.0
1765085230.2991538,3.0
1765085230.3137002,3.0
1765085230.328142,3.0
1765085230.3425808,3.0
1765085230.3570156,3.0
1765085230.3714824,3.0
1765085230.385895,3.0
1765085230.4003797,3.0
1765085230.4116926,2.0
1765085230.4261112,3.0
1765085230.4405732,3.0
1765085230.4549816,3.0
1765085230.46937,3.0
1765085230.483775,3.0
1765085230.498301,3.0
1765085230.5127099,3.0
1765085230.5271332,3.0
1765085230.5416138,3.0
1765085230.5560257,3.0
1765085230.5704582,3.0
1765085230.584903,3.0
1765085230.5994258,3.0
1765085230.6095588,2.0
1765085230.6239626,3.0
1765085230.638384,3.0
1765085230.6529562,3.0
1765085230.6673584,3.0
1765085230.6817756,3.0
1765085230.6962001,3.0
1765085230.710664,3.0
1765085230.7252247,3.0
1765085230.7396274,3.0
1765085230.7542398,3.0
1765085230.7688355,3.0
1765085230.7832525,3.0
1765085230.797711,3.0
1765085230.8121421,3.0
1765085230.8266673,3.0
1765085230.8411617,3.0
1765085230.8555717,3.0
1765085230.869993,3.0
1765085230.884402,3.0
1765085230.8988187,3.0
1765085230.913335,3.0
1765085230.9277432,3.0
1765085230.942217,3.0
1765085230.9610047,2.0
1765085230.972116,1.0
1765085230.986515,3.0
1765085231.0009468,3.0
1765085231.0153968,3.0
1765085231.0298686,3.0
1765085231.0443618,3.0
1765085231.058816,3.0
1765085231.0735526,3.0
1765085231.0836554,2.0
1765085231.093725,2.0
1765085231.10378,2.0
1765085231.1138113,2.0
1765085231.1238508,2.0
1765085231.1339254,2.0
1765085231.143959,2.0
1765085231.1540198,2.0
1765085231.164109,2.0
1765085231.1742427,2.0
1765085231.1843305,2.0
1765085231.1943905,2.0
1765085231.2045007,2.0
1765085231.2145536,2.0
1765085231.224579,2.0
1765085231.2346475,2.0
1765085231.244734,2.0
1765085231.2562494,2.0
1765085231.2711346,3.0
1765085231.2812014,2.0
1765085231.291304,2.0
1765085231.3014781,2.0
1765085231.3115184,2.0
1765085231.326443,3.0
1765085231.33649,2.0
1765085231.3465197,2.0
1765085231.3565483,2.0
1765085231.3666058,2.0
1765085231.376717,2.0
1765085231.3868506,2.0
1765085231.4017498,3.0
1765085231.4117904,2.0
1765085231.421855,2.0
1765085231.4318829,2.0
1765085231.4419136,2.0
1765085231.4520295,2.0
1765085231.4620457,2.0
1765085231.4720688,2.0
1765085231.4821317,2.0
1765085231.4922757,2.0
1765085231.507138,3.0
1765085231.5171776,2.0
1765085231.5271816,2.0
1765085231.5372052,2.0
1765085231.547322,2.0
1765085231.5622218,3.0
1765085231.572231,2.0
1765085231.5868392,1.0
1765085231.600852,1.0
1765085231.6156979,3.0
1765085231.625733,2.0
1765085231.6358147,2.0
1765085231.6460228,2.0
1765085231.6562228,2.0
1765085231.666329,2.0
1765085231.6764345,2.0
1765085231.6866257,2.0
1765085231.696686,2.0
1765085231.7067175,2.0
1765085231.7169416,2.0
1765085231.7271507,2.0
1765085231.7372074,2.0
1765085231.7473652,2.0
1765085231.757452,2.0
1765085231.767556,2.0
1765085231.7776802,2.0
1765085231.787783,2.0
1765085231.797857,2.0
1765085231.8079376,2.0
1765085231.8180125,2.0
1765085231.8281362,2.0
1765085231.8382144,2.0
1765085231.848358,2.0
1765085231.8583949,2.0
1765085231.8684864,2.0
1765085231.8786082,2.0
1765085231.8886378,2.0
1765085231.898776,2.0
1765085231.908838,2.0
1765085231.918912,2.0
1765085231.9290013,2.0
1765085231.9390743,2.0
1765085231.9503517,2.0
1765085231.9703445,2.0
1765085231.984039,1.0
1765085231.9940577,2.0
1765085232.0041597,2.0
1765085232.014338,2.0
1765085232.0245335,2.0
1765085232.03472,2.0
1765085232.0448399,2.0
1765085232.0550625,2.0
1765085232.065232,2.0
1765085232.0753984,2.0
1765085232.0855715,2.0
1765085232.095782,2.0
1765085232.1059775,2.0
1765085232.1160743,2.0
1765085232.12617,2.0
1765085232.1363204,2.0
1765085232.1465986,2.0
1765085232.1567986,2.0
1765085232.1669884,2.0
1765085232.177124,2.0
1765085232.1872876,2.0
1765085232.1974232,2.0
1765085232.2077014,2.0
1765085232.2178392,2.0
1765085232.2280438,2.0
1765085232.2381902,2.0
1765085232.2483578,2.0
1765085232.2586155,2.0
1765085232.2687247,2.0
1765085232.2788641,2.0
1765085232.2890072,2.0
1765085232.2992482,2.0
1765085232.3095186,2.0
1765085232.3196254,2.0
1765085232.329836,2.0
1765085232.339995,2.0
1765085232.3501468,2.0
1765085232.3603425,2.0
1765085232.3704553,2.0
1765085232.3807294,2.0
1765085232.3908677,2.0
1765085232.4010906,2.0
1765085232.411285,2.0
1765085232.421444,2.0
1765085232.4316273,2.0
1765085232.4418385,2.0
1765085232.4520495,2.0
1765085232.4622703,2.0
1765085232.4724128,2.0
1765085232.482537,2.0
1765085232.4927435,2.0
1765085232.5029082,2.0
1765085232.5130665,2.0
1765085232.5232153,2.0
1765085232.533361,2.0
1765085232.5436473,2.0
1765085232.5537663,2.0
1765085232.5638971,2.0
1765085232.574048,2.0
1765085232.5842037,2.0
1765085232.594364,2.0
1765085232.6045923,2.0
1765085232.614728,2.0
1765085232.6248827,2.0
1765085232.6350393,2.0
1765085232.645248,2.0
1765085232.6554897,2.0
1765085232.6656723,2.0
1765085232.6758525,2.0
1765085232.6860998,2.0
1765085232.6961956,2.0
1765085232.70631,2.0
1765085232.7164793,2.0
1765085232.7267342,2.0
1765085232.7367706,2.0
1765085232.746942,2.0
1765085232.7572951,2.0
1765085232.7674346,2.0
1765085232.7776604,2.0
1765085232.7878997,2.0
1765085232.7980614,2.0
1765085232.8082254,2.0
1765085232.8183525,2.0
1765085232.8285134,2.0
1765085232.8387501,2.0
1765085232.8489292,2.0
1765085232.859087,2.0
1765085232.8691852,2.0
1765085232.8793163,2.0
1765085232.889462,2.0
1765085232.8997285,2.0
1765085232.9098835,2.0
1765085232.9200733,2.0
1765085232.9301808,2.0
1765085232.9403496,2.0
1765085232.9512289,2.0
1765085232.9616928,2.0
1765085232.973557,2.0
1765085232.9837196,2.0
1765085232.993955,2.0
1765085233.004094,2.0
1765085233.014309,2.0
1765085233.0244038,2.0
1765085233.0346317,2.0
1765085233.0448036,2.0
1765085233.0549645,2.0
1765085233.0651238,2.0
1765085233.0752788,2.0
1765085233.0855389,2.0
1765085233.0957396,2.0
1765085233.1058624,2.0
1765085233.115975,2.0
1765085233.1261468,2.0
1765085233.1362824,2.0
1765085233.1464558,2.0
1765085233.1565986,2.0
1765085233.1667252,2.0
1765085233.1768467,2.0
1765085233.1869886,2.0
1765085233.197179,2.0
1765085233.2072873,2.0
1765085233.2174742,2.0
1765085233.2276075,2.0
1765085233.2377872,2.0
1765085233.2480173,2.0
1765085233.2581503,2.0
1765085233.2683122,2.0
1765085233.2784865,2.0
1765085233.2886138,2.0
1765085233.2987623,2.0
1765085233.3089032,2.0
1765085233.3190541,2.0
1765085233.329318,2.0
1765085233.339415,2.0
1765085233.3495626,2.0
1765085233.3597047,2.0
1765085233.3699083,2.0
1765085233.3800292,2.0
1765085233.390158,2.0
1765085233.4002905,2.0
1765085233.4104154,2.0
1765085233.4206336,2.0
1765085233.4307575,2.0
1765085233.4409046,2.0
1765085233.451021,2.0
1765085233.4611604,2.0
1765085233.4713314,2.0
1765085233.481468,2.0
1765085233.491769,2.0
1765085233.5018532,2.0
1765085233.512019,2.0
1765085233.5221403,2.0
1765085233.5322742,2.0
1765085233.542444,2.0
1765085233.552599,2.0
1765085233.5627725,2.0
1765085233.5728972,2.0
1765085233.5830114,2.0
1765085233.5931783,2.0
1765085233.6033247,2.0
1765085233.6134853,2.0
1765085233.6236424,2.0
1765085233.6338685,2.0
1765085233.644088,2.0
1765085233.654271,2.0
1765085233.6644444,2.0
1765085233.674612,2.0
1765085233.6848443,2.0
1765085233.6949744,2.0
1765085233.7050664,2.0
1765085233.7152307,2.0
1765085233.7254417,2.0
1765085233.7355387,2.0
1765085233.7457554,2.0
1765085233.7560325,2.0
1765085233.7661293,2.0
1765085233.7762964,2.0
1765085233.7864172,2.0
1765085233.7966676,2.0
1765085233.80682,2.0
1765085233.8169775,2.0
1765085233.827147,2.0
1765085233.8372867,2.0
1765085233.847436,2.0
1765085233.8575592,2.0
1765085233.8675628,2.0
1765085233.87788,2.0
1765085233.8880072,2.0
1765085233.8981402,2.0
1765085233.9081933,2.0
1765085233.918307,2.0
1765085233.9284635,2.0
1765085233.9385877,2.0
1765085233.9498127,2.0
1765085233.9599113,2.0
1765085233.970346,2.0
1765085233.9804995,2.0
1765085233.9906557,2.0
1765085234.0007987,2.0
1765085234.0112672,2.0
1765085234.021453,2.0
1765085234.0316286,2.0
1765085234.0418198,2.0
1765085234.0519369,2.0
1765085234.0620348,2.0
1765085234.0721734,2.0
1765085234.0822983,2.0
1765085234.092386,2.0
1765085234.1024961,2.0
1765085234.1125944,2.0
1765085234.1227753,2.0
1765085234.1329591,2.0
1765085234.1430593,2.0
1765085234.1531725,2.0
1765085234.1633024,2.0
1765085234.1735814,2.0
1765085234.1837099,2.0
1765085234.1938224,2.0
1765085234.2039926,2.0
1765085234.2141047,2.0
1765085234.2242053,2.0
1765085234.2343166,2.0
1765085234.244497,2.0
1765085234.2545924,2.0
1765085234.2647393,2.0
1765085234.274836,2.0
1765085234.2850275,2.0
1765085234.2951815,2.0
1765085234.305294,2.0
1765085234.3154206,2.0
1765085234.3256233,2.0
1765085234.3357406,2.0
1765085234.3460114,2.0
1765085234.3560965,2.0
1765085234.3662493,2.0
1765085234.3764262,2.0
1765085234.3865309,2.0
1765085234.396668,2.0
1765085234.4068034,2.0
1765085234.4169264,2.0
1765085234.427063,2.0
1765085234.4371831,2.0
1765085234.447309,2.0
1765085234.4575415,2.0
1765085234.4676545,2.0
1765085234.477809,2.0
1765085234.4879038,2.0
1765085234.4980657,2.0
1765085234.508137,2.0
1765085234.5182912,2.0
1765085234.5284157,2.0
1765085234.5385349,2.0
1765085234.548771,2.0
1765085234.5588868,2.0
1765085234.569024,2.0
1765085234.5792527,2.0
1765085234.5894108,2.0
1765085234.5995533,2.0
1765085234.6096585,2.0
1765085234.6197622,2.0
1765085234.629864,2.0
1765085234.640016,2.0
1765085234.6502473,2.0
1765085234.6603312,2.0
1765085234.6704655,2.0
1765085234.6805687,2.0
1765085234.6907094,2.0
1765085234.7008367,2.0
1765085234.710973,2.0
1765085234.7211435,2.0
1765085234.7312107,2.0
1765085234.7413085,2.0
1765085234.7514179,2.0
1765085234.7616003,2.0
1765085234.771749,2.0
1765085234.7818594,2.0
1765085234.7919722,2.0
1765085234.8020792,2.0
1765085234.8123846,2.0
1765085234.8225007,2.0
1765085234.832717,2.0
1765085234.8428094,2.0
1765085234.8529327,2.0
1765085234.8630495,2.0
1765085234.8731613,2.0
1765085234.8834124,2.0
1765085234.89354,2.0
1765085234.903655,2.0
1765085234.9138517,2.0
1765085234.9239817,2.0
1765085234.9341185,2.0
