time,scope,value
1774890164.2073662,0,20788719.426452637
1774890164.2073662,1,20788719.426452637
1774890165.2073848,0,20788820.06072998
1774890165.2073848,1,20788820.06072998
1774890166.207378,0,20788920.737182617
1774890166.207378,1,20788920.83721924
1774890167.2073686,0,20789021.421081543
1774890167.2073686,1,20789021.527282715
1774890168.2072806,0,20789122.129089355
1774890168.2072806,1,20789122.129089355
1774890169.2073607,0,20789222.871032715
1774890169.2073607,1,20789222.871032715
1774890170.2073755,0,20789323.572753906
1774890170.2073755,1,20789323.572753906
1774890171.2073703,0,20789424.290161133
1774890171.2073703,1,20789424.290161133
1774890172.2073538,0,20789524.977539062
1774890172.2073538,1,20789525.07635498
1774890173.2073736,0,20789625.660339355
1774890173.2073736,1,20789625.761413574
1774890174.207353,0,20789726.384399414
1774890174.207353,1,20789726.384399414
1774890175.2072885,0,20789827.062561035
1774890175.2072885,1,20789827.062561035
1774890176.2073703,0,20789927.877441406
1774890176.2073703,1,20789927.877441406
1774890177.2073512,0,20790028.54827881
1774890177.2073512,1,20790028.54827881
1774890178.2073407,0,20790129.22918701
1774890178.2073407,1,20790129.356628418
1774890179.2073505,0,20790229.967773438
1774890179.2073505,1,20790229.967773438
1774890180.2073545,0,20790330.649658203
1774890180.2073545,1,20790330.747924805
1774890181.2073736,0,20790431.346557617
1774890181.2073736,1,20790431.346557617
1774890182.2073565,0,20790532.057800293
1774890182.2073565,1,20790532.16668701
1774890183.207384,0,20790632.767578125
1774890183.207384,1,20790632.855651855
1774890184.2073672,0,20790733.4732666
1774890184.2073672,1,20790733.4732666
1774890185.207355,0,20790834.14904785
1774890185.207355,1,20790834.270385742
1774890186.207381,0,20790934.92364502
1774890186.207381,1,20790934.92364502
1774890187.2073033,0,20791035.59423828
1774890187.2073033,1,20791035.59423828
1774890188.207378,0,20791136.39001465
1774890188.207378,1,20791136.39001465
1774890189.2073903,0,20791237.08856201
1774890189.2073903,1,20791237.08856201
1774890190.2073715,0,20791337.787475586
1774890190.2073715,1,20791337.787475586
1774890191.2073772,0,20791438.48272705
1774890191.2073772,1,20791438.48272705
1774890192.2073607,0,20791539.195617676
1774890192.2073607,1,20791539.195617676
1774890193.2073822,0,20791639.87548828
1774890193.2073822,1,20791639.970214844
1774890194.207364,0,20791740.58734131
1774890194.207364,1,20791740.58734131
1774890195.2073503,0,20791841.25994873
1774890195.2073503,1,20791841.25994873
1774890196.2073407,0,20791941.994018555
1774890196.2073407,1,20791941.994018555
1774890197.2073834,0,20792042.71343994
1774890197.2073834,1,20792042.71343994
1774890198.2073605,0,20792143.417297363
1774890198.2073605,1,20792143.417297363
1774890199.2073596,0,20792244.086914062
1774890199.2073596,1,20792244.20349121
1774890200.2073536,0,20792344.892700195
1774890200.2073536,1,20792344.892700195
1774890201.2073617,0,20792445.611816406
1774890201.2073617,1,20792445.611816406
1774890202.2073433,0,20792546.21813965
1774890202.2073433,1,20792546.21813965
1774890203.2073803,0,20792646.99847412
1774890203.2073803,1,20792646.99847412
1774890204.207365,0,20792747.703979492
1774890204.207365,1,20792747.703979492
1774890205.2073455,0,20792848.376159668
1774890205.2073455,1,20792848.376159668
1774890206.2073653,0,20792949.08465576
1774890206.2073653,1,20792949.185424805
1774890207.2074153,0,20793049.77093506
1774890207.2074153,1,20793049.871948242
1774890208.2073636,0,20793150.569274902
1774890208.2073636,1,20793150.569274902
1774890209.207353,0,20793251.25640869
1774890209.207353,1,20793251.25640869
1774890210.2073462,0,20793351.953125
1774890210.2073462,1,20793351.953125
1774890211.207353,0,20793452.632019043
1774890211.207353,1,20793452.726989746
1774890212.2074256,0,20793553.411193848
1774890212.2074256,1,20793553.411193848
1774890213.2073479,0,20793654.11682129
1774890213.2073479,1,20793654.11682129
1774890214.2073467,0,20793754.828430176
1774890214.2073467,1,20793754.828430176
1774890215.207328,0,20793855.50036621
1774890215.207328,1,20793855.50036621
1774890216.2073476,0,20793956.20690918
1774890216.2073476,1,20793956.20690918
1774890217.2073393,0,20794056.910888672
1774890217.2073393,1,20794056.910888672
