time,scope,value
1774930042.2073562,0,157.97333951025905
1774930042.2073562,1,157.73496707114862
1774930043.2073612,0,156.5108636889648
1774930043.2073612,1,156.9280268715063
1774930044.2073617,0,158.41942146295264
1774930044.2073617,1,158.23199877818476
1774930045.2073514,0,155.4923815908503
1774930045.2073514,1,158.10292061900714
1774930046.2073443,0,157.2802488026019
1774930046.2073443,1,155.54851697236947
1774930047.2073433,0,158.16261870857394
1774930047.2073433,1,157.80448283171043
1774930048.2073328,0,157.74528343024787
1774930048.2073328,1,158.9294853674391
1774930049.207336,0,158.51541727641896
1774930049.207336,1,157.9558765305385
1774930050.20734,0,156.31526320713834
1774930050.20734,1,157.01191270308456
1774930051.2072752,0,157.87730158483564
1774930051.2072752,1,155.5390391877022
1774930052.2073572,0,156.2159421771601
1774930052.2073572,1,154.81917589249784
1774930053.2073486,0,159.16979992356187
1774930053.2073486,1,157.70064409774048
1774930054.2073488,0,159.22109788132306
1774930054.2073488,1,158.0547799683765
1774930055.2073452,0,156.8693766394542
1774930055.2073452,1,155.7313380329342
1774930056.2073452,0,158.26880504437875
1774930056.2073452,1,156.12814569108704
1774930057.207342,0,155.731202809904
1774930057.207342,1,158.60187591014397
1774930058.207347,0,157.15361928785626
1774930058.207347,1,156.78598228221557
1774930059.2073593,0,160.48904902174536
1774930059.2073593,1,156.0165173485844
1774930060.2073603,0,156.80641130814658
1774930060.2073603,1,157.38147929241953
1774930061.2073498,0,157.27609623793268
1774930061.2073498,1,156.19843687372224
1774930062.2073612,0,156.67981660896618
1774930062.2073612,1,157.9043297959364
1774930063.2073436,0,159.0320117365185
1774930063.2073436,1,159.83431871031763
1774930064.2073479,0,157.22990553689854
1774930064.2073479,1,156.16977412699927
1774930065.2073643,0,156.9062262546082
1774930065.2073643,1,157.45787492181933
1774930066.2073452,0,157.82452390463547
1774930066.2073452,1,159.07283433159407
1774930067.2073436,0,157.38929342987217
1774930067.2073436,1,157.85224343370882
1774930068.207387,0,157.55008079542003
1774930068.207387,1,158.9389224405506
1774930069.2073562,0,156.216512253986
1774930069.2073562,1,156.9771429968521
1774930070.2073808,0,159.2885559461636
1774930070.2073808,1,159.03944603446865
1774930071.207347,0,156.8754307440293
1774930071.207347,1,159.15628776518318
1774930072.2073836,0,159.07512730134468
1774930072.2073836,1,158.3468206081097
1774930073.2073402,0,157.08643045153187
1774930073.2073402,1,158.69762745657354
1774930074.2073479,0,158.15163272392863
1774930074.2073479,1,158.33617473095694
1774930075.2073486,0,158.75533353411905
1774930075.2073486,1,158.47398671830433
1774930076.2073467,0,159.77300349795874
1774930076.2073467,1,159.26922617116432
1774930077.2073512,0,159.05141946876958
1774930077.2073512,1,156.02516700928288
1774930078.2073317,0,157.8624244647826
1774930078.2073317,1,156.1993106771966
1774930079.207307,0,157.3667489217693
1774930079.207307,1,156.10928549686707
1774930080.2073503,0,160.54737369660822
1774930080.2073503,1,156.66284611332125
1774930081.2073321,0,157.7705126075695
1774930081.2073321,1,158.16901111115402
1774930082.2073438,0,155.88343729320707
1774930082.2073438,1,158.75766327570133
1774930083.2073534,0,157.55176249477313
1774930083.2073534,1,156.11602755848273
1774930084.2073638,0,158.42818203032598
1774930084.2073638,1,157.55134400772872
1774930085.2073593,0,156.66247217213368
1774930085.2073593,1,158.2037674220783
1774930086.207274,0,159.09741213212962
1774930086.207274,1,158.6295673699753
1774930087.2073693,0,158.53326625400356
1774930087.2073693,1,158.7200306216169
1774930088.207276,0,156.91643535742546
1774930088.207276,1,159.10980532351
1774930089.20735,0,160.16872326599378
1774930089.20735,1,160.32755134076646
1774930090.207276,0,157.70170572408065
1774930090.207276,1,157.32397868588342
