time,value
1765005471.620523,1.0
1765005471.6329618,3.0
1765005471.6458278,2.0
1765005471.6567924,3.0
1765005471.6673808,3.0
1765005471.6781175,3.0
1765005471.6888423,3.0
1765005471.6994276,3.0
1765005471.7100377,3.0
1765005471.7207282,3.0
1765005471.731522,3.0
1765005471.7421772,3.0
1765005471.7528179,3.0
1765005471.7634225,3.0
1765005471.77408,3.0
1765005471.784844,3.0
1765005471.7956007,3.0
1765005471.8064423,3.0
1765005471.8172157,3.0
1765005471.8279734,3.0
1765005471.8387341,3.0
1765005471.849482,3.0
1765005471.8602462,3.0
1765005471.8710034,3.0
1765005471.881777,3.0
1765005471.89253,3.0
1765005471.903366,3.0
1765005471.9141378,3.0
1765005471.9248834,3.0
1765005471.9356391,3.0
1765005471.9467986,3.0
1765005471.9586341,3.0
1765005471.9710255,3.0
1765005471.9837735,3.0
1765005471.996379,3.0
1765005472.0091205,3.0
1765005472.0229204,3.0
1765005472.0353706,3.0
1765005472.0478022,3.0
1765005472.0605388,3.0
1765005472.0730355,3.0
1765005472.0855892,3.0
1765005472.097992,3.0
1765005472.1104445,3.0
1765005472.1228268,3.0
1765005472.1351755,3.0
1765005472.1475167,3.0
1765005472.159811,3.0
1765005472.172207,3.0
1765005472.184506,3.0
1765005472.196869,3.0
1765005472.2092164,3.0
1765005472.2215493,3.0
1765005472.2337663,3.0
1765005472.2461467,3.0
1765005472.2583673,3.0
1765005472.2705874,3.0
1765005472.2828422,3.0
1765005472.2951996,3.0
1765005472.3073962,3.0
1765005472.319696,3.0
1765005472.331919,3.0
1765005472.3443146,3.0
1765005472.3566263,3.0
1765005472.3688533,3.0
1765005472.3811193,3.0
1765005472.3934984,3.0
1765005472.405772,3.0
1765005472.417976,3.0
1765005472.4301226,3.0
1765005472.4423296,3.0
1765005472.4545105,3.0
1765005472.46669,3.0
1765005472.478876,3.0
1765005472.4914181,3.0
1765005472.5036523,3.0
1765005472.5158403,3.0
1765005472.5280228,3.0
1765005472.5402818,3.0
1765005472.5654476,3.0
1765005472.5789208,1.0
1765005472.590458,3.0
1765005472.6024272,3.0
1765005472.6144898,3.0
1765005472.6266408,3.0
1765005472.6386654,3.0
1765005472.651041,3.0
1765005472.66304,3.0
1765005472.674966,3.0
1765005472.6871445,3.0
1765005472.6989985,3.0
1765005472.7108417,3.0
1765005472.723017,3.0
1765005472.7348447,3.0
1765005472.7468903,3.0
1765005472.7588313,3.0
1765005472.770726,3.0
1765005472.7826378,3.0
1765005472.794546,3.0
1765005472.806478,3.0
1765005472.818455,3.0
1765005472.830498,3.0
1765005472.8425975,3.0
1765005472.8545132,3.0
1765005472.8664093,3.0
1765005472.8783083,3.0
1765005472.8901868,3.0
1765005472.9020538,3.0
1765005472.9143198,3.0
1765005472.9262512,3.0
1765005472.9381337,3.0
1765005472.9500232,3.0
1765005472.961956,3.0
1765005472.97383,3.0
1765005472.9857287,3.0
1765005472.997901,3.0
1765005473.0098798,3.0
1765005473.0218203,3.0
1765005473.033785,3.0
1765005473.0457134,3.0
1765005473.0578372,3.0
1765005473.069884,3.0
1765005473.0819252,3.0
1765005473.0939934,3.0
1765005473.1060038,3.0
1765005473.1179378,3.0
1765005473.129951,3.0
1765005473.1419349,3.0
1765005473.1538591,3.0
1765005473.1657512,3.0
1765005473.1778347,3.0
1765005473.1897395,3.0
1765005473.2017596,3.0
1765005473.2137039,3.0
1765005473.2255826,3.0
1765005473.237473,3.0
1765005473.249467,3.0
1765005473.261444,3.0
1765005473.2733455,3.0
1765005473.2852936,3.0
1765005473.2972553,3.0
1765005473.3091948,3.0
1765005473.3212416,3.0
1765005473.3333728,3.0
1765005473.3453245,3.0
1765005473.357356,3.0
1765005473.3694458,3.0
1765005473.3815372,3.0
1765005473.3938472,3.0
1765005473.405761,3.0
1765005473.417814,3.0
1765005473.4297395,3.0
1765005473.4417405,3.0
1765005473.4537556,3.0
1765005473.4656634,3.0
1765005473.4778433,3.0
1765005473.4899163,3.0
1765005473.502094,3.0
1765005473.514059,3.0
1765005473.526007,3.0
1765005473.5380733,3.0
1765005473.55136,3.0
1765005473.5705087,2.0
1765005473.58232,3.0
1765005473.5940447,3.0
1765005473.6059983,3.0
1765005473.6179957,3.0
1765005473.6299336,3.0
1765005473.6418257,3.0
1765005473.654174,3.0
1765005473.6663032,3.0
1765005473.678441,3.0
1765005473.690686,3.0
1765005473.7027316,3.0
1765005473.7147138,3.0
1765005473.7269034,3.0
1765005473.7388506,3.0
1765005473.7509012,3.0
1765005473.7628367,3.0
1765005473.7748532,3.0
1765005473.7868197,3.0
1765005473.798834,3.0
1765005473.810748,3.0
1765005473.8228917,3.0
1765005473.8347921,3.0
1765005473.8467288,3.0
