time,scope,value
1770125500.6034567,0,3908710.8359375
1770125500.6034567,1,3908710.8359375
1770125501.603416,0,3908828.9407348633
1770125501.603416,1,3908829.0401000977
1770125502.6034493,0,3908935.7025756836
1770125502.6034493,1,3908935.7025756836
1770125503.6034708,0,3909042.362976074
1770125503.6034708,1,3909042.362976074
1770125504.6034186,0,3909149.033935547
1770125504.6034186,1,3909149.033935547
1770125505.6033998,0,3909255.702331543
1770125505.6033998,1,3909255.702331543
1770125506.6034093,0,3909362.4647216797
1770125506.6034093,1,3909362.4647216797
1770125507.6033342,0,3909469.1291503906
1770125507.6033342,1,3909469.1291503906
1770125508.6033995,0,3909575.807495117
1770125508.6033995,1,3909575.807495117
1770125509.603419,0,3909682.5454711914
1770125509.603419,1,3909682.5454711914
1770125510.6034167,0,3909789.212890625
1770125510.6034167,1,3909789.212890625
1770125511.6034398,0,3909895.8963623047
1770125511.6034398,1,3909895.8963623047
1770125512.603392,0,3910002.600402832
1770125512.603392,1,3910002.600402832
1770125513.6034067,0,3910109.2626953125
1770125513.6034067,1,3910109.36517334
1770125514.6034036,0,3910215.9489746094
1770125514.6034036,1,3910215.9489746094
1770125515.6034107,0,3910322.711669922
1770125515.6034107,1,3910322.711669922
1770125516.6034174,0,3910429.4086914062
1770125516.6034174,1,3910429.4086914062
1770125517.603409,0,3910536.0728149414
1770125517.603409,1,3910536.0728149414
1770125518.603347,0,3910642.75
1770125518.603347,1,3910642.75
1770125519.603433,0,3910749.486755371
1770125519.603433,1,3910749.486755371
1770125520.6033998,0,3910856.1052246094
1770125520.6033998,1,3910856.220397949
1770125521.603411,0,3910962.8642578125
1770125521.603411,1,3910962.8642578125
1770125522.6034393,0,3911069.427429199
1770125522.6034393,1,3911069.5622558594
1770125523.603415,0,3911176.179382324
1770125523.603415,1,3911176.2876586914
1770125524.603417,0,3911282.939758301
1770125524.603417,1,3911282.939758301
1770125525.6034262,0,3911389.642150879
1770125525.6034262,1,3911389.642150879
1770125526.603341,0,3911496.252258301
1770125526.603341,1,3911496.252258301
1770125527.6034172,0,3911602.9287109375
1770125527.6034172,1,3911603.035949707
1770125528.60345,0,3911709.6408691406
1770125528.60345,1,3911709.734741211
1770125529.6034327,0,3911816.410461426
1770125529.6034327,1,3911816.410461426
1770125530.6034286,0,3911923.098815918
1770125530.6034286,1,3911923.2182006836
1770125531.6034336,0,3912029.7959594727
1770125531.6034336,1,3912029.7959594727
1770125532.6034355,0,3912136.4611206055
1770125532.6034355,1,3912136.4611206055
1770125533.603413,0,3912243.1483154297
1770125533.603413,1,3912243.1483154297
1770125534.6034193,0,3912349.84967041
1770125534.6034193,1,3912349.84967041
1770125535.6034224,0,3912456.535888672
1770125535.6034224,1,3912456.535888672
1770125536.6034186,0,3912563.195678711
1770125536.6034186,1,3912563.195678711
1770125537.6034224,0,3912669.8388061523
1770125537.6034224,1,3912669.9591064453
1770125538.603448,0,3912776.6209106445
1770125538.603448,1,3912776.6209106445
1770125539.603433,0,3912883.275817871
1770125539.603433,1,3912883.275817871
1770125540.6034088,0,3912989.9373779297
1770125540.6034088,1,3912989.9373779297
1770125541.603415,0,3913096.6123046875
1770125541.603415,1,3913096.6123046875
1770125542.6034222,0,3913203.3779907227
1770125542.6034222,1,3913203.3779907227
1770125543.603402,0,3913309.959411621
1770125543.603402,1,3913310.074157715
1770125544.6034052,0,3913416.6821289062
1770125544.6034052,1,3913416.7610473633
1770125545.60343,0,3913523.443725586
1770125545.60343,1,3913523.443725586
