time,scope,value
1765037150.6443005,0,43389310.50280762
1765037150.6443005,1,43389310.50280762
1765037151.6443005,0,43389417.16851807
1765037151.6443005,1,43389417.16851807
1765037152.64437,0,43389523.732910156
1765037152.64437,1,43389523.732910156
1765037153.6443017,0,43389630.62713623
1765037153.6443017,1,43389630.62713623
1765037154.6443167,0,43389737.238342285
1765037154.6443167,1,43389737.238342285
1765037155.6443129,0,43389843.99383545
1765037155.6443129,1,43389843.99383545
1765037156.644915,0,43389950.73132324
1765037156.644915,1,43389950.73132324
1765037157.6444378,0,43390057.251831055
1765037157.6444378,1,43390057.583496094
1765037158.6443374,0,43390164.00720215
1765037158.6443374,1,43390164.103881836
1765037159.6442964,0,43390270.746520996
1765037159.6442964,1,43390270.746520996
1765037160.6443148,0,43390377.406188965
1765037160.6443148,1,43390377.71185303
1765037161.6443117,0,43390483.93658447
1765037161.6443117,1,43390483.93658447
1765037162.6443174,0,43390590.8548584
1765037162.6443174,1,43390590.8548584
1765037163.6443164,0,43390697.550476074
1765037163.6443164,1,43390697.550476074
1765037164.6443176,0,43390804.150878906
1765037164.6443176,1,43390804.150878906
1765037165.644293,0,43390910.77441406
1765037165.644293,1,43390910.77441406
1765037166.644306,0,43391017.563964844
1765037166.644306,1,43391017.66558838
1765037167.6443102,0,43391124.23773193
1765037167.6443102,1,43391124.33337402
1765037168.6474032,0,43391231.07720947
1765037168.6474032,1,43391231.20062256
1765037169.6450903,0,43391337.406311035
1765037169.6450903,1,43391337.471069336
1765037170.6443927,0,43391444.17340088
1765037170.6443927,1,43391444.17340088
1765037171.6443112,0,43391550.94793701
1765037171.6443112,1,43391551.04754639
1765037172.6443117,0,43391657.509399414
1765037172.6443117,1,43391657.509399414
1765037173.6443136,0,43391764.189086914
1765037173.6443136,1,43391764.30541992
1765037174.6443,0,43391871.17095947
1765037174.6443,1,43391871.17095947
1765037175.6442995,0,43391977.74127197
1765037175.6442995,1,43391977.855529785
1765037176.6442554,0,43392084.46911621
1765037176.6442554,1,43392084.595581055
1765037177.644299,0,43392191.173828125
1765037177.644299,1,43392191.173828125
1765037178.645313,0,43392297.87231445
1765037178.645313,1,43392297.87231445
1765037179.6445987,0,43392404.513427734
