time,actuator,value
1765055700.953359,Actuator(ptr=c_void_p(234370272)),112.0
1765055711.0171456,Actuator(ptr=c_void_p(234370272)),112.0
1765055721.0734322,Actuator(ptr=c_void_p(234370272)),112.0
1765055731.1264722,Actuator(ptr=c_void_p(234370272)),112.0
1765055741.1851716,Actuator(ptr=c_void_p(234370272)),112.0
1765055751.23961,Actuator(ptr=c_void_p(234370272)),112.0
1765055761.2874286,Actuator(ptr=c_void_p(234370272)),112.0
1765055771.3533285,Actuator(ptr=c_void_p(234370272)),112.0
1765055781.407886,Actuator(ptr=c_void_p(234370272)),112.0
1765055791.4456384,Actuator(ptr=c_void_p(234370272)),112.0
1765055801.4949284,Actuator(ptr=c_void_p(234370272)),112.0
1765055811.5481627,Actuator(ptr=c_void_p(234370272)),112.0
1765055821.6156933,Actuator(ptr=c_void_p(234370272)),112.0
1765055831.6562853,Actuator(ptr=c_void_p(234370272)),112.0
1765055841.7123256,Actuator(ptr=c_void_p(234370272)),112.0
1765055851.7550135,Actuator(ptr=c_void_p(234370272)),112.0
1765055861.8144193,Actuator(ptr=c_void_p(234370272)),112.0
1765055871.8677952,Actuator(ptr=c_void_p(234370272)),112.0
1765055881.9286752,Actuator(ptr=c_void_p(234370272)),112.0
