time,value
1765122329.4796963,1.0
1765122329.635565,1.0
1765122329.7924166,1.0
1765122329.9501321,1.0
1765122330.1079385,1.0
1765122330.2638006,1.0
1765122330.4217494,1.0
1765122330.5867817,1.0
1765122330.768547,1.0
1765122330.923703,1.0
1765122331.0874252,1.0
1765122331.2542024,1.0
1765122331.4067392,1.0
1765122331.5595546,1.0
1765122331.7120302,1.0
1765122331.8649647,1.0
1765122332.017894,1.0
1765122332.1840663,1.0
1765122332.3448458,1.0
1765122332.5053933,1.0
1765122332.6573653,1.0
1765122332.8151069,1.0
1765122332.9667945,1.0
1765122333.119857,1.0
1765122333.277893,1.0
1765122333.430822,1.0
1765122333.5882936,1.0
1765122333.7401657,1.0
1765122333.8911088,1.0
1765122334.0428855,1.0
1765122334.2298613,1.0
1765122334.4148295,1.0
1765122334.580869,1.0
1765122334.7587903,1.0
1765122334.9248626,1.0
1765122335.0818937,1.0
1765122335.239069,1.0
1765122335.4008229,1.0
1765122335.5822845,1.0
1765122335.7693067,1.0
1765122335.955603,1.0
1765122336.1068306,1.0
1765122336.2897851,1.0
1765122336.4403722,1.0
1765122336.6285148,1.0
1765122336.7837386,1.0
1765122336.9358659,1.0
1765122337.1248267,1.0
1765122337.3038647,1.0
1765122337.4808958,1.0
1765122337.665767,1.0
1765122337.8419065,1.0
1765122338.0050125,1.0
1765122338.1566627,1.0
1765122338.30782,1.0
1765122338.466203,1.0
1765122338.616838,1.0
1765122338.7738357,1.0
1765122338.9438639,1.0
1765122339.132905,1.0
1765122339.31097,1.0
1765122339.4759204,1.0
1765122339.6365569,1.0
1765122339.8108072,1.0
1765122340.0067196,1.0
1765122340.1734045,1.0
1765122340.3388836,1.0
1765122340.4958618,1.0
1765122340.6588638,1.0
1765122340.8157725,1.0
1765122340.9869292,1.0
1765122341.1469357,1.0
1765122341.3096395,1.0
1765122341.468891,1.0
1765122341.6450646,1.0
1765122341.8057146,1.0
1765122342.0004742,1.0
1765122342.1797502,1.0
1765122342.3430126,1.0
1765122342.512126,1.0
1765122342.6706235,1.0
1765122342.8269536,1.0
1765122343.0130346,1.0
1765122343.2009053,1.0
1765122343.3949177,1.0
1765122343.572897,1.0
1765122343.7488346,1.0
1765122343.9339352,1.0
1765122344.1250536,1.0
1765122344.307255,1.0
1765122344.4696822,1.0
1765122344.6647596,1.0
1765122344.8450954,1.0
1765122345.0178442,1.0
1765122345.177342,1.0
1765122345.3459053,1.0
1765122345.504683,1.0
1765122345.6688375,1.0
1765122345.824841,1.0
1765122345.9992492,1.0
1765122346.1918535,1.0
1765122346.3642414,1.0
1765122346.5196033,1.0
1765122346.6787882,1.0
1765122346.8495781,1.0
1765122347.019798,1.0
1765122347.1999214,1.0
1765122347.3713586,1.0
1765122347.5283115,1.0
1765122347.6849186,1.0
1765122347.8483562,1.0
1765122348.0104403,1.0
1765122348.182883,1.0
1765122348.3498545,1.0
1765122348.505342,1.0
1765122348.686867,1.0
1765122348.8500123,1.0
1765122349.032835,1.0
1765122349.1996462,1.0
1765122349.3667712,1.0
1765122349.5290978,1.0
1765122349.698986,1.0
1765122349.8591738,1.0
1765122350.0600636,1.0
1765122350.2619662,1.0
1765122350.4503229,1.0
1765122350.6269,1.0
1765122350.79993,1.0
1765122350.9557328,1.0
1765122351.1116464,1.0
1765122351.2679086,1.0
1765122351.461796,1.0
1765122351.6428735,1.0
1765122351.8397787,1.0
1765122352.0072517,1.0
1765122352.1828394,1.0
1765122352.3398829,1.0
1765122352.5110283,1.0
1765122352.6680174,1.0
1765122352.8267198,1.0
1765122353.0005345,1.0
1765122353.1578927,1.0
1765122353.3295088,1.0
1765122353.4869275,1.0
1765122353.6431746,1.0
1765122353.8018835,1.0
1765122353.9718428,1.0
1765122354.1539085,1.0
1765122354.3108885,1.0
1765122354.5018294,1.0
1765122354.6617749,1.0
1765122354.819893,1.0
1765122354.983329,1.0
1765122355.1645663,1.0
1765122355.3463209,1.0
1765122355.5279212,1.0
1765122355.7107985,1.0
1765122355.8878539,1.0
1765122356.0568473,1.0
1765122356.2129693,1.0
1765122356.3689697,1.0
1765122356.5251095,1.0
1765122356.6814117,1.0
1765122356.8412776,1.0
1765122357.0277493,1.0
1765122357.207694,1.0
1765122357.3705778,1.0
1765122357.5368083,1.0
1765122357.7335722,1.0
1765122357.9158745,1.0
1765122358.0968528,1.0
1765122358.256913,1.0
1765122358.4267602,1.0
1765122358.5839188,1.0
1765122358.7668931,1.0
1765122358.9299102,1.0
1765122359.0918996,1.0
1765122359.2769387,1.0
1765122359.4339492,1.0
1765122359.5901215,1.0
1765122359.7588336,1.0
1765122359.922375,1.0
1765122360.0799148,1.0
1765122360.255895,1.0
1765122360.415348,1.0
1765122360.5845454,1.0
1765122360.7439582,1.0
1765122360.9197555,1.0
1765122361.080069,1.0
1765122361.2560227,1.0
1765122361.4152956,1.0
1765122361.59684,1.0
1765122361.7735844,1.0
1765122361.929832,1.0
1765122362.0984476,1.0
1765122362.278857,1.0
1765122362.455074,1.0
1765122362.6108286,1.0
1765122362.7748158,1.0
1765122362.9378576,1.0
1765122363.1091309,1.0
1765122363.2871897,1.0
1765122363.47586,1.0
1765122363.65001,1.0
1765122363.805799,1.0
1765122363.968807,1.0
1765122364.1339123,1.0
1765122364.294864,1.0
1765122364.450792,1.0
1765122364.636793,1.0
1765122364.8217454,1.0
1765122364.9717846,1.0
1765122365.1488874,1.0
1765122365.3107681,1.0
1765122365.48865,1.0
1765122365.6396396,1.0
1765122365.8195236,1.0
1765122365.998805,1.0
1765122366.1688194,1.0
1765122366.3188305,1.0
1765122366.5037854,1.0
1765122366.6604564,1.0
1765122366.8097873,1.0
1765122366.9718723,1.0
1765122367.1297834,1.0
1765122367.2897985,1.0
1765122367.4436183,1.0
1765122367.6295366,1.0
1765122367.8078325,1.0
1765122367.9857936,1.0
1765122368.1588278,1.0
1765122368.3299026,1.0
1765122368.5208023,1.0
1765122368.6888113,1.0
1765122368.8457541,1.0
1765122369.0198026,1.0
1765122369.172798,1.0
1765122369.3406641,1.0
1765122369.494809,1.0
1765122369.658834,1.0
1765122369.838704,1.0
1765122369.9917789,1.0
1765122370.164847,1.0
1765122370.330815,1.0
1765122370.5087483,1.0
