time,scope,value
1765007356.6453207,0,40507611.97186279
1765007356.6453207,1,40507611.97186279
1765007357.6443124,0,40507700.56756592
1765007357.6443124,1,40507700.56756592
1765007358.6443386,0,40507789.30963135
1765007358.6443386,1,40507789.41912842
1765007359.6443307,0,40507878.06085205
1765007359.6443307,1,40507878.06085205
1765007360.6443145,0,40507966.802368164
1765007360.6443145,1,40507966.87243652
1765007361.6443226,0,40508055.622680664
1765007361.6443226,1,40508055.622680664
1765007362.6443467,0,40508144.32220459
1765007362.6443467,1,40508144.32220459
1765007363.644347,0,40508233.03704834
1765007363.644347,1,40508233.03704834
1765007364.6443622,0,40508321.8248291
1765007364.6443622,1,40508321.8248291
1765007365.6443074,0,40508410.54437256
1765007365.6443074,1,40508410.54437256
1765007366.6443484,0,40508499.29925537
1765007366.6443484,1,40508499.29925537
1765007367.6443448,0,40508587.990356445
1765007367.6443448,1,40508587.990356445
1765007368.6443472,0,40508676.707336426
1765007368.6443472,1,40508676.707336426
1765007369.6443274,0,40508765.48699951
1765007369.6443274,1,40508765.48699951
1765007370.6443372,0,40508854.2633667
1765007370.6443372,1,40508854.2633667
1765007371.6443381,0,40508943.00836182
1765007371.6443381,1,40508943.00836182
1765007372.6443245,0,40509031.62915039
1765007372.6443245,1,40509031.62915039
1765007373.6443439,0,40509120.4362793
1765007373.6443439,1,40509120.4362793
1765007374.6443233,0,40509209.24523926
1765007374.6443233,1,40509209.24523926
1765007375.6443446,0,40509297.94219971
1765007375.6443446,1,40509297.94219971
1765007376.6443417,0,40509386.63757324
1765007376.6443417,1,40509386.74298096
1765007377.6443458,0,40509475.45043945
1765007377.6443458,1,40509475.45043945
1765007378.6443446,0,40509564.191223145
1765007378.6443446,1,40509564.191223145
1765007379.6443238,0,40509652.85992432
1765007379.6443238,1,40509652.958740234
1765007380.644331,0,40509741.644714355
1765007380.644331,1,40509741.644714355
1765007381.64433,0,40509830.34643555
1765007381.64433,1,40509830.34643555
1765007382.6443439,0,40509919.1496582
1765007382.6443439,1,40509919.1496582
1765007383.6443336,0,40510007.87701416
1765007383.6443336,1,40510007.87701416
1765007384.6443238,0,40510096.54107666
1765007384.6443238,1,40510096.63458252
1765007385.6443415,0,40510185.328186035
1765007385.6443415,1,40510185.328186035
1765007386.64432,0,40510274.121154785
1765007386.64432,1,40510274.121154785
1765007387.6443195,0,40510362.84490967
1765007387.6443195,1,40510362.84490967
1765007388.6443028,0,40510451.5456543
1765007388.6443028,1,40510451.5456543
1765007389.6443202,0,40510540.32171631
1765007389.6443202,1,40510540.32171631
1765007390.644327,0,40510629.05303955
1765007390.644327,1,40510629.05303955
1765007391.6443312,0,40510717.796447754
1765007391.6443312,1,40510717.796447754
1765007392.6443536,0,40510806.52392578
1765007392.6443536,1,40510806.52392578
1765007393.6443336,0,40510895.2835083
1765007393.6443336,1,40510895.2835083
1765007394.644316,0,40510984.01446533
1765007394.644316,1,40510984.01446533
1765007395.6443303,0,40511072.72766113
1765007395.6443303,1,40511072.81970215
1765007396.6443572,0,40511161.51257324
1765007396.6443572,1,40511161.51257324
1765007397.64434,0,40511250.200927734
1765007397.64434,1,40511250.27435303
1765007398.6443317,0,40511338.98980713
1765007398.6443317,1,40511338.98980713
1765007399.6443315,0,40511427.699157715
1765007399.6443315,1,40511427.787353516
1765007400.6443233,0,40511516.500061035
1765007400.6443233,1,40511516.500061035
1765007401.644334,0,40511605.19067383
1765007401.644334,1,40511605.19067383
1765007402.6443362,0,40511693.957092285
1765007402.6443362,1,40511693.957092285
1765007403.6443229,0,40511782.66534424
1765007403.6443229,1,40511782.66534424
1765007404.6443312,0,40511871.460998535
1765007404.6443312,1,40511871.460998535
1765007405.6443322,0,40511960.16900635
1765007405.6443322,1,40511960.16900635
1765007406.6443346,0,40512048.883117676
1765007406.6443346,1,40512048.883117676
1765007407.6443245,0,40512137.623168945
1765007407.6443245,1,40512137.623168945
1765007408.6443377,0,40512226.34338379
1765007408.6443377,1,40512226.42663574
1765007409.6443262,0,40512315.140319824
1765007409.6443262,1,40512315.140319824
1765007410.6443202,0,40512403.79119873
1765007410.6443202,1,40512403.87188721
1765007411.6443212,0,40512492.58831787
1765007411.6443212,1,40512492.58831787
1765007412.6443446,0,40512581.3838501
1765007412.6443446,1,40512581.3838501
1765007413.6443331,0,40512670.11663818
1765007413.6443331,1,40512670.11663818
1765007414.6443162,0,40512758.80169678
1765007414.6443162,1,40512758.80169678
1765007415.6443136,0,40512847.556274414
1765007415.6443136,1,40512847.556274414
1765007416.6443348,0,40512936.26873779
1765007416.6443348,1,40512936.26873779
1765007417.6443279,0,40513025.0524292
1765007417.6443279,1,40513025.0524292
1765007418.6443386,0,40513113.77423096
1765007418.6443386,1,40513113.77423096
1765007419.6443605,0,40513202.56365967
1765007419.6443605,1,40513202.56365967
1765007420.6443086,0,40513291.249816895
1765007420.6443086,1,40513291.249816895
